date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,104.5,2635000.0,105.75,105.62,104.06
1998-01-05,105.56,5017000.0,106.81,106.44,105.0
1998-01-06,105.37,3555600.0,107.19,105.25,105.06
1998-01-07,105.0,4308200.0,105.0,104.25,102.62
1998-01-08,103.5,4059400.0,105.5,104.19,102.94
1998-01-09,104.31,7182800.0,104.87,100.06,99.37
1998-01-12,98.25,6410700.0,101.12,100.12,97.5
1998-01-13,100.56,3414500.0,102.44,102.12,100.31
1998-01-14,103.5,4275400.0,104.0,102.62,101.25
1998-01-15,103.19,6321700.0,104.94,103.44,102.37
1998-01-16,104.87,4189100.0,105.19,105.0,104.5
1998-01-20,105.19,4970600.0,108.37,108.37,104.69
1998-01-21,100.25,13907800.0,102.0,100.12,99.62
1998-01-22,99.81,6583500.0,100.62,99.37,98.5
1998-01-23,99.81,3911500.0,100.0,99.19,98.94
1998-01-26,99.25,2807900.0,99.94,98.12,98.0
1998-01-27,96.75,7019700.0,97.87,96.5,95.62
1998-01-28,97.12,5192400.0,98.0,97.0,96.5
1998-01-29,97.0,4413600.0,99.31,98.19,97.0
1998-01-30,98.31,2900100.0,99.56,98.75,98.0
1998-02-02,100.0,3437700.0,101.25,100.56,100.0
1998-02-03,100.12,3585600.0,100.25,99.37,98.69
1998-02-04,99.12,4284300.0,99.81,98.31,98.06
1998-02-05,99.12,3776700.0,99.56,99.56,98.37
1998-02-06,99.12,4082500.0,99.62,98.0,97.75
1998-02-09,98.12,3448400.0,99.62,98.0,98.0
1998-02-10,98.06,8164300.0,102.44,100.87,97.5
1998-02-11,101.62,4207500.0,103.25,102.69,101.5
1998-02-12,101.87,3626800.0,103.25,102.87,101.56
1998-02-13,102.69,2244100.0,103.62,102.37,102.37
1998-02-17,103.06,3831800.0,103.69,102.0,101.5
1998-02-18,102.0,3252300.0,103.62,102.75,101.31
1998-02-19,103.0,4276700.0,104.62,102.75,102.75
1998-02-20,103.0,3750800.0,103.44,102.62,101.56
1998-02-23,103.44,2626000.0,103.94,102.87,102.81
1998-02-24,102.62,2572400.0,102.87,102.5,101.75
1998-02-25,102.56,3848100.0,105.25,105.25,102.5
1998-02-26,104.75,3214800.0,105.87,105.5,104.31
1998-02-27,104.81,2945200.0,105.62,104.44,103.87
1998-03-02,104.19,3490200.0,104.56,101.94,100.0
1998-03-03,100.0,3970200.0,102.5,102.12,99.81
1998-03-04,102.0,3007000.0,103.31,99.0,99.0
1998-03-05,100.19,5362000.0,100.37,98.94,98.31
1998-03-06,99.12,5205100.0,99.81,98.12,98.12
1998-03-09,97.12,6464200.0,98.25,96.12,95.87
1998-03-10,97.37,4167100.0,98.19,97.5,96.69
1998-03-11,97.87,3403400.0,99.87,99.12,97.44
1998-03-12,99.19,2951700.0,100.62,100.25,98.19
