date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,15.88,119800.0,16.5,16.06,15.88
1998-01-05,15.94,108200.0,16.06,15.88,15.25
1998-01-06,15.5,206400.0,16.38,15.75,15.5
1998-01-07,15.75,229900.0,16.13,15.88,15.5
1998-01-08,15.63,218000.0,15.88,14.88,14.5
1998-01-09,14.88,601100.0,14.88,13.38,12.75
1998-01-12,12.5,576300.0,13.13,12.88,12.25
1998-01-13,13.13,436600.0,13.75,13.56,13.0
1998-01-14,13.5,269700.0,14.13,13.88,13.31
1998-01-15,13.63,138500.0,14.13,13.81,13.63
1998-01-16,14.0,266200.0,14.5,14.38,13.75
1998-01-20,14.25,121100.0,14.5,14.13,13.63
1998-01-21,13.88,159700.0,14.63,14.44,13.88
1998-01-22,14.31,162000.0,14.88,14.5,14.31
1998-01-23,14.75,94800.0,14.81,14.75,14.31
1998-01-26,14.63,166800.0,15.25,14.88,14.56
1998-01-27,15.0,123100.0,15.5,15.13,15.0
1998-01-28,15.19,192900.0,15.69,15.5,15.0
1998-01-29,15.5,355800.0,15.75,14.25,14.0
1998-01-30,14.13,171500.0,14.19,13.69,13.63
1998-02-02,13.88,247900.0,15.13,15.0,13.88
1998-02-03,14.75,398000.0,16.13,15.63,14.75
1998-02-04,15.75,742100.0,17.5,16.97,15.38
1998-02-05,16.88,277800.0,17.0,16.88,15.88
1998-02-06,16.5,254800.0,17.13,16.75,16.13
1998-02-09,16.63,161000.0,17.25,17.13,16.44
1998-02-10,17.19,243800.0,17.63,17.63,17.0
1998-02-11,17.75,179000.0,18.0,17.63,17.38
1998-02-12,17.88,274400.0,18.06,17.75,17.63
1998-02-13,18.06,1428700.0,19.38,18.88,17.5
1998-02-17,18.5,921300.0,18.81,16.94,16.81
1998-02-18,16.56,455700.0,17.25,17.25,16.31
1998-02-19,17.19,355800.0,17.25,16.34,16.31
1998-02-20,16.38,347900.0,16.63,16.13,15.72
1998-02-23,16.25,266900.0,16.25,15.81,15.75
1998-02-24,15.75,249800.0,16.0,15.0,15.0
1998-02-25,15.13,296600.0,16.38,15.94,15.0
1998-02-26,15.88,114500.0,16.13,16.13,15.63
1998-02-27,16.0,120800.0,16.13,15.69,15.5
1998-03-02,15.94,671000.0,15.94,14.13,14.0
1998-03-03,14.94,936500.0,16.63,16.5,14.94
1998-03-04,16.5,429700.0,16.69,16.38,15.75
1998-03-05,15.75,293200.0,16.13,15.88,15.25
1998-03-06,15.75,433100.0,16.56,16.38,15.75
1998-03-09,17.25,384000.0,17.5,17.06,16.88
1998-03-10,17.0,324900.0,17.38,16.69,16.63
1998-03-11,16.25,309600.0,17.25,17.19,16.13
1998-03-12,17.25,420400.0,17.56,17.5,16.88
1998-03-13,17.5,210300.0,17.75,17.31,17.13
1998-03-16,17.5,87600.0,17.63,17.0,17.0
1998-03-17,17.0,94700.0,17.31,16.63,16.63
1998-03-18,16.88,169900.0,17.63,17.63,16.63
1998-03-19,17.5,208700.0,17.75,17.5,17.31
1998-03-20,17.5,342800.0,17.75,17.56,17.38
1998-03-23,17.38,205300.0,17.88,17.63,17.25
1998-03-24,17.63,296000.0,18.5,18.0,17.56
1998-03-25,17.88,176100.0,18.25,17.88,17.75
1998-03-26,17.88,149700.0,17.88,17.75,17.56
1998-03-27,17.5,107300.0,18.0,17.56,17.5
1998-03-30,17.5,189100.0,18.25,18.13,17.38
1998-03-31,18.25,140000.0,18.25,18.0,17.88
1998-04-01,18.06,215000.0,18.38,18.19,17.75
1998-04-02,18.13,1260400.0,19.38,19.25,18.13
1998-04-03,19.0,458100.0,19.25,19.13,18.88
1998-04-06,19.25,518700.0,19.25,18.0,17.88
1998-04-07,18.0,253200.0,18.25,18.13,17.75
1998-04-08,17.88,300200.0,18.13,17.63,17.5
1998-04-09,18.0,139200.0,18.25,18.25,17.5
1998-04-13,18.19,302900.0,18.5,18.0,17.75
1998-04-14,17.75,43600.0,18.25,18.06,17.75
1998-04-15,18.13,89600.0,18.44,18.38,17.88
1998-04-16,18.38,245600.0,19.13,19.06,18.13
1998-04-17,19.38,2312900.0,22.5,22.5,19.38
1998-04-20,21.75,906600.0,22.5,22.13,21.63
1998-04-21,23.25,744700.0,23.38,23.25,22.0
1998-04-22,22.88,534000.0,23.63,22.88,22.75
1998-04-23,22.75,556500.0,23.31,22.88,22.75
1998-04-24,22.88,436000.0,22.88,21.5,21.25
1998-04-27,20.75,331800.0,21.13,21.13,19.88
1998-04-28,21.25,358900.0,22.63,22.25,21.0
1998-04-29,22.0,342300.0,23.13,22.88,21.56
1998-04-30,22.63,202400.0,22.88,22.13,22.0
1998-05-01,22.0,157000.0,22.63,22.38,22.0
1998-05-04,22.25,225400.0,22.88,22.81,22.25
1998-05-05,22.75,264100.0,23.0,22.75,22.38
1998-05-06,22.63,359000.0,23.5,23.38,22.63
1998-05-07,23.75,423200.0,24.25,23.63,23.13
1998-05-08,23.25,348400.0,23.88,23.63,23.25
1998-05-11,23.75,294000.0,24.13,23.81,23.5
1998-05-12,23.75,662100.0,24.63,24.44,23.5
1998-05-13,24.38,403800.0,24.75,24.0,23.88
1998-05-14,23.63,735300.0,25.25,24.75,23.13
1998-05-15,24.5,367000.0,24.88,23.38,23.38
1998-05-18,23.38,185800.0,23.63,22.38,22.0
1998-05-19,22.5,267200.0,23.31,22.56,22.38
1998-05-20,22.75,92000.0,23.0,22.31,22.12
1998-05-21,22.13,349400.0,23.38,23.16,22.13
1998-05-22,23.0,197600.0,23.13,23.0,22.69
1998-05-26,22.81,273600.0,23.13,21.69,21.5
1998-05-27,21.0,208800.0,21.13,20.88,20.0
1998-05-28,21.06,216700.0,22.13,21.94,20.88
1998-05-29,22.06,203300.0,22.88,22.25,21.88
1998-06-01,22.19,139900.0,22.19,21.81,21.63
1998-06-02,21.63,130400.0,21.75,21.38,21.0
1998-06-03,21.13,178700.0,21.75,21.38,21.13
1998-06-04,21.25,114400.0,21.38,21.06,20.88
1998-06-05,20.88,56600.0,21.03,20.97,20.88
1998-06-08,20.88,243800.0,21.25,20.56,20.47
