date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,51.38,99300.0,51.88,51.31,50.75
1998-01-05,51.31,125000.0,51.75,50.88,50.5
1998-01-06,50.88,540000.0,51.25,46.94,46.56
1998-01-07,46.0,1158100.0,46.38,46.25,44.69
1998-01-08,46.25,365800.0,46.25,45.5,44.63
1998-01-09,45.44,425500.0,45.88,44.25,43.75
1998-01-12,43.5,202500.0,44.88,44.5,43.44
1998-01-13,44.44,232300.0,44.75,44.0,43.81
1998-01-14,44.0,226100.0,44.25,44.25,43.75
1998-01-15,44.06,241900.0,45.06,45.06,43.94
1998-01-16,45.31,292300.0,45.88,45.5,45.13
1998-01-20,45.5,422400.0,45.5,45.0,44.69
1998-01-21,45.0,407200.0,46.06,45.44,45.0
1998-01-22,45.25,212900.0,45.25,44.88,44.56
1998-01-23,44.88,367100.0,45.19,43.63,43.38
1998-01-26,43.63,315200.0,43.94,43.75,42.75
1998-01-27,43.75,421700.0,44.25,43.5,43.06
1998-01-28,43.5,240800.0,43.94,43.94,43.13
1998-01-29,43.69,750800.0,44.38,43.25,43.13
1998-01-30,43.25,448900.0,43.25,42.25,42.06
1998-02-02,42.63,435300.0,44.13,43.75,42.31
1998-02-03,43.56,263100.0,44.0,44.0,43.13
1998-02-04,43.75,227900.0,43.94,43.5,43.25
1998-02-05,43.88,378800.0,44.0,43.81,43.0
1998-02-06,43.13,358500.0,44.13,43.31,43.0
1998-02-09,43.31,384900.0,43.94,43.06,43.0
1998-02-10,43.13,468000.0,45.25,44.19,43.06
1998-02-11,44.19,178500.0,44.19,44.13,43.44
1998-02-12,44.13,235100.0,44.56,44.25,43.31
1998-02-13,43.75,193600.0,44.25,44.0,43.63
1998-02-17,44.19,135400.0,44.38,44.06,43.81
1998-02-18,43.56,175700.0,44.69,44.63,43.56
1998-02-19,44.38,366800.0,45.0,44.88,43.81
1998-02-20,45.0,586200.0,46.19,45.88,44.69
1998-02-23,45.88,193500.0,46.25,45.75,45.38
1998-02-24,45.75,243000.0,46.25,45.5,45.19
1998-02-25,45.5,196800.0,46.25,45.81,45.5
1998-02-26,45.75,429900.0,46.44,46.13,45.75
1998-02-27,45.94,343700.0,46.19,46.0,45.44
1998-03-02,45.63,159300.0,46.25,46.25,45.25
1998-03-03,46.0,136100.0,46.0,45.75,45.56
1998-03-04,45.31,213700.0,46.06,46.06,45.13
1998-03-05,45.81,362300.0,46.63,46.38,45.31
1998-03-06,46.25,447100.0,47.75,47.63,46.25
1998-03-09,47.38,365300.0,48.75,48.06,47.31
1998-03-10,48.06,417100.0,48.25,48.06,47.44
1998-03-11,47.94,499100.0,48.0,47.75,47.25
1998-03-12,47.75,380500.0,47.75,47.0,46.81
1998-03-13,47.0,368100.0,47.38,47.13,45.63
1998-03-16,47.38,147900.0,47.44,46.88,46.69
1998-03-17,47.06,167900.0,47.78,47.44,46.94
1998-03-18,47.31,463700.0,48.0,47.81,47.06
1998-03-19,47.56,348100.0,47.69,46.81,46.44
1998-03-20,46.38,588400.0,47.75,47.13,46.38
1998-03-23,46.88,326300.0,46.94,45.88,45.81
1998-03-24,45.5,283000.0,45.88,45.63,45.0
1998-03-25,46.44,405100.0,46.63,46.44,45.88
1998-03-26,46.63,271000.0,46.94,46.63,46.0
1998-03-27,46.63,421800.0,47.19,47.0,46.63
1998-03-30,47.0,326000.0,47.75,47.0,46.81
1998-03-31,47.0,298200.0,47.75,47.13,47.0
1998-04-01,47.19,284700.0,47.38,47.38,45.81
1998-04-02,47.38,219300.0,47.88,47.44,47.0
1998-04-03,47.31,202200.0,47.75,47.13,46.69
1998-04-06,47.13,103300.0,47.63,47.0,46.81
1998-04-07,47.0,148600.0,47.19,46.31,45.5
1998-04-08,46.19,138400.0,46.56,46.0,45.75
1998-04-09,46.06,164700.0,46.13,45.63,45.5
1998-04-13,45.44,213300.0,45.81,45.69,44.56
1998-04-14,45.44,175800.0,46.19,45.94,45.38
1998-04-15,45.75,493400.0,46.38,45.88,45.44
1998-04-16,45.81,360000.0,45.81,45.5,44.75
1998-04-17,45.75,299700.0,47.0,46.81,45.75
1998-04-20,47.13,150700.0,47.31,47.25,46.5
1998-04-21,47.0,345900.0,47.75,47.69,46.81
1998-04-22,47.44,720700.0,48.88,48.5,47.13
1998-04-23,48.63,489100.0,48.88,48.69,48.38
1998-04-24,48.56,779200.0,49.56,48.88,48.44
1998-04-27,48.38,419200.0,48.75,48.0,47.75
1998-04-28,48.25,403200.0,48.38,48.0,47.56
1998-04-29,48.0,240900.0,48.81,48.69,48.0
1998-04-30,48.69,231400.0,49.0,48.94,48.56
1998-05-01,49.0,259900.0,49.94,49.94,49.0
1998-05-04,50.0,145500.0,50.0,49.94,49.56
1998-05-05,49.88,100000.0,50.0,49.88,49.06
1998-05-06,49.75,191300.0,49.75,49.38,48.56
1998-05-07,49.38,223800.0,49.44,49.38,48.75
1998-05-08,49.19,226900.0,50.31,49.19,49.06
1998-05-11,49.19,184700.0,49.75,49.38,49.06
1998-05-12,49.25,181200.0,50.0,49.81,48.38
1998-05-13,49.69,167200.0,50.0,49.81,49.25
1998-05-14,49.63,95700.0,49.94,49.69,49.44
1998-05-15,49.63,142700.0,49.75,49.25,49.19
1998-05-18,49.25,295300.0,49.31,49.06,48.88
1998-05-19,49.06,737900.0,49.06,49.0,48.0
1998-05-20,48.88,213900.0,48.88,48.88,48.88
1998-05-21,49.38,252000.0,49.44,48.75,48.31
1998-05-22,48.63,134500.0,48.63,48.44,48.25
1998-05-26,48.69,200800.0,49.0,48.31,48.19
1998-05-27,48.31,248000.0,48.38,47.81,47.63
1998-05-28,47.81,194500.0,48.56,48.13,47.56
1998-05-29,48.06,182700.0,48.63,48.0,47.63
1998-06-01,47.75,187200.0,48.75,48.25,47.75
1998-06-02,48.25,252100.0,48.5,47.25,46.81
1998-06-03,47.0,368500.0,47.38,46.56,46.56
1998-06-04,46.56,829200.0,47.5,47.06,46.56
1998-06-05,47.13,604300.0,47.44,47.0,46.5
1998-06-08,46.75,160900.0,47.75,47.63,46.69
1998-06-09,47.63,156000.0,47.63,47.38,46.94
1998-06-10,47.12,312200.0,47.94,47.31,47.12
1998-06-11,47.19,601400.0,47.19,45.19,44.56
1998-06-12,45.44,460700.0,45.5,45.0,44.38
1998-06-15,44.75,528800.0,45.19,44.69,44.38
1998-06-16,44.56,461900.0,45.25,44.88,44.38
1998-06-17,45.0,640000.0,45.75,45.19,44.94
1998-06-18,45.44,202200.0,45.75,45.31,45.13
1998-06-19,45.0,385900.0,45.44,44.69,44.25
1998-06-22,44.56,251500.0,44.69,43.88,43.88
1998-06-23,43.94,401300.0,44.44,43.75,43.5
1998-06-24,43.38,271900.0,43.88,43.31,42.81
1998-06-25,43.44,472200.0,44.06,43.19,42.25
1998-06-26,42.94,421000.0,44.31,43.63,42.94
1998-06-29,43.88,458900.0,44.94,43.81,43.75
1998-06-30,44.0,297800.0,44.0,43.44,43.38
1998-07-01,43.5,223800.0,44.38,43.94,43.19
1998-07-02,43.69,274600.0,44.0,43.5,43.0
1998-07-06,43.5,1394200.0,43.56,43.13,42.88
1998-07-07,42.88,547600.0,43.0,42.94,42.38
1998-07-08,42.94,881100.0,43.0,42.0,41.75
1998-07-09,41.5,641200.0,41.81,41.44,41.13
1998-07-10,41.19,269100.0,42.31,42.31,41.13
1998-07-13,42.19,161400.0,42.25,41.63,41.0
1998-07-14,41.56,194300.0,41.75,41.25,41.13
1998-07-15,41.25,219300.0,42.13,41.75,41.25
1998-07-16,41.56,269600.0,41.94,41.81,41.56
1998-07-17,41.94,186700.0,41.94,41.56,41.5
1998-07-20,43.5,1395600.0,44.13,42.63,42.63
1998-07-21,42.69,1074600.0,43.5,43.19,42.38
1998-07-22,43.19,459400.0,44.5,43.81,43.06
1998-07-23,43.81,378900.0,43.94,43.56,42.81
1998-07-24,43.31,361400.0,43.44,42.63,42.63
1998-07-27,42.25,494000.0,42.25,41.75,41.63
1998-07-28,41.69,589500.0,41.94,41.5,41.13
1998-07-29,41.75,139000.0,42.25,42.06,41.38
1998-07-30,42.06,207400.0,42.75,42.56,42.0
1998-07-31,42.25,231900.0,42.5,42.0,41.63
1998-08-03,41.75,428300.0,42.31,41.94,41.75
1998-08-04,41.88,267600.0,42.63,41.75,41.63
1998-08-05,42.13,302000.0,43.44,42.63,42.06
1998-08-06,42.69,343500.0,42.69,41.94,41.75
1998-08-07,41.88,289700.0,42.5,41.38,41.38
1998-08-10,41.25,247700.0,41.69,41.31,40.94
1998-08-11,41.63,284200.0,41.94,41.81,40.81
1998-08-12,41.63,204000.0,42.44,42.44,40.81
1998-08-13,42.5,204400.0,42.81,41.94,41.88
1998-08-14,41.94,149500.0,42.5,41.88,41.69
1998-08-17,41.75,247400.0,42.69,42.31,41.44
1998-08-18,42.13,211900.0,43.31,43.19,41.88
1998-08-19,43.0,154000.0,43.0,42.31,42.06
1998-08-20,42.5,115700.0,43.0,42.94,42.13
1998-08-21,42.44,249800.0,42.44,41.81,41.13
1998-08-24,41.5,194500.0,42.13,41.5,41.06
1998-08-25,41.75,219300.0,42.88,42.25,41.56
1998-08-26,41.63,123500.0,42.13,41.75,41.31
1998-08-27,41.0,263700.0,41.06,40.25,40.19
1998-08-28,40.25,501900.0,40.25,39.94,38.94
1998-08-31,39.94,210300.0,40.63,38.75,38.75
1998-09-01,38.56,526500.0,39.0,38.31,36.69
1998-09-02,38.13,415800.0,39.31,38.06,37.88
1998-09-03,37.88,316400.0,38.13,37.63,36.56
1998-09-04,37.63,256300.0,39.0,38.25,37.56
1998-09-08,38.88,216100.0,40.56,40.5,38.5
1998-09-09,40.56,212800.0,40.56,39.38,39.19
1998-09-10,38.25,362700.0,38.44,37.06,37.06
1998-09-11,36.56,469800.0,37.63,37.38,35.38
1998-09-14,37.25,750200.0,37.88,35.94,35.63
1998-09-15,35.56,480800.0,36.13,35.75,35.44
