date,1. open,5. volume,2. high,4. close,3. low
2000-07-28,29.88,9307600.0,42.25,39.17,29.5
2000-07-31,38.25,1240900.0,38.69,35.0,31.5
2000-08-01,34.81,608100.0,40.13,35.5,33.0
2000-08-02,33.63,428200.0,39.0,38.13,33.56
2000-08-03,38.13,684000.0,47.75,44.25,37.0
2000-08-04,45.48,642100.0,45.5,40.94,39.75
2000-08-07,42.94,282800.0,48.25,42.25,39.0
2000-08-08,42.19,164800.0,44.5,40.98,40.56
2000-08-09,41.69,163400.0,42.81,42.81,40.0
2000-08-10,42.63,328900.0,47.25,45.0,41.5
2000-08-11,44.94,197400.0,45.0,41.88,41.88
2000-08-14,42.63,236700.0,42.75,40.0,39.63
2000-08-15,40.44,153500.0,41.0,40.0,39.0
2000-08-16,42.06,277100.0,43.75,42.75,41.75
2000-08-17,42.38,243600.0,43.88,41.88,41.88
2000-08-18,41.88,82400.0,47.0,44.0,41.88
2000-08-21,44.0,157200.0,47.75,45.19,44.0
2000-08-22,45.25,181300.0,45.25,42.13,42.13
2000-08-23,42.5,166200.0,44.0,41.13,40.75
2000-08-24,41.25,107000.0,41.88,40.02,39.88
2000-08-25,40.06,279200.0,42.38,41.75,40.06
2000-08-28,43.63,159600.0,43.75,41.63,40.75
2000-08-29,41.63,86200.0,42.5,42.5,41.38
2000-08-30,41.75,421400.0,42.0,40.0,39.44
2000-08-31,39.88,445300.0,47.25,44.75,39.88
2000-09-01,46.0,188100.0,47.0,46.63,43.5
2000-09-05,47.13,96000.0,47.44,45.75,43.0
2000-09-06,46.81,221500.0,46.81,42.0,41.75
2000-09-07,43.75,162400.0,45.0,45.0,41.13
2000-09-08,45.0,176500.0,45.0,42.94,42.38
2000-09-11,43.0,300800.0,44.0,41.13,40.38
2000-09-12,41.25,123900.0,41.63,40.75,39.0
2000-09-13,39.91,308700.0,41.0,36.5,35.13
2000-09-14,36.91,137900.0,37.63,37.0,35.88
2000-09-15,37.0,116100.0,38.0,37.75,36.5
2000-09-18,35.5,171000.0,37.0,34.0,32.19
2000-09-19,34.0,283600.0,35.19,33.31,33.0
2000-09-20,33.88,241600.0,35.19,34.0,32.63
2000-09-21,35.44,36200.0,35.63,35.38,34.88
2000-09-22,34.06,87200.0,39.88,39.25,34.06
2000-09-25,40.53,267400.0,40.88,39.88,39.5
2000-09-26,40.0,299600.0,40.0,39.81,39.0
2000-09-27,39.38,74100.0,42.75,41.63,39.38
2000-09-28,40.75,54900.0,43.88,43.75,40.75
2000-09-29,43.75,235000.0,51.63,45.38,43.0
2000-10-02,47.25,45800.0,48.75,45.75,44.0
2000-10-03,45.56,80900.0,46.31,40.0,37.38
2000-10-04,39.63,194000.0,39.63,36.13,35.25
2000-10-05,36.5,143100.0,37.38,35.63,35.5
