date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,43.0,48700.0,44.0,42.75,41.5
1998-01-05,43.5,78200.0,44.5,42.25,41.0
1998-01-06,43.75,403700.0,43.75,41.0,40.5
1998-01-07,41.5,214600.0,41.5,40.88,39.75
1998-01-08,41.13,485200.0,41.88,40.25,40.0
1998-01-09,40.0,149100.0,41.88,39.38,39.25
1998-01-12,38.5,255800.0,38.5,36.0,34.0
1998-01-13,36.5,176700.0,38.63,38.0,35.75
1998-01-14,39.5,239700.0,41.5,40.13,38.75
1998-01-15,41.25,356100.0,42.38,41.0,39.0
1998-01-16,41.75,568200.0,44.0,43.25,40.75
1998-01-20,44.25,395700.0,45.38,45.03,44.0
1998-01-21,45.25,266200.0,45.25,44.25,43.75
1998-01-22,44.25,24000.0,44.25,43.5,43.13
1998-01-23,43.13,139800.0,44.25,43.5,42.25
1998-01-26,43.94,46300.0,44.63,42.75,42.25
1998-01-27,44.0,51000.0,44.5,42.88,42.75
1998-01-28,43.63,59200.0,44.0,43.75,43.25
1998-01-29,44.0,82300.0,44.0,44.0,43.25
1998-01-30,43.63,78500.0,44.5,43.38,43.38
1998-02-02,44.75,283900.0,47.25,47.0,43.5
1998-02-03,47.5,306400.0,50.0,49.0,47.0
1998-02-04,48.75,220400.0,50.38,50.38,48.0
1998-02-05,50.38,67100.0,50.5,48.75,48.63
1998-02-06,49.88,100200.0,50.25,50.0,48.75
1998-02-09,51.0,108100.0,51.0,50.13,49.5
1998-02-10,50.5,102900.0,50.5,48.31,48.25
1998-02-11,48.25,198500.0,49.0,47.38,47.0
1998-02-12,47.75,150400.0,47.75,47.13,46.75
1998-02-13,47.5,87800.0,48.5,47.5,47.5
1998-02-17,48.5,39400.0,48.5,47.0,47.0
1998-02-18,47.0,38600.0,48.25,47.0,47.0
1998-02-19,47.0,80500.0,47.25,46.25,46.13
1998-02-20,46.0,74100.0,46.75,46.75,45.5
1998-02-23,47.0,31100.0,48.0,46.88,45.5
1998-02-24,48.0,12300.0,48.0,46.38,46.0
1998-02-25,47.5,38300.0,47.5,47.0,46.63
1998-02-26,47.5,86100.0,49.0,47.25,46.63
1998-02-27,47.5,75300.0,47.5,45.5,45.38
1998-03-02,46.75,46900.0,47.25,45.25,45.25
1998-03-03,45.0,165700.0,46.13,45.75,45.0
1998-03-04,45.63,127700.0,46.0,45.63,45.5
1998-03-05,45.0,56400.0,45.5,45.03,44.5
1998-03-06,45.25,207800.0,47.75,47.56,44.75
1998-03-09,47.0,73100.0,47.38,46.0,46.0
1998-03-10,46.0,82000.0,46.44,44.94,44.5
1998-03-11,45.63,191500.0,45.63,43.0,43.0
1998-03-12,43.0,86600.0,44.5,43.25,42.0
1998-03-13,43.25,128400.0,46.5,44.63,42.63
1998-03-16,43.88,84400.0,45.5,45.0,43.88
1998-03-17,44.0,24200.0,45.5,44.06,43.88
1998-03-18,45.0,14900.0,45.0,44.69,43.88
1998-03-19,45.25,28700.0,45.5,44.38,43.88
1998-03-20,45.0,45600.0,46.13,46.13,44.5
1998-03-23,46.25,110500.0,46.88,46.25,45.75
1998-03-24,46.38,121500.0,46.38,45.81,45.5
1998-03-25,45.5,285300.0,47.75,47.75,45.5
1998-03-26,48.25,117500.0,49.0,47.0,47.0
1998-03-27,47.75,22600.0,47.75,47.0,47.0
1998-03-30,48.0,31800.0,48.5,47.81,47.0
1998-03-31,48.0,86600.0,48.0,46.75,46.0
1998-04-01,47.0,35900.0,47.0,46.5,45.5
1998-04-02,45.5,114300.0,48.0,47.25,45.5
1998-04-03,47.63,49700.0,47.88,46.75,46.75
1998-04-06,46.75,98200.0,47.63,45.44,45.25
1998-04-07,45.38,127200.0,46.13,45.5,45.13
1998-04-08,45.38,193300.0,45.5,44.84,44.5
1998-04-09,45.13,146200.0,45.13,45.06,44.63
1998-04-13,45.13,188400.0,45.13,44.25,44.0
1998-04-14,44.0,153000.0,44.63,43.5,42.75
1998-04-15,44.0,813700.0,44.0,41.0,40.5
1998-04-16,41.5,305200.0,42.0,41.75,40.0
1998-04-17,42.0,195200.0,43.5,43.38,41.63
1998-04-20,42.63,223200.0,42.88,41.88,41.5
1998-04-21,42.0,381900.0,42.75,42.0,41.5
1998-04-22,42.0,359700.0,42.5,42.0,41.75
1998-04-23,42.5,46400.0,42.5,41.5,41.25
1998-04-24,41.38,205000.0,42.25,41.0,40.88
1998-04-27,40.88,408600.0,41.25,39.25,39.13
1998-04-28,41.25,295700.0,41.25,40.81,40.0
1998-04-29,41.13,312500.0,41.5,41.5,40.25
1998-04-30,41.5,486300.0,45.06,45.0,41.25
1998-05-01,44.63,103300.0,45.13,44.75,43.5
1998-05-04,45.0,168800.0,45.13,44.25,44.0
1998-05-05,45.13,57100.0,45.13,42.63,42.38
1998-05-06,42.13,136500.0,43.0,42.75,42.0
1998-05-07,42.25,252800.0,42.75,41.13,40.75
1998-05-08,41.0,114900.0,41.63,40.13,39.75
1998-05-11,36.5,4057400.0,36.5,33.66,31.75
1998-05-12,33.63,1469800.0,35.88,35.34,33.63
1998-05-13,36.0,1002500.0,38.13,38.0,35.5
1998-05-14,38.0,565700.0,38.13,37.31,37.13
1998-05-15,37.5,261900.0,37.63,37.63,37.25
1998-05-18,37.63,117000.0,37.63,37.13,37.0
1998-05-19,37.13,253900.0,37.75,37.41,37.0
1998-05-20,36.0,388500.0,36.0,36.0,36.0
1998-05-21,36.38,327800.0,37.0,36.31,36.0
1998-05-22,37.0,95200.0,37.0,35.09,34.88
1998-05-26,34.75,315400.0,35.5,34.25,34.0
1998-05-27,32.5,686900.0,34.5,34.41,31.75
1998-05-28,33.75,288100.0,36.25,36.25,33.75
1998-05-29,36.25,176800.0,37.75,36.72,36.25
1998-06-01,36.5,169500.0,36.5,35.5,35.31
1998-06-02,35.25,263300.0,36.0,34.78,34.5
1998-06-03,34.25,405700.0,35.75,32.63,32.59
1998-06-04,33.0,144800.0,34.0,33.5,33.0
1998-06-05,33.75,332800.0,33.75,32.75,32.0
1998-06-08,32.75,721000.0,32.75,32.13,31.88
1998-06-09,32.25,536900.0,33.0,32.69,31.88
1998-06-10,32.62,479300.0,33.25,32.94,32.0
1998-06-11,33.25,153600.0,33.63,33.25,32.5
1998-06-12,33.38,121500.0,33.38,32.75,32.31
1998-06-15,33.0,91400.0,33.0,32.25,32.0
1998-06-16,32.75,368700.0,33.88,33.5,32.5
1998-06-17,33.88,344700.0,33.88,33.31,32.88
1998-06-18,33.5,55400.0,33.88,32.75,32.63
1998-06-19,32.88,111600.0,33.38,32.0,31.25
1998-06-22,32.5,87600.0,32.5,31.5,31.0
1998-06-23,32.0,149400.0,33.0,32.97,31.63
1998-06-24,33.25,116700.0,33.88,33.19,32.75
1998-06-25,34.5,320500.0,34.75,32.75,32.5
1998-06-26,33.38,96300.0,33.38,32.25,31.38
1998-06-29,32.13,226200.0,33.75,33.75,31.5
1998-06-30,33.0,390100.0,35.13,34.13,33.0
1998-07-01,34.25,138200.0,35.0,34.06,33.25
1998-07-02,33.88,227400.0,34.75,34.25,33.75
1998-07-06,34.25,378100.0,35.13,35.13,34.0
1998-07-07,35.13,190100.0,35.13,34.63,34.5
1998-07-08,35.0,615300.0,39.13,39.13,34.81
1998-07-09,38.63,588900.0,39.13,36.98,35.75
1998-07-10,36.0,361900.0,38.5,38.0,36.0
1998-07-13,38.0,115800.0,38.5,36.94,36.0
1998-07-14,37.0,287700.0,37.25,37.13,36.25
1998-07-15,37.63,235700.0,38.63,38.31,36.0
1998-07-16,38.5,634400.0,41.0,40.5,37.5
1998-07-17,40.25,508200.0,43.25,42.0,40.0
1998-07-20,42.0,367800.0,42.25,41.59,41.5
1998-07-21,41.63,334000.0,42.25,39.25,39.0
1998-07-22,39.75,204800.0,39.75,37.0,36.75
1998-07-23,37.75,316500.0,39.25,39.13,37.38
1998-07-24,39.13,127200.0,39.75,37.88,37.0
1998-07-27,38.5,116000.0,38.5,38.25,37.0
1998-07-28,37.88,136700.0,39.38,38.63,36.5
1998-07-29,38.25,91600.0,39.0,38.25,37.25
1998-07-30,38.0,107900.0,38.25,37.63,35.75
1998-07-31,37.75,153500.0,37.75,36.06,36.0
1998-08-03,36.25,156900.0,36.25,32.75,32.75
1998-08-04,32.75,242600.0,34.0,32.81,32.38
1998-08-05,33.25,260800.0,33.5,31.25,30.0
1998-08-06,31.5,198000.0,32.19,31.44,31.0
1998-08-07,31.75,184800.0,32.38,32.25,31.5
1998-08-10,32.75,226000.0,33.75,33.38,31.69
1998-08-11,32.63,187500.0,32.88,32.38,31.63
1998-08-12,32.63,114800.0,33.38,33.38,31.63
1998-08-13,33.38,141600.0,33.38,32.63,31.5
1998-08-14,32.0,42800.0,32.88,32.88,31.38
1998-08-17,32.5,241900.0,34.0,30.63,30.44
1998-08-18,32.0,314600.0,32.25,30.25,29.94
1998-08-19,31.0,389100.0,31.0,27.5,27.5
1998-08-20,28.25,3181500.0,28.25,23.06,22.88
1998-08-21,23.5,2936400.0,23.88,23.13,20.13
1998-08-24,24.13,1016200.0,24.75,24.13,23.25
1998-08-25,24.44,808100.0,25.25,24.5,23.88
1998-08-26,25.0,614200.0,25.13,23.25,23.0
1998-08-27,23.0,306300.0,23.63,22.25,21.56
1998-08-28,22.75,743100.0,22.75,20.0,19.0
1998-08-31,22.13,430300.0,22.13,19.38,19.0
1998-09-01,20.38,1099300.0,20.38,18.5,17.38
1998-09-02,19.63,351300.0,20.25,19.88,18.88
1998-09-03,19.75,575300.0,19.75,18.75,18.5
1998-09-04,19.25,296100.0,19.5,19.13,19.0
1998-09-08,19.75,951900.0,21.25,21.25,19.63
