date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,41.25,441800.0,41.38,40.63,39.75
1998-01-05,40.75,683700.0,41.25,40.13,39.75
1998-01-06,39.63,552900.0,40.44,39.88,39.25
1998-01-07,39.5,1246300.0,39.5,38.25,37.13
1998-01-08,37.63,1377900.0,38.0,37.56,37.13
1998-01-09,37.25,1190900.0,37.75,35.13,34.63
1998-01-12,34.88,1303300.0,35.25,35.06,33.88
1998-01-13,35.06,2406300.0,40.88,40.13,35.06
1998-01-14,39.38,965000.0,39.88,38.5,37.5
1998-01-15,38.75,921100.0,38.75,36.94,36.13
1998-01-16,37.38,1371200.0,37.5,36.88,36.13
1998-01-20,37.13,1297700.0,39.63,39.63,37.0
1998-01-21,39.0,2475500.0,40.38,40.0,39.0
1998-01-22,39.5,321900.0,39.88,39.0,38.5
1998-01-23,39.0,519100.0,39.0,37.63,36.63
1998-01-26,38.0,817800.0,38.25,36.81,35.94
1998-01-27,36.88,549600.0,37.56,37.25,35.88
1998-01-28,37.5,1873500.0,40.13,39.88,37.25
1998-01-29,39.94,762200.0,40.0,38.13,37.88
1998-01-30,38.25,475700.0,38.75,37.38,36.5
1998-02-02,38.0,1161900.0,40.13,39.13,37.75
1998-02-03,39.13,1644500.0,40.5,40.19,38.88
1998-02-04,39.88,1662500.0,42.5,42.13,39.38
1998-02-05,42.38,2199200.0,43.5,43.25,42.38
1998-02-06,43.13,739500.0,43.75,43.0,42.5
1998-02-09,43.25,463200.0,43.5,42.63,41.69
1998-02-10,42.5,694200.0,44.19,43.31,41.75
1998-02-11,43.13,3257500.0,48.5,48.0,43.13
1998-02-12,47.38,1145400.0,48.13,48.0,46.5
1998-02-13,47.63,2160500.0,52.25,51.88,47.25
1998-02-17,51.63,1506000.0,51.75,49.0,48.88
1998-02-18,49.25,1399300.0,50.13,47.94,47.63
1998-02-19,48.0,1220000.0,50.13,49.63,47.75
1998-02-20,50.5,1137500.0,51.0,50.63,47.75
1998-02-23,50.5,1112100.0,52.94,52.13,50.5
1998-02-24,52.25,1698600.0,53.25,49.88,49.75
1998-02-25,47.0,2790400.0,47.5,46.75,45.25
1998-02-26,46.5,1204200.0,48.38,47.56,46.13
1998-02-27,47.63,1482900.0,48.88,46.5,46.25
1998-03-02,46.88,1213500.0,47.5,46.5,46.25
1998-03-03,46.25,1021100.0,46.5,45.94,45.63
1998-03-04,45.88,894600.0,46.75,46.13,45.56
1998-03-05,44.88,443500.0,45.75,43.75,43.5
1998-03-06,44.0,1689100.0,49.38,46.66,43.75
1998-03-09,46.5,1284800.0,46.56,44.88,44.88
1998-03-10,45.0,1120100.0,46.75,46.38,45.0
1998-03-11,46.38,1199900.0,48.63,47.63,46.25
1998-03-12,48.0,550300.0,48.38,47.19,46.5
1998-03-13,47.88,1447500.0,49.5,48.13,47.75
1998-03-16,48.5,793100.0,49.0,46.81,46.25
1998-03-17,46.38,1057200.0,46.5,45.13,45.0
1998-03-18,45.13,741300.0,48.38,47.63,45.0
1998-03-19,47.88,520500.0,48.63,47.0,46.81
1998-03-20,47.25,747600.0,47.5,45.44,45.31
1998-03-23,45.44,431800.0,47.44,46.69,45.13
1998-03-24,46.63,229800.0,47.5,46.84,46.13
1998-03-25,47.5,1090400.0,49.88,49.0,47.38
1998-03-26,48.88,626600.0,50.0,49.5,48.25
1998-03-27,48.25,921700.0,48.88,47.94,47.25
1998-03-30,48.0,301600.0,48.88,47.5,47.31
1998-03-31,48.0,518500.0,48.94,48.38,47.25
1998-04-01,48.13,342300.0,48.63,47.66,47.25
1998-04-02,47.88,878200.0,50.63,49.5,47.5
1998-04-03,49.63,620900.0,50.38,48.69,48.44
1998-04-06,49.0,1083200.0,51.41,49.31,48.75
1998-04-07,49.25,948500.0,49.25,47.5,45.5
1998-04-08,47.38,739700.0,48.38,46.81,46.19
1998-04-09,47.13,674000.0,49.38,48.44,47.13
1998-04-13,48.25,501900.0,48.38,48.13,46.44
1998-04-14,48.38,427200.0,48.75,48.25,47.63
1998-04-15,48.38,1234200.0,51.75,51.13,48.25
1998-04-16,50.5,1089500.0,53.38,53.38,49.88
1998-04-17,53.0,1567100.0,54.94,51.13,50.38
1998-04-20,51.13,541500.0,52.75,50.81,50.5
1998-04-21,51.25,599000.0,52.5,51.25,50.5
1998-04-22,50.94,425000.0,51.5,50.94,49.75
1998-04-23,50.75,587800.0,50.75,48.0,48.0
1998-04-24,47.88,1519800.0,52.0,51.75,47.13
1998-04-27,50.5,2001500.0,53.5,50.44,50.0
1998-04-28,51.13,869200.0,52.5,51.38,50.38
1998-04-29,51.0,534200.0,52.94,52.5,51.0
1998-04-30,52.38,492600.0,53.75,53.19,51.94
1998-05-01,53.31,483200.0,53.63,53.13,52.5
1998-05-04,53.5,892600.0,54.88,54.0,53.13
1998-05-05,53.75,1318500.0,54.38,52.88,52.31
1998-05-06,53.0,260800.0,53.13,52.94,52.0
1998-05-07,53.0,434400.0,53.0,51.5,51.25
1998-05-08,51.75,535600.0,52.0,51.75,50.81
1998-05-11,51.75,346900.0,53.38,51.81,51.5
1998-05-12,51.75,2057200.0,51.75,49.28,47.63
1998-05-13,50.5,722300.0,50.94,49.88,49.63
1998-05-14,49.75,483500.0,50.0,49.19,48.88
1998-05-15,49.81,943000.0,50.13,45.88,45.5
1998-05-18,45.75,2627100.0,45.88,45.0,41.5
1998-05-19,47.44,2315100.0,49.38,49.38,46.69
1998-05-20,49.5,1344100.0,49.63,49.63,49.38
1998-05-21,49.0,890100.0,49.13,47.5,47.25
1998-05-22,47.38,6416100.0,49.25,48.56,47.13
1998-05-26,49.25,2245500.0,51.13,50.0,48.75
1998-05-27,49.5,2110500.0,50.0,49.13,47.38
1998-05-28,49.38,834100.0,49.5,48.25,47.5
1998-05-29,48.25,518900.0,48.63,47.38,47.38
1998-06-01,47.5,1396200.0,48.13,46.94,46.63
1998-06-02,47.0,799800.0,47.75,46.81,46.13
1998-06-03,46.88,541400.0,47.19,45.38,45.13
1998-06-04,45.38,472600.0,46.56,46.06,45.0
1998-06-05,46.25,602100.0,47.25,46.0,45.25
1998-06-08,45.88,446000.0,46.0,45.88,45.5
1998-06-09,45.5,682700.0,46.38,46.0,45.38
1998-06-10,45.5,1472300.0,48.63,47.44,45.38
1998-06-11,47.38,526700.0,48.0,47.63,46.63
1998-06-12,47.81,758700.0,48.63,48.63,46.0
1998-06-15,47.88,1180600.0,50.5,49.19,47.75
1998-06-16,49.25,564800.0,50.25,50.19,48.75
1998-06-17,50.38,1221000.0,52.25,51.19,50.06
1998-06-18,51.25,767500.0,52.0,51.25,50.88
1998-06-19,51.88,729600.0,51.88,50.25,49.88
1998-06-22,50.25,1863500.0,54.63,54.25,50.25
1998-06-23,54.38,2254800.0,58.5,57.5,54.25
1998-06-24,57.5,1859700.0,62.31,61.94,57.38
1998-06-25,63.31,1982500.0,65.25,58.56,58.25
1998-06-26,58.38,1235000.0,63.0,62.13,57.5
1998-06-29,62.0,827200.0,63.25,62.13,60.13
1998-06-30,61.94,871900.0,62.75,61.25,61.25
1998-07-01,61.56,619300.0,64.13,64.13,61.56
1998-07-02,63.75,711200.0,64.63,62.06,61.56
1998-07-06,61.88,659600.0,62.63,60.38,59.0
1998-07-07,60.38,396300.0,61.13,60.75,60.0
1998-07-08,60.0,589900.0,62.13,61.88,59.0
1998-07-09,62.25,522700.0,65.0,63.0,61.5
1998-07-10,62.75,159500.0,63.5,61.75,61.56
1998-07-13,61.94,824700.0,64.0,64.0,60.25
1998-07-14,64.0,670300.0,65.13,63.63,63.13
1998-07-15,63.38,372100.0,64.63,63.13,62.56
1998-07-16,63.38,767400.0,65.75,64.5,63.13
1998-07-17,65.38,598400.0,65.38,64.13,63.13
1998-07-20,63.88,630500.0,66.13,65.0,63.63
1998-07-21,65.13,762400.0,67.94,66.5,65.0
1998-07-22,66.13,402300.0,66.88,65.75,64.75
1998-07-23,66.0,678400.0,66.0,61.69,61.25
1998-07-24,62.38,677600.0,63.5,58.81,58.25
1998-07-27,58.25,2457700.0,58.75,56.5,52.88
1998-07-28,56.5,1476900.0,56.75,53.06,52.25
1998-07-29,53.5,1361300.0,54.44,51.13,50.94
1998-07-30,52.38,1203600.0,53.38,51.94,51.75
1998-07-31,52.06,787700.0,53.13,49.75,49.75
1998-08-03,50.0,497500.0,50.75,49.13,48.13
1998-08-04,49.75,1619700.0,50.88,44.03,44.0
1998-08-05,45.25,4889900.0,52.5,48.63,44.0
1998-08-06,47.44,1179900.0,50.25,48.63,46.75
1998-08-07,49.75,555500.0,51.38,51.0,49.0
1998-08-10,51.13,766200.0,51.13,50.0,48.56
1998-08-11,48.5,1312500.0,49.38,47.25,46.38
1998-08-12,47.13,1617200.0,47.63,47.63,45.88
1998-08-13,48.0,1191100.0,49.13,47.19,47.0
1998-08-14,47.88,424900.0,48.13,45.94,45.25
1998-08-17,45.25,849500.0,48.75,48.38,44.75
1998-08-18,48.63,929800.0,52.13,51.13,48.06
1998-08-19,52.06,593000.0,52.63,49.75,49.25
1998-08-20,49.75,275600.0,50.0,49.5,48.25
1998-08-21,49.38,919700.0,49.75,47.5,44.75
1998-08-24,48.13,573400.0,50.13,48.88,48.0
1998-08-25,49.5,472900.0,51.31,49.5,49.13
1998-08-26,49.0,445800.0,49.38,48.06,46.75
1998-08-27,47.31,482400.0,47.5,45.25,44.75
1998-08-28,47.0,1960100.0,47.75,43.13,39.25
1998-08-31,43.06,1320400.0,44.13,34.19,34.19
1998-09-01,36.13,2333600.0,42.25,40.25,35.75
1998-09-02,40.38,1172000.0,40.63,38.31,37.38
1998-09-03,37.38,732500.0,40.38,40.13,37.25
1998-09-04,40.63,324400.0,41.25,39.25,37.63
1998-09-08,40.69,778600.0,44.75,44.31,40.59
1998-09-09,43.75,668800.0,45.13,43.31,42.56
1998-09-10,42.38,1005000.0,42.38,40.38,39.13
1998-09-11,40.63,428400.0,42.19,40.88,39.88
1998-09-14,42.25,242200.0,42.88,41.31,41.0
1998-09-15,41.13,176100.0,42.06,40.69,40.5
1998-09-16,40.69,882900.0,42.88,42.5,39.63
1998-09-17,41.5,268900.0,41.5,40.63,39.75
1998-09-18,40.19,325300.0,40.75,39.0,38.38
1998-09-21,38.0,339300.0,39.44,39.13,37.75
1998-09-22,39.25,642400.0,40.38,39.63,38.0
1998-09-23,40.5,1756100.0,46.5,46.13,40.38
1998-09-24,45.69,702500.0,46.0,42.5,42.38
1998-09-25,42.56,466400.0,45.94,45.38,42.0
1998-09-28,45.88,1037600.0,48.38,47.0,45.25
1998-09-29,49.06,1437400.0,49.25,46.5,46.0
1998-09-30,46.56,2899600.0,47.25,46.56,45.81
1998-10-01,46.0,1449100.0,48.0,43.5,42.88
1998-10-02,43.25,1243500.0,43.56,43.25,41.5
1998-10-05,43.13,889300.0,43.13,39.88,39.0
1998-10-06,40.88,633000.0,42.25,39.44,38.88
1998-10-07,40.0,866300.0,42.25,40.25,36.25
1998-10-08,38.38,1521300.0,39.13,37.25,26.25
1998-10-09,37.44,695900.0,40.5,38.88,37.44
1998-10-12,40.13,782300.0,42.94,41.75,39.63
1998-10-13,42.25,248100.0,42.25,39.19,39.0
1998-10-14,39.13,643900.0,42.69,42.13,39.13
1998-10-15,42.38,959800.0,47.0,46.66,42.38
1998-10-16,46.0,687200.0,47.25,44.56,43.5
1998-10-19,43.75,502000.0,47.56,47.13,43.75
1998-10-20,47.44,487000.0,47.75,45.5,45.5
1998-10-21,45.5,226900.0,46.75,46.69,45.25
1998-10-22,46.88,293900.0,48.88,48.31,45.5
1998-10-23,48.25,448200.0,48.44,46.75,46.75
1998-10-26,47.38,418000.0,48.75,47.5,47.0
1998-10-27,48.0,353700.0,49.0,47.56,47.13
1998-10-28,47.0,187700.0,47.63,47.38,45.88
1998-10-29,46.75,327100.0,49.75,48.88,46.25
1998-10-30,49.13,381200.0,50.52,50.5,48.5
1998-11-02,50.0,554300.0,53.5,53.5,49.63
1998-11-03,53.25,287700.0,53.25,50.0,50.0
1998-11-04,51.38,700000.0,52.25,50.13,49.5
1998-11-05,49.38,644700.0,51.25,50.63,48.75
1998-11-06,50.25,448100.0,50.88,49.88,48.63
1998-11-09,50.06,279800.0,52.13,50.81,49.25
1998-11-10,51.19,740900.0,53.81,53.22,49.25
1998-11-11,53.88,765500.0,56.0,55.31,53.5
1998-11-12,54.81,636100.0,58.19,57.56,54.25
1998-11-13,57.0,449000.0,57.5,53.75,53.5
1998-11-16,54.5,326700.0,55.0,53.38,52.0
1998-11-17,52.75,804600.0,59.25,57.88,51.63
1998-11-18,58.69,694700.0,60.5,60.0,58.06
1998-11-19,60.38,789800.0,60.75,60.0,58.56
1998-11-20,60.25,784000.0,60.5,57.5,56.0
1998-11-23,58.0,1585600.0,64.88,64.13,57.38
1998-11-24,63.5,1652700.0,63.5,59.88,59.56
1998-11-25,61.0,1690900.0,62.25,58.5,56.75
1998-11-27,58.38,483300.0,61.06,60.5,58.25
1998-11-30,59.88,1199600.0,60.0,57.88,54.75
