date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,49.69,173400.0,50.63,49.88,49.25
1998-01-05,50.38,420800.0,51.25,51.25,50.0
1998-01-06,50.94,244700.0,50.94,50.38,50.06
1998-01-07,49.88,316500.0,50.0,49.56,49.13
1998-01-08,49.94,331700.0,50.94,50.5,49.75
1998-01-09,50.38,332400.0,50.38,48.88,47.75
1998-01-12,48.38,480900.0,49.56,48.75,48.19
1998-01-13,48.75,393600.0,48.75,48.38,48.25
1998-01-14,48.5,399200.0,48.5,48.44,47.94
1998-01-15,48.56,283500.0,48.94,47.88,47.75
1998-01-16,48.38,342200.0,49.25,48.63,48.19
1998-01-20,49.0,313800.0,49.63,49.0,48.88
1998-01-21,48.5,360600.0,48.75,48.25,48.0
1998-01-22,48.13,190200.0,48.56,48.5,47.94
1998-01-23,48.75,182200.0,49.0,47.69,47.63
1998-01-26,47.69,199300.0,48.63,48.31,47.63
1998-01-27,48.25,185200.0,48.75,48.69,48.0
1998-01-28,48.63,260300.0,48.63,48.31,48.0
1998-01-29,48.63,581600.0,49.88,48.94,48.38
1998-01-30,49.06,229600.0,49.69,49.06,48.88
1998-02-02,49.0,521100.0,50.0,49.63,49.0
1998-02-03,49.88,406200.0,50.13,50.0,49.5
1998-02-04,49.75,364400.0,50.5,50.44,49.75
1998-02-05,50.44,311800.0,51.13,50.13,50.13
1998-02-06,50.13,288200.0,51.25,51.0,49.81
1998-02-09,51.0,209900.0,51.0,50.81,50.0
1998-02-10,50.81,272300.0,51.81,51.44,50.81
1998-02-11,51.19,220300.0,52.0,51.81,51.13
1998-02-12,52.0,319000.0,52.75,52.63,51.38
1998-02-13,52.63,276500.0,52.94,52.5,52.38
1998-02-17,52.5,248900.0,53.06,52.56,52.25
1998-02-18,52.38,240500.0,52.75,52.56,52.0
1998-02-19,52.56,320900.0,52.69,52.44,51.88
1998-02-20,52.5,271400.0,52.5,52.19,51.56
1998-02-23,52.13,252700.0,54.0,53.56,52.0
1998-02-24,53.44,345200.0,54.13,54.06,53.0
1998-02-25,54.5,339500.0,55.81,55.06,53.81
1998-02-26,55.13,224100.0,55.25,55.06,54.44
1998-02-27,55.13,248300.0,55.13,54.5,54.38
1998-03-02,54.5,166700.0,54.94,54.44,54.25
1998-03-03,54.44,152600.0,55.31,55.0,54.13
1998-03-04,55.0,169000.0,55.0,54.81,54.63
1998-03-05,54.75,301900.0,55.88,55.88,54.63
1998-03-06,55.88,391900.0,59.75,58.5,55.88
1998-03-09,58.25,259200.0,58.5,57.75,57.06
1998-03-10,57.75,218700.0,59.56,59.19,57.75
1998-03-11,59.06,226400.0,60.19,60.0,59.0
1998-03-12,60.5,245200.0,61.13,60.63,60.25
1998-03-13,60.5,259200.0,61.38,61.13,60.13
1998-03-16,61.19,233100.0,62.06,61.63,60.69
1998-03-17,61.63,139800.0,61.88,61.5,60.88
1998-03-18,61.38,226500.0,61.75,61.13,60.5
1998-03-19,61.25,143500.0,61.25,61.06,60.75
1998-03-20,61.44,396000.0,61.44,61.25,60.69
1998-03-23,61.25,292500.0,61.31,61.06,60.88
1998-03-24,60.88,309400.0,61.88,61.56,60.44
1998-03-25,61.88,168200.0,61.88,61.13,60.88
1998-03-26,60.88,208900.0,62.94,62.63,60.75
1998-03-27,62.0,259000.0,62.0,61.44,61.25
1998-03-30,61.31,79600.0,61.94,61.5,61.25
1998-03-31,61.75,208000.0,62.38,62.13,61.63
1998-04-01,62.0,257700.0,62.94,62.88,60.94
1998-04-02,63.0,279200.0,64.88,64.5,62.94
1998-04-03,64.5,386700.0,64.56,63.69,63.38
1998-04-06,63.0,249000.0,64.38,64.19,62.63
1998-04-07,63.5,357400.0,63.5,62.5,62.38
1998-04-08,62.88,194800.0,63.25,61.81,61.38
1998-04-09,62.19,216400.0,62.44,61.31,61.0
1998-04-13,61.19,248300.0,61.44,60.38,60.0
1998-04-14,60.0,218200.0,61.38,60.31,60.0
1998-04-15,60.56,272200.0,61.56,61.13,60.25
1998-04-16,61.0,216800.0,61.0,60.25,59.88
1998-04-17,60.0,303000.0,61.63,61.44,59.88
1998-04-20,61.19,176600.0,62.5,62.19,61.06
1998-04-21,62.19,232000.0,62.44,62.06,61.56
1998-04-22,61.81,160700.0,62.25,61.63,61.5
1998-04-23,61.25,145700.0,61.56,61.0,60.75
1998-04-24,61.0,296700.0,61.13,61.06,59.88
1998-04-27,60.88,326300.0,60.88,59.19,58.75
1998-04-28,59.19,167200.0,60.5,60.38,59.06
1998-04-29,60.13,273000.0,61.75,61.63,59.69
1998-04-30,61.69,330900.0,64.13,63.88,61.38
1998-05-01,63.94,207100.0,63.94,63.0,61.56
1998-05-04,63.25,228000.0,63.56,61.44,61.06
1998-05-05,61.44,367000.0,61.63,61.0,60.75
1998-05-06,61.0,253500.0,61.0,60.19,60.06
1998-05-07,60.06,326000.0,60.5,60.31,59.56
1998-05-08,60.44,180600.0,61.0,60.88,60.38
1998-05-11,60.88,144000.0,61.88,61.0,60.25
1998-05-12,61.13,234600.0,61.25,60.88,60.0
1998-05-13,60.63,137400.0,61.0,60.31,60.19
1998-05-14,60.06,165900.0,61.25,60.69,60.0
1998-05-15,60.69,241800.0,60.69,59.94,59.69
1998-05-18,59.88,154200.0,60.75,59.94,59.81
1998-05-19,59.94,220000.0,60.25,59.94,59.63
1998-05-20,60.44,138300.0,60.44,60.44,60.44
1998-05-21,60.75,203800.0,61.13,60.75,60.5
1998-05-22,60.75,135600.0,60.75,60.44,60.13
1998-05-26,60.5,132600.0,60.63,58.56,58.5
1998-05-27,58.56,308000.0,59.38,58.5,57.81
1998-05-28,58.38,146000.0,59.38,58.25,58.0
1998-05-29,58.06,311900.0,59.63,59.31,58.06
1998-06-01,59.06,212600.0,59.81,59.5,58.88
1998-06-02,59.25,165500.0,59.88,59.0,58.94
1998-06-03,58.81,104700.0,59.06,58.56,58.44
1998-06-04,58.56,115900.0,59.63,59.19,58.38
1998-06-05,59.44,209700.0,59.88,59.75,59.13
1998-06-08,59.63,124100.0,60.19,59.88,59.56
1998-06-09,59.63,136500.0,59.75,59.31,59.06
1998-06-10,59.06,170500.0,59.25,58.81,58.56
1998-06-11,58.75,244300.0,58.75,56.94,56.94
1998-06-12,56.94,262600.0,57.38,56.69,56.25
1998-06-15,56.31,346100.0,56.31,55.31,55.06
1998-06-16,55.13,283800.0,55.63,55.63,55.0
1998-06-17,55.38,723500.0,56.5,56.19,55.38
1998-06-18,56.5,384700.0,57.94,57.94,56.5
1998-06-19,59.5,501300.0,59.5,58.88,58.31
1998-06-22,58.63,250300.0,59.13,58.56,58.06
1998-06-23,58.94,276400.0,59.5,59.38,58.69
1998-06-24,59.38,397300.0,60.94,60.31,59.19
1998-06-25,60.44,255800.0,60.5,60.0,59.38
1998-06-26,60.0,173300.0,60.75,59.81,59.69
1998-06-29,59.81,227800.0,60.38,59.88,59.81
1998-06-30,60.0,469800.0,61.5,60.69,60.0
1998-07-01,60.94,230600.0,61.0,60.44,59.81
1998-07-02,60.44,304000.0,60.44,59.56,59.31
1998-07-06,59.69,215200.0,60.38,59.75,59.25
1998-07-07,60.0,324500.0,60.75,60.69,59.88
1998-07-08,60.5,671500.0,61.88,61.75,60.5
1998-07-09,61.25,147300.0,61.31,60.94,60.5
1998-07-10,61.0,493500.0,62.19,62.19,60.72
1998-07-13,62.06,239600.0,62.19,62.13,61.5
1998-07-14,62.13,275800.0,62.56,62.38,61.88
1998-07-15,62.5,169800.0,62.63,62.13,61.63
1998-07-16,62.0,131200.0,62.69,62.69,61.69
1998-07-17,62.69,238500.0,62.69,62.44,62.25
1998-07-20,62.38,380500.0,62.38,61.44,61.38
1998-07-21,61.69,317400.0,61.88,61.13,60.88
1998-07-22,60.88,296400.0,60.88,60.88,59.56
1998-07-23,60.38,575800.0,60.38,59.31,57.75
1998-07-24,59.38,334600.0,59.75,58.81,58.0
1998-07-27,59.0,272400.0,59.19,58.63,57.75
1998-07-28,58.63,605200.0,60.44,60.31,58.63
1998-07-29,60.19,839600.0,60.31,60.25,59.69
1998-07-30,61.0,252100.0,61.25,60.63,60.38
1998-07-31,60.25,321900.0,60.31,60.25,59.88
1998-08-03,60.19,459000.0,60.19,59.75,58.88
1998-08-04,59.75,376500.0,59.88,58.0,57.75
1998-08-05,58.06,407000.0,59.5,57.44,56.94
1998-08-06,57.38,362600.0,59.0,58.94,57.19
1998-08-07,58.81,503500.0,59.94,58.94,58.63
1998-08-10,58.75,259500.0,59.19,58.94,58.06
1998-08-11,58.25,375300.0,58.25,57.88,57.0
1998-08-12,58.25,475300.0,58.25,57.06,56.94
1998-08-13,57.5,659900.0,58.75,58.63,57.06
1998-08-14,58.88,470900.0,59.38,59.0,57.88
1998-08-17,58.94,384600.0,59.25,59.0,58.06
1998-08-18,58.5,427900.0,60.13,60.0,58.5
1998-08-19,60.25,559800.0,63.0,62.31,59.5
1998-08-20,62.31,885900.0,64.44,64.13,61.63
1998-08-21,63.56,403500.0,64.25,64.25,62.44
1998-08-24,64.0,414200.0,64.5,64.5,63.5
1998-08-25,64.75,397400.0,65.25,64.88,64.38
1998-08-26,64.44,421000.0,65.0,64.69,64.0
1998-08-27,64.19,530200.0,64.56,61.63,60.88
1998-08-28,61.63,707400.0,61.63,60.0,59.88
1998-08-31,60.06,466500.0,60.25,57.0,57.0
1998-09-01,57.0,731400.0,57.13,56.0,55.38
1998-09-02,56.0,368600.0,56.44,55.63,55.56
1998-09-03,54.88,868200.0,54.88,52.81,52.63
1998-09-04,52.88,683200.0,53.13,52.19,50.5
1998-09-08,52.25,433200.0,54.63,54.63,52.25
1998-09-09,55.38,423400.0,55.63,53.88,52.88
1998-09-10,53.63,610900.0,53.63,52.5,52.25
1998-09-11,51.88,258000.0,53.0,52.38,51.5
1998-09-14,52.5,410500.0,53.44,53.38,52.38
1998-09-15,53.25,538000.0,53.25,53.25,51.75
1998-09-16,52.63,494400.0,53.88,53.81,52.25
1998-09-17,53.62,367800.0,53.62,53.44,52.75
1998-09-18,54.38,421600.0,55.0,54.69,54.19
1998-09-21,54.0,203800.0,54.75,54.13,53.75
1998-09-22,54.13,347200.0,54.75,54.44,54.0
1998-09-23,54.63,357900.0,56.5,56.5,54.5
1998-09-24,56.5,414900.0,56.63,54.88,54.25
1998-09-25,54.88,180900.0,55.75,54.63,54.0
1998-09-28,54.69,282300.0,56.0,54.94,54.13
1998-09-29,54.94,377700.0,55.69,54.94,54.63
1998-09-30,54.69,264700.0,54.81,53.94,53.5
1998-10-01,53.0,558700.0,53.13,49.88,49.25
1998-10-02,49.88,889800.0,50.5,49.75,48.19
1998-10-05,49.63,612800.0,49.63,48.0,46.88
1998-10-06,48.5,690800.0,49.13,47.63,46.75
1998-10-07,47.63,718200.0,47.88,47.0,46.31
1998-10-08,45.25,617300.0,47.13,47.13,45.13
1998-10-09,47.25,346700.0,48.13,47.81,46.63
1998-10-12,48.25,409100.0,49.06,48.5,47.81
1998-10-13,48.63,339600.0,48.88,48.38,48.0
1998-10-14,48.25,277400.0,49.88,49.25,48.25
1998-10-15,49.38,432600.0,51.5,51.5,49.0
1998-10-16,52.25,299800.0,52.38,51.69,51.31
1998-10-19,51.31,251400.0,53.5,53.0,51.25
1998-10-20,53.5,354300.0,55.25,53.88,53.5
1998-10-21,53.88,326200.0,54.81,54.5,53.75
1998-10-22,54.13,300300.0,55.75,54.81,54.0
1998-10-23,54.5,184600.0,54.63,53.5,53.19
1998-10-26,53.75,276500.0,53.75,52.13,52.13
1998-10-27,54.5,633300.0,55.38,54.94,54.13
1998-10-28,54.94,332700.0,55.63,55.06,54.69
1998-10-29,54.88,416200.0,56.63,56.63,54.69
1998-10-30,56.63,417100.0,59.13,58.5,56.63
1998-11-02,58.44,435800.0,60.0,59.94,57.88
1998-11-03,59.69,198800.0,59.94,59.75,58.69
1998-11-04,61.5,454700.0,61.5,60.69,59.94
1998-11-05,60.69,334200.0,62.38,62.38,60.13
1998-11-06,62.63,803200.0,64.94,64.44,62.0
1998-11-09,65.0,553300.0,66.25,65.5,63.5
1998-11-10,65.5,523300.0,65.63,65.0,62.13
1998-11-11,65.0,437200.0,65.5,65.06,63.63
1998-11-12,65.06,241600.0,66.5,64.5,64.31
1998-11-13,64.13,267000.0,65.25,65.25,64.13
1998-11-16,65.5,453800.0,66.25,65.38,64.31
