date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,40.75,279900.0,41.63,41.06,40.56
1998-01-05,40.88,937100.0,40.88,40.0,39.5
1998-01-06,40.0,788100.0,41.0,40.25,39.81
1998-01-07,40.31,322850.0,40.69,39.88,39.38
1998-01-08,39.88,740800.0,39.94,39.0,38.88
1998-01-09,39.25,967500.0,39.25,36.94,36.5
1998-01-12,36.69,1188600.0,37.5,37.31,36.56
1998-01-13,38.38,596300.0,38.38,38.19,37.88
1998-01-14,39.75,516700.0,39.75,38.63,38.13
1998-01-15,38.63,286050.0,38.75,38.75,38.44
1998-01-16,39.13,542100.0,39.75,39.75,39.06
1998-01-20,39.5,452550.0,40.0,39.19,38.88
1998-01-21,38.88,447300.0,39.5,38.81,38.5
1998-01-22,38.56,778100.0,38.63,38.19,37.75
1998-01-23,37.5,959150.0,37.63,37.19,37.0
1998-01-26,37.25,327600.0,37.88,37.63,37.0
1998-01-27,37.5,810500.0,38.5,37.31,37.0
1998-01-28,37.56,422550.0,38.06,37.81,37.5
1998-01-29,38.75,851200.0,40.0,39.5,38.63
1998-01-30,40.0,1173750.0,40.0,39.88,39.31
1998-02-02,40.5,1484100.0,42.13,42.13,40.5
1998-02-03,41.88,701700.0,43.0,43.0,41.75
1998-02-04,42.88,649150.0,42.88,42.38,41.75
1998-02-05,42.56,736800.0,43.38,43.0,42.56
1998-02-06,43.0,504550.0,44.13,44.06,42.88
1998-02-09,44.06,582900.0,44.94,44.88,43.31
1998-02-10,44.63,1136150.0,44.69,44.31,43.75
1998-02-11,44.13,413650.0,44.31,43.88,43.69
1998-02-12,43.63,665900.0,44.88,44.88,42.88
1998-02-13,44.75,340750.0,44.75,44.38,43.94
1998-02-17,44.5,288800.0,44.75,44.69,44.0
1998-02-18,44.81,391250.0,44.81,44.38,43.75
1998-02-19,44.44,425050.0,44.44,43.94,43.31
1998-02-20,44.19,464350.0,44.31,44.0,43.75
1998-02-23,44.0,365950.0,44.13,44.0,43.63
1998-02-24,43.88,899800.0,44.75,44.75,43.63
1998-02-25,44.88,929200.0,46.38,45.81,44.88
1998-02-26,45.25,915050.0,47.25,47.19,45.25
1998-02-27,46.75,920800.0,47.75,47.63,46.75
1998-03-02,47.38,502650.0,48.0,47.0,47.0
1998-03-03,46.5,411650.0,47.81,47.69,46.5
1998-03-04,47.63,299350.0,47.75,47.13,46.94
1998-03-05,46.75,379950.0,47.13,46.25,46.25
1998-03-06,46.38,365700.0,47.44,47.0,46.38
1998-03-09,46.75,336650.0,47.0,46.75,46.56
1998-03-10,46.5,498250.0,46.88,46.69,46.13
1998-03-11,46.69,549250.0,47.94,47.25,46.5
1998-03-12,46.25,502550.0,48.0,47.81,46.0
1998-03-13,47.81,518300.0,48.44,47.81,47.63
1998-03-16,47.56,301450.0,48.0,47.94,47.56
1998-03-17,48.0,768950.0,49.0,48.25,47.94
1998-03-18,48.25,576900.0,48.94,48.25,48.0
1998-03-19,48.13,758050.0,48.56,48.38,48.13
1998-03-20,48.88,661150.0,49.25,49.0,48.44
1998-03-23,48.38,465450.0,48.5,48.0,47.81
1998-03-24,48.0,218300.0,48.94,48.81,48.0
1998-03-25,48.81,593650.0,49.25,48.31,47.63
1998-03-26,48.13,365050.0,48.38,47.69,47.69
1998-03-27,47.44,322100.0,48.44,47.56,47.31
1998-03-30,47.31,487150.0,48.25,48.06,47.25
1998-03-31,48.25,408750.0,48.81,47.94,47.75
1998-04-01,47.94,678450.0,48.63,48.5,47.31
1998-04-02,48.75,953600.0,51.38,50.81,48.75
1998-04-03,50.75,794600.0,51.88,51.5,50.63
1998-04-06,51.38,1048150.0,51.5,50.75,50.44
1998-04-07,50.75,436550.0,51.13,51.0,50.38
1998-04-08,51.0,556750.0,51.88,51.5,50.44
1998-04-09,51.69,618600.0,52.25,51.31,51.13
1998-04-13,51.38,317500.0,51.44,51.31,50.63
1998-04-14,51.31,443800.0,52.13,52.0,51.19
1998-04-15,52.0,642150.0,53.88,53.5,52.0
1998-04-16,53.25,613450.0,53.56,52.06,52.0
1998-04-17,52.06,494150.0,52.38,52.31,51.69
1998-04-20,52.06,516050.0,53.19,52.88,52.06
1998-04-21,52.88,390350.0,53.56,53.5,52.88
1998-04-22,53.56,732250.0,54.0,50.75,50.63
1998-04-23,50.13,966500.0,50.81,49.75,49.38
1998-04-24,49.63,426300.0,50.19,48.81,48.75
1998-04-27,48.56,768950.0,48.63,47.31,46.56
1998-04-28,47.31,804500.0,47.31,46.88,46.0
1998-04-29,46.0,1595000.0,46.75,45.75,45.75
1998-04-30,46.0,1552350.0,47.13,46.06,45.88
1998-05-01,46.25,1649100.0,46.69,46.5,45.5
1998-05-04,46.63,759050.0,47.38,46.69,46.06
1998-05-05,46.69,605300.0,46.69,45.56,45.0
1998-05-06,45.81,416650.0,46.38,45.81,45.63
1998-05-07,46.31,443300.0,46.75,45.69,45.56
1998-05-08,45.75,323100.0,46.81,46.13,45.75
1998-05-11,46.06,399500.0,46.88,46.63,45.94
1998-05-12,46.63,314250.0,46.88,46.5,45.75
1998-05-13,46.75,386950.0,47.5,46.56,46.0
1998-05-14,46.63,354650.0,47.63,47.13,46.5
1998-05-15,47.38,414250.0,47.38,47.19,46.56
1998-05-18,47.19,542600.0,47.63,46.75,46.75
1998-05-19,46.81,431650.0,47.63,47.38,46.56
1998-05-20,47.63,414500.0,48.0,47.5,47.31
1998-05-21,47.44,447450.0,47.88,46.75,46.56
1998-05-22,46.88,337400.0,46.94,46.63,46.19
1998-05-26,46.88,658550.0,47.38,46.19,46.19
1998-05-27,46.0,361050.0,46.13,45.63,44.56
1998-05-28,45.88,349300.0,45.88,45.25,44.75
1998-05-29,45.38,425300.0,45.75,45.06,44.81
1998-06-01,45.19,474750.0,45.19,44.25,44.06
1998-06-02,44.38,414900.0,44.88,43.63,43.38
1998-06-03,43.5,485900.0,43.75,43.5,43.31
1998-06-04,43.5,322100.0,43.5,43.25,42.88
