date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,36.0,20.0,36.0,36.0,36.0
1998-01-05,36.0,7210.0,36.0,35.75,35.75
1998-01-06,36.13,15605.0,36.13,35.13,35.13
1998-01-07,35.63,67516.0,35.88,35.88,35.13
1998-01-08,35.88,10864.0,35.88,35.5,35.13
1998-01-09,35.31,2133.0,35.5,35.31,35.13
1998-01-12,35.13,6677.0,35.25,35.25,35.13
1998-01-13,34.94,9363.0,35.75,35.75,34.81
1998-01-14,35.06,849.0,35.25,35.25,35.0
1998-01-15,35.75,8494.0,35.75,34.75,34.75
1998-01-16,35.0,9995.0,35.0,34.94,34.56
1998-01-20,34.75,6044.0,35.38,35.25,34.63
1998-01-21,35.0,35911.0,35.75,35.06,34.75
1998-01-22,35.31,4365.0,35.75,35.31,34.88
1998-01-23,35.0,18212.0,35.13,35.0,35.0
1998-01-26,35.0,30281.0,35.16,35.13,34.97
1998-01-27,34.75,474.0,35.25,35.25,34.75
1998-01-28,34.75,57126.0,35.5,35.13,34.75
1998-01-29,35.13,54380.0,35.5,35.5,35.0
1998-01-30,35.25,56099.0,35.75,35.75,35.0
1998-02-02,35.75,3299.0,35.75,35.75,35.06
1998-02-03,35.75,19062.0,35.75,35.38,35.38
1998-02-04,35.38,15605.0,35.5,35.38,35.38
1998-02-05,35.5,5590.0,35.5,35.0,35.0
1998-02-06,34.5,12820.0,34.75,34.31,34.0
1998-02-09,34.0,69847.0,34.5,34.38,33.63
1998-02-10,34.38,10983.0,35.25,35.25,34.31
1998-02-11,34.75,1481.0,35.25,35.25,34.75
1998-02-12,34.25,9936.0,34.38,34.25,34.25
1998-02-13,35.03,593.0,35.03,34.81,34.81
1998-02-17,34.38,9067.0,35.25,34.25,34.0
1998-02-18,34.0,12583.0,34.5,33.75,33.5
1998-02-19,33.25,5788.0,33.38,33.38,33.25
1998-02-20,33.0,3299.0,33.06,33.0,33.0
1998-02-23,33.25,22519.0,33.56,33.56,33.0
1998-02-24,33.5,4938.0,33.5,33.5,33.44
1998-02-25,34.25,106015.0,34.25,33.88,33.88
1998-02-26,34.13,37630.0,34.38,33.88,33.88
1998-02-27,33.69,11279.0,34.0,34.0,33.63
1998-03-02,33.75,23862.0,34.25,34.0,33.75
1998-03-03,33.75,62795.0,33.75,33.25,32.63
1998-03-04,33.0,5215.0,34.0,33.06,33.0
1998-03-05,32.25,49956.0,33.25,32.19,32.13
1998-03-06,32.13,20089.0,33.0,32.0,31.37
1998-03-09,33.0,9936.0,33.0,33.0,31.5
1998-03-10,32.75,16632.0,33.25,33.25,32.75
1998-03-11,33.25,20089.0,33.5,33.5,32.88
1998-03-12,33.5,8672.0,33.5,33.5,33.5
1998-03-13,34.75,16731.0,34.94,34.0,33.75
1998-03-16,34.0,62795.0,36.5,36.5,34.0
1998-03-17,37.0,18351.0,37.0,35.0,35.0
1998-03-18,35.0,66943.0,36.25,36.25,34.75
1998-03-19,36.13,130035.0,36.25,35.69,35.63
1998-03-20,35.63,2133.0,36.38,36.0,35.63
1998-03-23,35.75,295348.0,36.0,36.0,35.63
1998-03-24,35.63,20089.0,36.25,35.75,35.63
1998-03-25,36.25,3081.0,36.25,36.25,36.25
1998-03-26,36.25,21057.0,36.25,35.13,34.75
1998-03-27,35.0,1023842.0,36.06,36.0,35.0
1998-03-30,35.75,75911.0,36.0,35.0,34.25
1998-03-31,35.5,3513007.0,37.63,37.5,35.0
1998-04-01,37.5,404523.0,38.23,37.63,36.88
1998-04-02,38.0,81778.0,38.13,37.94,37.13
1998-04-03,37.94,103881.0,38.0,37.13,37.13
