date,1. open,5. volume,2. high,4. close,3. low
2002-02-25,40.62,64992.0,42.2,42.2,40.6
2002-02-26,41.95,754549.0,43.7,43.55,41.65
2002-02-27,43.61,254810.0,43.7,43.5,42.86
2002-02-28,43.1,358359.0,43.1,42.95,42.92
2002-03-01,42.85,94630.0,42.85,42.0,41.45
2002-03-04,42.2,19089.0,42.3,42.3,41.75
2002-03-05,42.19,75540.0,42.29,40.1,40.0
2002-03-06,39.5,59360.0,39.85,39.7,39.0
2002-03-07,40.5,40992.0,40.5,40.3,39.85
2002-03-08,40.4,12267.0,40.4,40.25,40.05
2002-03-11,40.4,57905.0,40.4,39.99,39.75
2002-03-12,40.05,53902.0,40.84,40.84,39.95
2002-03-13,40.75,59817.0,41.4,40.6,40.5
2002-03-14,40.61,45542.0,40.9,40.9,40.55
2002-03-15,40.15,36730.0,41.17,41.12,40.0
2002-03-18,41.6,24000.0,41.67,41.6,41.02
2002-03-19,41.38,7639.0,41.7,41.4,41.38
2002-03-20,41.55,60087.0,41.55,41.42,41.2
2002-03-21,40.75,66548.0,40.75,39.9,39.75
2002-03-22,39.4,105821.0,39.67,39.67,39.29
2002-03-25,39.42,23904.0,39.61,39.4,39.4
2002-03-26,39.6,38996.0,40.0,39.81,39.6
2002-03-27,39.8,5458.0,40.5,40.5,39.8
2002-03-28,40.75,44177.0,40.75,40.1,39.8
2002-04-01,40.0,3540.0,41.2,41.2,40.0
2002-04-02,40.76,51721.0,41.55,40.7,40.63
2002-04-03,40.95,40727.0,40.95,39.2,39.2
2002-04-04,39.1,144541.0,40.4,40.4,39.1
2002-04-05,40.3,52730.0,40.95,40.8,40.3
2002-04-08,40.25,29999.0,40.85,40.85,40.25
2002-04-09,41.0,35540.0,42.4,42.15,41.0
2002-04-10,42.16,72811.0,43.77,43.75,42.16
2002-04-11,43.82,115360.0,43.97,43.2,43.2
2002-04-12,43.21,16992.0,43.21,42.8,42.6
2002-04-15,42.1,14449.0,42.1,41.22,41.19
2002-04-16,41.55,116268.0,41.55,40.5,39.9
2002-04-17,40.55,26813.0,41.1,40.5,40.5
2002-04-18,40.5,50548.0,40.7,40.5,39.9
2002-04-19,40.5,78185.0,40.6,40.6,40.3
2002-04-22,40.3,166083.0,40.4,40.25,39.89
2002-04-23,40.15,182359.0,40.35,40.1,40.1
2002-04-24,40.2,2633.0,40.2,40.05,39.9
2002-04-25,39.2,71357.0,39.3,39.25,39.1
