date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,18.75,27500.0,18.88,18.63,18.56
1998-01-05,18.75,81100.0,18.88,18.69,18.5
1998-01-06,18.69,99000.0,18.75,18.75,18.38
1998-01-07,18.75,92600.0,18.75,18.31,18.25
1998-01-08,18.38,90700.0,18.38,18.38,18.25
1998-01-09,18.13,220000.0,18.31,17.5,17.5
1998-01-12,17.75,38800.0,17.75,17.5,17.38
1998-01-13,17.5,80800.0,18.0,17.75,17.5
1998-01-14,17.75,159800.0,18.0,17.75,17.63
1998-01-15,18.0,41100.0,18.0,17.69,17.63
1998-01-16,17.94,115200.0,18.0,18.0,17.63
1998-01-20,18.0,77600.0,18.25,18.06,17.94
1998-01-21,18.13,54900.0,18.5,17.88,17.88
1998-01-22,17.88,196600.0,18.5,18.19,17.75
1998-01-23,18.5,71900.0,18.5,18.31,18.19
1998-01-26,18.13,68700.0,18.5,18.31,18.13
1998-01-27,18.25,306600.0,20.13,19.5,18.25
1998-01-28,19.75,1029900.0,24.25,23.88,19.75
1998-01-29,22.88,735700.0,23.75,21.75,21.63
1998-01-30,21.75,190000.0,22.44,22.0,21.13
1998-02-02,22.5,601200.0,24.25,24.0,22.25
1998-02-03,23.75,615000.0,25.5,25.13,23.38
1998-02-04,25.0,1150700.0,26.63,26.0,23.88
1998-02-05,26.13,776600.0,27.13,26.63,26.0
1998-02-06,26.5,498600.0,26.5,25.19,25.13
1998-02-09,25.63,928800.0,26.75,26.5,25.38
1998-02-10,26.5,388100.0,26.75,26.38,25.88
1998-02-11,26.13,240000.0,26.63,26.38,25.75
1998-02-12,26.13,575200.0,27.38,26.94,26.13
1998-02-13,26.88,335100.0,27.25,27.0,26.75
1998-02-17,27.0,129000.0,27.19,25.75,25.75
1998-02-18,25.75,204900.0,26.75,26.25,25.75
1998-02-19,26.13,156300.0,26.25,25.44,25.25
1998-02-20,25.38,272300.0,26.63,25.63,25.25
1998-02-23,25.5,69900.0,26.25,26.0,25.5
1998-02-24,25.88,245800.0,26.0,25.13,24.25
1998-02-25,25.0,278800.0,26.25,25.81,25.0
1998-02-26,25.75,116500.0,26.88,26.63,25.63
1998-02-27,26.94,226000.0,27.75,26.75,26.63
1998-03-02,26.88,348700.0,28.0,26.88,26.63
1998-03-03,26.63,131900.0,27.0,27.0,26.0
1998-03-04,26.5,75000.0,26.94,26.88,26.0
1998-03-05,26.5,324200.0,27.0,26.38,26.25
1998-03-06,26.25,146800.0,28.06,28.06,26.25
1998-03-09,27.69,306100.0,28.5,27.56,27.56
1998-03-10,27.88,355300.0,27.94,27.0,26.69
