date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,44.75,3081800.0,44.88,44.75,43.44
1998-01-05,44.75,2996400.0,45.5,45.5,44.56
1998-01-06,45.13,3807200.0,45.63,45.5,44.88
1998-01-07,45.0,2276800.0,45.13,44.56,44.31
1998-01-08,44.5,2373200.0,44.69,44.38,43.5
1998-01-09,44.5,3286600.0,45.06,43.0,42.56
1998-01-12,42.5,2067800.0,44.19,44.13,42.38
1998-01-13,45.0,2164400.0,45.0,44.69,43.88
1998-01-14,44.94,1660800.0,44.94,44.88,43.69
1998-01-15,44.75,1738400.0,45.5,45.38,44.44
1998-01-16,45.81,2115400.0,45.94,44.63,44.5
1998-01-20,44.69,2164800.0,45.81,45.69,44.25
1998-01-21,45.56,2395400.0,45.56,44.69,43.94
1998-01-22,44.5,2105800.0,44.63,44.0,43.19
1998-01-23,43.75,2833200.0,44.75,44.31,42.38
1998-01-26,43.88,2055400.0,44.0,43.81,43.38
1998-01-27,43.81,3661600.0,44.38,43.38,43.25
1998-01-28,43.63,2051000.0,44.06,43.88,43.31
1998-01-29,44.0,3845800.0,44.75,44.44,43.94
1998-01-30,44.5,2600600.0,44.56,44.38,44.25
1998-02-02,44.5,2250200.0,45.13,44.94,44.5
1998-02-03,44.69,3336800.0,46.06,45.94,44.63
1998-02-04,45.94,2426800.0,46.81,46.0,45.63
1998-02-05,45.94,1727200.0,46.13,46.06,45.44
1998-02-06,46.0,1657200.0,46.38,46.38,45.75
1998-02-09,46.19,995600.0,46.25,46.0,45.75
1998-02-10,46.0,1800400.0,46.38,46.25,45.81
1998-02-11,46.5,1818800.0,46.94,45.5,45.25
1998-02-12,45.5,1759800.0,46.94,46.81,45.25
1998-02-13,46.81,1984600.0,46.94,46.94,46.38
1998-02-17,47.0,1967000.0,48.13,47.44,47.0
1998-02-18,47.56,1807600.0,48.44,48.31,47.38
1998-02-19,48.13,2537400.0,48.81,48.75,47.75
1998-02-20,48.38,1676800.0,48.44,47.81,47.06
1998-02-23,48.0,1572200.0,48.06,47.31,47.0
1998-02-24,47.56,2275000.0,48.56,48.56,47.25
1998-02-25,48.5,1654200.0,49.06,48.31,48.13
1998-02-26,48.31,1526400.0,49.5,49.5,47.75
1998-02-27,49.5,2319800.0,50.75,50.63,49.38
1998-03-02,50.0,2304400.0,50.75,50.75,49.25
1998-03-03,51.0,18482200.0,53.0,52.38,51.0
1998-03-04,52.38,5272800.0,53.31,52.94,52.13
1998-03-05,52.0,2825800.0,52.75,52.44,51.88
1998-03-06,52.56,3925400.0,53.25,53.0,52.31
1998-03-09,52.5,3049600.0,52.94,52.25,51.88
1998-03-10,52.44,2297200.0,53.13,52.75,52.44
1998-03-11,52.88,1404000.0,53.0,52.75,52.56
1998-03-12,53.63,3187600.0,54.25,53.63,53.38
1998-03-13,53.94,7138600.0,54.63,54.38,53.63
1998-03-16,54.75,3207000.0,56.31,56.0,54.75
1998-03-17,56.31,3382800.0,56.44,55.63,55.19
1998-03-18,54.75,3135600.0,55.31,55.0,54.44
1998-03-19,54.75,1394800.0,55.5,55.44,54.63
1998-03-20,56.0,3464800.0,56.94,56.5,55.5
1998-03-23,56.31,1993400.0,56.69,55.81,55.69
1998-03-24,55.94,2825800.0,56.06,55.63,55.56
1998-03-25,56.13,3664000.0,57.44,56.38,55.56
1998-03-26,56.44,2616600.0,57.0,56.06,55.13
1998-03-27,56.75,1987800.0,57.19,55.31,54.75
1998-03-30,55.44,2584000.0,55.5,53.75,53.5
1998-03-31,54.0,2531000.0,55.25,54.63,54.0
1998-04-01,54.5,2587800.0,56.44,56.13,54.0
1998-04-02,55.63,1733600.0,56.19,55.94,55.13
1998-04-03,55.94,3213400.0,55.94,54.0,53.5
1998-04-06,54.0,4331800.0,54.25,53.81,53.56
1998-04-07,53.56,2619000.0,53.69,53.06,52.88
1998-04-08,52.75,2343000.0,53.44,53.31,52.69
1998-04-09,53.56,1451200.0,54.31,54.0,53.38
1998-04-13,54.13,1795200.0,54.13,52.75,52.44
1998-04-14,53.13,2818600.0,54.25,54.0,53.0
1998-04-15,54.0,1757600.0,54.94,54.81,53.5
1998-04-16,54.5,2333800.0,54.5,53.75,53.31
1998-04-17,53.75,1743200.0,53.75,53.31,53.19
1998-04-20,54.0,2358000.0,55.56,55.13,53.75
1998-04-21,56.0,2512000.0,56.75,56.13,55.88
1998-04-22,56.13,1759400.0,57.13,56.56,56.13
1998-04-23,56.25,1817200.0,57.13,56.19,55.5
1998-04-24,54.0,3860600.0,56.13,55.75,54.0
1998-04-27,55.0,2489600.0,55.06,53.88,52.88
1998-04-28,54.38,2882200.0,54.44,52.56,52.0
1998-04-29,52.81,2092800.0,53.81,52.69,52.38
1998-04-30,53.19,2300800.0,55.25,54.63,53.0
1998-05-01,54.88,1962000.0,55.88,55.69,54.63
1998-05-04,55.44,2266200.0,56.38,54.88,54.25
1998-05-05,54.38,1788200.0,54.88,54.0,53.63
1998-05-06,53.13,3129600.0,53.5,52.88,52.69
1998-05-07,52.81,1980600.0,52.88,51.94,51.56
1998-05-08,52.19,3816800.0,52.38,51.88,51.81
1998-05-11,51.94,1708600.0,52.25,51.56,51.44
1998-05-12,51.5,4578800.0,53.25,53.25,51.5
1998-05-13,53.25,2391800.0,53.88,53.06,52.88
1998-05-14,53.31,2040200.0,53.44,53.0,52.56
1998-05-15,53.25,2324600.0,53.56,52.88,52.56
1998-05-18,53.75,3480800.0,54.5,54.19,53.25
1998-05-19,54.56,2951800.0,56.06,55.63,54.25
1998-05-20,56.25,2220000.0,56.75,56.69,55.75
1998-05-21,56.75,2452600.0,57.13,56.44,55.81
1998-05-22,56.69,1077400.0,56.69,55.69,55.69
1998-05-26,54.38,10848000.0,54.38,53.75,52.63
1998-05-27,53.19,5806800.0,53.94,53.88,52.5
1998-05-28,53.94,7694200.0,55.81,55.81,52.81
1998-05-29,55.88,4174600.0,56.0,55.38,55.25
1998-06-01,55.25,3888400.0,55.5,54.5,54.0
1998-06-02,55.0,3771800.0,55.0,54.38,54.25
1998-06-03,54.5,3033800.0,54.56,53.06,52.81
1998-06-04,53.06,2926400.0,54.06,54.0,52.5
1998-06-05,54.25,3052800.0,54.94,54.56,53.44
1998-06-08,54.38,2865400.0,54.94,54.81,54.38
1998-06-09,54.81,3336000.0,55.0,54.69,54.56
1998-06-10,54.62,2882600.0,55.75,55.25,54.37
1998-06-11,55.19,2888600.0,55.19,53.94,53.69
1998-06-12,54.0,3300200.0,55.5,55.38,53.81
1998-06-15,54.88,3022600.0,54.88,54.63,53.88
1998-06-16,54.25,4630800.0,55.69,55.69,53.81
1998-06-17,56.13,8000000.0,58.13,58.06,56.0
1998-06-18,58.06,6591000.0,59.75,59.63,57.81
1998-06-19,59.81,3281400.0,60.0,59.19,58.25
1998-06-22,59.75,3997800.0,61.81,61.56,59.56
1998-06-23,61.5,3807600.0,61.88,60.44,60.25
1998-06-24,60.5,3141400.0,61.25,60.5,59.94
1998-06-25,60.25,4545000.0,61.63,61.06,59.63
1998-06-26,61.75,4188200.0,62.75,61.81,61.69
1998-06-29,61.94,3619600.0,62.0,61.56,61.13
1998-06-30,61.5,3275600.0,63.06,63.0,61.5
1998-07-01,65.25,6178200.0,65.25,64.75,64.31
1998-07-02,65.0,2499200.0,65.0,64.44,64.06
1998-07-06,65.25,2228800.0,65.5,64.19,64.0
1998-07-07,64.38,2585200.0,64.5,63.19,62.75
1998-07-08,63.19,1994200.0,64.13,64.0,63.13
1998-07-09,64.25,1889600.0,65.13,64.06,63.75
1998-07-10,64.31,2729800.0,64.94,64.25,64.0
1998-07-13,64.5,2628400.0,66.5,65.44,64.5
1998-07-14,66.25,3491400.0,68.5,67.19,66.13
1998-07-15,67.75,4177400.0,67.75,66.81,66.13
1998-07-16,67.06,4315400.0,69.0,68.56,67.06
1998-07-17,68.56,4182600.0,68.94,67.56,67.25
