date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,65.06,2328200.0,65.19,65.06,64.63
1998-01-05,65.31,2654100.0,65.44,65.0,64.44
1998-01-06,64.63,2485700.0,64.69,64.0,63.38
1998-01-07,63.5,1884100.0,64.63,64.63,63.5
1998-01-08,64.94,3043900.0,65.81,65.38,64.56
1998-01-09,65.0,3459600.0,65.94,64.63,64.19
1998-01-12,63.56,3863400.0,66.19,65.94,63.5
1998-01-13,66.0,3147300.0,66.69,66.38,65.69
1998-01-14,66.25,2493500.0,66.81,66.5,65.94
1998-01-15,66.13,2231600.0,66.38,65.69,65.5
1998-01-16,66.06,3671200.0,68.5,67.75,66.0
1998-01-20,67.94,3004200.0,69.44,69.31,67.06
1998-01-21,68.69,2802800.0,68.81,68.13,67.06
1998-01-22,67.5,2205600.0,68.0,67.25,66.69
1998-01-23,67.19,1747800.0,67.5,66.88,66.63
1998-01-26,66.94,1447400.0,67.94,67.19,66.75
1998-01-27,67.13,2239700.0,68.5,67.44,67.06
1998-01-28,67.81,2248000.0,68.19,66.88,66.69
1998-01-29,66.63,2473900.0,67.25,66.88,66.13
1998-01-30,66.94,1982700.0,67.56,66.94,66.38
1998-02-02,68.5,2336900.0,69.19,68.81,68.5
1998-02-03,68.81,2367400.0,69.5,69.5,68.31
1998-02-04,69.25,2102300.0,69.25,68.63,68.5
1998-02-05,69.19,1832700.0,69.44,68.88,68.25
1998-02-06,69.31,1738700.0,69.88,69.75,69.13
1998-02-09,69.81,1971200.0,69.81,68.88,68.44
1998-02-10,68.94,1801700.0,70.0,69.75,68.94
1998-02-11,69.88,1481900.0,69.94,69.19,69.19
1998-02-12,69.19,1769700.0,69.69,69.56,68.5
1998-02-13,68.06,1659200.0,69.31,69.06,68.06
1998-02-17,69.5,2123400.0,69.75,69.5,68.75
1998-02-18,69.75,2361500.0,70.5,70.5,69.69
1998-02-19,70.5,1831900.0,70.56,70.56,69.88
1998-02-20,70.56,2363900.0,70.56,70.06,68.88
1998-02-23,70.5,2795500.0,72.19,72.0,70.0
1998-02-24,71.63,3583900.0,73.75,73.13,71.13
1998-02-25,73.63,2565500.0,74.69,74.25,73.56
1998-02-26,74.94,2402500.0,75.25,74.38,73.94
1998-02-27,74.5,2307700.0,75.5,75.38,74.44
1998-03-02,75.19,1589500.0,75.56,74.75,74.5
1998-03-03,74.88,2170400.0,75.25,74.5,74.19
1998-03-04,74.06,1911300.0,74.19,73.31,72.31
1998-03-05,73.0,2319400.0,73.25,72.25,71.75
1998-03-06,72.38,2288000.0,74.0,73.88,72.25
1998-03-09,74.0,1681900.0,74.44,74.19,73.63
1998-03-10,74.56,1804900.0,75.31,75.0,74.56
1998-03-11,75.25,1855300.0,76.0,75.94,75.13
1998-03-12,75.81,1383300.0,76.0,76.0,75.56
1998-03-13,76.0,1648500.0,76.44,75.13,74.88
1998-03-16,75.25,1893100.0,75.5,74.88,74.5
1998-03-17,75.06,1453700.0,75.31,75.06,74.63
1998-03-18,75.63,1764200.0,75.63,74.81,74.44
1998-03-19,74.56,1504200.0,74.81,74.5,73.94
1998-03-20,75.06,2716500.0,75.75,75.75,74.38
1998-03-23,75.06,2043000.0,75.13,74.19,74.13
1998-03-24,74.38,1718900.0,74.63,73.88,73.69
1998-03-25,74.0,2668900.0,74.13,73.19,71.06
1998-03-26,73.06,1593000.0,73.44,72.69,72.69
1998-03-27,73.81,2021400.0,73.81,71.5,71.19
1998-03-30,71.75,1702100.0,72.63,71.69,71.56
1998-03-31,72.88,1966000.0,73.75,73.44,72.44
1998-04-01,73.31,2332900.0,73.5,73.38,72.31
1998-04-02,74.44,3521600.0,76.38,76.25,74.31
1998-04-03,76.5,2750800.0,77.5,77.0,75.56
1998-04-06,77.5,2071700.0,77.5,76.19,75.69
1998-04-07,75.75,1844400.0,75.81,75.25,74.63
1998-04-08,75.5,1723700.0,75.56,73.69,73.5
1998-04-09,74.5,1172400.0,74.94,74.44,73.88
1998-04-13,74.31,1422900.0,74.31,73.75,72.88
1998-04-14,73.75,2105200.0,73.75,72.56,72.13
1998-04-15,72.38,3455600.0,72.44,71.56,70.44
1998-04-16,70.75,4262500.0,70.88,70.0,69.81
1998-04-17,70.44,2999600.0,72.75,72.56,70.25
1998-04-20,72.31,2332700.0,72.31,71.38,70.88
1998-04-21,70.13,2967900.0,72.06,70.75,70.06
1998-04-22,70.63,1924800.0,71.5,71.38,70.5
1998-04-23,70.25,2182100.0,71.88,70.88,70.13
1998-04-24,70.81,2079900.0,71.06,70.63,69.94
1998-04-27,69.88,2637200.0,70.44,69.38,68.31
1998-04-28,69.75,2419100.0,69.88,69.0,68.06
1998-04-29,69.75,1996100.0,69.94,69.19,68.75
1998-04-30,69.88,2554800.0,72.0,71.5,69.63
