date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,49.13,964800.0,49.88,49.81,49.13
1998-01-05,49.56,1659700.0,50.06,49.0,48.38
1998-01-06,49.0,2299900.0,49.0,48.25,48.0
1998-01-07,47.75,1547800.0,49.5,49.25,47.75
1998-01-08,48.94,1180700.0,49.06,48.56,48.5
1998-01-09,48.06,1312100.0,48.5,47.5,47.0
1998-01-12,46.75,1506100.0,50.25,50.0,46.75
1998-01-13,51.56,2603600.0,52.31,52.25,51.19
1998-01-14,52.13,2121400.0,52.13,51.25,51.06
1998-01-15,51.06,1278200.0,51.31,50.75,50.19
1998-01-16,51.44,2495700.0,51.94,51.94,51.06
1998-01-20,51.94,1345200.0,53.0,52.88,51.94
1998-01-21,52.75,1908500.0,53.13,53.06,51.5
1998-01-22,53.06,3159700.0,54.25,53.19,53.0
1998-01-23,53.19,1867700.0,53.5,52.94,52.38
1998-01-26,53.0,1075400.0,53.13,52.69,52.5
1998-01-27,52.63,2210500.0,52.75,52.38,51.31
1998-01-28,52.94,1760300.0,53.44,52.88,52.5
1998-01-29,52.63,1107200.0,53.5,53.06,52.63
1998-01-30,53.06,1183200.0,53.25,52.19,52.0
1998-02-02,53.0,1176100.0,54.19,54.19,52.94
1998-02-03,53.94,709600.0,54.38,54.25,53.75
1998-02-04,54.06,875100.0,54.69,54.5,54.0
1998-02-05,54.88,1287800.0,55.25,55.25,54.63
1998-02-06,55.44,1422200.0,55.63,54.88,54.56
1998-02-09,54.88,572400.0,54.94,54.25,53.88
1998-02-10,54.19,878700.0,54.69,53.94,53.75
1998-02-11,54.25,1200200.0,54.25,53.13,52.56
1998-02-12,53.06,1463200.0,54.31,53.94,52.56
1998-02-13,53.5,818300.0,54.88,54.5,53.13
1998-02-17,54.38,793000.0,55.19,54.38,54.13
1998-02-18,54.13,1151500.0,55.56,55.44,54.06
1998-02-19,55.63,913200.0,56.0,55.38,55.25
1998-02-20,55.13,1743300.0,55.5,55.0,54.13
1998-02-23,54.88,939400.0,55.06,54.81,54.44
1998-02-24,54.88,823800.0,55.06,54.38,54.06
1998-02-25,54.63,896200.0,55.44,55.06,54.13
1998-02-26,55.25,1127800.0,56.06,55.94,55.06
1998-02-27,56.0,1008300.0,56.25,55.69,55.0
1998-03-02,55.75,917300.0,56.44,56.13,55.5
1998-03-03,55.88,1026600.0,57.06,56.81,55.88
1998-03-04,56.75,1049200.0,57.19,57.19,56.25
1998-03-05,56.94,1374400.0,57.38,56.56,56.13
1998-03-06,56.63,1324600.0,57.56,57.38,56.63
1998-03-09,57.19,1159800.0,57.94,57.5,57.19
1998-03-10,57.63,1540100.0,58.69,58.69,57.5
1998-03-11,58.75,735900.0,59.44,58.94,58.63
1998-03-12,57.0,1923600.0,57.25,57.13,56.56
1998-03-13,51.13,13895000.0,51.63,50.69,49.75
1998-03-16,50.5,4926600.0,51.0,50.31,50.13
1998-03-17,50.0,4686000.0,50.13,49.56,49.19
1998-03-18,49.5,5646000.0,50.31,50.19,49.38
1998-03-19,50.19,2422100.0,51.13,50.0,49.88
1998-03-20,50.44,2319700.0,50.5,49.81,49.63
1998-03-23,49.94,2160200.0,50.63,49.94,49.44
1998-03-24,50.13,2070000.0,50.63,50.38,49.63
1998-03-25,50.13,2732100.0,50.19,50.06,49.69
1998-03-26,49.69,2078400.0,50.06,49.63,49.5
1998-03-27,49.75,1861800.0,50.13,49.69,49.56
1998-03-30,50.13,1838800.0,50.25,50.13,49.88
1998-03-31,50.06,2772500.0,51.0,50.13,50.06
1998-04-01,50.38,2197500.0,50.38,50.0,49.63
1998-04-02,50.0,2571100.0,51.0,50.94,49.25
1998-04-03,50.75,1756100.0,50.75,50.19,50.0
1998-04-06,50.31,1538300.0,50.88,50.38,50.06
1998-04-07,50.13,2163000.0,50.19,49.88,49.5
1998-04-08,49.88,2567500.0,49.94,48.69,48.38
1998-04-09,49.06,2373000.0,49.38,48.44,48.06
1998-04-13,48.44,3219700.0,48.44,48.0,47.25
1998-04-14,48.0,3910700.0,49.38,49.31,48.0
1998-04-15,49.31,3160900.0,49.88,49.06,48.5
1998-04-16,49.0,1375000.0,49.19,48.5,48.44
1998-04-17,48.88,1538600.0,49.19,49.19,48.25
1998-04-20,48.38,1720300.0,49.0,48.69,48.38
1998-04-21,49.25,2484400.0,50.75,50.31,49.13
1998-04-22,50.25,2255100.0,50.94,50.06,50.0
1998-04-23,50.06,2635700.0,51.94,51.06,50.06
1998-04-24,51.94,1752500.0,52.0,51.06,50.94
1998-04-27,50.5,2245700.0,50.69,49.88,49.56
1998-04-28,49.94,1400300.0,50.38,49.63,49.38
1998-04-29,49.75,1353700.0,49.88,49.81,49.25
1998-04-30,50.5,2332500.0,51.38,50.75,50.38
1998-05-01,50.63,1649600.0,50.75,50.0,49.75
1998-05-04,50.0,1452300.0,51.13,50.75,49.88
1998-05-05,50.75,1798300.0,51.63,51.19,50.5
1998-05-06,51.06,1273700.0,51.19,50.31,50.13
1998-05-07,50.5,1441200.0,50.5,50.0,49.75
1998-05-08,49.75,1828300.0,50.5,50.0,49.75
1998-05-11,50.0,1808800.0,51.19,50.63,49.94
1998-05-12,50.88,1971000.0,52.44,52.13,50.69
1998-05-13,51.75,1311500.0,52.06,51.69,50.94
1998-05-14,51.56,964100.0,52.0,51.0,50.94
1998-05-15,51.0,1303300.0,51.0,50.5,50.31
1998-05-18,50.56,946400.0,51.75,51.06,50.5
1998-05-19,51.06,732700.0,51.13,50.88,50.38
1998-05-20,50.88,2377400.0,51.56,51.56,50.0
1998-05-21,51.5,958600.0,51.5,51.38,51.0
1998-05-22,51.13,970400.0,51.25,50.88,50.38
1998-05-26,50.75,1148600.0,51.56,50.13,50.06
1998-05-27,49.94,1800200.0,50.25,50.19,49.88
1998-05-28,50.0,1117400.0,50.56,50.0,49.94
1998-05-29,50.25,1509800.0,50.25,49.56,49.56
1998-06-01,49.5,1707600.0,50.81,50.81,49.06
1998-06-02,50.56,1014600.0,50.63,50.06,49.88
1998-06-03,49.75,1247400.0,50.19,49.5,49.38
1998-06-04,49.06,1750500.0,49.38,48.88,48.81
1998-06-05,48.94,1047900.0,50.31,50.19,48.88
1998-06-08,50.0,1340200.0,50.13,49.81,49.81
1998-06-09,49.75,1262800.0,50.0,49.13,48.88
1998-06-10,48.88,1650900.0,49.38,48.25,48.0
1998-06-11,48.0,1512300.0,48.0,47.19,47.0
1998-06-12,46.88,1858400.0,47.31,46.88,46.0
1998-06-15,45.38,1140900.0,46.75,45.63,45.38
1998-06-16,45.94,1794500.0,46.0,44.88,44.88
1998-06-17,44.88,1072200.0,46.69,46.5,44.88
1998-06-18,46.38,867000.0,46.88,46.5,46.0
1998-06-19,46.38,1113700.0,46.69,45.88,45.75
1998-06-22,45.63,875600.0,46.38,45.81,45.63
1998-06-23,45.94,917800.0,46.63,46.0,45.69
1998-06-24,46.0,1419400.0,46.44,46.13,45.13
1998-06-25,46.31,1856800.0,46.38,45.31,45.0
1998-06-26,45.0,1983600.0,45.06,44.75,44.44
1998-06-29,45.25,1574600.0,45.31,44.88,44.75
1998-06-30,44.75,1377300.0,46.31,45.88,44.75
1998-07-01,46.13,1556400.0,47.25,47.0,46.0
1998-07-02,46.44,1183000.0,47.56,47.44,46.31
1998-07-06,47.44,748000.0,48.25,48.25,47.38
1998-07-07,48.25,933400.0,48.38,48.0,47.81
1998-07-08,47.75,1134300.0,48.38,48.25,47.25
1998-07-09,47.5,3051300.0,47.75,46.63,46.63
1998-07-10,46.63,1193200.0,46.75,46.69,46.13
1998-07-13,46.13,1515300.0,46.69,45.44,45.19
1998-07-14,45.5,955000.0,46.19,45.56,45.38
1998-07-15,47.19,2513100.0,48.38,48.25,46.81
1998-07-16,48.25,1046100.0,48.44,48.44,47.75
1998-07-17,48.5,1819300.0,48.75,48.0,47.56
1998-07-20,48.0,1112200.0,49.44,49.06,48.0
1998-07-21,48.81,1827800.0,49.13,48.25,48.19
1998-07-22,48.0,1447800.0,48.25,47.38,47.25
1998-07-23,46.88,1474600.0,47.38,46.69,46.56
1998-07-24,47.94,1307600.0,47.94,45.75,45.69
1998-07-27,45.75,2389400.0,47.13,47.06,45.75
1998-07-28,46.81,2603000.0,47.5,47.0,46.75
1998-07-29,47.5,1193800.0,47.5,47.06,46.75
1998-07-30,47.0,1893800.0,47.69,47.25,47.0
1998-07-31,47.13,3743300.0,47.25,44.94,44.19
1998-08-03,44.94,2738800.0,45.81,44.31,44.31
1998-08-04,44.63,3201600.0,45.38,42.38,42.31
1998-08-05,42.31,2663700.0,43.0,42.0,40.88
1998-08-06,41.75,1302900.0,41.88,41.25,41.0
1998-08-07,41.44,1220200.0,42.88,42.19,41.31
1998-08-10,42.0,856800.0,42.25,42.0,41.63
1998-08-11,41.5,1741800.0,42.31,41.63,41.19
1998-08-12,41.5,1071200.0,42.31,41.81,41.19
1998-08-13,41.75,1115300.0,42.06,40.44,40.38
1998-08-14,41.5,1142200.0,41.75,40.75,40.75
1998-08-17,40.06,1253400.0,42.5,42.0,40.06
1998-08-18,42.0,1262400.0,42.38,41.81,41.0
1998-08-19,41.69,1581200.0,42.06,40.13,40.13
1998-08-20,40.13,2110200.0,40.38,39.69,39.63
1998-08-21,39.44,1730600.0,40.88,40.5,39.44
1998-08-24,40.06,1590100.0,41.19,41.0,40.06
1998-08-25,40.94,1539800.0,41.75,41.38,40.88
1998-08-26,41.0,1519500.0,41.5,40.94,40.31
1998-08-27,40.25,2591600.0,40.88,39.06,38.88
1998-08-28,39.13,1467600.0,39.94,39.5,39.06
1998-08-31,39.75,1537100.0,40.25,38.06,37.94
1998-09-01,38.31,2696600.0,38.94,37.63,35.88
1998-09-02,36.94,1716900.0,39.19,38.0,36.88
1998-09-03,38.0,1125600.0,38.56,38.38,37.81
1998-09-04,38.38,1427400.0,39.31,38.38,37.44
1998-09-08,38.88,1511400.0,40.31,40.25,38.63
1998-09-09,40.25,2780200.0,40.25,38.0,37.5
1998-09-10,37.88,1184000.0,37.88,37.38,36.81
1998-09-11,37.0,1055200.0,37.94,37.88,36.44
1998-09-14,38.5,1433300.0,39.31,38.31,38.25
1998-09-15,38.25,1166400.0,39.69,39.69,37.94
1998-09-16,39.63,1391300.0,40.56,40.31,39.13
1998-09-17,39.25,1548400.0,40.13,38.81,38.63
1998-09-18,38.69,2590200.0,38.81,37.88,37.75
1998-09-21,37.44,1205900.0,39.31,38.75,36.94
1998-09-22,38.63,1372600.0,39.25,39.13,38.25
1998-09-23,40.0,1736400.0,41.25,40.94,39.38
1998-09-24,39.75,1788800.0,42.13,41.63,39.75
1998-09-25,41.38,1497500.0,44.25,42.5,41.13
1998-09-28,42.81,1099500.0,43.38,42.13,41.81
1998-09-29,42.38,1023200.0,43.19,43.06,42.06
1998-09-30,43.06,1095600.0,43.06,40.5,40.38
1998-10-01,39.5,1111200.0,40.81,40.31,39.44
1998-10-02,40.44,1194200.0,43.63,43.44,40.44
1998-10-05,43.06,1201500.0,43.13,43.0,41.88
1998-10-06,43.0,1103400.0,43.5,43.44,41.69
1998-10-07,43.56,1266100.0,43.94,42.06,41.75
1998-10-08,41.94,1710700.0,44.0,43.0,41.0
1998-10-09,43.0,1818500.0,45.19,45.06,43.0
1998-10-12,45.31,1486300.0,46.44,45.88,45.25
1998-10-13,46.13,1419800.0,46.13,45.38,44.56
1998-10-14,45.13,616000.0,45.75,45.63,45.0
1998-10-15,45.38,1020900.0,46.38,45.94,44.69
1998-10-16,46.25,1623600.0,47.44,47.0,46.13
1998-10-19,46.5,858600.0,47.19,46.94,46.38
1998-10-20,46.88,859100.0,47.81,47.06,46.81
1998-10-21,47.56,548800.0,47.56,47.19,46.31
1998-10-22,47.25,1069700.0,47.56,46.38,46.06
1998-10-23,45.38,1128900.0,45.94,44.75,44.56
1998-10-26,44.94,3086500.0,48.31,48.0,44.94
1998-10-27,48.0,1248200.0,48.38,48.25,47.19
1998-10-28,48.0,1741600.0,48.13,46.75,45.88
1998-10-29,46.5,575900.0,47.44,47.44,46.0
1998-10-30,47.69,753400.0,48.38,48.25,47.56
1998-11-02,48.44,611800.0,48.75,48.0,47.81
1998-11-03,48.25,861400.0,49.5,48.81,48.19
1998-11-04,49.25,1146600.0,49.63,49.19,48.81
1998-11-05,48.94,609000.0,50.0,49.94,48.75
1998-11-06,49.75,709500.0,49.94,49.94,49.38
1998-11-09,49.81,644000.0,49.88,49.31,48.63
1998-11-10,49.31,903100.0,49.75,49.5,48.81
1998-11-11,49.5,881900.0,49.69,48.75,48.5
1998-11-12,48.13,621500.0,48.75,48.44,48.06
1998-11-13,48.31,1076500.0,50.19,49.69,48.25
1998-11-16,49.69,813700.0,50.25,49.94,49.56
1998-11-17,49.94,862400.0,50.13,49.25,48.5
1998-11-18,49.75,1083300.0,50.19,49.75,49.44
1998-11-19,50.0,1120900.0,50.31,49.88,49.56
1998-11-20,50.13,910400.0,50.94,50.38,49.94
1998-11-23,50.5,990100.0,50.75,50.69,50.0
1998-11-24,51.06,2506400.0,52.44,52.13,51.06
1998-11-25,51.94,1366500.0,52.12,52.0,51.5
1998-11-27,52.0,401300.0,52.31,52.31,51.88
1998-11-30,52.06,1230300.0,53.13,52.63,51.69
1998-12-01,52.13,1407300.0,53.19,53.0,52.13
1998-12-02,52.75,1149700.0,53.69,53.69,52.63
1998-12-03,53.44,914600.0,53.44,52.88,52.88
1998-12-04,53.25,1252100.0,54.0,53.88,53.25
1998-12-07,53.63,1430100.0,54.56,54.0,53.63
1998-12-08,53.5,1829500.0,53.5,53.19,52.06
1998-12-09,52.75,1405200.0,53.0,52.06,51.88
1998-12-10,52.44,1207700.0,52.5,51.63,51.13
1998-12-11,51.56,847700.0,52.25,52.25,51.5
1998-12-14,52.13,1447800.0,53.81,51.5,51.44
1998-12-15,51.25,1013100.0,52.0,51.88,51.13
1998-12-16,51.75,1468400.0,52.31,51.69,51.44
1998-12-17,51.44,1045900.0,52.81,52.69,51.44
1998-12-18,52.44,1338600.0,53.19,52.5,52.44
1998-12-21,52.5,1413800.0,53.44,52.63,52.31
1998-12-22,52.38,1244900.0,54.0,53.25,52.31
1998-12-23,53.0,1470300.0,54.63,53.88,53.0
1998-12-24,53.63,439600.0,54.38,53.88,53.63
1998-12-28,53.75,1118600.0,54.5,54.5,52.25
1998-12-29,54.44,886800.0,54.94,54.94,54.13
1998-12-30,54.94,1000900.0,54.94,54.0,53.31
1998-12-31,53.94,749000.0,54.5,54.5,53.94
1999-01-04,54.0,1413000.0,54.88,53.19,52.75
1999-01-05,53.0,1508400.0,53.19,52.88,52.63
1999-01-06,52.94,1853400.0,53.0,53.0,51.75
1999-01-07,52.38,1493800.0,53.75,52.94,52.38
1999-01-08,52.94,1694300.0,54.38,54.0,52.94
1999-01-11,53.44,1362700.0,53.81,52.63,52.5
1999-01-12,52.44,2192800.0,52.5,51.56,51.19
1999-01-13,50.5,1491700.0,51.94,51.63,50.38
1999-01-14,51.25,2156400.0,52.0,51.88,51.13
1999-01-15,51.75,2399600.0,52.75,52.75,51.44
1999-01-19,52.69,1310600.0,52.69,51.13,51.0
1999-01-20,51.13,1308000.0,51.75,51.06,50.88
1999-01-21,50.44,1410200.0,51.44,50.31,50.19
1999-01-22,50.0,1507600.0,50.0,48.25,48.0
1999-01-25,48.19,1015000.0,50.13,49.25,48.13
1999-01-26,50.63,2132600.0,51.38,49.25,49.19
1999-01-27,50.0,2153300.0,50.38,49.5,49.44
1999-01-28,49.0,2608300.0,49.06,48.69,48.06
1999-01-29,48.94,1621900.0,50.0,49.81,48.69
1999-02-01,49.69,1148300.0,50.44,49.81,49.56
1999-02-02,49.25,2809600.0,49.63,48.88,48.13
1999-02-03,48.88,2045100.0,49.0,48.31,48.25
1999-02-04,48.06,6191300.0,48.75,46.06,45.25
1999-02-05,46.25,2392300.0,48.44,47.44,46.06
1999-02-08,47.0,1881200.0,47.5,45.81,45.75
1999-02-09,45.94,1618400.0,47.0,45.75,44.81
1999-02-10,46.0,1040500.0,47.75,47.5,46.0
1999-02-11,47.25,1544900.0,48.31,47.94,47.19
1999-02-12,48.13,1482600.0,49.44,48.81,48.13
1999-02-16,49.06,1440600.0,49.88,48.5,48.38
1999-02-17,48.75,1315000.0,49.25,48.38,47.94
1999-02-18,48.38,1185400.0,49.0,47.88,47.81
1999-02-19,48.13,1199400.0,48.38,47.75,47.25
1999-02-22,47.63,1811800.0,49.75,49.75,47.56
1999-02-23,49.5,914000.0,49.5,48.25,47.38
1999-02-24,48.31,732200.0,49.13,48.31,48.31
1999-02-25,48.25,1476300.0,48.38,47.94,46.38
1999-02-26,47.69,1234300.0,47.75,47.25,46.63
1999-03-01,47.31,1101500.0,48.25,47.5,47.25
1999-03-02,47.38,1233300.0,48.0,47.69,47.31
1999-03-03,47.25,1446400.0,48.31,47.63,47.25
1999-03-04,47.56,2044000.0,47.88,47.38,47.38
1999-03-05,47.63,1418600.0,48.5,48.06,47.25
1999-03-08,48.31,1420700.0,48.31,47.63,46.56
1999-03-09,47.5,1954300.0,47.88,47.69,47.31
1999-03-10,47.69,1471000.0,49.19,49.0,47.63
1999-03-11,49.0,1324400.0,49.75,49.5,48.94
1999-03-12,50.0,1329900.0,50.94,50.44,49.88
1999-03-15,50.31,1301400.0,51.0,49.94,49.81
1999-03-16,49.69,985200.0,51.0,50.94,49.69
1999-03-17,50.94,815600.0,50.94,50.0,49.81
1999-03-18,49.56,770400.0,50.69,50.44,49.38
1999-03-19,50.31,995600.0,50.5,49.94,49.94
1999-03-22,49.94,566500.0,50.44,49.69,49.69
1999-03-23,49.94,1216200.0,50.5,48.19,48.0
1999-03-24,48.44,1168300.0,49.75,49.5,48.06
1999-03-25,49.25,1148200.0,49.81,49.19,48.75
1999-03-26,49.0,1050600.0,49.0,47.81,47.81
1999-03-29,47.88,1415200.0,49.81,48.44,47.88
1999-03-30,48.0,1421900.0,48.94,48.38,47.88
1999-03-31,48.63,1064500.0,49.0,47.94,47.81
1999-04-01,48.31,1018600.0,49.19,48.75,48.25
1999-04-05,49.0,900100.0,49.5,49.31,48.94
1999-04-06,49.25,923600.0,49.69,49.19,48.63
1999-04-07,49.44,868000.0,49.56,49.44,48.69
1999-04-08,49.25,964100.0,49.38,49.25,48.75
1999-04-09,49.06,1092400.0,49.31,49.0,48.5
1999-04-12,48.88,1105000.0,49.25,48.81,48.5
1999-04-13,48.25,931300.0,48.88,48.63,48.19
1999-04-14,48.0,1445400.0,50.75,49.88,48.0
1999-04-15,50.0,1524300.0,50.75,50.56,49.63
1999-04-16,50.56,1834100.0,51.88,51.56,50.44
1999-04-19,51.56,2399300.0,54.75,53.56,51.56
1999-04-20,53.56,2250900.0,54.5,54.31,52.88
1999-04-21,58.0,6237100.0,59.38,58.44,56.56
1999-04-22,59.44,4826200.0,60.5,60.5,57.34
1999-04-23,60.13,3420400.0,60.13,59.5,59.06
1999-04-26,59.5,2634500.0,61.0,61.0,59.25
1999-04-27,61.0,1922300.0,61.63,61.06,60.63
1999-04-28,61.25,1941300.0,61.94,61.06,61.0
1999-04-29,61.13,1910500.0,63.25,62.94,61.06
1999-04-30,63.19,2512800.0,63.19,61.31,59.44
1999-05-03,61.38,1864200.0,61.5,60.25,59.94
1999-05-04,60.0,3244100.0,60.94,59.75,59.75
1999-05-05,59.5,2581500.0,60.13,58.94,58.44
1999-05-06,58.94,2044300.0,61.06,61.0,58.75
1999-05-07,61.25,2133500.0,63.5,63.5,61.19
1999-05-10,63.5,2184000.0,64.06,62.94,62.63
1999-05-11,63.19,1295200.0,63.63,63.06,62.81
1999-05-12,63.0,1278000.0,63.0,61.5,61.38
1999-05-13,61.56,914500.0,61.56,60.13,59.88
1999-05-14,59.5,1221400.0,61.38,60.5,59.0
1999-05-17,61.19,789800.0,61.19,60.13,60.0
1999-05-18,60.13,1198600.0,62.13,61.31,60.13
1999-05-19,61.75,921900.0,62.5,60.94,60.81
1999-05-20,61.0,1057300.0,61.69,60.38,60.19
1999-05-21,60.75,1140200.0,61.69,61.56,60.56
1999-05-24,61.56,1415500.0,63.13,62.81,61.5
1999-05-25,62.63,2025700.0,63.31,62.38,62.38
1999-05-26,62.5,1378400.0,62.5,61.19,60.06
1999-05-27,61.06,1285600.0,61.69,59.06,59.0
1999-05-28,58.81,1498800.0,60.19,58.56,58.31
1999-06-01,58.69,1535400.0,60.13,60.0,57.88
1999-06-02,59.75,1198300.0,60.13,59.75,58.5
1999-06-03,59.63,676300.0,59.88,58.5,58.25
1999-06-04,58.44,817800.0,59.56,59.38,58.0
1999-06-07,59.13,475200.0,59.25,58.94,58.63
1999-06-08,58.06,757500.0,58.69,58.13,57.88
