date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,9.063,170600.0,9.563,9.563,8.875
1998-01-05,9.813,91500.0,9.813,9.375,9.25
1998-01-06,9.375,56500.0,9.438,9.25,9.188
1998-01-07,9.0,180100.0,9.0,8.5,8.063
1998-01-08,8.438,201100.0,8.438,7.813,7.75
1998-01-09,7.875,152100.0,7.938,7.563,7.313
1998-01-12,7.688,95700.0,8.0,7.938,7.625
1998-01-13,8.0,88700.0,8.0,7.75,7.625
1998-01-14,7.875,146200.0,8.0,7.688,7.5
1998-01-15,7.75,170600.0,7.75,7.375,7.313
1998-01-16,7.5,325900.0,7.5,7.5,7.375
1998-01-20,7.5,123100.0,7.563,7.375,7.375
1998-01-21,7.375,65400.0,7.438,7.125,7.125
1998-01-22,7.063,146600.0,7.125,6.938,6.75
1998-01-23,6.813,917700.0,7.0,6.813,6.5
1998-01-26,6.938,99700.0,7.25,7.0,6.625
1998-01-27,7.0,126000.0,7.813,7.75,6.875
1998-01-28,7.813,211000.0,8.25,8.0,7.688
1998-01-29,8.125,212900.0,8.188,7.938,7.938
1998-01-30,8.063,181400.0,8.125,7.688,7.5
1998-02-02,8.125,143500.0,8.188,7.875,7.75
1998-02-03,7.938,245200.0,8.25,8.0,7.813
1998-02-04,8.0,423100.0,8.063,8.0,7.938
1998-02-05,8.75,460000.0,9.938,9.125,8.5
1998-02-06,9.25,174000.0,9.625,8.813,8.813
1998-02-09,9.25,195600.0,9.75,9.625,9.188
1998-02-10,9.75,234200.0,10.0,9.813,9.75
1998-02-11,9.813,203300.0,9.813,9.375,9.313
1998-02-12,9.375,72100.0,9.563,9.563,9.188
1998-02-13,9.563,57800.0,9.563,9.375,9.313
1998-02-17,9.375,42400.0,9.375,9.188,9.125
1998-02-18,9.188,55400.0,9.25,9.0,9.0
1998-02-19,9.0,71400.0,9.188,9.125,9.0
1998-02-20,9.0,62600.0,9.438,9.188,9.0
1998-02-23,9.188,37400.0,9.313,9.0,9.0
1998-02-24,9.063,38200.0,9.188,9.125,8.875
1998-02-25,9.375,82400.0,9.438,9.125,9.063
1998-02-26,9.188,95000.0,9.313,9.0,9.0
1998-02-27,9.0,48100.0,9.25,9.25,9.0
1998-03-02,9.75,491400.0,10.0,10.0,9.75
1998-03-03,9.875,90400.0,10.0,9.875,9.75
1998-03-04,9.938,465000.0,10.81,10.38,9.875
1998-03-05,10.38,159700.0,10.38,9.938,9.938
1998-03-06,10.0,143100.0,10.06,10.06,9.938
1998-03-09,9.938,147600.0,10.0,10.0,9.75
1998-03-10,10.13,310900.0,10.94,10.88,10.13
1998-03-11,10.88,237500.0,10.88,10.75,10.56
1998-03-12,10.94,146100.0,10.94,10.81,10.63
1998-03-13,10.88,1011100.0,11.13,11.13,10.75
1998-03-16,11.5,199200.0,11.63,11.5,11.38
1998-03-17,11.56,245000.0,11.88,11.69,11.38
1998-03-18,12.06,300600.0,12.13,11.63,11.63
1998-03-19,11.75,55300.0,11.81,11.75,11.5
1998-03-20,11.81,52600.0,11.81,11.56,11.56
1998-03-23,11.69,160500.0,11.94,11.81,11.5
1998-03-24,11.88,142500.0,11.88,11.63,11.63
1998-03-25,11.63,139700.0,11.69,11.69,11.5
1998-03-26,11.5,495300.0,11.75,11.56,11.5
1998-03-27,11.56,186600.0,11.63,11.38,11.38
1998-03-30,11.25,111100.0,11.5,11.38,11.25
1998-03-31,11.56,123200.0,11.88,11.63,11.44
1998-04-01,11.63,115100.0,11.94,11.94,11.5
1998-04-02,12.38,261500.0,12.38,12.06,11.94
1998-04-03,12.38,96900.0,12.38,12.25,12.06
1998-04-06,12.5,245200.0,12.88,12.25,12.0
1998-04-07,12.38,121900.0,12.5,12.38,12.13
1998-04-08,12.38,92900.0,12.63,12.5,12.25
1998-04-09,12.63,62300.0,12.75,12.63,12.5
1998-04-13,12.69,54400.0,12.88,12.69,12.63
1998-04-14,12.81,93200.0,12.94,12.81,12.63
1998-04-15,12.81,63000.0,13.06,12.81,12.63
1998-04-16,12.81,53500.0,13.0,12.56,12.44
1998-04-17,12.56,41300.0,12.88,12.75,12.38
1998-04-20,12.81,46800.0,12.81,12.63,12.38
1998-04-21,12.69,102200.0,12.94,12.94,12.38
1998-04-22,12.94,89100.0,13.5,13.38,12.94
1998-04-23,13.44,59800.0,13.44,12.88,12.88
1998-04-24,13.0,44300.0,13.19,12.5,12.38
1998-04-27,12.0,179100.0,12.13,11.88,11.81
1998-04-28,12.0,107800.0,12.63,12.25,12.0
1998-04-29,12.38,33400.0,12.63,12.63,12.31
1998-04-30,12.75,63200.0,12.88,12.75,12.56
1998-05-01,12.81,30900.0,12.81,12.69,12.5
1998-05-04,12.56,28300.0,12.69,12.5,12.31
1998-05-05,12.56,39100.0,12.75,12.69,12.38
1998-05-06,12.38,227800.0,12.44,12.06,11.25
1998-05-07,12.19,151100.0,12.19,11.63,11.63
1998-05-08,11.63,163300.0,11.75,11.0,10.81
1998-05-11,11.13,41000.0,11.5,11.0,10.94
1998-05-12,11.25,47700.0,11.38,10.88,10.75
1998-05-13,10.94,31900.0,11.0,10.81,10.69
1998-05-14,10.94,110300.0,10.94,10.38,10.06
1998-05-15,10.38,50500.0,10.38,10.06,10.0
1998-05-18,9.938,56400.0,10.0,9.938,9.75
1998-05-19,10.06,71500.0,10.25,10.0,9.938
1998-05-20,9.938,88000.0,10.0,9.875,9.75
1998-05-21,9.75,161200.0,9.75,9.5,8.625
1998-05-22,9.375,51600.0,9.438,9.188,8.75
1998-05-26,9.313,71300.0,9.563,9.25,9.188
1998-05-27,9.375,26300.0,9.438,9.438,9.25
1998-05-28,9.5,25200.0,9.625,9.563,9.25
1998-05-29,9.625,487500.0,10.13,9.688,9.625
