date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,36.75,849700.0,36.75,36.56,35.13
1998-01-05,36.06,2055300.0,36.44,35.19,34.38
1998-01-06,35.38,581000.0,36.44,35.63,35.25
1998-01-07,35.56,522200.0,35.94,35.81,35.25
1998-01-08,35.94,554100.0,36.0,36.0,34.75
1998-01-09,35.81,662400.0,36.0,34.44,34.06
1998-01-12,34.0,487200.0,35.44,35.31,34.0
1998-01-13,35.56,290100.0,35.63,35.5,34.56
1998-01-14,35.75,318100.0,35.75,35.63,34.56
1998-01-15,35.63,301200.0,35.75,35.38,35.06
1998-01-16,35.75,603900.0,36.5,36.06,35.56
1998-01-20,36.63,432100.0,36.69,36.44,35.75
1998-01-21,35.94,251100.0,36.25,36.0,35.31
1998-01-22,36.25,1359400.0,38.31,37.94,36.25
1998-01-23,38.0,1291100.0,38.0,37.5,36.0
1998-01-26,37.75,765700.0,38.13,38.06,37.19
1998-01-27,38.0,882500.0,38.5,38.13,37.5
1998-01-28,37.5,777400.0,38.5,38.25,37.0
1998-01-29,37.75,762200.0,39.25,38.56,37.69
1998-01-30,38.81,806700.0,39.94,39.13,38.25
1998-02-02,40.25,1211900.0,41.44,41.06,40.13
1998-02-03,40.94,971600.0,41.81,40.88,39.5
1998-02-04,40.75,803400.0,41.69,41.69,40.38
1998-02-05,41.63,1004400.0,43.13,42.56,40.75
1998-02-06,42.25,1294800.0,42.5,40.94,40.81
1998-02-09,41.19,474500.0,41.5,40.38,40.19
1998-02-10,39.75,1791400.0,40.38,40.25,39.38
1998-02-11,40.19,857800.0,40.63,40.56,39.75
1998-02-12,40.5,743000.0,40.63,40.5,40.19
1998-02-13,40.31,311700.0,40.63,40.44,40.06
1998-02-17,40.88,584900.0,41.0,40.5,40.06
1998-02-18,40.31,470100.0,41.81,41.44,40.19
1998-02-19,41.69,426000.0,41.94,41.31,41.19
1998-02-20,41.88,705900.0,42.56,42.31,41.69
1998-02-23,42.94,952200.0,43.63,42.0,41.75
1998-02-24,41.94,736400.0,41.94,41.31,40.75
1998-02-25,41.56,378900.0,41.63,40.75,40.69
1998-02-26,40.81,1050800.0,42.06,41.81,39.88
1998-02-27,42.81,714600.0,43.06,42.25,42.13
1998-03-02,42.0,349600.0,42.81,42.56,42.0
1998-03-03,42.38,474100.0,43.44,43.44,42.38
1998-03-04,43.25,654600.0,43.56,43.5,42.94
1998-03-05,43.31,728300.0,44.5,43.0,42.88
1998-03-06,43.13,672800.0,45.0,45.0,43.0
1998-03-09,44.56,1141900.0,45.56,44.94,44.5
1998-03-10,44.81,385200.0,45.0,44.94,44.69
1998-03-11,44.88,477100.0,46.13,46.13,44.88
1998-03-12,46.38,440100.0,46.38,46.06,45.56
1998-03-13,46.25,573900.0,47.31,46.0,45.75
1998-03-16,46.38,291400.0,46.5,46.06,45.94
1998-03-17,46.19,434800.0,46.25,46.0,45.81
1998-03-18,45.44,900500.0,45.63,45.0,44.75
1998-03-19,45.13,534400.0,45.19,44.94,44.81
1998-03-20,44.88,689600.0,45.19,44.69,44.38
1998-03-23,44.63,658500.0,44.63,43.94,43.38
1998-03-24,44.38,661200.0,45.13,44.81,44.38
1998-03-25,44.81,775100.0,45.0,44.13,43.63
1998-03-26,44.31,671000.0,44.81,44.25,43.81
1998-03-27,45.0,618800.0,45.06,44.75,44.44
1998-03-30,45.0,614200.0,45.5,45.25,44.75
1998-03-31,46.0,508100.0,46.38,46.19,45.44
1998-04-01,46.19,792400.0,46.94,46.88,45.94
1998-04-02,46.94,582000.0,47.25,47.0,46.56
1998-04-03,47.38,473200.0,47.5,46.56,46.0
1998-04-06,46.81,440900.0,47.0,46.81,45.88
1998-04-07,46.75,329900.0,46.75,45.88,45.81
1998-04-08,46.06,588800.0,47.19,47.06,46.06
1998-04-09,46.94,269400.0,46.94,46.63,46.25
1998-04-13,46.5,348500.0,46.5,45.69,44.81
1998-04-14,46.13,553900.0,46.88,46.38,46.06
1998-04-15,46.44,321000.0,46.44,45.38,45.13
1998-04-16,45.0,568400.0,45.0,43.94,43.94
1998-04-17,43.94,562000.0,44.94,44.5,43.44
1998-04-20,44.5,499200.0,44.5,43.88,43.44
1998-04-21,43.5,499600.0,43.94,43.75,42.63
1998-04-22,43.63,480000.0,43.63,43.06,42.5
1998-04-23,43.13,468300.0,43.75,43.19,42.5
1998-04-24,43.25,508100.0,43.94,43.0,43.0
1998-04-27,42.88,537200.0,43.13,41.94,41.25
1998-04-28,42.19,550400.0,42.75,40.81,40.75
1998-04-29,41.5,750300.0,41.56,41.19,40.5
1998-04-30,41.56,900200.0,42.44,41.88,41.56
1998-05-01,41.94,612900.0,43.0,42.81,41.94
1998-05-04,42.88,465100.0,42.94,42.25,42.13
1998-05-05,42.0,473500.0,42.75,42.63,41.81
1998-05-06,42.56,534300.0,42.63,41.06,40.94
1998-05-07,41.13,692400.0,41.13,40.31,40.25
1998-05-08,40.44,727700.0,41.44,41.31,40.38
1998-05-11,41.25,533800.0,42.38,41.63,41.25
1998-05-12,41.63,408100.0,42.31,42.06,41.19
1998-05-13,41.75,487000.0,42.5,41.63,41.63
1998-05-14,41.69,614700.0,42.38,40.94,40.88
1998-05-15,40.88,814300.0,41.13,40.63,40.56
1998-05-18,41.19,1268900.0,41.25,40.63,40.19
1998-05-19,42.25,426900.0,42.25,41.38,41.06
1998-05-20,41.63,619200.0,41.75,41.69,41.31
1998-05-21,41.56,308900.0,42.13,41.88,41.56
1998-05-22,42.13,245800.0,42.44,42.31,41.94
1998-05-26,42.75,639000.0,42.75,41.31,40.75
1998-05-27,41.75,753600.0,43.0,42.88,40.81
1998-05-28,42.75,372300.0,42.75,42.06,41.75
1998-05-29,42.31,713200.0,43.31,42.94,42.31
1998-06-01,43.0,475600.0,43.38,43.38,42.69
1998-06-02,44.0,663700.0,44.13,43.5,43.13
1998-06-03,44.0,538200.0,44.56,43.88,43.88
1998-06-04,43.88,319900.0,44.56,44.44,43.81
1998-06-05,44.56,761200.0,45.38,44.63,44.25
1998-06-08,44.63,373500.0,44.94,43.88,43.5
1998-06-09,43.81,472800.0,45.25,45.25,43.56
1998-06-10,45.0,413800.0,45.56,45.06,44.81
1998-06-11,44.5,368000.0,44.69,43.63,43.56
1998-06-12,43.13,388900.0,44.44,44.44,42.94
1998-06-15,44.38,616300.0,44.5,43.0,43.0
1998-06-16,42.81,424300.0,43.13,43.13,42.0
1998-06-17,43.19,468500.0,43.44,42.88,42.63
1998-06-18,43.0,503400.0,43.0,42.69,42.38
1998-06-19,42.75,558200.0,44.06,42.56,42.56
1998-06-22,43.44,308400.0,44.44,43.38,43.38
1998-06-23,43.94,505100.0,45.44,45.31,43.88
1998-06-24,45.06,398200.0,45.06,44.0,44.0
1998-06-25,43.63,619700.0,45.0,43.63,43.25
1998-06-26,43.5,347100.0,44.31,43.63,43.38
1998-06-29,44.0,309400.0,44.25,43.38,43.38
1998-06-30,43.63,724400.0,44.5,42.88,42.88
1998-07-01,43.25,707000.0,45.13,44.94,43.06
1998-07-02,44.5,404700.0,45.5,45.0,44.38
1998-07-06,45.13,375600.0,45.88,45.5,45.0
1998-07-07,45.25,576500.0,45.5,44.06,44.06
1998-07-08,44.19,554700.0,44.63,44.56,44.13
1998-07-09,44.56,416500.0,44.63,43.5,43.13
1998-07-10,43.5,795400.0,43.75,43.5,42.13
1998-07-13,43.13,781500.0,43.63,42.69,42.63
1998-07-14,43.13,514600.0,44.81,44.5,42.88
1998-07-15,47.5,1756700.0,48.69,48.0,46.88
1998-07-16,48.0,712500.0,48.38,47.75,47.25
1998-07-17,47.81,496100.0,49.25,48.19,47.75
1998-07-20,48.31,566200.0,49.38,48.31,47.63
1998-07-21,48.56,705000.0,50.0,49.06,48.5
1998-07-22,48.94,440700.0,49.63,48.94,48.75
1998-07-23,48.81,566700.0,48.94,48.0,47.69
1998-07-24,47.88,384700.0,48.81,48.25,47.81
1998-07-27,48.19,486000.0,49.25,49.19,48.0
1998-07-28,49.0,736900.0,49.19,48.0,46.56
1998-07-29,48.0,455800.0,48.13,47.31,46.88
1998-07-30,47.75,617000.0,47.88,47.63,47.0
1998-07-31,48.25,694100.0,48.5,47.31,47.13
1998-08-03,48.13,883700.0,50.19,49.44,48.13
1998-08-04,49.44,1028600.0,49.75,47.69,47.5
1998-08-05,48.13,714900.0,48.69,48.56,46.75
1998-08-06,48.19,433900.0,49.13,48.63,47.5
1998-08-07,48.38,596100.0,49.38,48.06,47.19
1998-08-10,48.06,554000.0,49.63,49.19,48.0
1998-08-11,48.25,608900.0,48.81,48.69,48.0
1998-08-12,48.75,440300.0,48.81,48.25,47.94
1998-08-13,48.69,403700.0,48.75,47.94,47.81
1998-08-14,47.69,697800.0,49.0,48.13,47.69
1998-08-17,48.0,737800.0,49.38,49.38,48.0
1998-08-18,49.5,749100.0,49.63,48.94,48.63
1998-08-19,49.0,686100.0,49.0,48.25,48.25
1998-08-20,48.63,979000.0,50.56,49.69,48.63
1998-08-21,49.44,954200.0,49.63,49.06,47.69
1998-08-24,49.19,832800.0,51.69,51.56,49.13
1998-08-25,52.0,1503300.0,54.13,52.06,51.44
1998-08-26,51.38,855900.0,52.88,50.81,50.63
1998-08-27,50.56,1022100.0,51.94,51.19,49.5
1998-08-28,51.13,977900.0,51.13,49.56,48.75
1998-08-31,49.69,1293800.0,50.0,45.0,44.69
1998-09-01,45.25,1380900.0,47.75,47.56,45.0
1998-09-02,47.31,1280100.0,51.25,49.13,47.25
