date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,31.25,623800.0,31.44,31.44,30.88
1998-01-05,31.0,1411400.0,31.0,30.75,30.0
1998-01-06,30.5,855200.0,31.38,31.19,30.25
1998-01-07,31.19,891800.0,32.0,30.81,30.31
1998-01-08,30.75,799600.0,30.75,29.88,29.5
1998-01-09,29.5,1278800.0,29.5,28.12,28.0
1998-01-12,26.25,780200.0,28.25,28.12,26.25
1998-01-13,28.19,473200.0,29.25,29.0,27.62
1998-01-14,29.25,594000.0,30.38,29.69,29.25
1998-01-15,29.69,770400.0,29.69,28.44,28.09
1998-01-16,28.62,486400.0,29.62,29.25,28.62
1998-01-20,29.5,687200.0,29.75,29.44,28.88
1998-01-21,29.44,461800.0,29.44,28.81,28.19
1998-01-22,28.56,203400.0,28.69,28.0,27.94
1998-01-23,28.0,576200.0,28.25,27.56,27.25
1998-01-26,27.62,540000.0,27.75,27.0,26.88
1998-01-27,26.88,1300800.0,28.5,28.5,26.88
1998-01-28,28.19,696000.0,28.81,28.75,28.0
1998-01-29,28.62,2036800.0,29.88,29.38,28.5
1998-01-30,29.62,767400.0,30.19,30.0,29.62
1998-02-02,30.06,1078800.0,31.75,31.62,30.06
1998-02-03,31.88,2047200.0,32.62,30.56,30.5
1998-02-04,30.5,1084800.0,30.94,30.75,30.25
1998-02-05,30.5,1004000.0,31.31,31.06,30.5
1998-02-06,31.12,1007200.0,32.0,31.56,31.06
1998-02-09,31.69,471400.0,31.75,31.06,30.75
1998-02-10,31.19,947000.0,32.0,32.0,31.0
1998-02-11,32.25,1677000.0,33.56,32.81,32.25
1998-02-12,32.88,3302600.0,34.62,34.44,32.88
1998-02-13,34.44,1771600.0,34.44,33.62,33.56
1998-02-17,33.56,508600.0,33.94,33.81,33.44
1998-02-18,33.56,297200.0,34.0,33.69,33.56
1998-02-19,35.0,1816600.0,35.0,34.94,34.44
1998-02-20,35.0,1032800.0,35.38,34.62,34.5
1998-02-23,35.12,1889400.0,36.69,36.62,35.12
1998-02-24,36.38,1232200.0,36.81,36.44,35.94
1998-02-25,36.88,3909200.0,37.44,37.12,36.56
1998-02-26,37.0,3434200.0,37.31,37.19,36.88
1998-02-27,37.19,619200.0,37.19,37.19,36.88
1998-03-02,37.06,665800.0,37.81,37.44,37.0
1998-03-03,37.31,586600.0,37.62,37.31,37.0
1998-03-04,37.19,1299000.0,37.69,37.44,37.06
1998-03-05,37.12,349200.0,37.31,37.0,36.81
1998-03-06,37.75,1660600.0,38.25,37.88,37.62
1998-03-09,38.12,671200.0,38.75,38.19,38.0
