date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,105.5,77900.0,106.3,104.3,104.0
1998-01-05,104.2,115700.0,105.3,104.1,103.6
1998-01-06,104.1,209600.0,105.1,104.9,104.0
1998-01-07,104.8,166300.0,104.8,104.0,103.8
1998-01-08,103.9,279700.0,104.4,103.8,103.5
1998-01-09,102.8,283600.0,103.1,100.3,100.1
1998-01-12,98.38,274400.0,103.9,103.4,98.13
1998-01-13,103.4,183000.0,105.1,105.1,103.4
1998-01-14,105.1,200300.0,106.9,106.4,105.1
1998-01-15,106.0,118500.0,106.0,104.6,103.8
1998-01-16,104.8,247700.0,105.5,105.0,104.8
1998-01-20,104.3,253400.0,104.8,103.9,103.6
1998-01-21,102.9,220200.0,103.8,103.0,102.5
1998-01-22,102.8,386900.0,102.8,101.6,101.2
1998-01-23,101.4,220600.0,101.6,100.1,99.44
1998-01-26,100.0,140700.0,100.2,99.88,99.31
1998-01-27,99.75,190600.0,101.2,100.9,99.69
1998-01-28,101.1,296600.0,103.1,102.0,100.9
1998-01-29,100.1,301800.0,101.5,100.8,99.88
1998-01-30,100.5,283500.0,100.9,99.88,99.75
1998-02-02,100.1,376500.0,100.8,99.94,99.5
1998-02-03,100.0,365000.0,100.9,100.6,100.0
1998-02-04,99.31,299900.0,100.8,100.1,99.31
1998-02-05,101.3,453400.0,102.3,101.9,101.1
1998-02-06,101.8,289100.0,104.0,103.3,101.8
1998-02-09,103.5,234300.0,103.6,102.7,100.4
1998-02-10,102.5,214400.0,102.6,101.6,101.4
1998-02-11,101.9,100500.0,103.3,102.8,101.9
1998-02-12,102.6,114000.0,102.7,102.6,100.4
1998-02-13,102.6,52400.0,102.8,101.5,100.9
1998-02-17,102.0,133100.0,102.3,102.0,100.9
1998-02-18,102.0,148600.0,102.8,101.9,101.6
1998-02-19,102.0,254400.0,102.0,101.3,101.3
1998-02-20,101.3,184000.0,101.5,100.9,100.3
1998-02-23,100.9,243600.0,100.9,100.0,99.63
1998-02-24,99.94,293600.0,100.0,99.44,98.94
1998-02-25,99.44,123500.0,100.3,99.5,99.38
1998-02-26,99.63,506700.0,101.0,101.0,99.63
1998-02-27,101.0,311000.0,101.0,100.4,99.88
1998-03-02,100.1,316400.0,100.5,99.94,99.69
1998-03-03,99.75,411100.0,101.3,101.2,99.56
1998-03-04,101.1,204800.0,101.2,100.3,100.0
1998-03-05,100.0,240600.0,100.4,100.0,99.75
1998-03-06,100.6,167600.0,103.8,103.6,100.6
1998-03-09,104.6,322800.0,104.8,103.7,103.3
1998-03-10,104.5,332300.0,104.8,104.3,103.8
1998-03-11,104.3,147000.0,104.4,104.3,104.0
1998-03-12,104.3,280900.0,105.8,105.1,104.2
1998-03-13,105.1,188000.0,105.5,105.1,104.5
1998-03-16,105.4,155800.0,106.6,105.9,105.4
1998-03-17,107.3,317800.0,107.3,107.1,106.0
1998-03-18,106.8,123200.0,107.0,106.0,105.8
1998-03-19,105.9,258800.0,105.9,104.4,103.7
1998-03-20,106.0,427700.0,108.3,107.6,104.6
1998-03-23,107.6,236900.0,108.1,105.4,105.4
1998-03-24,106.0,168600.0,106.4,106.1,105.9
1998-03-25,106.3,310000.0,106.3,103.9,103.9
1998-03-26,103.0,194300.0,103.4,103.1,101.8
1998-03-27,103.2,157700.0,103.8,102.8,102.6
1998-03-30,103.1,307000.0,105.0,104.8,102.8
1998-03-31,104.62,194700.0,104.62,104.25,103.25
1998-04-01,104.1,746800.0,104.6,104.1,103.4
1998-04-02,104.3,256700.0,105.6,105.0,102.8
1998-04-03,105.8,188900.0,107.0,106.3,105.4
1998-04-06,106.0,460200.0,106.6,103.8,103.8
1998-04-07,103.6,361200.0,103.8,102.8,101.5
1998-04-08,102.5,293500.0,102.5,101.5,100.6
1998-04-09,102.0,123100.0,102.2,102.0,101.4
1998-04-13,101.8,226900.0,101.8,100.3,99.44
1998-04-14,100.1,310600.0,101.0,100.9,99.63
1998-04-15,100.6,236300.0,102.3,102.0,99.63
1998-04-16,101.9,145900.0,101.9,100.6,99.94
1998-04-17,100.8,100700.0,101.4,101.3,100.2
1998-04-20,101.8,332500.0,101.8,100.6,100.4
1998-04-21,100.6,189800.0,100.8,100.6,100.0
1998-04-22,100.9,273200.0,102.1,101.5,100.5
1998-04-23,101.4,205000.0,101.4,100.5,100.1
1998-04-24,100.6,299400.0,101.3,99.88,99.25
1998-04-27,99.88,208600.0,99.94,99.19,98.13
1998-04-28,100.0,206500.0,100.0,98.38,97.75
1998-04-29,98.38,171800.0,98.5,98.44,97.81
1998-04-30,98.19,220600.0,100.3,100.1,98.0
1998-05-01,99.81,124000.0,101.5,101.4,99.69
1998-05-04,101.4,189400.0,102.0,100.8,100.8
1998-05-05,100.5,168900.0,101.4,100.6,99.75
1998-05-06,100.3,381400.0,101.9,101.9,99.88
1998-05-07,101.3,176100.0,101.3,100.5,99.94
1998-05-08,100.5,283100.0,100.9,100.4,100.0
1998-05-11,100.4,321100.0,101.0,100.1,100.0
1998-05-12,98.5,285100.0,100.3,100.0,98.38
1998-05-13,99.88,844300.0,100.4,95.75,95.75
1998-05-14,95.0,613700.0,95.13,94.0,93.25
1998-05-15,94.06,500100.0,94.06,91.88,91.56
1998-05-18,91.75,546400.0,91.75,89.25,89.25
1998-05-19,89.25,442200.0,89.94,89.0,88.56
1998-05-20,89.38,281600.0,91.88,91.69,89.38
1998-05-21,91.56,239300.0,92.44,91.13,91.0
1998-05-22,91.13,223100.0,92.5,91.94,91.0
1998-05-26,91.81,239300.0,92.06,91.13,91.0
1998-05-27,91.0,189500.0,91.63,89.81,89.56
1998-05-28,89.81,212400.0,91.31,90.56,89.63
1998-05-29,90.44,155200.0,91.0,90.75,90.38
1998-06-01,90.5,184200.0,90.88,90.5,90.13
1998-06-02,90.5,224600.0,90.5,89.5,89.44
1998-06-03,89.75,137200.0,90.31,89.13,88.69
1998-06-04,88.88,114100.0,90.44,89.69,88.69
1998-06-05,89.94,130600.0,90.81,90.56,89.56
1998-06-08,90.94,326100.0,92.44,91.5,90.94
1998-06-09,91.5,208000.0,92.63,91.0,91.0
1998-06-10,90.75,177100.0,92.13,89.06,88.5
1998-06-11,88.06,190600.0,89.25,88.25,87.5
1998-06-12,88.25,134100.0,89.0,88.69,87.0
1998-06-15,88.44,238500.0,88.5,87.63,87.06
1998-06-16,87.38,181500.0,88.19,87.5,86.94
1998-06-17,87.63,170900.0,90.69,90.06,87.63
1998-06-18,90.75,294800.0,91.5,89.63,89.19
1998-06-19,89.38,258100.0,89.56,88.31,87.56
1998-06-22,88.5,181500.0,89.5,88.0,87.81
1998-06-23,88.56,153700.0,89.13,87.0,86.88
1998-06-24,86.75,235000.0,88.06,88.0,85.31
1998-06-25,87.88,164100.0,88.38,87.63,87.5
1998-06-26,87.75,146000.0,89.19,87.0,86.5
1998-06-29,87.0,225200.0,87.25,87.0,86.0
1998-06-30,87.0,308500.0,87.31,87.13,86.63
1998-07-01,87.19,208900.0,88.44,88.44,86.38
1998-07-02,88.38,108800.0,88.94,88.81,88.25
1998-07-06,88.56,151800.0,90.19,90.0,88.19
1998-07-07,89.88,218300.0,91.5,89.44,89.13
1998-07-08,89.5,220300.0,90.0,89.25,88.63
1998-07-09,89.25,189700.0,89.25,88.06,87.63
1998-07-10,88.25,113800.0,88.63,87.13,87.13
1998-07-13,87.19,147800.0,87.44,85.81,85.56
1998-07-14,85.69,251900.0,86.5,85.81,85.56
1998-07-15,85.56,294800.0,86.31,85.5,84.63
1998-07-16,85.25,97600.0,86.06,85.88,85.0
1998-07-17,86.0,148100.0,86.0,85.13,84.88
1998-07-20,85.0,125200.0,86.38,85.19,84.31
1998-07-21,85.06,173200.0,85.25,84.38,84.31
1998-07-22,84.44,482500.0,85.31,84.69,84.25
1998-07-23,85.25,348300.0,85.31,83.25,83.0
1998-07-24,83.5,305100.0,83.94,82.38,82.19
