date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,69.38,1319400.0,69.88,68.94,67.5
1998-01-05,70.0,3112700.0,71.94,71.94,69.31
1998-01-06,71.69,2331500.0,72.38,70.69,70.0
1998-01-07,69.75,1840900.0,70.13,69.31,68.44
1998-01-08,68.56,1772300.0,69.69,68.5,68.06
1998-01-09,67.94,2299900.0,67.94,66.63,64.38
1998-01-12,64.75,2948500.0,69.0,68.25,64.56
1998-01-13,68.19,2320000.0,68.63,67.94,66.63
1998-01-14,68.0,1635400.0,68.38,68.38,66.63
1998-01-15,68.13,1534700.0,68.19,67.0,66.63
1998-01-16,67.31,2777800.0,67.88,67.0,66.25
1998-01-20,68.63,2872900.0,70.25,69.63,68.19
1998-01-21,69.56,1960300.0,69.56,69.31,68.0
1998-01-22,68.5,2011300.0,69.06,67.88,67.88
1998-01-23,68.0,2394200.0,68.38,66.88,66.38
1998-01-26,67.0,1432700.0,67.81,66.31,66.31
1998-01-27,66.38,2455700.0,67.5,66.38,66.38
1998-01-28,67.0,2428300.0,68.44,68.13,67.0
1998-01-29,67.5,3348600.0,68.75,67.94,67.13
1998-01-30,68.5,2391500.0,68.56,67.63,67.06
1998-02-02,71.38,4901300.0,71.69,69.38,69.13
1998-02-03,68.5,2693600.0,69.44,68.75,67.75
1998-02-04,68.5,2139100.0,68.5,68.38,67.19
1998-02-05,68.94,3017900.0,68.94,66.69,66.56
1998-02-06,67.31,3191500.0,67.81,66.75,66.63
1998-02-09,66.94,4221200.0,66.94,65.0,64.5
1998-02-10,64.38,6182100.0,66.44,63.5,62.63
1998-02-11,63.63,6795800.0,66.13,66.13,63.56
1998-02-12,65.0,4074900.0,65.81,64.69,64.06
1998-02-13,64.0,4315700.0,64.94,63.69,63.25
1998-02-17,62.0,11597700.0,62.13,61.75,60.44
1998-02-18,60.63,13625700.0,61.06,60.0,59.5
1998-02-19,60.5,10639300.0,61.44,60.44,60.25
1998-02-20,61.06,9184900.0,62.44,61.63,60.75
1998-02-23,62.94,8460700.0,64.94,64.81,62.75
1998-02-24,63.19,5813500.0,65.44,63.94,63.13
1998-02-25,65.69,3799400.0,65.75,65.38,64.56
1998-02-26,65.69,2919300.0,65.94,65.44,64.81
1998-02-27,65.94,2451500.0,66.19,65.81,65.0
1998-03-02,65.81,2579000.0,66.31,65.0,64.44
1998-03-03,64.69,3062400.0,64.81,64.38,63.81
1998-03-04,63.69,3756800.0,64.0,62.75,62.75
1998-03-05,62.5,2978900.0,64.5,64.38,62.5
1998-03-06,65.25,3152700.0,66.19,66.13,65.06
1998-03-09,66.13,2346200.0,66.5,64.63,64.19
1998-03-10,66.44,3478900.0,66.88,66.44,65.81
1998-03-11,66.69,2925900.0,67.13,66.38,65.88
1998-03-12,66.75,1925800.0,66.75,65.56,65.38
1998-03-13,66.0,2383700.0,66.69,65.5,65.44
1998-03-16,65.75,2629200.0,67.44,67.44,65.69
1998-03-17,67.25,2472700.0,67.44,66.13,65.69
1998-03-18,66.06,1728000.0,66.81,65.56,65.31
1998-03-19,65.81,1861500.0,66.88,66.19,65.5
1998-03-20,66.63,2804600.0,66.69,65.25,65.25
1998-03-23,65.0,3583900.0,65.0,63.5,63.06
1998-03-24,63.56,4675200.0,63.81,62.5,62.06
1998-03-25,60.75,7936900.0,61.38,61.25,59.88
1998-03-26,60.56,4765200.0,61.19,60.63,60.31
1998-03-27,60.56,4184000.0,61.19,60.19,60.06
1998-03-30,60.31,7312100.0,60.44,58.25,57.69
1998-03-31,59.25,5751900.0,59.88,59.63,58.69
1998-04-01,60.0,5719700.0,60.94,59.44,58.81
1998-04-02,59.81,3619100.0,60.0,59.75,58.88
1998-04-03,60.13,4390700.0,60.19,58.56,58.44
1998-04-06,58.88,9356100.0,61.75,61.13,57.88
1998-04-07,61.88,9822100.0,64.88,63.88,61.75
1998-04-08,65.63,6771100.0,66.13,65.0,64.56
1998-04-09,65.38,2881900.0,66.0,63.94,63.44
1998-04-13,64.0,2125300.0,64.06,63.01,62.44
1998-04-14,64.44,1910900.0,64.5,64.31,63.5
1998-04-15,64.44,3290000.0,65.75,64.75,63.88
1998-04-16,64.75,2889500.0,64.75,63.25,62.31
1998-04-17,64.88,8358300.0,69.25,68.38,64.63
1998-04-20,71.63,9805100.0,73.75,72.19,70.13
1998-04-21,72.5,5051600.0,73.63,72.19,71.56
1998-04-22,72.06,3663600.0,72.31,71.44,70.69
1998-04-23,71.38,2740700.0,71.38,70.5,69.88
1998-04-24,70.06,2756800.0,70.38,70.0,69.69
1998-04-27,69.0,3402200.0,69.06,67.63,66.63
1998-04-28,69.13,2331500.0,69.13,68.88,68.0
1998-04-29,69.75,1743100.0,69.75,68.5,67.63
1998-04-30,69.44,2255200.0,70.5,69.56,68.5
1998-05-01,67.13,4546800.0,67.75,66.31,66.0
1998-05-04,67.0,2870100.0,68.38,67.0,66.88
1998-05-05,66.75,2309300.0,67.06,66.31,65.38
1998-05-06,67.44,2852700.0,67.44,66.06,65.63
1998-05-07,66.0,2301400.0,66.5,66.13,65.56
1998-05-08,66.69,2047700.0,67.13,67.0,66.19
1998-05-11,67.06,2596000.0,67.44,66.19,65.94
1998-05-12,66.25,1989200.0,66.81,66.56,65.56
1998-05-13,68.44,3415400.0,69.0,68.63,67.63
1998-05-14,68.88,2820000.0,69.0,68.0,67.94
1998-05-15,68.69,3686500.0,69.94,68.44,68.19
1998-05-18,70.0,4252900.0,70.63,69.75,68.19
1998-05-19,69.88,2881600.0,70.63,67.44,67.19
1998-05-20,68.13,2242800.0,68.75,68.31,67.75
1998-05-21,68.56,1471400.0,68.56,67.06,66.13
1998-05-22,66.63,1536200.0,66.81,66.0,66.0
1998-05-26,66.75,2150600.0,66.75,64.13,64.06
1998-05-27,63.44,3837300.0,65.0,64.88,63.38
1998-05-28,65.0,4759800.0,66.0,63.5,63.19
1998-05-29,63.94,6591000.0,64.0,61.38,61.31
1998-06-01,61.44,3459200.0,62.44,61.44,61.06
1998-06-02,61.75,4501100.0,61.88,60.63,60.56
1998-06-03,61.25,3253600.0,62.13,61.13,60.94
1998-06-04,61.25,2645200.0,62.06,61.94,60.63
1998-06-05,63.44,3438900.0,63.75,63.75,62.63
1998-06-08,63.94,2691000.0,64.31,63.94,63.69
1998-06-09,63.75,2466500.0,64.25,64.0,63.31
1998-06-10,64.25,2828500.0,64.88,63.38,63.31
1998-06-11,63.31,2323400.0,63.81,62.25,62.0
1998-06-12,62.13,3086800.0,63.69,63.63,62.06
1998-06-15,62.5,2935400.0,65.0,63.56,62.25
1998-06-16,63.88,2856300.0,64.06,64.06,62.38
1998-06-17,64.0,2836200.0,65.63,64.38,64.0
1998-06-18,64.75,2368500.0,65.75,65.13,64.5
1998-06-19,65.81,4135800.0,67.06,66.56,64.75
1998-06-22,66.13,1747400.0,66.31,66.0,65.5
1998-06-23,66.25,2270900.0,66.56,65.63,65.0
1998-06-24,66.19,2587600.0,68.06,68.06,65.88
1998-06-25,68.0,2275200.0,68.88,67.0,66.75
1998-06-26,67.25,1579200.0,68.81,68.5,66.88
1998-06-29,68.69,1865900.0,68.69,67.63,67.31
1998-06-30,67.88,1411500.0,67.88,66.25,66.06
1998-07-01,66.88,2949700.0,67.13,64.56,64.56
1998-07-02,64.63,1886700.0,65.31,64.88,64.0
1998-07-06,64.75,2626500.0,65.88,65.5,64.69
1998-07-07,65.5,2290000.0,67.0,66.94,65.38
1998-07-08,66.94,1779100.0,67.5,67.31,66.5
1998-07-09,67.19,1485000.0,68.19,66.88,66.63
1998-07-10,66.63,2630100.0,66.75,65.63,64.56
1998-07-13,65.5,1524100.0,65.69,65.44,64.75
1998-07-14,65.13,2310900.0,65.69,65.13,64.13
1998-07-15,65.38,3552000.0,65.44,63.13,62.56
1998-07-16,63.69,2981800.0,64.75,64.44,63.31
1998-07-17,65.0,4224700.0,68.0,67.56,64.94
1998-07-20,67.81,3219300.0,69.44,69.19,67.38
1998-07-21,69.69,4054800.0,69.69,68.88,68.38
1998-07-22,68.75,3414300.0,69.38,69.25,67.81
1998-07-23,69.0,2452900.0,69.0,65.56,65.56
1998-07-24,66.0,2263600.0,67.31,67.0,65.69
1998-07-27,66.0,1795600.0,67.5,66.81,65.63
1998-07-28,66.88,2649500.0,67.19,65.25,64.5
1998-07-29,66.5,2092500.0,67.19,66.44,66.06
1998-07-30,67.56,2138600.0,68.63,68.44,67.38
1998-07-31,68.5,1692600.0,68.81,67.25,66.38
1998-08-03,67.25,2013300.0,68.13,67.25,66.38
