date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,77.88,234500.0,78.44,78.13,77.13
1998-01-05,77.88,135200.0,78.88,78.38,77.44
1998-01-06,77.63,180900.0,78.0,78.0,77.38
1998-01-07,76.63,206900.0,76.94,76.63,76.25
1998-01-08,76.63,204400.0,76.75,75.38,74.94
1998-01-09,74.75,323800.0,75.0,72.88,72.5
1998-01-12,72.5,242100.0,73.5,73.19,72.25
1998-01-13,73.19,177200.0,73.44,73.31,72.5
1998-01-14,73.25,149100.0,74.38,74.06,73.0
1998-01-15,74.0,101800.0,74.06,73.69,73.5
1998-01-16,74.0,277800.0,75.0,74.38,74.0
1998-01-20,74.38,248600.0,76.38,76.38,74.38
1998-01-21,76.38,193900.0,76.94,75.5,74.81
1998-01-22,74.69,68900.0,76.0,75.81,74.63
1998-01-23,75.63,132200.0,76.19,75.56,75.25
1998-01-26,75.56,135400.0,76.0,75.56,75.56
1998-01-27,75.56,108400.0,77.25,76.69,75.56
1998-01-28,76.56,117700.0,76.81,76.63,75.88
1998-01-29,76.75,146500.0,77.63,76.63,76.25
1998-01-30,76.38,109300.0,76.75,76.13,75.69
1998-02-02,76.38,115100.0,77.0,77.0,76.31
1998-02-03,77.0,102000.0,77.0,76.88,76.06
1998-02-04,76.63,130800.0,77.19,76.56,76.38
1998-02-05,76.75,258600.0,76.75,76.38,74.5
1998-02-06,76.63,206800.0,77.38,77.19,76.63
1998-02-09,76.94,221600.0,78.19,78.13,76.81
1998-02-10,78.06,355900.0,79.38,79.25,77.63
1998-02-11,79.25,314900.0,80.5,80.0,79.25
1998-02-12,80.0,599300.0,80.38,80.19,79.25
1998-02-13,79.94,289400.0,80.56,80.0,79.94
1998-02-17,80.19,265600.0,82.13,81.44,80.19
1998-02-18,82.0,547200.0,83.13,82.38,81.91
1998-02-19,82.0,107700.0,82.38,82.06,81.38
1998-02-20,82.31,111300.0,82.81,82.63,82.0
1998-02-23,82.88,233500.0,83.25,83.0,81.38
1998-02-24,83.0,293900.0,83.25,83.0,82.5
1998-02-25,83.19,287300.0,84.25,83.94,83.19
1998-02-26,83.69,150600.0,84.5,84.44,82.88
1998-02-27,84.19,116600.0,84.38,84.0,83.0
1998-03-02,83.63,147100.0,83.94,83.5,83.06
1998-03-03,83.25,98200.0,83.88,83.88,83.0
1998-03-04,83.63,123200.0,83.69,82.88,82.63
1998-03-05,82.38,169700.0,82.44,81.31,81.31
1998-03-06,81.31,355200.0,81.88,81.88,81.0
1998-03-09,81.88,187500.0,83.63,82.81,81.63
1998-03-10,82.94,61200.0,83.69,83.69,82.56
1998-03-11,83.44,134500.0,83.94,83.63,83.31
1998-03-12,83.5,147700.0,83.94,83.69,83.44
1998-03-13,83.69,82100.0,83.69,83.56,82.88
1998-03-16,83.81,238600.0,84.81,84.81,83.56
1998-03-17,84.69,173800.0,85.5,84.81,84.0
1998-03-18,85.0,105500.0,85.0,84.56,84.44
1998-03-19,84.56,79800.0,84.94,84.25,83.88
1998-03-20,84.25,483300.0,84.94,84.56,83.75
1998-03-23,84.56,184300.0,85.31,84.5,84.5
1998-03-24,84.56,399800.0,85.38,85.0,84.44
1998-03-25,85.25,264100.0,85.38,84.38,84.0
1998-03-26,84.38,131300.0,85.13,84.63,83.75
1998-03-27,84.63,194500.0,85.25,84.44,83.88
1998-03-30,84.38,132100.0,84.94,83.63,83.13
1998-03-31,84.75,352700.0,86.5,85.25,84.69
1998-04-01,84.94,170100.0,85.13,85.0,83.69
1998-04-02,85.0,101700.0,86.13,86.0,85.0
1998-04-03,86.44,206400.0,88.75,87.69,85.75
1998-04-06,88.0,179000.0,89.5,89.19,87.75
1998-04-07,88.63,230900.0,89.75,88.5,88.31
1998-04-08,88.5,368100.0,90.5,89.06,88.5
1998-04-09,89.13,239300.0,90.69,89.88,89.13
1998-04-13,89.13,434400.0,90.31,90.31,88.94
1998-04-14,90.31,205200.0,92.31,91.88,90.31
1998-04-15,92.06,187400.0,93.38,92.69,91.56
1998-04-16,92.94,147300.0,93.13,90.94,90.63
1998-04-17,91.0,198300.0,93.25,93.25,90.31
1998-04-20,93.25,184000.0,93.25,91.69,91.19
1998-04-21,91.25,114400.0,91.31,91.31,89.63
1998-04-22,91.31,83000.0,93.0,92.94,91.19
1998-04-23,92.94,120500.0,92.94,91.75,91.19
1998-04-24,91.5,179600.0,92.38,90.5,90.0
1998-04-27,90.13,152800.0,90.13,88.0,87.38
1998-04-28,88.0,150300.0,88.0,86.63,86.25
1998-04-29,86.88,173300.0,87.38,87.06,86.13
1998-04-30,87.06,374800.0,89.44,89.0,86.69
1998-05-01,88.88,157900.0,89.0,88.63,88.0
1998-05-04,88.63,219300.0,88.88,88.31,88.19
1998-05-05,88.06,242800.0,88.56,88.25,87.75
1998-05-06,88.0,276800.0,88.0,87.75,87.44
1998-05-07,87.69,107300.0,87.94,87.31,87.13
1998-05-08,87.31,256400.0,89.56,88.81,87.31
1998-05-11,88.81,254900.0,89.81,89.5,88.75
1998-05-12,89.38,226200.0,90.44,90.13,89.25
1998-05-13,90.63,127900.0,91.63,90.94,90.5
1998-05-14,90.5,218000.0,91.63,90.63,90.25
1998-05-15,90.63,322400.0,92.5,91.25,90.13
1998-05-18,91.31,168500.0,92.0,91.56,90.75
1998-05-19,92.25,152600.0,93.06,92.75,91.75
1998-05-20,92.75,313500.0,93.13,92.5,89.75
1998-05-21,93.0,158800.0,94.13,91.44,90.5
1998-05-22,91.44,125000.0,91.94,90.0,89.38
1998-05-26,90.13,140500.0,90.44,89.63,89.25
1998-05-27,89.75,154500.0,89.75,88.13,87.75
1998-05-28,88.0,247700.0,90.06,90.0,87.75
1998-05-29,90.25,191100.0,90.38,89.88,89.5
1998-06-01,89.88,139800.0,91.88,90.69,89.69
1998-06-02,90.56,111300.0,91.38,90.56,89.31
1998-06-03,90.81,146800.0,91.31,89.38,89.06
1998-06-04,89.31,212500.0,90.94,90.69,89.06
