date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,47.63,316900.0,47.69,47.38,46.75
1998-01-05,47.56,371600.0,47.88,47.06,47.0
1998-01-06,46.81,594000.0,47.69,46.88,46.75
1998-01-07,46.5,469400.0,46.63,45.88,45.69
1998-01-08,45.94,1154800.0,46.0,45.31,44.75
1998-01-09,45.44,850400.0,45.63,44.13,43.44
1998-01-12,43.5,601800.0,44.0,44.0,43.19
1998-01-13,44.0,816300.0,45.31,45.13,43.63
1998-01-14,45.06,349600.0,45.88,45.88,44.63
1998-01-15,45.81,358300.0,45.88,45.25,45.0
1998-01-16,45.69,571600.0,46.88,46.81,45.5
1998-01-20,46.75,514900.0,47.63,47.63,46.75
1998-01-21,47.25,357600.0,47.88,47.88,46.63
1998-01-22,47.63,563200.0,48.25,48.06,47.19
1998-01-23,48.06,1170300.0,49.5,48.81,48.06
1998-01-26,48.81,886200.0,50.13,49.5,48.63
1998-01-27,49.25,1532300.0,50.5,50.06,49.25
1998-01-28,50.0,1143800.0,50.19,49.94,49.69
1998-01-29,50.0,925100.0,51.56,50.38,49.75
1998-01-30,50.38,554600.0,51.0,50.56,50.0
1998-02-02,50.94,505400.0,52.75,52.56,50.94
1998-02-03,52.38,222300.0,52.44,52.19,51.75
1998-02-04,52.06,526000.0,52.5,51.75,51.56
1998-02-05,52.38,861300.0,54.63,54.31,52.31
1998-02-06,54.25,641600.0,54.81,54.81,53.88
1998-02-09,54.94,611400.0,56.0,54.88,54.81
1998-02-10,55.0,509900.0,56.0,55.44,54.69
1998-02-11,55.13,701500.0,55.25,53.88,52.5
1998-02-12,53.88,924700.0,56.81,56.69,53.69
1998-02-13,56.44,458200.0,57.25,56.5,55.38
1998-02-17,56.5,444300.0,56.63,56.0,55.56
1998-02-18,56.0,519800.0,56.81,56.38,55.5
1998-02-19,56.69,335100.0,56.69,56.0,55.5
1998-02-20,56.06,523000.0,56.31,56.31,55.0
1998-02-23,58.0,1453200.0,60.0,59.06,58.0
1998-02-24,59.0,1103800.0,59.13,58.0,57.75
1998-02-25,58.0,721200.0,60.5,60.25,57.88
1998-02-26,59.5,554300.0,59.88,59.69,59.06
1998-02-27,59.56,548500.0,59.56,58.44,58.44
1998-03-02,58.88,672100.0,61.0,61.0,58.88
1998-03-03,60.94,563000.0,61.75,61.75,60.31
1998-03-04,61.75,338100.0,61.88,61.5,61.31
1998-03-05,61.25,544400.0,62.75,62.5,60.75
1998-03-06,63.0,1303400.0,65.63,65.0,62.94
