date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,34.44,135400.0,34.44,33.94,33.63
1998-01-05,33.69,66400.0,34.13,33.94,33.56
1998-01-06,33.94,52367.0,34.5,34.5,33.75
1998-01-07,34.5,197233.0,34.69,34.38,34.13
1998-01-08,34.5,93633.0,34.88,34.63,34.13
1998-01-09,34.63,81733.0,34.69,34.44,34.13
1998-01-12,34.19,117467.0,34.31,34.19,33.81
1998-01-13,34.38,303833.0,35.13,35.0,34.31
1998-01-14,35.0,47500.0,35.0,34.69,34.63
1998-01-15,34.56,58400.0,35.0,34.81,34.56
1998-01-16,34.56,61800.0,35.0,35.0,34.5
1998-01-20,35.0,346700.0,35.19,35.06,34.94
1998-01-21,35.06,294100.0,35.44,35.44,35.0
1998-01-22,35.44,263733.0,35.44,35.0,34.88
1998-01-23,34.94,65300.0,35.19,34.75,34.75
1998-01-26,34.88,61000.0,34.88,34.56,34.44
1998-01-27,34.5,76200.0,34.88,34.81,34.5
1998-01-28,34.81,44133.0,34.88,34.81,34.69
1998-01-29,34.81,56467.0,34.81,34.56,34.5
1998-01-30,34.81,66733.0,34.81,34.69,34.63
1998-02-02,34.81,212433.0,35.0,34.81,34.56
1998-02-03,34.88,85100.0,34.94,34.75,34.69
1998-02-04,34.63,264933.0,34.75,34.63,34.44
1998-02-05,34.63,196133.0,35.0,34.63,34.63
1998-02-06,34.56,81400.0,34.88,34.75,34.56
1998-02-09,34.63,59400.0,34.75,34.75,34.5
1998-02-10,34.63,88100.0,34.75,34.5,34.5
1998-02-11,34.5,155667.0,34.63,34.5,34.25
1998-02-12,34.38,377933.0,34.75,34.69,34.0
1998-02-13,34.81,160267.0,35.88,35.63,34.63
1998-02-17,35.75,141767.0,37.0,36.25,35.75
1998-02-18,36.0,155067.0,36.81,36.63,36.0
1998-02-19,37.5,137000.0,37.56,37.38,37.19
1998-02-20,37.56,46067.0,37.56,37.31,36.94
1998-02-23,37.44,39000.0,37.88,37.63,37.44
1998-02-24,37.88,125700.0,39.5,38.63,37.88
1998-02-25,38.75,68667.0,39.13,38.63,38.63
1998-02-26,38.75,19967.0,38.81,37.94,37.88
1998-02-27,38.0,46867.0,38.38,37.75,37.75
1998-03-02,37.81,59633.0,37.94,37.94,37.5
1998-03-03,38.06,72900.0,38.44,38.38,38.0
1998-03-04,38.38,18067.0,38.38,38.38,38.0
1998-03-05,38.19,33067.0,38.31,38.25,38.0
1998-03-06,38.44,95900.0,39.0,38.94,38.44
1998-03-09,39.0,33467.0,39.0,38.69,38.5
1998-03-10,38.88,95900.0,38.88,38.69,37.63
1998-03-11,38.69,46867.0,39.0,38.81,38.69
1998-03-12,38.94,165933.0,39.0,38.69,38.69
1998-03-13,38.94,24900.0,39.0,39.0,38.94
1998-03-16,39.0,47633.0,39.5,39.44,38.88
1998-03-17,39.5,16200.0,39.5,39.19,39.13
1998-03-18,39.25,18267.0,39.25,39.06,39.0
1998-03-19,39.13,50100.0,40.38,40.06,39.0
1998-03-20,40.06,71267.0,40.63,40.13,39.88
1998-03-23,40.06,37967.0,40.13,39.56,39.25
1998-03-24,39.56,68867.0,40.94,40.25,39.56
1998-03-25,40.5,60367.0,40.56,40.56,39.44
1998-03-26,40.69,68667.0,41.13,40.0,39.69
1998-03-27,40.13,41733.0,40.25,39.81,39.63
1998-03-30,39.69,32100.0,40.0,39.63,39.5
1998-03-31,39.5,103567.0,39.69,39.38,39.31
1998-04-01,39.5,51133.0,39.5,39.25,39.0
1998-04-02,39.25,72700.0,39.25,39.06,38.63
1998-04-03,38.94,46667.0,39.19,39.06,38.94
1998-04-06,39.0,70300.0,39.25,39.19,38.75
1998-04-07,39.06,42967.0,39.06,38.94,38.88
1998-04-08,38.88,57167.0,38.94,38.06,37.81
1998-04-09,38.13,47100.0,38.38,38.38,38.0
1998-04-13,38.63,46467.0,39.25,39.19,38.5
1998-04-14,39.06,58100.0,39.19,39.0,38.56
1998-04-15,38.81,55633.0,39.38,38.94,38.5
1998-04-16,39.06,32233.0,39.19,39.0,38.63
1998-04-17,39.0,56733.0,39.38,39.38,38.88
1998-04-20,40.13,103700.0,40.13,39.31,38.81
1998-04-21,40.0,107900.0,40.0,39.0,38.81
1998-04-22,39.25,66133.0,39.25,39.0,38.56
1998-04-23,39.25,61400.0,39.25,38.44,38.0
1998-04-24,38.5,78867.0,38.63,38.25,37.5
1998-04-27,37.25,62900.0,37.38,37.0,36.88
1998-04-28,37.25,80967.0,37.5,37.25,36.81
1998-04-29,37.38,57967.0,37.75,37.38,37.31
1998-04-30,37.5,152200.0,37.81,37.44,37.44
1998-05-01,37.63,30467.0,37.75,37.56,37.25
1998-05-04,37.81,42567.0,38.0,37.75,37.69
1998-05-05,37.5,39700.0,37.75,37.25,37.06
1998-05-06,36.63,123700.0,36.94,36.63,36.0
1998-05-07,36.56,140900.0,36.88,36.63,36.31
1998-05-08,36.44,57767.0,36.75,36.56,36.38
1998-05-11,36.44,222233.0,37.0,37.0,36.44
1998-05-12,36.88,58733.0,37.0,36.63,36.44
1998-05-13,36.63,53600.0,36.63,36.13,35.88
1998-05-14,35.94,109267.0,36.31,36.06,35.88
1998-05-15,35.88,63467.0,36.13,35.5,35.38
1998-05-18,35.25,744967.0,37.31,35.75,34.63
1998-05-19,35.88,647200.0,35.94,35.38,34.31
1998-05-20,35.13,151967.0,35.63,35.38,34.94
1998-05-21,35.13,128767.0,35.25,34.13,34.0
1998-05-22,34.13,207633.0,34.63,34.25,34.0
1998-05-26,34.19,115633.0,34.38,34.13,34.0
1998-05-27,33.88,166767.0,34.25,34.19,33.81
1998-05-28,34.06,98367.0,34.69,34.25,34.0
1998-05-29,34.13,64467.0,34.38,34.31,34.06
1998-06-01,34.19,58333.0,34.63,34.5,34.06
1998-06-02,34.44,109467.0,35.06,34.75,34.44
1998-06-03,34.75,73367.0,35.06,34.5,34.13
1998-06-04,34.5,42767.0,34.63,34.44,34.31
1998-06-05,34.31,59333.0,34.44,34.38,34.19
1998-06-08,34.25,81800.0,34.94,34.75,34.19
1998-06-09,34.63,205233.0,34.63,34.06,33.88
1998-06-10,34.06,75967.0,34.13,34.06,34.0
1998-06-11,33.94,75167.0,34.0,33.63,33.63
1998-06-12,33.63,124033.0,34.0,33.75,33.56
1998-06-15,33.63,243600.0,33.63,33.25,33.25
1998-06-16,33.25,283833.0,33.5,33.13,33.0
1998-06-17,33.19,112000.0,33.63,33.19,33.13
1998-06-18,33.25,119733.0,33.25,33.13,33.0
1998-06-19,33.06,59633.0,33.19,33.0,33.0
1998-06-22,33.19,57500.0,33.38,33.0,32.88
1998-06-23,33.13,99667.0,33.63,33.38,33.0
1998-06-24,33.31,117333.0,33.44,33.38,32.81
1998-06-25,33.31,94067.0,33.44,33.38,33.31
1998-06-26,33.19,51733.0,33.5,33.19,33.13
