date,1. open,5. volume,2. high,4. close,3. low
2010-04-28,22.25,5244400.0,22.25,22.0,21.7
2010-04-29,22.0,8773600.0,23.25,23.0,21.9
2010-04-30,22.95,1644400.0,23.0,22.3,22.25
2010-05-03,22.75,3302700.0,22.95,22.8,22.65
2010-05-04,22.8,2276500.0,22.8,21.5,21.5
2010-05-05,22.0,6999200.0,22.0,20.59,20.0
2010-05-06,20.5,8029400.0,20.55,19.45,18.45
2010-05-07,19.5,3881500.0,19.55,18.6,17.9
2010-05-10,19.75,3861100.0,19.85,19.01,18.7
2010-05-11,18.75,2626900.0,19.28,18.9,18.75
2010-05-12,19.2,5714300.0,20.04,19.8,19.2
2010-05-13,19.85,2475900.0,20.1,19.65,19.6
2010-05-14,19.3,3133400.0,19.4,18.75,18.75
2010-05-17,19.0,10117000.0,19.2,18.85,18.7
2010-05-18,19.05,6219800.0,19.32,18.79,18.25
2010-05-19,18.9,6227700.0,18.93,17.7,17.55
2010-05-20,17.14,10248400.0,17.14,16.9,16.2
2010-05-21,16.35,4560800.0,17.12,16.55,16.25
2010-05-24,16.7,1761300.0,17.15,16.9,16.68
2010-05-25,16.79,4649600.0,16.79,16.57,16.2
2010-05-26,16.99,2079300.0,17.4,17.15,16.8
2010-05-27,17.65,3156100.0,18.0,17.9,17.65
2010-05-28,17.9,222200.0,17.9,17.77,16.25
2010-06-01,17.65,900800.0,17.8,17.5,17.2
2010-06-02,17.61,829900.0,17.66,17.33,17.22
2010-06-03,17.45,2173600.0,17.5,17.33,17.15
2010-06-04,17.05,3147200.0,17.1,17.05,16.75
2010-06-07,17.15,2826800.0,17.2,16.89,16.74
2010-06-08,17.03,2037700.0,17.03,16.75,16.5
2010-06-09,16.79,1410200.0,17.1,16.79,16.7
2010-06-10,16.97,1401000.0,17.07,16.97,16.85
2010-06-11,16.94,452500.0,17.19,17.14,16.94
2010-06-14,17.19,1008500.0,17.58,17.49,17.19
2010-06-15,17.48,1974300.0,18.0,17.97,17.35
2010-06-16,17.93,1041500.0,17.97,17.64,17.63
2010-06-17,17.68,1090600.0,17.75,17.3,17.14
2010-06-18,17.3299,1373700.0,17.35,17.21,17.15
2010-06-21,17.45,514100.0,17.53,17.1,17.09
2010-06-22,17.09,1502900.0,17.1,16.84,16.8
2010-06-23,16.9,1125700.0,16.95,16.65,16.6
2010-06-24,16.69,2151600.0,16.92,16.8,16.35
2010-06-25,16.9,612000.0,16.92,16.82,16.7
2010-06-28,16.87,355800.0,16.87,16.87,16.7
2010-06-29,16.74,2561000.0,16.74,16.25,16.25
2010-06-30,16.27,1534100.0,16.5,16.15,16.15
2010-07-01,16.2399,4006100.0,16.3,15.55,15.4
2010-07-02,15.58,231700.0,15.69,15.48,15.4
2010-07-06,15.5,833700.0,15.59,15.06,14.9
2010-07-07,15.05,2137200.0,15.15,15.0,14.86
2010-07-08,14.95,2422200.0,15.15,15.05,14.95
2010-07-09,15.1,1478700.0,16.02,15.8,15.0
2010-07-12,15.82,786100.0,16.02,15.82,15.8
2010-07-13,15.83,1647300.0,16.5,16.4,15.83
2010-07-14,16.4,1537200.0,16.45,16.4,16.25
2010-07-15,16.43,905900.0,16.43,16.37,16.0
2010-07-16,16.3,624700.0,16.3,16.2,16.0
2010-07-19,16.175,497300.0,16.7,16.45,16.11
2010-07-20,16.44,1244700.0,16.44,16.19,16.15
2010-07-21,16.19,1801200.0,16.3,16.24,16.19
2010-07-22,16.26,1126300.0,16.59,16.55,16.26
2010-07-23,16.55,1415100.0,16.79,16.78,16.52
2010-07-26,17.0,3400400.0,17.7,17.65,17.0
2010-07-27,17.92,5778800.0,18.34,18.23,17.25
2010-07-28,18.22,2440000.0,18.22,17.93,17.82
2010-07-29,18.1,1598500.0,18.15,17.94,17.84
2010-07-30,17.92,2023100.0,18.07,18.0,17.68
