date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,43.5,627300.0,43.81,42.31,42.31
1998-01-05,42.38,1113300.0,42.44,41.88,41.75
1998-01-06,41.88,852300.0,42.31,41.5,41.5
1998-01-07,41.5,1038700.0,41.5,41.44,41.06
1998-01-08,41.5,1244300.0,43.31,43.31,41.38
1998-01-09,43.5,1029300.0,43.5,41.81,41.44
1998-01-12,41.31,672500.0,42.44,41.63,41.31
1998-01-13,41.63,482500.0,43.0,42.94,41.56
1998-01-14,43.0,655800.0,43.13,42.5,42.06
1998-01-15,42.56,808800.0,43.25,42.94,42.31
1998-01-16,42.94,1408000.0,43.19,43.06,42.44
1998-01-20,43.5,1016600.0,44.25,44.13,43.25
1998-01-21,44.0,1118800.0,44.44,43.88,43.19
1998-01-22,43.69,912900.0,44.0,43.75,42.88
1998-01-23,44.13,719500.0,44.13,43.63,43.06
1998-01-26,43.63,789000.0,43.81,42.25,42.13
1998-01-27,41.0,2434500.0,41.5,41.5,40.75
1998-01-28,41.5,2559700.0,41.5,41.31,40.19
1998-01-29,41.5,1039700.0,42.81,42.06,41.5
1998-01-30,42.5,993000.0,43.0,42.31,42.25
1998-02-02,43.0,972200.0,43.69,43.69,42.75
1998-02-03,44.0,700400.0,44.25,44.19,44.0
1998-02-04,44.19,594000.0,44.31,44.06,43.75
1998-02-05,44.06,492100.0,44.81,44.44,44.06
1998-02-06,44.69,1302300.0,45.69,45.69,44.69
1998-02-09,45.69,756600.0,45.75,45.13,44.75
1998-02-10,45.13,825600.0,45.63,45.31,45.06
1998-02-11,45.81,442900.0,45.81,45.44,45.0
1998-02-12,45.38,976500.0,46.44,46.13,45.38
1998-02-13,46.13,881400.0,46.5,46.06,45.81
1998-02-17,46.31,984900.0,47.38,46.75,46.31
1998-02-18,46.38,1728300.0,46.56,46.31,46.13
1998-02-19,46.5,852100.0,46.56,46.5,46.19
1998-02-20,46.31,571300.0,47.0,46.94,46.31
1998-02-23,47.38,623400.0,48.06,48.06,47.25
1998-02-24,47.88,1219600.0,47.88,47.69,46.81
1998-02-25,47.94,698000.0,49.0,48.56,47.88
1998-02-26,48.19,762600.0,48.44,47.44,47.0
1998-02-27,47.44,549400.0,47.44,46.88,46.38
1998-03-02,46.75,647800.0,47.63,46.38,46.06
1998-03-03,47.0,766000.0,47.94,47.88,46.88
1998-03-04,49.0,3232700.0,50.56,50.25,48.75
1998-03-05,49.75,916300.0,50.38,49.63,49.5
1998-03-06,49.5,1959800.0,51.0,49.69,49.25
1998-03-09,49.25,1547800.0,49.56,49.13,49.0
1998-03-10,49.56,1010200.0,49.94,49.88,49.31
1998-03-11,50.0,1051000.0,50.5,49.69,49.31
1998-03-12,49.94,1525600.0,50.63,50.38,49.81
1998-03-13,50.69,745900.0,51.0,50.5,50.19
1998-03-16,50.5,964000.0,51.38,51.25,50.44
1998-03-17,52.5,744500.0,52.63,52.06,51.75
1998-03-18,51.69,600600.0,51.81,51.06,51.0
1998-03-19,51.06,724800.0,51.75,51.0,51.0
1998-03-20,51.25,566500.0,51.56,51.31,51.0
1998-03-23,51.25,545800.0,51.38,51.31,51.0
1998-03-24,51.31,1271600.0,52.75,52.44,51.31
1998-03-25,52.44,990500.0,53.0,51.0,50.38
1998-03-26,51.19,463700.0,51.94,51.25,51.06
1998-03-27,51.56,1544200.0,51.56,50.81,50.81
1998-03-30,50.81,832400.0,51.19,50.38,50.25
1998-03-31,50.63,1262400.0,52.88,51.81,50.63
1998-04-01,52.44,378000.0,52.5,52.44,51.31
1998-04-02,52.5,387000.0,52.63,51.94,51.88
1998-04-03,52.38,1160800.0,52.38,51.94,51.75
1998-04-06,52.19,1294200.0,52.25,52.25,51.5
1998-04-07,52.25,702600.0,52.25,51.31,50.97
1998-04-08,51.75,989400.0,51.75,50.31,50.06
1998-04-09,50.69,1037100.0,51.5,50.88,50.5
1998-04-13,50.88,587800.0,50.88,50.75,50.5
1998-04-14,50.5,647500.0,50.63,50.38,50.06
1998-04-15,50.44,870500.0,51.88,50.81,49.88
1998-04-16,50.81,479100.0,50.88,50.44,50.38
1998-04-17,50.56,457600.0,50.56,50.06,49.75
1998-04-20,49.5,556700.0,49.94,49.56,49.25
1998-04-21,49.44,1477800.0,49.44,48.81,48.56
1998-04-22,48.81,719700.0,49.56,48.88,48.75
1998-04-23,48.75,599500.0,49.25,48.88,48.75
1998-04-24,48.75,1093200.0,49.0,48.06,47.69
1998-04-27,47.56,848600.0,48.19,46.88,46.38
1998-04-28,48.19,952300.0,48.19,47.63,47.31
1998-04-29,47.63,1098100.0,49.13,49.0,47.63
1998-04-30,49.0,651700.0,50.5,49.5,48.69
1998-05-01,49.38,321800.0,49.75,49.25,48.94
1998-05-04,50.25,740400.0,51.0,50.56,50.06
1998-05-05,50.56,1267900.0,51.19,51.06,50.5
1998-05-06,51.75,806200.0,51.75,51.56,51.06
1998-05-07,51.56,1120800.0,51.63,50.94,50.56
1998-05-08,50.81,665300.0,51.06,50.81,49.81
1998-05-11,50.13,634700.0,51.38,51.19,50.13
1998-05-12,51.0,1395800.0,53.13,52.94,51.0
1998-05-13,53.63,1301300.0,53.75,53.06,52.13
1998-05-14,53.31,848300.0,54.38,53.81,53.31
1998-05-15,54.19,752900.0,54.19,53.38,53.19
1998-05-18,53.25,647300.0,53.25,52.94,52.44
1998-05-19,52.94,957500.0,53.63,52.44,52.13
1998-05-20,52.44,575300.0,52.5,52.5,51.75
1998-05-21,52.38,765300.0,53.13,53.13,52.25
1998-05-22,53.06,473400.0,53.19,52.94,52.63
1998-05-26,52.75,540200.0,53.13,51.81,51.81
1998-05-27,51.31,615100.0,51.88,51.31,50.44
1998-05-28,51.25,564300.0,52.0,51.19,50.5
1998-05-29,51.38,439400.0,52.69,51.81,51.38
1998-06-01,51.81,498800.0,53.56,53.0,51.75
1998-06-02,53.56,514000.0,53.81,52.38,52.19
1998-06-03,52.13,375100.0,52.44,51.44,51.19
1998-06-04,51.44,449400.0,51.69,51.56,50.75
1998-06-05,51.38,481900.0,52.31,52.13,50.5
1998-06-08,52.56,595500.0,52.63,52.44,51.81
1998-06-09,52.44,550200.0,52.44,52.13,51.38
1998-06-10,51.31,807400.0,53.25,52.81,51.31
1998-06-11,52.94,1618200.0,54.0,53.38,52.63
1998-06-12,53.38,839000.0,53.69,53.5,52.94
1998-06-15,52.69,635600.0,53.0,52.31,52.13
1998-06-16,52.63,816900.0,53.13,52.31,51.0
1998-06-17,52.75,963500.0,53.38,52.75,52.31
1998-06-18,52.63,528300.0,52.94,52.69,52.38
1998-06-19,53.06,796500.0,54.31,53.25,53.06
1998-06-22,53.5,662700.0,54.06,52.69,52.56
1998-06-23,52.94,545800.0,52.94,52.63,52.19
1998-06-24,52.25,617100.0,53.25,53.13,52.0
1998-06-25,52.88,1172400.0,53.06,51.69,51.63
1998-06-26,52.06,559100.0,52.63,52.63,52.0
1998-06-29,53.0,1715900.0,55.5,53.5,52.88
1998-06-30,53.63,1641700.0,54.25,53.81,53.31
1998-07-01,54.06,711800.0,54.44,53.94,53.63
1998-07-02,53.94,1084500.0,53.94,53.63,53.38
1998-07-06,53.75,1280500.0,54.62,54.13,53.75
1998-07-07,54.38,915500.0,56.19,55.56,54.38
1998-07-08,55.5,757400.0,55.75,55.75,55.13
1998-07-09,55.75,948300.0,55.75,54.5,54.19
1998-07-10,54.44,488400.0,55.31,54.63,53.81
1998-07-13,54.88,878000.0,55.31,55.19,54.31
1998-07-14,55.19,568000.0,55.88,55.69,55.06
1998-07-15,54.94,827000.0,55.75,55.19,54.94
1998-07-16,55.0,565700.0,55.56,55.38,54.81
1998-07-17,55.25,382000.0,55.38,54.5,54.5
1998-07-20,54.5,364300.0,55.63,55.0,54.5
1998-07-21,55.0,956200.0,56.13,54.44,53.94
1998-07-22,54.69,1760000.0,54.94,53.0,52.38
1998-07-23,53.0,1867200.0,53.0,51.06,51.0
1998-07-24,51.5,1315500.0,52.63,52.25,51.0
1998-07-27,51.94,1061300.0,52.69,52.25,51.88
1998-07-28,52.25,767800.0,52.31,52.0,51.44
1998-07-29,52.69,1177300.0,53.19,52.5,52.31
1998-07-30,53.13,759200.0,53.81,53.81,53.0
1998-07-31,53.56,722600.0,54.0,52.94,52.94
1998-08-03,53.13,616400.0,53.31,52.25,51.81
1998-08-04,52.56,1144600.0,52.94,49.25,49.25
1998-08-05,49.5,1569500.0,51.0,50.25,48.75
1998-08-06,49.63,1406000.0,50.5,49.81,49.56
1998-08-07,49.38,1151400.0,50.56,49.0,49.0
1998-08-10,48.25,1068600.0,50.25,49.94,48.25
1998-08-11,50.25,1275100.0,50.38,50.25,48.25
1998-08-12,50.25,1329000.0,50.69,50.56,48.25
1998-08-13,51.13,992300.0,51.56,50.88,50.88
1998-08-14,50.88,643100.0,51.44,49.31,48.75
1998-08-17,49.13,767500.0,50.06,49.94,49.0
1998-08-18,50.13,813000.0,51.06,50.75,49.81
1998-08-19,51.19,728300.0,51.25,50.31,50.25
1998-08-20,50.31,644100.0,50.31,49.56,49.44
1998-08-21,48.81,812400.0,49.5,48.94,47.88
1998-08-24,48.94,800000.0,51.13,51.13,48.94
1998-08-25,52.0,1290100.0,53.31,52.44,51.69
1998-08-26,51.88,1155000.0,52.06,50.56,50.44
1998-08-27,49.88,957000.0,50.19,48.19,47.75
1998-08-28,48.25,2460500.0,48.75,46.38,46.0
1998-08-31,46.31,1155100.0,47.13,44.0,43.5
1998-09-01,43.63,1958600.0,45.75,45.06,42.13
1998-09-02,45.19,1136200.0,46.0,44.0,44.0
1998-09-03,44.0,1989200.0,44.25,43.13,42.44
1998-09-04,45.0,1336700.0,45.0,43.06,42.63
1998-09-08,46.19,1164000.0,46.31,46.19,43.75
1998-09-09,45.75,1568400.0,45.75,44.5,43.75
1998-09-10,43.5,1924900.0,43.5,42.0,40.75
1998-09-11,43.69,1854600.0,44.5,43.25,43.13
1998-09-14,43.88,1226300.0,45.06,44.38,43.81
1998-09-15,44.88,595200.0,46.19,46.0,44.88
1998-09-16,46.5,1167600.0,46.56,45.56,45.56
1998-09-17,44.69,971600.0,45.44,45.06,44.44
1998-09-18,45.13,865100.0,45.88,45.88,44.94
1998-09-21,45.0,1443000.0,47.06,46.69,44.5
