date,1. open,5. volume,2. high,4. close,3. low
2006-05-25,40.3,39534300.0,47.2,46.0,40.2
2006-05-26,46.31,10304400.0,46.74,44.93,44.11
2006-05-30,44.97,4989800.0,44.98,44.0,42.85
2006-05-31,44.35,3000200.0,45.36,44.94,44.35
2006-06-01,44.93,6234400.0,48.1,47.51,44.9
2006-06-02,47.51,3725300.0,48.7,46.99,46.79
2006-06-05,47.05,3718800.0,49.75,49.15,47.0
2006-06-06,49.61,4904500.0,50.63,48.3,47.8
2006-06-07,48.33,2501300.0,48.4,47.6,46.75
2006-06-08,47.25,3443900.0,47.72,47.72,45.5
2006-06-09,48.8,1337200.0,48.8,47.91,47.68
2006-06-12,47.94,1454600.0,48.25,46.95,46.3
2006-06-13,46.75,1671600.0,47.35,45.5,45.3
2006-06-14,45.27,1597100.0,45.45,45.12,44.44
2006-06-15,45.4,1650000.0,46.12,45.95,45.13
2006-06-16,45.95,1228000.0,46.0,45.02,45.0
2006-06-19,45.05,1150900.0,45.45,44.34,44.1
2006-06-20,44.74,2379200.0,45.0,44.02,43.47
2006-06-21,44.02,1806300.0,46.25,45.3,44.0
2006-06-22,46.4,1303800.0,47.0,46.6,45.88
2006-06-23,47.0,1161200.0,47.93,46.95,46.87
2006-06-26,47.0,856500.0,47.5,47.5,46.43
2006-06-27,47.5,982600.0,48.03,47.31,47.25
2006-06-28,46.85,875600.0,47.4,46.96,46.5
2006-06-29,46.95,1447000.0,48.09,48.0,46.95
2006-06-30,47.65,2596400.0,48.0,48.0,46.6
2006-07-03,47.9,702900.0,48.0,47.3,46.8101
2006-07-05,47.4,1326600.0,47.84,47.6,46.71
2006-07-06,47.0,809700.0,47.35,46.8,46.79
2006-07-07,46.75,838000.0,46.85,46.12,45.75
2006-07-10,46.2,497800.0,46.57,46.49,46.12
2006-07-11,46.49,807900.0,46.49,46.35,45.3
2006-07-12,46.4,767200.0,46.4,45.55,45.54
2006-07-13,45.18,1662500.0,45.18,44.72,44.3
2006-07-14,44.62,966300.0,44.68,43.95,43.9
2006-07-17,44.1,645800.0,44.17,43.99,43.75
2006-07-18,43.99,1248300.0,44.1,43.9,43.67
2006-07-19,43.91,1584000.0,45.45,45.28,43.8
2006-07-20,45.4,882900.0,45.78,45.55,45.1
2006-07-21,45.55,851000.0,45.55,45.28,44.77
2006-07-24,45.45,501700.0,45.53,45.0,44.99
2006-07-25,45.2,690000.0,46.4,46.08,45.16
2006-07-26,46.14,1033800.0,47.85,46.68,45.8
2006-07-27,46.9,600900.0,47.17,46.52,46.52
2006-07-28,46.51,433900.0,46.8,46.3,46.26
2006-07-31,46.3,461600.0,46.41,45.87,45.86
2006-08-01,45.92,739000.0,45.92,45.0,44.7
2006-08-02,48.0,5337200.0,50.05,50.02,47.31
2006-08-03,49.13,2168900.0,50.24,49.99,48.65
2006-08-04,50.3,1421600.0,51.5,50.05,49.99
2006-08-07,50.25,691800.0,51.3,51.1,50.25
2006-08-08,51.1,1407300.0,52.67,52.57,51.0501
2006-08-09,53.0,1504300.0,54.5,52.85,52.0
2006-08-10,52.2,872500.0,53.91,53.56,52.1
2006-08-11,53.5,907800.0,54.45,53.68,53.25
2006-08-14,53.75,631400.0,54.54,54.23,53.52
2006-08-15,54.7,855300.0,54.93,54.49,54.26
2006-08-16,54.65,1534400.0,55.43,54.27,54.1601
2006-08-17,54.2,1021600.0,54.24,53.46,53.19
2006-08-18,53.1,934300.0,53.65,53.45,52.46
2006-08-21,53.3,1248700.0,55.55,54.26,52.8
2006-08-22,54.2,976100.0,55.5,55.23,54.2
2006-08-23,55.48,1043900.0,55.75,54.6,54.5416
2006-08-24,54.9,542000.0,55.85,55.65,54.82
2006-08-25,55.75,801600.0,55.8525,55.0,54.93
2006-08-28,54.85,374800.0,55.45,55.02,54.766
2006-08-29,55.25,321100.0,55.65,55.35,55.1604
2006-08-30,55.48,580100.0,55.7756,55.25,55.17
2006-08-31,55.25,702300.0,56.17,55.9,55.25
2006-09-01,55.97,2055900.0,57.5,56.55,55.97
2006-09-05,56.9,461800.0,57.24,56.85,56.2501
2006-09-06,56.9,1569400.0,58.88,58.88,56.57
2006-09-07,58.51,2654900.0,60.87,60.12,58.5
2006-09-08,61.0,1517600.0,61.25,59.75,59.29
2006-09-11,59.75,1706400.0,61.99,61.87,59.6
2006-09-12,60.99,1699200.0,62.1499,62.1,60.99
2006-09-13,62.0,1235500.0,62.3,61.35,60.9
2006-09-14,60.85,1301000.0,63.25,62.79,60.7
2006-09-15,62.79,1931400.0,65.2,64.97,62.79
2006-09-18,65.74,2365600.0,67.55,65.12,64.3
2006-09-19,65.0,1726300.0,66.15,64.84,64.3
2006-09-20,65.1,1347600.0,66.7,66.55,64.5
2006-09-21,67.53,2906300.0,69.6,69.05,67.01
2006-09-22,69.0,2987400.0,69.5,65.93,65.08
2006-09-25,65.25,3567700.0,65.7,64.4,62.2
2006-09-26,63.4,3996900.0,67.33,66.0,62.76
2006-09-27,66.999,1963300.0,67.9,67.84,65.45
2006-09-28,67.65,1339500.0,68.91,68.65,67.65
2006-09-29,68.65,2005600.0,70.45,70.35,67.56
2006-10-02,70.35,1739300.0,70.35,69.96,69.6566
2006-10-03,68.4,1673300.0,70.9,69.68,68.4
2006-10-04,70.0,1367900.0,70.41,69.53,68.75
2006-10-05,69.78,2575600.0,72.9,72.59,69.01
2006-10-06,72.4,3541000.0,75.85,75.15,72.01
2006-10-09,72.25,3708400.0,73.2299,72.8,70.9505
2006-10-10,71.15,2676400.0,73.25,71.91,70.5
2006-10-11,70.95,3548300.0,71.0,69.5,68.28
2006-10-12,69.1,1511700.0,70.82,70.41,68.72
2006-10-13,71.0,1132100.0,71.7,70.09,69.82
2006-10-16,70.0,880200.0,71.71,71.3,69.85
2006-10-17,71.1,986500.0,71.2,69.5,69.27
2006-10-18,69.61,856200.0,71.18,70.45,69.54
2006-10-19,70.45,1341400.0,72.9,72.33,69.75
2006-10-20,72.8,526400.0,72.85,71.22,71.0
2006-10-23,71.35,738900.0,71.62,70.25,69.801
2006-10-24,70.15,851200.0,71.5,71.2,69.92
2006-10-25,71.25,1134900.0,71.25,70.75,70.5
2006-10-26,70.85,2115200.0,74.0,72.2,69.89
2006-10-27,71.0,2674100.0,73.0,72.64,69.0001
2006-10-30,72.62,1747100.0,73.6,72.54,71.75
2006-10-31,72.28,3593000.0,76.25,74.1,71.94
2006-11-01,82.16,14128300.0,87.5,85.07,81.75
2006-11-02,83.1,6253600.0,88.08,87.6,82.5
2006-11-03,87.66,4247600.0,89.75,89.51,86.77
2006-11-06,90.0,9774900.0,97.14,96.3,89.99
2006-11-07,95.6,7162300.0,96.17,92.5,92.4
2006-11-08,91.5,6417200.0,92.0,88.44,88.05
2006-11-09,91.1,6298200.0,92.35,88.2,88.2
2006-11-10,88.64,2778200.0,90.5,89.2,87.76
2006-11-13,93.94,11416600.0,97.99,96.55,93.29
2006-11-14,96.8,3852400.0,97.24,95.2,94.39
2006-11-15,95.21,5660600.0,99.65,95.3,95.0
2006-11-16,96.0,3564700.0,97.2,94.52,93.9
2006-11-17,93.35,2851600.0,95.38,94.79,92.06
2006-11-20,93.98,2290400.0,96.21,96.19,93.72
2006-11-21,97.0,5949400.0,100.83,100.6,96.5
2006-11-22,101.75,4264800.0,103.93,103.26,100.82
2006-11-24,101.9,2160000.0,105.85,105.48,100.5
2006-11-27,106.0,7364300.0,108.6,98.99,98.99
2006-11-28,97.5,6151100.0,101.0,100.75,95.5
2006-11-29,102.38,4899600.0,102.68,99.2,96.85
2006-11-30,99.27,4125400.0,102.02,101.75,96.52
2006-12-01,102.22,3521000.0,102.45,101.17,99.09
2006-12-04,101.0,2027600.0,101.49,100.08,99.25
2006-12-05,99.75,2126400.0,102.25,99.25,99.0
2006-12-06,101.19,3007100.0,102.0,99.13,98.5
2006-12-07,99.3,2176300.0,100.93,99.68,98.62
2006-12-08,99.68,1597600.0,100.8,100.1,98.93
2006-12-11,100.1,3008800.0,102.24,99.1,98.94
2006-12-12,98.71,4660200.0,99.1,95.75,94.27
2006-12-13,96.8,1891200.0,97.65,95.77,95.03
2006-12-14,95.77,2411100.0,96.48,95.6,94.8
2006-12-15,96.32,1458500.0,96.33,96.19,95.35
2006-12-18,96.0,2605900.0,96.0,92.9,92.55
2006-12-19,92.45,3195400.0,97.52,97.4,90.5
2006-12-20,97.4,2821100.0,99.45,97.51,96.25
2006-12-21,95.81,3108400.0,96.35,95.71,93.89
2006-12-22,95.7,1319400.0,97.0,96.35,95.18
2006-12-26,96.5,1022700.0,96.75,95.14,94.38
2006-12-27,94.9,1998700.0,99.49,99.37,94.5
2006-12-28,99.36,2238600.0,99.79,98.96,97.56
2006-12-29,99.5,1088700.0,99.62,98.49,98.26
2007-01-03,99.55,2628900.0,99.68,96.41,95.63
2007-01-04,96.9,2702400.0,101.85,101.14,95.3
2007-01-05,100.99,2963200.0,102.2,101.06,99.0
2007-01-08,99.01,1600600.0,102.25,101.08,99.0
2007-01-09,101.1,3695200.0,105.75,105.65,100.6
2007-01-10,105.0,3509900.0,106.5,104.74,103.0
2007-01-11,105.5,3767100.0,108.03,105.5,103.54
2007-01-12,105.75,1823300.0,107.25,105.25,104.85
2007-01-16,105.3,1802800.0,107.47,106.0,104.63
2007-01-17,107.0,4590300.0,110.22,109.04,105.77
2007-01-18,109.95,4278700.0,109.99,102.49,101.8
2007-01-19,102.5,3002900.0,105.35,105.03,102.0
2007-01-22,105.99,2103300.0,108.0,107.61,104.5
2007-01-23,108.71,2141400.0,109.14,108.41,107.02
2007-01-24,108.9,3164300.0,113.08,111.42,108.7
2007-01-25,112.25,2178500.0,112.28,107.87,106.97
2007-01-26,109.19,1750100.0,109.88,108.52,106.5
2007-01-29,109.0,1210500.0,111.0,109.74,108.7
2007-01-30,109.64,1149300.0,111.61,110.75,109.24
2007-01-31,111.8,1366500.0,112.17,111.55,110.75
