date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,28.69,30500.0,29.06,29.0,28.69
1998-01-05,29.13,71000.0,29.5,29.44,29.13
1998-01-06,29.44,50400.0,29.56,29.5,29.25
1998-01-07,29.56,37300.0,29.75,29.56,29.44
1998-01-08,29.63,23000.0,29.63,29.56,29.44
1998-01-09,29.5,34100.0,29.5,29.38,29.31
1998-01-12,29.19,34800.0,29.38,29.31,29.0
1998-01-13,29.44,25100.0,29.56,29.38,29.25
1998-01-14,29.31,24800.0,29.69,29.63,29.31
1998-01-15,29.63,105700.0,29.75,29.75,29.56
1998-01-16,29.75,59100.0,29.81,29.81,29.63
1998-01-20,29.81,85900.0,29.88,29.75,29.69
1998-01-21,29.19,35200.0,29.5,29.31,29.06
1998-01-22,29.25,36500.0,29.25,29.25,29.13
1998-01-23,29.31,34200.0,29.38,29.13,29.06
1998-01-26,29.06,43900.0,29.19,28.81,28.5
1998-01-27,28.81,42400.0,28.94,28.81,28.56
1998-01-28,28.94,54400.0,29.0,28.88,28.81
1998-01-29,28.94,29100.0,29.38,28.88,28.88
1998-01-30,29.06,28100.0,29.25,28.94,28.88
1998-02-02,29.19,43500.0,29.19,29.0,28.94
1998-02-03,29.06,20300.0,29.19,29.06,28.94
1998-02-04,29.0,22200.0,29.06,28.94,28.88
1998-02-05,28.94,29600.0,29.06,28.94,28.94
1998-02-06,29.0,38500.0,29.0,28.94,28.75
1998-02-09,28.88,31900.0,28.94,28.94,28.81
1998-02-10,28.81,51500.0,29.0,28.63,28.63
1998-02-11,28.81,34600.0,29.0,28.94,28.75
1998-02-12,28.94,77800.0,28.94,28.63,28.44
1998-02-13,28.5,53400.0,28.5,28.44,28.13
1998-02-17,28.5,57500.0,28.5,27.81,27.63
1998-02-18,27.94,38200.0,28.25,28.19,27.88
1998-02-19,28.06,36600.0,28.25,28.06,27.94
1998-02-20,28.0,31000.0,28.19,27.88,27.88
1998-02-23,28.0,44400.0,28.0,27.94,27.88
1998-02-24,28.13,40000.0,28.38,28.38,28.0
1998-02-25,28.44,36400.0,28.69,28.63,28.44
1998-02-26,28.5,23200.0,28.88,28.63,28.5
1998-02-27,28.5,30400.0,28.69,28.31,28.31
1998-03-02,28.38,33500.0,28.38,28.06,27.81
1998-03-03,28.19,36600.0,28.31,28.25,28.0
1998-03-04,28.13,32900.0,28.19,28.13,28.0
1998-03-05,27.94,29500.0,28.19,28.19,27.94
1998-03-06,28.06,57900.0,28.25,28.25,28.06
1998-03-09,28.06,12200.0,28.13,28.13,28.0
1998-03-10,28.13,34300.0,28.19,28.0,27.94
1998-03-11,28.0,30800.0,28.19,28.13,28.0
1998-03-12,28.06,68100.0,28.31,28.13,28.0
1998-03-13,28.13,17000.0,28.25,28.19,28.13
1998-03-16,28.13,29900.0,28.19,28.06,28.06
1998-03-17,28.06,25900.0,28.25,28.0,27.88
1998-03-18,27.81,122700.0,28.0,27.63,27.5
1998-03-19,27.69,16000.0,27.81,27.69,27.56
1998-03-20,27.75,33100.0,27.88,27.81,27.69
1998-03-23,27.75,80100.0,28.06,27.69,27.56
1998-03-24,27.75,40700.0,28.0,27.94,27.63
1998-03-25,27.94,33400.0,28.0,28.0,27.75
1998-03-26,28.0,49700.0,28.25,28.25,27.94
1998-03-27,28.25,44200.0,28.25,28.13,27.94
1998-03-30,28.06,36400.0,28.25,28.25,28.06
1998-03-31,28.25,72500.0,28.25,28.19,28.0
1998-04-01,28.13,26300.0,28.25,28.25,28.06
1998-04-02,28.25,52300.0,28.88,28.81,28.25
1998-04-03,28.88,24100.0,29.06,28.94,28.81
1998-04-06,28.81,56000.0,29.06,28.81,28.81
1998-04-07,28.81,34100.0,28.94,28.88,28.75
1998-04-08,28.81,21000.0,28.94,28.38,28.38
1998-04-09,28.38,37500.0,28.38,28.19,28.13
1998-04-13,28.25,29800.0,28.31,28.19,28.06
1998-04-14,28.38,48000.0,28.38,27.88,27.0
1998-04-15,27.88,38900.0,28.19,28.13,27.88
1998-04-16,28.13,40100.0,28.25,28.13,28.06
1998-04-17,28.25,21200.0,28.38,28.31,28.13
1998-04-20,28.25,28700.0,28.5,28.44,28.25
1998-04-21,27.81,50900.0,28.25,27.88,27.81
1998-04-22,27.63,122900.0,27.63,26.81,26.75
1998-04-23,26.81,82300.0,27.25,27.0,26.75
1998-04-24,26.94,29500.0,27.13,27.06,26.94
1998-04-27,27.0,45600.0,27.06,26.88,26.75
1998-04-28,26.81,65000.0,26.88,26.56,26.5
1998-04-29,26.69,53500.0,26.88,26.63,26.56
1998-04-30,26.63,44000.0,26.75,26.63,26.63
1998-05-01,26.69,51300.0,27.25,27.25,26.63
1998-05-04,27.19,36000.0,27.31,27.13,27.13
1998-05-05,27.25,40200.0,27.25,26.94,26.81
1998-05-06,27.0,69600.0,27.25,27.06,26.94
1998-05-07,27.06,70600.0,27.38,27.31,27.06
1998-05-08,27.31,29400.0,27.69,27.56,27.31
1998-05-11,27.69,46800.0,27.94,27.81,27.63
1998-05-12,27.75,23900.0,27.81,27.69,27.63
1998-05-13,27.75,24900.0,27.88,27.63,27.63
1998-05-14,27.69,23700.0,27.75,27.63,27.63
1998-05-15,27.63,25900.0,27.69,27.5,27.5
1998-05-18,27.56,35400.0,27.69,27.25,27.19
1998-05-19,27.38,13200.0,27.44,27.25,27.25
1998-05-20,27.31,7600.0,27.38,27.19,27.19
1998-05-21,27.25,13900.0,27.5,27.38,27.13
