date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,50.5,430300.0,51.19,50.69,50.5
1998-01-05,50.69,881200.0,51.06,51.0,50.38
1998-01-06,50.56,542100.0,51.25,50.63,50.5
1998-01-07,50.38,749700.0,50.94,50.94,50.06
1998-01-08,50.63,808100.0,51.44,51.0,50.63
1998-01-09,51.0,557100.0,51.0,50.13,50.13
1998-01-12,49.63,1043000.0,50.13,49.94,49.5
1998-01-13,50.0,1212800.0,51.0,51.0,50.0
1998-01-14,51.0,674100.0,51.25,50.81,50.31
1998-01-15,50.63,447600.0,51.0,51.0,50.25
1998-01-16,51.0,628300.0,51.0,50.94,50.56
1998-01-20,50.94,836500.0,51.06,50.94,50.13
1998-01-21,51.0,791700.0,51.19,51.06,50.38
1998-01-22,51.06,689400.0,51.06,51.0,50.5
1998-01-23,51.0,376100.0,51.0,49.56,49.5
1998-01-26,49.75,262800.0,49.88,49.31,49.13
1998-01-27,49.31,1062000.0,49.69,49.5,49.25
1998-01-28,50.0,396400.0,50.38,49.44,49.25
1998-01-29,49.5,530300.0,49.88,49.38,49.31
1998-01-30,49.38,624200.0,49.75,49.25,49.25
1998-02-02,49.38,679200.0,50.69,50.0,49.31
1998-02-03,50.0,288000.0,50.5,50.5,49.63
1998-02-04,50.13,534500.0,50.88,50.81,49.81
1998-02-05,50.94,669500.0,51.0,50.69,49.94
1998-02-06,50.88,690900.0,51.0,50.94,50.63
1998-02-09,51.0,548500.0,51.06,51.06,50.69
1998-02-10,51.19,1122200.0,51.69,51.44,50.69
1998-02-11,51.63,220200.0,51.69,50.94,50.75
1998-02-12,51.13,240400.0,51.13,51.0,50.44
1998-02-13,51.0,270000.0,51.25,51.0,50.63
1998-02-17,51.38,825800.0,51.69,51.13,50.88
1998-02-18,51.38,813600.0,52.88,50.94,50.75
1998-02-19,51.19,617100.0,51.81,50.19,50.0
1998-02-20,50.38,388000.0,51.19,51.19,50.19
1998-02-23,51.44,398800.0,51.69,51.44,50.69
1998-02-24,51.5,368800.0,52.13,51.25,50.88
1998-02-25,51.5,562100.0,52.88,52.31,51.5
1998-02-26,53.0,844300.0,53.94,53.88,52.81
1998-02-27,53.75,737300.0,54.63,54.38,53.63
1998-03-02,54.38,491600.0,54.88,54.75,54.38
1998-03-03,54.0,385300.0,54.69,54.38,53.56
1998-03-04,54.75,268900.0,54.94,54.63,54.38
1998-03-05,54.19,389800.0,55.88,55.13,54.13
1998-03-06,55.94,825000.0,56.44,56.25,55.81
1998-03-09,56.25,534400.0,57.25,57.19,56.0
1998-03-10,57.94,451600.0,58.5,58.5,57.06
1998-03-11,58.56,428400.0,59.06,59.0,58.31
1998-03-12,59.13,543300.0,59.69,59.69,58.88
1998-03-13,59.81,403200.0,59.81,58.88,58.88
1998-03-16,58.81,505300.0,59.69,59.31,58.81
1998-03-17,59.06,265500.0,59.69,59.56,58.94
1998-03-18,59.31,303200.0,59.31,58.81,58.69
1998-03-19,58.94,137700.0,59.69,59.69,58.69
1998-03-20,59.69,701900.0,59.69,58.25,58.25
1998-03-23,58.25,503700.0,58.56,58.19,57.63
1998-03-24,58.06,250300.0,58.5,58.31,57.56
1998-03-25,58.75,430100.0,59.13,58.19,58.06
1998-03-26,57.75,290600.0,58.44,58.13,57.31
1998-03-27,58.56,244900.0,58.56,58.13,57.81
1998-03-30,58.44,368100.0,58.94,58.56,57.81
1998-03-31,58.75,325500.0,59.5,59.5,58.44
1998-04-01,59.25,345800.0,59.5,59.44,58.56
1998-04-02,59.5,424900.0,60.38,60.38,59.19
1998-04-03,60.38,364100.0,60.38,60.13,59.63
1998-04-06,60.13,322800.0,60.5,60.25,59.94
1998-04-07,60.06,310900.0,60.25,59.5,59.06
1998-04-08,59.38,573200.0,60.19,60.06,59.31
1998-04-09,60.06,216000.0,60.06,59.81,59.75
1998-04-13,59.81,840400.0,59.81,58.88,58.81
1998-04-14,59.0,779600.0,59.25,58.88,58.81
1998-04-15,58.88,497300.0,59.0,58.75,58.69
1998-04-16,58.75,456700.0,58.94,57.94,57.94
1998-04-17,58.06,502000.0,59.44,59.19,58.0
1998-04-20,59.06,330800.0,59.13,58.94,58.13
1998-04-21,58.75,333100.0,59.19,59.06,58.5
1998-04-22,59.13,337700.0,59.31,59.13,59.0
1998-04-23,59.13,662600.0,59.38,57.06,56.81
1998-04-24,57.06,1226300.0,57.06,56.0,55.75
1998-04-27,56.25,511000.0,56.25,54.31,54.19
1998-04-28,56.0,853300.0,56.0,55.06,54.31
1998-04-29,55.06,681600.0,57.63,57.13,54.88
1998-04-30,57.19,324800.0,58.25,58.0,56.94
1998-05-01,58.06,235600.0,58.19,57.5,57.06
1998-05-04,57.5,272000.0,58.19,57.25,57.0
1998-05-05,57.06,227300.0,57.75,57.75,56.94
1998-05-06,57.69,699600.0,59.06,58.63,57.56
1998-05-07,58.75,430400.0,59.0,59.0,58.44
1998-05-08,58.75,288500.0,59.13,58.69,58.38
1998-05-11,59.13,344600.0,59.69,58.5,58.38
1998-05-12,58.56,310500.0,58.94,58.88,58.0
1998-05-13,59.06,261700.0,59.44,58.88,58.63
1998-05-14,59.0,293200.0,59.25,59.0,58.69
1998-05-15,59.0,326500.0,59.13,57.88,57.44
1998-05-18,57.75,417400.0,58.25,57.0,56.31
1998-05-19,57.06,407300.0,58.69,58.69,56.75
1998-05-20,58.69,356100.0,58.94,58.13,57.81
1998-05-21,58.56,260000.0,59.0,58.63,57.81
1998-05-22,58.75,161700.0,58.94,57.75,57.75
1998-05-26,57.81,148500.0,57.88,56.81,56.81
1998-05-27,56.5,285500.0,56.75,56.75,55.31
1998-05-28,56.94,501800.0,56.94,55.31,55.06
1998-05-29,55.5,341700.0,56.69,56.25,55.38
1998-06-01,56.0,350800.0,57.38,57.0,55.63
1998-06-02,58.0,300900.0,58.25,57.81,57.44
1998-06-03,57.88,453200.0,57.88,57.0,56.63
1998-06-04,57.0,194000.0,57.56,57.38,56.75
1998-06-05,57.44,169900.0,58.31,57.94,57.0
1998-06-08,57.75,168300.0,57.94,57.06,56.75
1998-06-09,57.88,464000.0,58.38,57.44,57.19
1998-06-10,57.5,365600.0,57.69,57.44,56.94
1998-06-11,57.88,432900.0,57.94,57.0,56.56
1998-06-12,56.63,229000.0,57.25,56.75,56.25
1998-06-15,56.63,684500.0,56.94,55.31,55.25
1998-06-16,55.56,398800.0,56.5,54.69,53.88
1998-06-17,55.25,436900.0,56.25,56.25,54.63
1998-06-18,56.5,311300.0,57.69,57.38,55.94
1998-06-19,59.25,636700.0,59.25,58.75,58.0
1998-06-22,58.75,354800.0,59.5,59.06,58.38
1998-06-23,59.06,316200.0,59.44,59.44,58.81
1998-06-24,59.44,461500.0,59.75,59.5,58.69
1998-06-25,59.25,436300.0,59.25,58.75,57.63
1998-06-26,58.94,411000.0,59.56,59.06,58.5
1998-06-29,59.44,296300.0,59.63,59.31,58.69
1998-06-30,59.19,571000.0,60.94,60.5,59.13
1998-07-01,60.75,548200.0,61.75,61.69,60.13
1998-07-02,60.94,337700.0,62.06,61.88,60.75
1998-07-06,62.0,400500.0,62.94,62.69,61.75
1998-07-07,62.75,189000.0,63.31,62.63,62.56
1998-07-08,62.63,364700.0,64.0,63.31,62.63
1998-07-09,63.06,217900.0,63.19,62.38,62.06
1998-07-10,62.5,570500.0,63.81,63.44,61.88
1998-07-13,31.81,430250.0,32.25,32.13,31.5
1998-07-14,32.31,978500.0,33.0,32.5,31.81
1998-07-15,32.5,1002000.0,32.5,31.63,31.56
1998-07-16,31.75,533000.0,31.94,31.69,31.44
1998-07-17,31.75,715900.0,31.75,31.13,30.75
1998-07-20,31.06,531000.0,31.69,31.0,31.0
1998-07-21,31.0,468400.0,31.38,30.88,30.63
1998-07-22,31.0,541500.0,31.19,30.63,30.5
1998-07-23,30.56,490700.0,30.75,29.75,29.75
1998-07-24,30.38,732800.0,30.94,30.75,29.44
1998-07-27,30.75,833400.0,31.13,31.13,30.5
1998-07-28,31.19,680000.0,31.19,30.75,30.75
1998-07-29,31.31,1843100.0,31.69,30.38,30.38
1998-07-30,30.5,718900.0,30.94,29.88,29.5
1998-07-31,30.06,810700.0,30.06,28.56,27.88
1998-08-03,28.5,914800.0,29.44,29.31,28.5
1998-08-04,29.63,1432100.0,30.06,29.44,29.31
1998-08-05,29.19,1007500.0,29.25,28.81,27.94
1998-08-06,28.56,485800.0,29.19,29.13,28.5
1998-08-07,29.0,721600.0,29.0,28.88,28.44
1998-08-10,28.44,690200.0,29.13,28.5,27.81
1998-08-11,28.5,407800.0,28.81,28.63,28.06
1998-08-12,28.5,457100.0,29.0,29.0,28.06
1998-08-13,28.88,526400.0,29.63,29.31,28.69
1998-08-14,29.5,531100.0,29.56,27.69,27.25
1998-08-17,27.44,682600.0,28.44,28.13,27.0
1998-08-18,28.31,343600.0,28.88,28.63,28.13
1998-08-19,28.63,624700.0,29.0,28.38,28.06
1998-08-20,28.13,677500.0,28.44,27.94,27.38
1998-08-21,27.5,883500.0,28.5,28.5,27.44
1998-08-24,28.88,570600.0,29.0,28.5,27.88
1998-08-25,28.75,1228200.0,30.13,29.94,28.75
1998-08-26,30.38,4502100.0,30.38,28.75,28.38
1998-08-27,28.56,1596100.0,28.75,27.31,27.0
1998-08-28,27.63,1370700.0,27.69,25.81,25.38
1998-08-31,25.81,1473700.0,26.06,23.0,22.88
1998-09-01,24.0,1714800.0,24.63,23.25,22.94
1998-09-02,23.5,1183600.0,24.5,23.88,23.0
1998-09-03,23.25,705000.0,24.06,23.06,23.0
1998-09-04,23.06,781800.0,23.81,23.69,22.69
1998-09-08,24.38,698900.0,24.63,24.06,23.06
1998-09-09,24.88,983300.0,24.88,24.31,24.25
1998-09-10,24.44,1012200.0,25.0,24.25,23.94
1998-09-11,24.44,846300.0,25.5,25.0,24.38
1998-09-14,25.13,598000.0,26.63,26.0,25.0
1998-09-15,26.0,362600.0,26.0,25.75,25.5
1998-09-16,25.5,1064300.0,26.06,25.75,25.44
1998-09-17,25.75,360700.0,26.31,26.0,25.31
1998-09-18,25.63,1181800.0,25.69,25.25,25.0
1998-09-21,25.25,573800.0,25.63,25.44,24.5
1998-09-22,25.69,522300.0,25.88,25.13,25.06
1998-09-23,25.56,651000.0,25.94,25.63,25.0
1998-09-24,25.88,691400.0,26.75,25.31,25.13
1998-09-25,25.31,534400.0,26.63,26.63,25.31
1998-09-28,26.63,435600.0,27.19,26.81,26.31
1998-09-29,26.94,410100.0,27.0,26.31,25.81
1998-09-30,26.06,981400.0,26.06,24.75,24.25
1998-10-01,23.75,2376500.0,23.88,22.63,22.5
1998-10-02,22.5,1376900.0,23.5,23.13,22.5
1998-10-05,23.0,1204300.0,23.25,22.75,22.06
1998-10-06,22.75,1508000.0,22.75,22.44,22.0
1998-10-07,22.63,1493900.0,22.69,22.06,21.69
1998-10-08,22.06,1612600.0,22.19,21.5,20.81
1998-10-09,21.44,910500.0,21.44,21.13,20.75
1998-10-12,21.13,1699800.0,22.25,21.94,21.13
1998-10-13,21.94,1590200.0,22.06,22.0,21.25
1998-10-14,21.94,1945100.0,22.5,22.19,21.63
1998-10-15,22.19,1631200.0,23.44,23.25,22.19
1998-10-16,24.0,1732700.0,24.94,24.88,23.75
1998-10-19,25.0,976000.0,26.38,26.31,24.81
1998-10-20,26.81,900000.0,28.13,28.13,26.81
1998-10-21,28.13,434600.0,28.13,26.94,26.56
1998-10-22,26.94,458100.0,27.44,27.38,26.75
1998-10-23,27.0,506100.0,27.44,27.25,26.56
1998-10-26,27.25,607600.0,28.0,27.75,27.0
1998-10-27,28.0,573100.0,28.0,27.63,27.06
1998-10-28,27.38,580700.0,27.44,27.13,26.63
1998-10-29,27.63,881700.0,27.94,27.94,27.31
