date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,108.2,131900.0,108.2,106.5,106.0
1998-01-05,53.25,107650.0,54.0,52.75,52.5
1998-01-06,52.63,251600.0,52.63,51.75,51.56
1998-01-07,51.63,371900.0,51.63,51.5,51.06
1998-01-08,51.5,181300.0,52.19,52.06,51.31
1998-01-09,52.06,213800.0,52.06,50.63,50.5
1998-01-12,49.5,208400.0,51.13,49.94,49.38
1998-01-13,50.19,127900.0,50.81,50.69,49.19
1998-01-14,50.88,198900.0,52.06,52.06,50.69
1998-01-15,52.0,538800.0,52.81,52.81,51.56
1998-01-16,53.0,302700.0,53.5,51.75,51.5
1998-01-20,51.63,522900.0,51.88,51.25,50.56
1998-01-21,51.5,342600.0,51.63,51.25,50.63
1998-01-22,51.38,258500.0,52.25,52.06,51.0
1998-01-23,52.06,254300.0,52.06,50.38,49.44
1998-01-26,50.5,239300.0,50.5,50.31,49.88
1998-01-27,50.75,560800.0,50.75,49.63,49.06
1998-01-28,49.63,417600.0,50.44,50.38,49.63
1998-01-29,48.5,655100.0,50.0,49.19,48.5
1998-01-30,49.31,441100.0,49.38,47.88,47.88
1998-02-02,48.5,553100.0,51.88,51.75,48.44
1998-02-03,51.56,482100.0,52.0,51.63,51.0
1998-02-04,51.88,293900.0,51.88,50.44,50.38
1998-02-05,50.44,406200.0,51.88,51.69,50.44
1998-02-06,51.88,383300.0,53.0,53.0,51.5
1998-02-09,53.0,607500.0,53.44,53.31,53.0
1998-02-10,53.31,307400.0,53.94,53.56,53.25
1998-02-11,53.56,217900.0,54.88,54.31,53.56
1998-02-12,54.31,312700.0,55.31,55.31,53.75
1998-02-13,55.19,285200.0,55.88,55.63,54.5
1998-02-17,55.69,230600.0,56.13,55.25,55.19
1998-02-18,55.5,205200.0,55.63,55.44,55.31
1998-02-19,55.69,214400.0,56.81,56.69,55.56
1998-02-20,56.69,374600.0,56.69,54.75,54.5
1998-02-23,55.19,409900.0,55.94,55.94,54.94
1998-02-24,55.63,534200.0,55.63,53.19,53.19
1998-02-25,53.25,459300.0,53.69,53.25,52.88
1998-02-26,53.19,960100.0,53.19,52.0,51.81
1998-02-27,52.25,488300.0,52.31,52.13,51.81
1998-03-02,52.25,154100.0,52.44,52.0,51.75
