date,1. open,5. volume,2. high,4. close,3. low
2001-06-13,31.5,69567200.0,32.0,31.25,31.09
2001-06-14,30.5,31979800.0,31.0,30.15,29.5
2001-06-15,30.0,14369300.0,30.75,30.6,29.95
2001-06-18,30.5,4019800.0,30.6,30.32,30.06
2001-06-19,30.6,5690300.0,30.71,30.4,30.21
2001-06-20,30.4,3791600.0,30.59,30.3,30.18
2001-06-21,30.35,6027200.0,30.35,30.0,30.0
2001-06-22,30.0,4847700.0,30.02,30.0,29.76
2001-06-25,30.0,2420300.0,30.15,30.15,29.85
2001-06-26,30.0,3333300.0,30.08,30.04,29.81
2001-06-27,29.95,3182300.0,30.0,29.94,29.81
2001-06-28,29.98,2778100.0,30.44,30.41,29.97
2001-06-29,30.5,5777800.0,31.0,31.0,30.33
2001-07-02,30.7,3167600.0,30.7,30.47,30.42
2001-07-03,30.46,608700.0,30.64,30.56,30.42
2001-07-05,30.75,2085500.0,31.03,30.93,30.63
2001-07-06,30.98,945300.0,30.98,30.65,30.5
2001-07-09,30.6,2295300.0,30.74,30.38,30.25
2001-07-10,30.45,3301300.0,30.85,30.35,30.28
2001-07-11,30.36,2023000.0,30.36,30.3,30.0
2001-07-12,30.65,1912500.0,30.9,30.9,30.2
2001-07-13,30.9,995400.0,30.98,30.73,30.46
2001-07-16,30.73,1198100.0,31.01,30.71,30.65
2001-07-17,30.89,3792700.0,31.45,31.45,30.85
2001-07-18,31.45,5645100.0,31.5,31.49,30.8
2001-07-19,31.74,3326000.0,31.74,31.32,30.19
2001-07-20,31.25,1390900.0,31.34,31.2,31.01
2001-07-23,31.1,1756000.0,31.19,31.0,30.92
2001-07-24,31.18,1146500.0,31.19,31.07,30.9
2001-07-25,31.0,860600.0,31.0,30.7,30.51
2001-07-26,30.95,1901900.0,31.19,31.12,30.62
2001-07-27,31.2,1541800.0,31.2,30.91,30.81
2001-07-30,31.09,1233900.0,31.1,30.6,30.5
2001-07-31,30.5,2020200.0,31.16,30.95,30.5
2001-08-01,30.9,2302200.0,31.01,30.78,30.58
2001-08-02,30.7,2700000.0,31.17,30.95,30.65
2001-08-03,30.86,456800.0,30.98,30.7,30.5
2001-08-06,30.71,847600.0,30.84,30.35,30.25
2001-08-07,30.45,991400.0,30.54,30.5,30.28
2001-08-08,30.7,1517200.0,30.7,30.01,30.0
2001-08-09,30.05,752900.0,30.37,30.37,30.0
2001-08-10,30.25,1119700.0,31.12,30.8,30.15
2001-08-13,30.96,1749200.0,31.19,31.1,30.92
2001-08-14,31.2,1365300.0,31.25,31.1,31.0
2001-08-15,31.1,2106500.0,31.2,30.98,30.97
2001-08-16,30.98,1351200.0,31.27,31.15,30.95
2001-08-17,31.15,1164200.0,31.35,31.35,30.91
2001-08-20,31.35,2020900.0,31.35,31.35,31.35
2001-08-21,31.95,2699600.0,32.1,32.08,31.75
2001-08-22,32.8,3184700.0,33.01,32.9,32.42
2001-08-23,32.89,2358900.0,32.94,32.89,32.57
2001-08-24,32.89,1173700.0,32.89,32.35,32.35
2001-08-27,32.0,866500.0,32.47,32.3,32.0
2001-08-28,32.5,965300.0,32.58,31.9,31.75
2001-08-29,31.9,1504200.0,32.29,32.29,31.58
2001-08-30,32.65,1569700.0,32.65,32.65,32.05
2001-08-31,32.65,1536500.0,32.98,32.25,32.19
2001-09-04,32.7,1841800.0,33.29,33.05,32.2
2001-09-05,33.0,1770400.0,33.35,33.35,32.87
2001-09-06,33.4,3816000.0,34.8,34.0,33.35
2001-09-07,33.5,2900700.0,34.2,34.0,33.44
2001-09-10,33.75,1463500.0,33.88,33.75,33.29
2001-09-17,33.15,3904000.0,34.27,32.9,32.77
2001-09-18,32.95,4516300.0,33.38,32.9,32.9
2001-09-19,33.05,3134900.0,33.05,32.4,31.93
2001-09-20,32.69,1987000.0,32.69,32.53,32.0
2001-09-21,32.0,2464200.0,32.0,32.0,31.0
2001-09-24,33.5,3665200.0,33.5,33.5,32.28
2001-09-25,33.5,2239500.0,33.5,33.5,33.5
2001-09-26,33.42,1247200.0,33.42,33.3,32.96
2001-09-27,33.25,1626200.0,33.6,33.51,33.25
2001-09-28,33.75,3542000.0,34.81,34.37,33.7
2001-10-01,34.6,1087400.0,34.62,33.92,33.72
2001-10-02,33.92,1101700.0,34.23,34.15,33.75
2001-10-03,34.93,1332200.0,34.93,34.7,34.15
2001-10-04,34.32,1311100.0,34.32,34.0,33.82
2001-10-05,33.9,915800.0,33.9,33.73,33.5
2001-10-08,34.0,625700.0,34.0,33.9,33.5
2001-10-09,34.0,2067500.0,34.0,33.95,33.6
2001-10-10,33.9,1416600.0,34.05,33.97,33.82
2001-10-11,33.97,3550200.0,33.99,33.0,32.4
2001-10-12,33.05,2580000.0,33.4,33.4,32.84
2001-10-15,33.15,1082200.0,33.77,33.35,33.13
2001-10-16,33.4,2040800.0,33.62,33.6,32.59
2001-10-17,34.0,1842900.0,34.06,34.0,33.45
2001-10-18,34.1,1197800.0,34.46,34.01,33.95
2001-10-19,34.0,1249500.0,34.7,34.52,33.96
2001-10-22,34.6,1885500.0,35.28,35.26,34.56
2001-10-23,35.3,1734000.0,35.57,35.39,35.26
2001-10-24,35.11,1493000.0,35.11,35.1,34.92
2001-10-25,34.75,1299300.0,35.0,34.9,34.61
2001-10-26,34.91,1698900.0,35.01,34.3,34.15
2001-10-29,34.35,1059300.0,34.39,33.53,33.53
2001-10-30,33.91,1203400.0,33.91,33.7,33.4
2001-10-31,33.85,1828000.0,34.19,33.75,33.63
2001-11-01,33.65,1166700.0,33.81,33.75,33.3
2001-11-02,33.85,1853900.0,34.86,34.5,33.55
2001-11-05,34.3,1252400.0,34.62,34.2,34.01
2001-11-06,34.1,735300.0,34.68,34.68,34.08
2001-11-07,35.0,874100.0,35.0,34.35,34.3
2001-11-08,34.55,1291800.0,35.1,35.03,34.37
2001-11-09,34.55,773700.0,34.68,34.46,34.42
2001-11-12,34.48,772000.0,34.7,34.42,34.3
2001-11-13,34.4,1366300.0,34.49,33.9,33.81
2001-11-14,33.8,1256800.0,34.21,33.95,33.57
2001-11-15,33.95,1264500.0,34.09,34.05,33.54
2001-11-16,34.1,720100.0,34.15,34.0,33.75
2001-11-19,34.25,1242200.0,34.25,33.3,33.3
2001-11-20,33.1,1880900.0,33.4,33.28,32.78
2001-11-21,34.04,1162200.0,34.04,33.9,33.21
2001-11-23,34.0,327500.0,34.0,33.71,33.57
2001-11-26,33.52,1736400.0,33.68,33.25,33.09
2001-11-27,33.0,2785400.0,33.1,32.86,32.68
2001-11-28,33.28,1108400.0,33.28,32.95,32.84
2001-11-29,33.09,1991600.0,33.97,33.81,32.9
2001-11-30,33.35,1680600.0,33.9,33.12,32.95
2001-12-03,33.68,1377700.0,33.68,33.6,33.06
2001-12-04,33.0,1633600.0,33.17,32.98,32.66
2001-12-05,33.24,1927500.0,33.24,33.0,32.75
2001-12-06,32.86,2151800.0,32.86,32.3,32.13
2001-12-07,32.3,2476900.0,32.3,32.0,31.5
2001-12-10,31.9,1507900.0,32.44,32.0,31.88
2001-12-11,32.1,1680900.0,32.35,32.22,31.82
