date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,53.0,1567000.0,53.0,50.06,49.44
1998-01-05,50.56,1784900.0,51.31,51.25,50.25
1998-01-06,50.38,1462600.0,50.75,50.06,49.56
1998-01-07,49.75,1538800.0,49.81,49.63,48.56
1998-01-08,49.38,1593300.0,49.44,48.94,48.25
1998-01-09,48.5,1582600.0,48.56,47.56,46.88
1998-01-12,46.63,2005200.0,47.56,46.69,46.0
1998-01-13,46.75,2350700.0,47.19,46.31,45.63
1998-01-14,46.38,1931500.0,47.0,46.94,45.5
1998-01-15,46.69,1162100.0,46.94,45.63,45.44
1998-01-16,45.88,2693400.0,48.25,47.56,45.88
1998-01-20,48.0,1549400.0,49.44,49.25,47.63
1998-01-21,48.5,734900.0,48.88,48.31,47.88
1998-01-22,47.94,806800.0,48.63,48.63,47.69
1998-01-23,48.63,1879100.0,49.13,47.94,47.75
1998-01-26,47.88,1097300.0,48.0,47.63,47.44
1998-01-27,47.5,1403400.0,48.13,47.94,47.0
1998-01-28,48.0,2469400.0,50.38,50.19,48.0
1998-01-29,50.0,1787100.0,51.88,50.69,49.94
1998-01-30,50.88,1023400.0,51.44,51.06,50.75
1998-02-02,52.5,1871800.0,53.0,52.75,51.5
1998-02-03,52.75,2533500.0,54.88,53.81,52.19
1998-02-04,53.69,910400.0,54.25,53.88,53.06
1998-02-05,53.94,1578400.0,54.38,53.81,53.06
1998-02-06,54.06,938300.0,54.81,53.88,53.81
1998-02-09,53.88,1198300.0,53.88,53.31,53.0
1998-02-10,52.63,1865500.0,54.94,54.5,52.56
1998-02-11,54.75,1705900.0,57.69,57.69,54.75
1998-02-12,57.56,1431200.0,58.88,57.75,56.13
1998-02-13,57.0,845100.0,57.5,56.5,56.31
1998-02-17,56.38,1202200.0,57.13,57.0,56.25
1998-02-18,56.25,1968400.0,57.0,56.0,55.56
1998-02-19,53.25,8626400.0,54.06,52.25,52.0
1998-02-20,52.88,3720000.0,53.31,53.13,52.38
1998-02-23,53.88,2102700.0,54.25,53.63,53.38
1998-02-24,53.38,1518300.0,53.63,53.19,52.81
1998-02-25,53.44,1550600.0,53.94,53.5,52.38
1998-02-26,52.94,2126800.0,52.94,52.5,51.69
1998-02-27,52.5,1476300.0,53.44,53.13,52.38
1998-03-02,53.44,1306100.0,53.56,52.88,52.56
1998-03-03,52.75,945800.0,53.19,52.94,52.06
1998-03-04,53.06,1419500.0,53.06,51.56,51.13
1998-03-05,51.5,1337300.0,52.0,51.44,50.19
1998-03-06,51.38,1449200.0,52.88,52.0,51.38
1998-03-09,51.75,1275100.0,52.19,51.0,51.0
1998-03-10,51.25,1310800.0,52.69,52.5,51.06
1998-03-11,52.81,1063500.0,53.13,52.44,52.25
1998-03-12,52.75,828200.0,53.19,51.94,51.75
1998-03-13,52.19,1198400.0,52.44,52.13,52.0
1998-03-16,52.19,1974600.0,52.94,52.75,52.06
1998-03-17,52.75,1264900.0,52.75,52.38,51.75
1998-03-18,51.75,1514700.0,53.19,53.19,51.75
1998-03-19,53.19,1719200.0,54.69,54.56,53.0
1998-03-20,54.81,1771600.0,55.19,54.88,54.5
1998-03-23,54.5,1143200.0,54.56,53.88,53.88
1998-03-24,54.13,1173600.0,54.81,54.69,54.06
1998-03-25,54.94,1316600.0,55.19,54.63,54.25
1998-03-26,54.38,1126300.0,54.5,53.31,53.25
1998-03-27,53.5,1490500.0,53.63,52.63,52.25
1998-03-30,52.81,1031000.0,53.19,53.19,52.5
1998-03-31,53.0,3998900.0,53.0,51.88,51.0
1998-04-01,52.31,1806100.0,53.38,53.13,51.88
1998-04-02,53.13,1467100.0,53.56,53.5,52.63
1998-04-03,54.0,2180900.0,54.88,54.75,53.63
1998-04-06,54.56,1682100.0,55.69,55.13,54.13
1998-04-07,55.19,1797100.0,55.31,54.56,54.19
1998-04-08,54.69,1065500.0,54.69,53.5,53.44
1998-04-09,53.75,855900.0,54.19,53.94,53.38
1998-04-13,53.5,861800.0,53.75,53.5,52.88
1998-04-14,53.0,877800.0,53.19,52.5,52.5
1998-04-15,52.5,1033000.0,52.56,52.13,51.69
1998-04-16,51.31,2687300.0,51.63,50.5,49.63
1998-04-17,50.63,2245700.0,52.0,51.38,50.0
1998-04-20,52.38,2155700.0,53.0,52.0,52.0
1998-04-21,52.06,2998300.0,53.06,52.25,51.94
1998-04-22,52.31,1310600.0,52.5,52.38,51.94
1998-04-23,52.25,964200.0,52.38,51.75,51.69
1998-04-24,51.75,957000.0,51.88,50.81,50.38
1998-04-27,50.5,2016100.0,50.69,50.06,48.94
1998-04-28,50.13,1432300.0,50.75,49.75,49.63
1998-04-29,51.0,1955400.0,52.75,52.38,50.31
1998-04-30,52.5,1565000.0,53.13,53.0,51.81
