date,1. open,5. volume,2. high,4. close,3. low
2000-04-05,14.5,68703000.0,15.75,15.5,14.31
2000-04-06,15.38,15301000.0,15.88,15.56,15.25
2000-04-07,15.38,13486200.0,15.56,15.31,15.13
2000-04-10,15.44,5637200.0,15.5,15.31,15.25
2000-04-11,15.31,5425900.0,15.38,15.13,15.06
2000-04-12,15.25,10846600.0,16.75,16.19,15.13
2000-04-13,16.25,10626100.0,17.25,17.0,15.94
2000-04-14,16.94,9500300.0,17.0,15.88,15.81
2000-04-17,16.0,3522200.0,16.44,16.13,16.0
2000-04-18,16.19,5422400.0,16.31,16.13,15.5
2000-04-19,16.19,5348800.0,16.19,16.0,15.75
2000-04-20,15.75,6912000.0,15.94,15.5,15.38
2000-04-24,15.5,3114800.0,16.0,15.94,15.44
2000-04-25,15.94,7407400.0,16.19,16.0,15.88
2000-04-26,15.94,5941700.0,16.06,16.06,15.88
2000-04-27,15.94,2484900.0,16.0,15.94,15.5
2000-04-28,15.94,6218800.0,16.88,16.56,15.38
2000-05-01,17.13,5887100.0,18.0,18.0,16.88
2000-05-02,17.63,3132600.0,17.94,17.81,17.38
2000-05-03,17.75,1981800.0,17.81,17.5,17.25
2000-05-04,17.38,3429800.0,17.5,17.5,16.19
2000-05-05,17.25,1821500.0,17.81,17.56,17.06
2000-05-08,17.88,2897500.0,18.56,18.0,17.81
2000-05-09,18.19,4234300.0,18.38,17.19,16.75
2000-05-10,17.0,3283500.0,17.81,17.56,17.0
2000-05-11,17.63,2997400.0,18.31,18.0,17.38
2000-05-12,18.13,1927200.0,18.56,18.44,18.06
2000-05-15,19.0,2696800.0,19.25,18.94,18.63
2000-05-16,19.0,4982700.0,19.56,19.06,18.81
2000-05-17,19.06,1577200.0,19.69,19.06,18.38
2000-05-18,19.0,2858600.0,19.13,18.94,18.69
2000-05-19,18.5,3832600.0,19.13,18.19,17.94
2000-05-22,18.25,1712700.0,19.13,18.25,17.38
2000-05-23,18.25,2093900.0,19.0,18.88,18.25
2000-05-24,18.88,1573100.0,19.5,19.38,18.63
2000-05-25,19.31,1732700.0,19.38,19.19,18.75
2000-05-26,19.13,2644600.0,19.81,19.75,18.94
2000-05-30,19.94,3229000.0,20.13,19.88,19.5
2000-05-31,19.88,3549600.0,20.5,20.5,19.38
2000-06-01,20.44,2878400.0,20.5,20.0,19.94
2000-06-02,21.0,3446100.0,21.06,21.0,20.38
2000-06-05,20.5,2376300.0,20.88,20.56,20.38
2000-06-06,20.88,2953900.0,20.88,20.44,20.38
2000-06-07,20.5,922400.0,20.69,20.69,20.31
2000-06-08,20.56,965300.0,20.63,20.44,20.25
2000-06-09,20.5,1196800.0,21.0,21.0,20.5
2000-06-12,20.75,1072600.0,20.81,20.44,19.69
2000-06-13,20.69,974900.0,20.81,20.81,20.19
2000-06-14,20.56,2310400.0,20.63,20.0,19.81
2000-06-15,20.0,2504400.0,20.25,20.0,19.88
2000-06-16,20.19,3202100.0,20.25,20.06,19.75
2000-06-19,20.0,1275500.0,20.13,20.0,19.75
2000-06-20,19.88,2922100.0,20.06,18.81,18.56
2000-06-21,18.81,2443500.0,19.13,18.5,18.13
2000-06-22,18.69,1963300.0,19.5,19.19,18.5
2000-06-23,19.0,2161600.0,19.5,19.31,18.75
2000-06-26,20.0,1691700.0,20.13,19.19,19.13
2000-06-27,19.44,2042300.0,20.5,19.88,19.19
2000-06-28,20.25,3522900.0,20.44,19.63,19.38
2000-06-29,19.88,4914700.0,21.56,21.31,19.63
