date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,21.94,85700.0,22.13,22.13,21.81
1998-01-05,22.13,79100.0,22.25,21.56,21.5
1998-01-06,21.69,78000.0,21.75,21.69,21.63
1998-01-07,21.63,104500.0,21.81,21.63,21.63
1998-01-08,21.63,77200.0,21.63,21.38,21.38
1998-01-09,21.31,45200.0,21.31,20.5,20.5
1998-01-12,20.5,25700.0,21.25,20.88,20.5
1998-01-13,20.94,295800.0,22.25,22.19,20.78
1998-01-14,22.19,216000.0,23.13,22.88,22.19
1998-01-15,22.81,221600.0,22.81,22.56,22.5
1998-01-16,22.44,107700.0,23.44,23.44,22.44
1998-01-20,23.5,71200.0,23.56,23.5,23.44
1998-01-21,23.38,37600.0,23.38,22.94,22.81
1998-01-22,22.81,70700.0,22.88,22.75,22.5
1998-01-23,22.88,15700.0,22.94,22.94,22.81
1998-01-26,23.0,53900.0,23.25,23.13,23.0
1998-01-27,23.19,21100.0,23.25,23.06,23.0
1998-01-28,23.19,26300.0,23.56,23.56,23.19
1998-01-29,23.56,53600.0,24.0,24.0,23.38
1998-01-30,23.94,82300.0,24.38,24.13,23.88
1998-02-02,23.88,86000.0,24.25,24.19,23.5
1998-02-03,24.44,71300.0,24.63,24.5,24.38
1998-02-04,24.38,46300.0,24.88,24.75,24.38
1998-02-05,24.75,64000.0,25.19,25.0,24.75
1998-02-06,25.13,90200.0,26.56,25.63,25.13
1998-02-09,25.63,86200.0,26.19,26.06,25.44
1998-02-10,26.13,42700.0,27.19,26.63,26.13
1998-02-11,26.63,27300.0,26.75,26.56,26.38
1998-02-12,26.56,102900.0,27.13,26.88,26.44
1998-02-13,26.75,33800.0,27.81,27.75,26.75
1998-02-17,27.75,164200.0,28.44,28.38,27.75
1998-02-18,28.5,191400.0,28.5,28.19,27.69
1998-02-19,28.31,14000.0,28.31,28.0,27.94
1998-02-20,27.88,105300.0,27.88,27.63,27.31
1998-02-23,27.5,256100.0,27.5,26.88,26.69
1998-02-24,26.88,103600.0,26.88,26.5,26.13
1998-02-25,26.75,103800.0,27.25,26.44,26.31
1998-02-26,26.06,1810000.0,26.19,25.94,25.75
1998-02-27,25.75,465600.0,26.5,26.25,25.75
1998-03-02,26.25,219600.0,26.31,26.25,26.06
1998-03-03,26.25,308800.0,26.25,26.13,25.88
