date,1. open,5. volume,2. high,4. close,3. low
2013-06-17,43.2,236700.0,50.0,45.0,43.2
2013-06-18,44.5,1082600.0,45.0,44.0,43.5
2013-06-19,44.0,540800.0,44.05,43.1,43.0
2013-06-20,43.0,1013600.0,43.5,42.94,42.0
2013-06-21,43.29,913700.0,43.5,43.5,42.04
2013-06-24,44.0,272100.0,44.0,43.5,42.96
2013-06-25,43.5,224300.0,44.38,44.0,42.71
2013-06-26,43.5,1422800.0,45.47,44.1,43.31
2013-06-27,44.85,612700.0,45.5,44.95,44.22
2013-06-28,45.49,7775700.0,46.65,45.43,44.1
2013-07-01,45.94,5787000.0,46.43,44.0,43.75
2013-07-02,43.66,6730400.0,45.26,42.26,41.85
2013-07-03,42.0,5069300.0,43.1,43.1,41.2
2013-07-05,42.26,1754500.0,44.32,44.23,42.26
2013-07-08,43.25,4796400.0,44.27,43.01,41.5
2013-07-09,42.5,4196300.0,43.51,43.27,42.1
2013-07-10,42.81,5929100.0,42.83,42.12,41.18
2013-07-11,42.15,2292300.0,42.57,42.4,42.04
2013-07-12,42.0,1226900.0,42.44,41.96,41.66
2013-07-15,41.82,1182200.0,42.03,41.87,41.31
2013-07-16,41.87,1452700.0,41.87,41.51,41.0
2013-07-17,41.5,687000.0,42.05,41.93,41.35
2013-07-18,41.93,1417300.0,43.48,43.09,41.53
2013-07-19,43.39,1329900.0,44.32,43.48,42.85
2013-07-22,43.2,1226400.0,43.74,43.51,43.01
2013-07-23,43.3,735000.0,44.5,44.0,43.23
2013-07-24,43.97,889100.0,44.4,43.98,43.5
2013-07-25,43.67,862000.0,44.65,44.38,43.67
2013-07-26,44.16,740200.0,45.56,45.05,43.78
2013-07-29,45.35,1976100.0,46.66,46.2,45.0
2013-07-30,46.07,1033600.0,47.23,47.16,45.73
2013-07-31,47.25,1145400.0,47.68,45.89,45.63
2013-08-01,46.26,974400.0,48.26,46.22,46.08
2013-08-02,46.47,539600.0,46.56,45.83,44.92
2013-08-05,45.51,388700.0,46.0,45.14,45.0
2013-08-06,45.1,821300.0,45.2,44.36,43.83
2013-08-07,44.04,373900.0,44.86,44.78,44.02
2013-08-08,44.85,947000.0,46.05,45.92,44.825
2013-08-09,45.0,914800.0,45.77,45.36,44.51
2013-08-12,44.55,538300.0,45.57,45.32,44.32
2013-08-13,45.13,1236500.0,45.275,44.66,44.205
2013-08-14,44.51,547600.0,44.6,44.11,44.0
2013-08-15,43.85,734600.0,44.52,42.89,42.79
2013-08-16,42.75,486600.0,42.828,42.69,42.16
2013-08-19,42.58,343500.0,43.549,42.82,42.4975
2013-08-20,42.98,313700.0,43.25,43.0,42.7
2013-08-21,42.74,335600.0,43.251,42.5,42.02
2013-08-22,42.35,457400.0,42.57,42.5,42.02
2013-08-23,42.43,268200.0,42.96,42.33,42.12
2013-08-26,42.26,286400.0,43.15,42.66,42.21
2013-08-27,42.51,320700.0,42.74,42.64,42.0609
2013-08-28,43.11,643700.0,44.69,43.98,42.4
2013-08-29,44.0,240300.0,44.23,44.07,43.45
2013-08-30,41.89,452100.0,44.17,43.65,41.89
2013-09-03,43.75,692500.0,44.87,44.62,43.09
2013-09-04,44.38,552400.0,45.775,45.02,44.26
2013-09-05,44.9,840700.0,46.57,46.1,44.71
2013-09-06,45.97,1195400.0,48.06,46.84,45.62
2013-09-09,46.76,970700.0,47.06,46.58,44.73
2013-09-10,45.98,667600.0,46.61,45.4,45.37
2013-09-11,45.09,577900.0,45.27,44.9,44.39
2013-09-12,44.74,593600.0,45.05,44.46,44.05
2013-09-13,44.36,565100.0,44.5,43.6,43.5
2013-09-16,43.79,705700.0,43.99,43.26,43.02
2013-09-17,43.2,482300.0,43.745,43.34,43.02
2013-09-18,43.22,570800.0,43.59,43.1,42.55
2013-09-19,43.28,681700.0,43.42,42.68,42.52
2013-09-20,43.0,1633600.0,43.67,43.05,42.58
2013-09-23,43.05,388500.0,43.43,42.58,42.37
2013-09-24,42.55,449400.0,42.96,42.31,42.25
2013-09-25,42.41,588200.0,43.7,43.6,42.08
2013-09-26,43.55,481700.0,44.72,44.17,43.37
2013-09-27,43.94,687800.0,44.23,43.57,43.02
2013-09-30,43.28,489600.0,44.11,44.09,43.05
2013-10-01,44.35,561600.0,44.8575,43.89,43.71
2013-10-02,44.0,1190200.0,45.23,44.92,43.91
2013-10-03,44.91,2475000.0,45.2,44.29,44.0
2013-10-04,44.43,305600.0,44.73,44.5,44.14
2013-10-07,44.33,370000.0,44.8,43.97,43.76
2013-10-08,43.98,355200.0,43.98,43.44,43.21
2013-10-09,43.01,563600.0,43.75,43.52,42.74
2013-10-10,43.75,310500.0,44.0,43.52,43.29
2013-10-11,43.38,572700.0,43.83,43.73,43.13
2013-10-14,43.71,1013400.0,44.35,44.28,43.71
2013-10-15,44.11,1113300.0,45.07,44.95,43.97
2013-10-16,45.95,1288200.0,45.9899,44.31,44.02
2013-10-17,44.36,1434000.0,44.48,43.07,42.65
2013-10-18,43.13,565400.0,43.62,42.45,42.33
2013-10-21,42.41,494100.0,42.49,42.36,41.79
2013-10-22,42.38,501600.0,43.03,42.6,42.38
2013-10-23,42.59,690700.0,43.78,43.46,42.57
2013-10-24,43.41,588900.0,44.04,43.88,42.95
2013-10-25,43.67,791700.0,43.67,43.26,42.5
2013-10-28,43.3,361000.0,43.47,43.37,42.91
2013-10-29,43.36,269100.0,43.47,43.06,42.721
