date,1. open,5. volume,2. high,4. close,3. low
2014-12-15,15.21,2894900.0,15.4,14.46,13.6
2014-12-16,14.46,1442600.0,14.46,13.92,13.81
2014-12-17,13.8,1944600.0,14.0,13.29,13.2
2014-12-18,13.24,2092200.0,14.17,13.76,12.91
2014-12-19,13.69,2619700.0,13.69,12.56,12.01
2014-12-22,12.29,2646200.0,12.2999,10.83,10.82
2014-12-23,10.85,2734900.0,12.13,11.97,10.84
2014-12-24,12.29,678900.0,12.379,12.03,11.75
2014-12-26,12.14,779700.0,12.35,11.53,11.5
2014-12-29,11.63,516100.0,12.195,11.53,11.45
2014-12-30,11.4,300400.0,11.95,11.87,11.3201
2014-12-31,11.82,474700.0,12.22,12.0,11.6651
2015-01-02,12.0,781300.0,12.8,12.77,11.9501
2015-01-05,12.77,1266000.0,13.63,13.09,12.42
2015-01-06,13.21,1167800.0,13.349,12.16,11.88
2015-01-07,12.34,394600.0,12.67,12.25,11.99
2015-01-08,12.38,383200.0,12.38,12.08,12.06
2015-01-09,12.01,658400.0,12.33,12.07,11.75
2015-01-12,12.09,366100.0,12.43,11.97,11.76
2015-01-13,12.0,1321300.0,12.07,10.78,10.05
2015-01-14,10.58,653400.0,10.88,10.73,10.3
2015-01-15,10.71,530200.0,11.4,11.12,10.08
2015-01-16,11.06,149700.0,11.1888,10.95,10.76
2015-01-20,10.91,270300.0,11.15,10.91,10.58
2015-01-21,10.85,208800.0,11.34,11.2,10.7001
2015-01-22,11.28,712000.0,11.28,10.81,10.75
2015-01-23,10.74,761900.0,10.9,10.49,10.21
2015-01-26,10.4,226200.0,10.67,10.33,10.25
2015-01-27,10.2,608100.0,10.2499,10.02,9.8
2015-01-28,10.01,571000.0,10.46,10.28,10.01
2015-01-29,10.22,710100.0,10.28,9.94,9.7
2015-01-30,9.92,250100.0,10.0,9.84,9.818
2015-02-02,9.84,285300.0,9.98,9.82,9.72
2015-02-03,9.94,316300.0,10.35,10.19,9.79
2015-02-04,10.3,704500.0,11.73,10.71,10.11
2015-02-05,10.7,393200.0,11.17,10.48,10.46
2015-02-06,10.56,194400.0,10.83,10.335,10.3
2015-02-09,10.31,130000.0,10.5,10.38,10.31
2015-02-10,10.4,183100.0,10.64,10.27,10.18
2015-02-11,10.23,81800.0,10.4413,10.25,10.18
2015-02-12,10.39,598400.0,11.59,11.49,10.33
2015-02-13,11.6,754800.0,12.17,11.02,11.01
2015-02-17,11.12,148200.0,11.364,11.22,11.0
2015-02-18,11.3,98900.0,11.3,11.21,11.09
2015-02-19,11.12,47500.0,11.4049,11.15,11.11
2015-02-20,11.4,204500.0,11.58,11.5,11.11
2015-02-23,11.5,175900.0,11.73,11.5,11.4138
2015-02-24,11.6,420700.0,12.28,12.27,11.5
2015-02-25,12.3,520000.0,12.71,12.52,12.04
2015-02-26,12.72,773300.0,12.81,12.52,12.4
2015-02-27,12.33,349700.0,12.615,11.31,11.25
2015-03-02,11.85,722300.0,12.88,12.0,11.4
2015-03-03,11.89,1382900.0,12.45,12.18,11.71
2015-03-04,12.07,1168000.0,12.8499,12.55,12.03
2015-03-05,12.6,1982900.0,12.6,11.09,10.5
2015-03-06,10.69,996100.0,11.25,11.03,10.58
2015-03-09,10.99,336700.0,11.08,10.93,10.7
2015-03-10,10.85,768600.0,10.95,10.44,10.37
2015-03-11,10.5,1095600.0,10.69,10.62,10.3
2015-03-12,10.57,257500.0,10.66,10.28,10.2
2015-03-13,10.3,502000.0,10.5,10.02,10.0
2015-03-16,10.0,449300.0,10.55,10.3,10.0
2015-03-17,10.3,255400.0,10.3,10.0,10.0
2015-03-18,10.2,250100.0,10.2,10.01,9.83
2015-03-19,10.0,159000.0,10.19,10.02,9.96
2015-03-20,10.27,346100.0,10.55,10.41,10.04
2015-03-23,10.38,733300.0,10.5,10.4,9.96
2015-03-24,10.35,434000.0,10.5,10.44,10.09
2015-03-25,10.23,276600.0,10.44,10.29,10.1
2015-03-26,10.08,271300.0,10.53,10.52,10.06
