date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,33.06,239200.0,33.5,33.5,32.88
1998-01-05,33.0,1079900.0,33.0,32.06,31.94
1998-01-06,32.06,677300.0,32.25,31.75,31.69
1998-01-07,31.5,473600.0,31.75,31.38,31.38
1998-01-08,31.25,250000.0,31.88,31.25,31.19
1998-01-09,31.06,844500.0,31.19,29.69,29.62
1998-01-12,29.06,589400.0,30.38,30.31,28.56
1998-01-13,30.31,381600.0,30.5,30.5,30.12
1998-01-14,30.75,336300.0,30.81,30.75,30.59
1998-01-15,30.62,464300.0,31.0,30.88,30.62
1998-01-16,30.94,627000.0,31.12,31.06,30.94
1998-01-20,31.12,452400.0,31.62,31.56,31.12
1998-01-21,31.62,265600.0,31.62,31.62,31.31
1998-01-22,31.31,300300.0,31.31,31.19,31.0
1998-01-23,31.25,94100.0,31.38,30.56,30.25
1998-01-26,30.75,439600.0,31.44,31.0,30.75
1998-01-27,31.0,444700.0,31.12,30.94,30.88
1998-01-28,31.0,699800.0,31.62,31.5,30.94
1998-01-29,31.88,569600.0,32.56,32.25,31.88
1998-01-30,32.25,498800.0,32.75,32.25,32.0
1998-02-02,32.31,449300.0,34.12,33.94,32.25
1998-02-03,33.69,406000.0,34.44,34.38,33.5
1998-02-04,34.19,921300.0,35.0,34.44,33.81
1998-02-05,34.5,1007900.0,34.75,34.75,34.0
1998-02-06,34.75,496900.0,34.75,33.81,33.75
1998-02-09,33.69,494700.0,34.25,33.25,32.81
1998-02-10,33.31,329100.0,34.0,33.94,33.31
1998-02-11,33.88,522500.0,34.06,34.0,33.69
1998-02-12,34.0,236500.0,34.0,34.0,33.62
1998-02-13,33.88,1682200.0,35.75,35.0,33.62
1998-02-17,35.94,680500.0,36.19,36.19,35.31
1998-02-18,36.06,792300.0,36.62,36.38,36.06
1998-02-19,36.19,591200.0,37.0,37.0,36.12
1998-02-20,37.0,676500.0,37.12,37.06,36.62
1998-02-23,36.94,366900.0,37.25,37.12,36.31
1998-02-24,37.0,232800.0,37.0,36.75,36.38
1998-02-25,36.75,363600.0,36.94,36.56,36.38
1998-02-26,36.56,420300.0,37.81,37.25,36.5
1998-02-27,37.5,346200.0,38.25,38.19,37.31
1998-03-02,38.0,364400.0,38.75,38.62,38.0
1998-03-03,38.38,478900.0,39.5,38.81,38.25
1998-03-04,38.62,368100.0,38.62,38.19,38.06
1998-03-05,37.25,281600.0,37.75,37.62,37.25
1998-03-06,37.88,492900.0,38.0,36.88,36.75
1998-03-09,36.94,374900.0,37.31,37.0,36.88
1998-03-10,37.19,329900.0,37.5,37.06,36.94
1998-03-11,36.81,343100.0,37.25,36.94,36.81
1998-03-12,36.88,215100.0,37.22,37.12,36.81
1998-03-13,37.12,293100.0,37.44,37.19,37.0
1998-03-16,36.94,236700.0,37.06,37.0,36.56
1998-03-17,37.06,145700.0,37.06,36.75,36.62
1998-03-18,36.62,566800.0,37.25,37.0,36.44
1998-03-19,37.06,399300.0,37.19,37.12,36.88
1998-03-20,37.12,280800.0,37.12,36.94,36.75
1998-03-23,36.94,277900.0,37.25,37.06,36.81
1998-03-24,37.12,343700.0,37.94,36.94,36.75
1998-03-25,36.94,282000.0,37.75,37.62,36.94
1998-03-26,37.62,533600.0,38.56,38.38,37.62
1998-03-27,38.38,607500.0,38.81,38.5,38.31
1998-03-30,38.38,335300.0,38.38,37.75,37.56
1998-03-31,37.75,339000.0,38.19,38.06,37.75
1998-04-01,38.19,223300.0,38.75,38.69,38.0
1998-04-02,38.38,509900.0,38.88,38.81,38.31
1998-04-03,38.75,240600.0,39.12,38.38,38.12
1998-04-06,38.38,433300.0,38.44,37.44,37.12
1998-04-07,37.56,516600.0,38.12,37.44,37.0
