date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,105.3,2286100.0,107.8,107.6,104.9
1998-01-05,107.6,3005000.0,108.9,108.3,106.6
1998-01-06,106.4,2412900.0,107.9,106.8,106.4
1998-01-07,105.8,2971500.0,105.8,105.1,103.8
1998-01-08,104.6,2449600.0,106.9,106.2,104.4
1998-01-09,105.9,3155700.0,106.1,102.9,102.6
1998-01-12,102.0,3882700.0,106.4,106.2,101.4
1998-01-13,106.3,3109700.0,106.9,106.3,106.0
1998-01-14,106.5,5100400.0,110.0,109.9,106.3
1998-01-15,109.3,3175100.0,109.5,108.7,108.6
1998-01-16,109.4,3667600.0,110.6,109.8,108.8
1998-01-20,110.6,5226800.0,116.0,115.5,110.5
1998-01-21,114.5,3334700.0,115.3,114.0,112.0
1998-01-22,113.0,2377800.0,114.6,112.6,112.6
1998-01-23,113.6,2458200.0,113.8,112.9,111.1
1998-01-26,114.0,2054300.0,114.9,114.0,113.6
1998-01-27,113.4,3832800.0,116.5,114.5,113.1
1998-01-28,115.5,4269100.0,118.6,117.6,115.3
1998-01-29,117.5,3244700.0,119.0,117.9,116.8
1998-01-30,117.5,2129600.0,117.6,117.4,116.6
1998-02-02,120.0,3366700.0,120.2,117.8,117.8
1998-02-03,117.3,3588900.0,117.3,116.3,114.4
1998-02-04,115.3,1951100.0,115.6,115.0,114.5
1998-02-05,115.8,2674100.0,115.9,113.3,112.5
1998-02-06,113.4,2579800.0,115.6,114.3,113.1
1998-02-09,114.8,1938200.0,115.8,115.8,113.4
1998-02-10,116.5,2954300.0,117.8,117.4,115.9
1998-02-11,118.0,2145500.0,118.0,117.5,116.2
1998-02-12,117.5,2275900.0,118.4,117.8,115.8
1998-02-13,116.9,1604700.0,117.9,117.7,116.5
1998-02-17,118.3,3752000.0,120.8,119.9,118.0
1998-02-18,120.1,3920000.0,124.3,124.3,119.6
1998-02-19,122.9,2260300.0,123.6,122.3,122.1
1998-02-20,122.4,3152300.0,124.9,124.7,121.2
1998-02-23,126.3,4844000.0,130.9,130.6,126.3
1998-02-24,129.1,3358600.0,130.0,127.9,127.5
1998-02-25,128.9,2691000.0,128.9,126.9,126.3
1998-02-26,127.1,2075700.0,128.1,126.0,125.2
1998-02-27,126.4,2031300.0,127.9,127.6,126.3
1998-03-02,127.6,1621300.0,128.1,126.8,126.5
1998-03-03,126.7,1687800.0,128.3,126.8,126.3
1998-03-04,125.8,1788200.0,126.2,124.9,124.6
1998-03-05,124.3,2513400.0,126.4,123.7,123.7
1998-03-06,124.4,1932100.0,128.1,127.4,124.4
1998-03-09,127.6,1858200.0,128.9,128.7,127.3
1998-03-10,128.7,2304200.0,130.9,130.8,128.7
1998-03-11,130.6,1374300.0,131.0,129.8,129.7
1998-03-12,129.0,1546000.0,129.6,129.1,127.9
1998-03-13,130.4,1585900.0,130.6,128.3,127.6
1998-03-16,128.3,1544000.0,129.7,129.5,127.7
1998-03-17,129.6,2122400.0,132.4,132.1,129.3
1998-03-18,132.0,1451100.0,132.1,131.5,130.8
1998-03-19,131.5,1378800.0,132.2,131.0,129.8
1998-03-20,131.3,2601400.0,131.9,131.9,130.1
1998-03-23,131.5,2059900.0,132.2,131.1,129.8
1998-03-24,132.5,1488100.0,132.8,131.9,131.1
1998-03-25,131.8,2410600.0,131.9,130.0,127.1
1998-03-26,130.0,2102400.0,130.9,128.5,127.8
1998-03-27,129.3,2926200.0,130.4,127.8,126.8
1998-03-30,127.3,1664000.0,128.1,126.3,126.3
1998-03-31,127.5,1883000.0,129.3,128.2,127.4
1998-04-01,128.4,2666500.0,130.0,129.9,126.8
1998-04-02,130.9,2446100.0,132.6,132.4,129.8
1998-04-03,132.4,2171600.0,132.8,131.4,130.9
1998-04-06,133.0,1687000.0,133.0,131.9,131.6
1998-04-07,131.4,1492200.0,131.8,130.8,129.6
1998-04-08,131.0,2858400.0,131.5,127.8,127.0
1998-04-09,127.9,2511300.0,128.5,126.3,125.6
1998-04-13,126.3,3210800.0,126.8,125.3,123.7
1998-04-14,126.0,1897500.0,126.3,125.0,124.1
1998-04-15,125.0,3061100.0,125.4,123.5,121.1
1998-04-16,121.0,5748300.0,121.2,119.4,117.8
1998-04-17,119.0,4908100.0,120.9,120.4,117.4
1998-04-20,122.9,3411500.0,123.4,122.3,121.4
1998-04-21,122.0,2458600.0,122.1,120.1,120.1
1998-04-22,120.0,2077500.0,121.5,119.6,119.0
1998-04-23,120.0,2470300.0,120.7,120.4,119.2
1998-04-24,119.0,3450700.0,119.4,116.5,116.1
1998-04-27,114.9,4106800.0,115.1,112.8,111.5
1998-04-28,114.5,3150400.0,115.6,115.5,113.5
1998-04-29,115.8,2762800.0,117.0,116.0,114.3
1998-04-30,116.8,3607200.0,120.6,120.5,116.5
1998-05-01,119.8,4764600.0,120.3,116.3,115.0
1998-05-04,117.5,2586000.0,118.8,116.2,116.1
1998-05-05,116.4,2124000.0,116.4,115.9,114.8
1998-05-06,116.2,1722200.0,116.3,115.5,114.4
1998-05-07,115.3,2684100.0,117.4,115.0,114.6
1998-05-08,115.8,2492100.0,118.5,117.9,115.6
1998-05-11,118.9,2138600.0,119.9,118.1,117.9
1998-05-12,118.0,1824300.0,118.5,117.4,117.1
1998-05-13,117.5,1821900.0,118.2,117.4,116.8
1998-05-14,116.0,1744800.0,118.5,118.1,116.0
1998-05-15,119.3,3788200.0,120.1,116.8,116.6
1998-05-18,117.0,2370100.0,119.9,119.6,116.6
1998-05-19,121.1,2789100.0,121.6,118.9,117.8
1998-05-20,120.3,2024200.0,120.9,120.6,118.0
1998-05-21,120.6,1420100.0,120.6,118.7,118.4
1998-05-22,119.2,1068900.0,119.8,118.0,117.8
1998-05-26,119.5,1699800.0,119.8,116.5,116.5
1998-05-27,117.4,2925200.0,119.2,118.8,116.1
1998-05-28,118.9,1551600.0,119.6,118.9,117.8
1998-05-29,119.8,1709400.0,119.9,117.0,116.8
1998-06-01,117.0,2093900.0,118.0,116.5,115.1
1998-06-02,117.0,2152800.0,117.0,115.1,114.3
1998-06-03,114.9,2316900.0,115.2,112.6,112.4
1998-06-04,112.6,2714600.0,116.0,115.7,111.5
1998-06-05,118.8,3098500.0,119.6,119.6,118.1
1998-06-08,120.0,3326200.0,122.0,121.5,119.8
1998-06-09,121.6,3468200.0,124.1,123.0,121.2
1998-06-10,123.25,5086000.0,127.88,126.12,123.06
1998-06-11,127.1,3828800.0,128.1,126.5,126.0
1998-06-12,125.8,3291000.0,126.8,126.4,124.6
1998-06-15,125.4,2165000.0,126.0,124.0,124.0
1998-06-16,124.8,2774000.0,127.0,126.6,123.6
1998-06-17,127.9,2564600.0,128.5,127.8,126.8
1998-06-18,127.6,2228100.0,129.5,128.9,127.3
1998-06-19,130.9,3599500.0,130.9,126.9,126.2
1998-06-22,126.9,1556500.0,127.0,125.8,125.3
1998-06-23,126.1,2332000.0,127.9,127.3,125.4
1998-06-24,127.1,2976000.0,132.3,131.3,126.6
1998-06-25,130.9,2856600.0,133.4,130.6,130.5
1998-06-26,131.8,1698200.0,132.9,131.4,131.3
1998-06-29,132.9,1978200.0,133.7,132.8,130.8
1998-06-30,133.0,3239700.0,134.3,133.8,132.2
1998-07-01,132.6,2913900.0,133.4,133.2,131.4
1998-07-02,133.3,1383200.0,133.8,132.8,132.3
1998-07-06,132.6,1873100.0,135.1,134.9,132.3
1998-07-07,134.9,1921200.0,135.4,133.4,133.2
1998-07-08,133.1,1405600.0,134.4,133.6,133.1
1998-07-09,133.6,2812500.0,135.3,131.9,131.0
1998-07-10,132.0,2021200.0,133.5,132.5,130.6
1998-07-13,132.5,1678500.0,134.9,134.9,132.5
1998-07-14,135.0,2321600.0,137.6,137.4,134.9
1998-07-15,137.0,1893100.0,137.9,136.6,135.8
1998-07-16,136.4,1783100.0,138.6,138.4,136.3
1998-07-17,138.6,1879500.0,139.1,138.0,137.9
1998-07-20,138.3,1742300.0,139.0,138.4,137.4
1998-07-21,131.5,9235100.0,132.0,128.6,128.5
1998-07-22,127.5,7422000.0,127.8,125.1,122.5
1998-07-23,127.3,3817400.0,127.3,123.4,123.0
1998-07-24,124.9,3138100.0,126.4,125.8,123.9
1998-07-27,125.0,2693700.0,127.1,125.1,124.5
1998-07-28,123.8,3814800.0,126.2,124.5,120.8
1998-07-29,124.1,2540600.0,124.8,123.3,122.0
1998-07-30,123.1,2050000.0,126.2,126.2,123.1
1998-07-31,125.3,2165400.0,125.9,123.6,121.0
1998-08-03,122.9,2008800.0,124.3,121.5,121.5
1998-08-04,123.5,4134400.0,123.6,119.1,119.1
1998-08-05,119.1,4184200.0,122.7,121.1,117.6
1998-08-06,121.1,2020400.0,124.1,122.3,120.9
1998-08-07,121.6,2618400.0,124.5,123.9,121.4
1998-08-10,124.6,3157600.0,128.0,126.1,124.6
1998-08-11,124.5,4749700.0,124.8,124.0,120.9
1998-08-12,124.5,3241500.0,125.4,125.3,121.3
1998-08-13,125.3,3313000.0,127.8,126.8,124.1
1998-08-14,126.8,3396900.0,128.8,127.4,126.5
1998-08-17,128.0,3586900.0,131.4,131.3,127.9
1998-08-18,130.5,2974800.0,131.9,131.5,129.7
1998-08-19,131.8,2421400.0,131.9,130.9,130.4
1998-08-20,129.3,3127300.0,129.6,128.7,128.1
1998-08-21,126.0,4775000.0,129.4,129.0,125.0
1998-08-24,129.0,2745400.0,132.1,131.4,128.9
1998-08-25,131.5,2916700.0,133.9,133.5,131.5
1998-08-26,132.3,3477000.0,135.1,133.4,131.8
1998-08-27,131.4,3744600.0,133.5,129.1,129.0
1998-08-28,129.5,3355200.0,130.3,127.4,124.8
1998-08-31,127.4,4951800.0,127.8,115.9,115.1
1998-09-01,117.9,5259800.0,124.0,122.5,115.1
1998-09-02,121.6,3630300.0,124.0,120.0,119.4
1998-09-03,119.1,3865400.0,123.8,123.5,118.0
1998-09-04,123.0,3559100.0,124.4,122.1,119.6
1998-09-08,125.0,3873500.0,126.0,125.5,124.6
1998-09-09,125.5,3215900.0,128.4,126.4,125.0
1998-09-10,125.1,4167100.0,125.6,123.8,122.9
1998-09-11,124.0,2831100.0,128.1,128.0,123.6
1998-09-14,130.4,3844900.0,132.8,132.0,129.6
1998-09-15,132.3,5178300.0,137.0,135.5,132.2
1998-09-16,135.0,3198600.0,135.5,135.3,133.6
1998-09-17,133.0,3125200.0,134.4,133.8,131.4
1998-09-18,134.8,3785500.0,135.4,134.4,132.6
1998-09-21,132.3,2978400.0,138.0,135.6,131.6
1998-09-22,136.1,2563100.0,136.9,136.6,134.8
1998-09-23,137.0,3332400.0,138.7,138.6,136.5
1998-09-24,138.0,2860100.0,138.5,137.1,137.0
1998-09-25,133.6,3059500.0,135.0,131.5,131.5
1998-09-28,132.0,4289200.0,132.5,128.8,128.0
1998-09-29,129.3,3904300.0,133.3,131.9,128.2
1998-09-30,131.9,3249500.0,133.9,129.6,128.6
1998-10-01,128.8,3978000.0,130.3,125.0,124.7
1998-10-02,124.9,4271200.0,129.5,127.8,122.0
1998-10-05,128.0,4060700.0,131.0,128.8,125.1
1998-10-06,130.0,3139600.0,131.4,127.6,125.3
1998-10-07,127.4,3828500.0,130.1,125.8,122.8
1998-10-08,123.6,4403300.0,128.4,127.0,121.6
1998-10-09,127.9,3038600.0,130.4,130.1,126.3
1998-10-12,132.3,2444200.0,133.9,131.1,130.8
1998-10-13,131.0,3474600.0,133.1,130.8,130.0
1998-10-14,128.8,2964900.0,132.0,129.4,127.8
1998-10-15,128.3,3208700.0,133.8,133.3,128.2
1998-10-16,134.0,6033200.0,136.0,136.0,131.1
1998-10-19,135.0,3372600.0,135.8,133.8,132.9
1998-10-20,134.9,4474200.0,134.9,130.6,129.9
1998-10-21,130.6,2931700.0,134.3,133.3,130.6
1998-10-22,133.0,2105200.0,134.4,133.4,131.3
1998-10-23,133.2,2191600.0,134.3,130.6,130.5
1998-10-26,131.5,1811600.0,133.4,131.6,130.8
1998-10-27,133.0,1694000.0,133.0,131.8,131.2
1998-10-28,133.3,1532000.0,133.3,132.0,131.5
1998-10-29,132.5,2838200.0,136.0,136.0,132.5
1998-10-30,136.8,3097800.0,136.8,135.1,134.3
1998-11-02,135.8,2739200.0,138.9,138.5,134.5
1998-11-03,138.5,2424700.0,139.9,139.6,136.8
1998-11-04,140.0,3994600.0,141.5,138.3,137.4
1998-11-05,137.1,3240200.0,142.3,141.9,136.9
1998-11-06,141.9,3310800.0,145.5,144.9,141.7
1998-11-09,145.0,2691700.0,146.0,145.6,143.6
1998-11-10,145.7,2897200.0,148.6,146.8,145.3
1998-11-11,145.0,3013300.0,145.0,144.0,142.8
1998-11-12,143.9,2229100.0,146.3,145.4,143.5
1998-11-13,145.3,1681100.0,146.1,145.6,144.4
1998-11-16,146.3,1357500.0,147.8,147.3,145.6
1998-11-17,147.0,2017400.0,149.5,147.4,146.4
1998-11-18,147.4,1872500.0,149.8,149.4,146.0
1998-11-19,149.8,2082700.0,150.8,150.3,148.7
1998-11-20,150.7,2355400.0,151.6,151.5,149.6
1998-11-23,151.6,2464000.0,156.1,156.0,151.3
1998-11-24,155.5,4136700.0,159.9,158.6,154.1
1998-11-25,158.62,2134200.0,159.44,158.5,157.38
1998-11-27,157.8,664900.0,158.9,158.9,157.8
1998-11-30,158.0,2262000.0,158.0,155.1,154.7
1998-12-01,154.3,2785400.0,157.4,157.0,151.6
1998-12-02,155.7,2477000.0,158.8,158.4,152.9
1998-12-03,157.6,2174900.0,159.3,154.9,154.6
1998-12-04,154.8,1732700.0,157.8,157.6,154.8
1998-12-07,156.6,1253000.0,158.2,157.7,155.4
1998-12-08,156.0,2417800.0,159.0,158.7,155.9
1998-12-09,158.1,4747200.0,161.8,151.9,151.8
1998-12-10,147.6,7972200.0,149.5,146.3,144.9
1998-12-11,145.0,4094900.0,148.9,145.6,144.8
1998-12-14,145.4,3656300.0,147.1,145.6,145.0
1998-12-15,145.5,3724300.0,146.0,145.9,141.5
