date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,57.69,3130400.0,58.44,58.13,57.56
1998-01-05,58.38,6644633.0,60.5,59.5,58.25
1998-01-06,59.5,4409067.0,60.44,58.75,58.19
1998-01-07,58.31,4464367.0,58.44,58.25,56.75
1998-01-08,58.19,4966267.0,59.06,57.75,57.31
1998-01-09,57.63,7359567.0,58.06,55.5,54.81
1998-01-12,54.69,7875467.0,55.56,54.5,53.75
1998-01-13,55.5,12661600.0,57.63,57.5,54.5
1998-01-14,57.5,6236767.0,57.5,56.94,55.5
1998-01-15,56.75,3896200.0,57.0,55.88,55.69
1998-01-16,56.63,4875500.0,56.63,56.13,55.25
1998-01-20,57.0,4484200.0,57.63,57.44,56.13
1998-01-21,57.0,5090167.0,57.94,57.81,56.56
1998-01-22,56.81,4119267.0,57.38,56.56,56.31
1998-01-23,57.06,5188167.0,57.19,55.25,55.06
1998-01-26,55.94,3402233.0,56.94,56.69,55.56
1998-01-27,56.75,3752233.0,57.44,56.88,56.63
1998-01-28,57.5,9394000.0,60.25,59.88,57.38
1998-01-29,59.94,6085333.0,61.0,59.94,59.13
1998-01-30,60.31,3775333.0,60.56,59.56,59.44
1998-02-02,60.38,5317433.0,62.25,62.13,60.38
1998-02-03,62.13,7489767.0,64.88,64.63,61.88
1998-02-04,64.0,5257000.0,64.94,64.75,62.56
1998-02-05,65.0,5742100.0,65.88,64.25,64.0
1998-02-06,63.88,5151533.0,64.5,63.5,62.75
1998-02-09,63.94,2316300.0,64.19,63.06,62.75
1998-02-10,63.19,6494367.0,65.56,64.94,62.81
1998-02-11,63.5,14319200.0,64.5,61.63,61.06
1998-02-12,62.13,9087167.0,62.75,61.69,60.56
1998-02-13,61.94,3699500.0,62.69,61.31,61.25
1998-02-17,62.0,4101300.0,62.5,61.13,60.88
1998-02-18,61.31,3597767.0,62.06,61.44,60.88
1998-02-19,61.94,6381900.0,61.94,61.0,60.25
1998-02-20,61.0,6820333.0,61.25,60.19,59.88
1998-02-23,60.94,12014100.0,61.0,60.5,59.38
1998-02-24,57.5,18924033.0,59.63,57.63,56.75
1998-02-25,57.63,11666667.0,58.0,57.63,57.06
1998-02-26,57.25,8214733.0,57.88,57.25,56.94
1998-02-27,56.69,10971800.0,56.81,55.63,55.63
1998-03-02,56.13,7746667.0,56.63,55.94,55.88
1998-03-03,55.63,7493967.0,56.75,56.25,55.56
1998-03-04,56.38,9482433.0,57.63,55.63,55.06
1998-03-05,56.06,9007367.0,56.44,55.88,55.06
1998-03-06,52.75,25904900.0,54.0,53.0,52.0
1998-03-09,53.5,7941733.0,53.75,53.06,52.75
1998-03-10,53.31,6949367.0,53.56,52.94,52.31
1998-03-11,53.06,6228833.0,54.38,54.0,53.0
1998-03-12,54.44,6673100.0,55.44,55.13,54.31
1998-03-13,55.5,7144900.0,56.88,56.25,55.44
1998-03-16,56.25,4651967.0,57.06,56.56,56.06
1998-03-17,56.56,6771800.0,56.56,54.81,54.19
1998-03-18,54.38,6394967.0,55.19,54.56,53.94
1998-03-19,54.56,4912833.0,55.25,54.88,54.56
1998-03-20,54.75,5546333.0,54.81,54.19,54.06
1998-03-23,54.0,5001500.0,54.63,53.88,53.88
1998-03-24,54.06,6249367.0,55.88,55.31,54.0
1998-03-25,56.5,8236900.0,57.13,56.5,55.81
1998-03-26,56.75,4767000.0,57.31,56.75,55.88
1998-03-27,57.06,6690133.0,57.75,57.5,56.75
1998-03-30,57.0,5658333.0,57.56,57.44,57.0
1998-03-31,58.69,16548467.0,60.75,60.75,58.63
1998-04-01,60.13,11189967.0,60.69,60.5,58.75
1998-04-02,60.0,6988100.0,61.63,60.19,59.88
1998-04-03,60.44,6412700.0,60.44,60.19,59.63
1998-04-06,60.19,5722033.0,60.63,59.88,59.44
1998-04-07,56.0,22594600.0,57.0,53.5,53.06
1998-04-08,53.38,8958133.0,55.13,54.94,53.25
1998-04-09,54.94,5606533.0,55.19,54.0,53.69
1998-04-13,54.0,3960600.0,54.19,53.63,53.13
1998-04-14,53.38,4359133.0,54.81,54.81,53.38
1998-04-15,54.81,6492033.0,56.63,56.19,54.75
1998-04-16,55.63,3935400.0,55.88,55.25,55.06
1998-04-17,55.94,5851067.0,57.0,57.0,55.56
1998-04-20,57.25,5605367.0,57.44,57.19,56.38
1998-04-21,57.38,4664567.0,57.81,57.5,56.81
1998-04-22,57.0,5483333.0,58.31,58.06,56.56
1998-04-23,56.94,4420033.0,57.38,56.25,56.25
1998-04-24,56.25,4621633.0,57.94,57.56,56.0
1998-04-27,55.88,5092033.0,57.25,56.19,55.75
1998-04-28,56.63,4439633.0,56.81,55.88,55.06
1998-04-29,55.63,6196867.0,57.19,55.94,55.38
1998-04-30,56.25,5439700.0,56.75,55.75,55.38
1998-05-01,55.5,3242400.0,56.56,56.13,55.13
1998-05-04,56.13,4735967.0,57.5,56.88,56.0
1998-05-05,56.69,4245967.0,57.31,56.19,56.0
1998-05-06,56.06,3713267.0,56.69,55.75,55.63
1998-05-07,55.5,3089100.0,56.38,55.81,55.38
1998-05-08,55.38,4706100.0,56.75,56.75,55.38
1998-05-11,56.94,4120433.0,56.94,55.88,55.31
1998-05-12,55.75,4434033.0,55.94,55.88,55.0
1998-05-13,58.5,15005900.0,59.56,59.38,57.38
1998-05-14,59.5,8692133.0,59.88,58.25,57.44
1998-05-15,58.0,4496800.0,58.19,57.56,57.44
1998-05-18,57.5,3723067.0,58.0,56.5,55.63
1998-05-19,57.0,4344200.0,57.13,55.63,55.44
1998-05-20,55.31,5258400.0,55.69,54.75,54.5
