date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,17.38,131200.0,17.38,17.0,16.88
1998-01-05,17.12,67800.0,17.12,16.75,16.62
1998-01-06,16.62,24100.0,16.69,16.69,16.5
1998-01-07,16.62,90200.0,16.69,16.56,16.38
1998-01-08,16.56,65100.0,17.62,17.25,16.56
1998-01-09,17.12,132000.0,17.5,16.88,16.75
1998-01-12,16.62,37000.0,17.0,17.0,16.38
1998-01-13,17.25,148700.0,18.75,18.75,17.0
1998-01-14,18.75,97500.0,18.75,18.25,18.25
1998-01-15,18.0,32100.0,18.25,18.0,18.0
1998-01-16,18.0,13000.0,18.19,17.75,17.75
1998-01-20,17.25,105400.0,18.0,18.0,17.0
1998-01-21,18.0,109500.0,18.25,18.12,18.0
1998-01-22,18.0,47400.0,18.0,17.75,17.62
1998-01-23,17.75,53300.0,18.12,18.12,17.75
1998-01-26,18.25,5000.0,18.25,17.88,17.88
1998-01-27,17.94,12200.0,18.0,17.62,17.62
1998-01-28,17.62,39700.0,17.75,17.75,17.5
1998-01-29,17.75,130100.0,17.75,17.62,17.5
1998-01-30,17.75,19700.0,18.0,17.88,17.75
1998-02-02,18.0,45000.0,19.19,19.0,18.0
1998-02-03,19.25,46500.0,19.25,18.81,18.75
1998-02-04,18.81,47700.0,19.25,19.0,18.75
1998-02-05,19.12,14100.0,19.19,19.0,18.88
1998-02-06,19.25,27300.0,19.5,19.38,19.06
1998-02-09,19.5,14700.0,19.5,19.25,18.88
1998-02-10,19.38,83500.0,20.69,20.12,19.38
1998-02-11,20.25,90400.0,20.38,20.0,19.5
1998-02-12,20.0,22800.0,20.25,19.94,19.94
1998-02-13,19.94,34900.0,20.12,20.06,19.94
1998-02-17,20.25,23100.0,20.56,20.56,20.25
1998-02-18,20.31,31700.0,20.5,20.19,20.12
1998-02-19,20.44,24400.0,20.44,20.12,20.12
1998-02-20,20.0,59400.0,20.25,19.88,19.5
1998-02-23,20.0,132500.0,20.5,20.0,20.0
1998-02-24,20.0,14700.0,20.0,19.5,19.5
1998-02-25,19.62,19700.0,19.75,19.5,19.38
1998-02-26,19.5,3200.0,19.75,19.38,19.38
1998-02-27,19.25,132400.0,19.5,19.5,19.0
1998-03-02,19.75,47100.0,20.5,20.12,19.75
1998-03-03,20.12,41200.0,20.25,20.12,20.06
1998-03-04,20.12,15700.0,20.5,20.25,20.12
1998-03-05,20.25,27600.0,20.75,20.44,20.25
1998-03-06,20.69,5500.0,20.75,20.38,20.38
1998-03-09,20.5,15800.0,21.38,21.38,20.5
1998-03-10,21.38,18400.0,21.88,21.75,21.38
1998-03-11,21.94,54800.0,22.88,22.38,21.75
1998-03-12,22.38,23500.0,22.38,22.25,22.0
1998-03-13,22.5,39100.0,22.62,22.12,22.0
1998-03-16,22.25,33600.0,22.25,21.75,21.62
1998-03-17,21.75,16600.0,21.75,21.5,21.12
1998-03-18,21.5,27600.0,21.88,21.88,21.38
1998-03-19,21.94,73700.0,22.0,21.88,21.69
1998-03-20,21.75,3700.0,21.88,21.5,21.38
1998-03-23,21.38,1400.0,21.38,21.38,21.25
1998-03-24,21.25,45800.0,21.62,21.0,20.88
1998-03-25,21.0,5400.0,21.12,20.81,20.75
1998-03-26,20.69,3600.0,20.88,20.88,20.62
1998-03-27,21.0,46100.0,21.25,21.12,20.88
1998-03-30,21.12,99100.0,21.88,21.69,21.12
1998-03-31,21.56,54100.0,22.25,22.19,21.56
1998-04-01,22.12,133900.0,22.25,22.12,21.75
1998-04-02,21.88,175200.0,22.12,22.0,21.88
1998-04-03,21.25,77200.0,21.88,21.5,21.25
1998-04-06,21.38,88300.0,21.62,21.5,21.25
1998-04-07,21.75,17400.0,21.88,21.75,21.5
1998-04-08,21.75,2800.0,21.75,21.5,21.38
1998-04-09,21.5,22500.0,21.5,21.38,21.12
1998-04-13,21.38,49100.0,21.5,21.5,21.19
1998-04-14,21.38,15900.0,21.62,21.62,21.38
1998-04-15,21.44,20300.0,21.88,21.62,21.44
1998-04-16,21.38,3800.0,21.5,21.44,21.38
1998-04-17,21.69,8500.0,21.88,21.88,21.56
1998-04-20,21.69,15300.0,21.88,21.62,21.62
1998-04-21,21.88,27200.0,21.94,21.94,21.62
1998-04-22,21.75,11200.0,21.75,21.56,21.56
1998-04-23,21.44,10500.0,21.75,21.5,21.44
1998-04-24,21.5,58200.0,21.94,21.12,21.12
1998-04-27,20.88,34000.0,20.88,20.56,20.5
1998-04-28,20.62,252100.0,20.62,20.19,20.12
1998-04-29,20.25,112000.0,20.25,20.25,19.5
1998-04-30,20.38,30400.0,20.5,20.12,19.88
1998-05-01,20.0,29600.0,20.0,19.62,19.62
1998-05-04,19.75,61000.0,19.94,19.75,19.62
1998-05-05,20.0,30600.0,20.19,20.0,19.88
1998-05-06,20.0,32800.0,20.12,19.75,19.62
1998-05-07,19.88,13100.0,19.88,19.5,19.5
1998-05-08,19.75,53300.0,19.88,19.5,19.5
1998-05-11,19.38,43400.0,19.88,19.5,19.38
1998-05-12,19.75,10300.0,19.94,19.88,19.5
1998-05-13,19.62,25800.0,19.94,19.62,19.62
