date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,26.0,3450000.0,27.94,27.88,25.81
1998-01-05,27.94,5066600.0,28.69,27.88,26.88
1998-01-06,27.75,2597700.0,28.31,26.88,26.5
1998-01-07,26.38,3225600.0,26.69,26.5,25.88
1998-01-08,26.38,8877000.0,29.13,28.38,26.25
1998-01-09,28.94,5955200.0,29.25,27.5,27.0
1998-01-12,27.25,8834700.0,29.5,28.63,27.0
1998-01-13,30.0,11053300.0,32.5,32.0,29.63
1998-01-14,31.0,6593800.0,31.44,31.13,30.19
1998-01-15,31.06,5725800.0,32.63,31.56,30.75
1998-01-16,30.0,10237700.0,30.25,28.63,28.5
1998-01-20,28.81,4137600.0,30.5,30.06,28.5
1998-01-21,30.0,6707700.0,32.25,32.13,30.0
1998-01-22,31.63,6529300.0,33.75,32.69,30.63
1998-01-23,32.63,5524000.0,33.63,32.06,31.38
1998-01-26,32.0,4584700.0,32.31,31.13,30.63
1998-01-27,31.13,3110100.0,32.63,32.38,31.0
1998-01-28,32.75,10835400.0,35.75,34.63,32.75
1998-01-29,34.63,5180600.0,35.38,33.81,33.75
1998-01-30,33.81,3767600.0,35.38,34.56,33.25
1998-02-02,35.0,3167800.0,35.88,35.25,34.94
1998-02-03,35.56,8574500.0,38.19,37.81,35.5
1998-02-04,37.5,10232400.0,38.94,38.0,36.06
1998-02-05,38.25,11290700.0,38.25,34.88,34.69
1998-02-06,34.0,6338200.0,36.06,36.06,33.13
1998-02-09,36.38,3579700.0,36.38,35.88,35.19
1998-02-10,35.75,3408500.0,37.31,37.0,35.25
1998-02-11,35.88,4877000.0,37.63,37.38,35.38
1998-02-12,37.5,7041900.0,38.06,35.69,35.31
1998-02-13,35.69,2728400.0,36.0,35.06,34.94
1998-02-17,35.13,4627300.0,35.13,33.69,33.38
1998-02-18,33.56,4453700.0,35.19,35.0,33.56
1998-02-19,35.13,4706500.0,35.75,33.94,33.88
1998-02-20,34.19,4533300.0,34.94,34.0,33.5
1998-02-23,33.94,3167200.0,34.38,33.75,33.25
1998-02-24,33.69,4182700.0,33.81,32.38,32.31
1998-02-25,32.13,5876500.0,34.75,34.75,31.75
1998-02-26,34.63,5194700.0,35.5,35.06,33.63
1998-02-27,35.0,2809800.0,35.06,33.19,33.06
1998-03-02,33.31,4260700.0,34.44,34.38,32.75
1998-03-03,32.88,4586500.0,34.38,33.63,32.81
1998-03-04,34.75,7834100.0,35.88,33.0,33.0
1998-03-05,33.38,6650600.0,35.25,34.56,33.0
1998-03-06,35.0,3154900.0,35.81,34.94,34.13
1998-03-09,34.94,3817900.0,35.06,33.88,33.81
1998-03-10,34.13,4186400.0,34.94,34.0,33.25
1998-03-11,34.13,3072600.0,34.81,34.0,33.81
1998-03-12,34.0,2270600.0,34.88,34.31,33.88
1998-03-13,34.0,5210800.0,35.0,33.0,33.0
1998-03-16,33.38,5685000.0,34.69,33.75,33.19
1998-03-17,33.0,7632300.0,33.38,32.0,30.88
1998-03-18,31.88,3389900.0,32.31,31.69,31.44
1998-03-19,31.75,1852100.0,32.31,32.0,31.69
1998-03-20,31.94,3973600.0,31.94,30.5,30.31
1998-03-23,29.88,3528000.0,30.63,30.06,29.88
1998-03-24,29.88,5789100.0,30.0,28.69,28.63
1998-03-25,29.13,8517600.0,30.25,29.44,28.94
1998-03-26,29.25,5154600.0,29.88,29.13,28.88
1998-03-27,29.13,2378000.0,29.38,29.0,28.69
1998-03-30,29.25,2552400.0,29.69,28.5,28.0
1998-03-31,28.56,5779400.0,29.44,29.06,28.5
1998-04-01,29.25,8404100.0,32.63,32.0,28.69
1998-04-02,31.5,8982800.0,33.0,31.31,30.75
1998-04-03,32.0,4223900.0,32.0,31.5,30.75
1998-04-06,31.5,1809000.0,31.88,30.31,30.25
1998-04-07,29.38,3690700.0,29.44,28.44,28.25
1998-04-08,28.44,3743700.0,28.75,28.0,27.69
1998-04-09,28.0,2311400.0,28.19,27.75,27.63
1998-04-13,27.75,1696400.0,28.13,28.13,27.38
1998-04-14,28.0,3938300.0,29.88,29.88,27.81
1998-04-15,30.25,3875100.0,30.81,30.38,29.56
1998-04-16,30.0,2886700.0,30.06,28.56,28.44
1998-04-17,28.69,2337800.0,28.75,28.25,27.88
1998-04-20,28.25,2855500.0,29.81,29.5,28.19
1998-04-21,29.63,1708900.0,30.0,29.5,29.0
1998-04-22,29.44,5623800.0,32.5,31.75,29.06
1998-04-23,31.31,6900500.0,32.38,30.63,30.44
1998-04-24,30.63,3049500.0,31.44,31.44,30.5
1998-04-27,30.88,2736500.0,30.88,29.81,29.56
1998-04-28,30.5,1514800.0,30.75,30.25,29.81
1998-04-29,30.5,1955100.0,30.75,30.38,29.5
1998-04-30,30.44,1907800.0,31.38,31.06,29.94
1998-05-01,31.13,1311400.0,31.38,31.25,30.31
1998-05-04,31.31,3843200.0,32.88,31.81,31.31
1998-05-05,31.5,2860400.0,32.63,32.0,31.25
1998-05-06,32.0,1775600.0,32.06,31.5,31.0
1998-05-07,31.5,1817200.0,32.0,31.0,30.81
1998-05-08,31.06,1982200.0,32.0,32.0,30.5
1998-05-11,32.0,2357000.0,32.25,30.88,30.75
