date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,54.19,90425.0,54.44,53.81,53.69
1998-01-05,54.25,112325.0,54.38,53.69,53.62
1998-01-06,52.75,138025.0,52.81,51.94,51.75
1998-01-07,51.81,142075.0,52.75,52.75,51.37
1998-01-08,52.69,161075.0,52.94,52.81,52.5
1998-01-09,53.06,234250.0,53.06,51.0,51.0
1998-01-12,51.0,122850.0,51.13,50.62,50.56
1998-01-13,50.62,149150.0,53.0,52.75,50.62
1998-01-14,53.06,117650.0,53.13,52.69,52.19
1998-01-15,52.81,69000.0,53.31,53.06,52.75
1998-01-16,53.13,110450.0,53.81,53.19,53.0
1998-01-20,53.37,50950.0,54.06,53.81,53.25
1998-01-21,53.56,66575.0,53.75,52.13,52.06
1998-01-22,51.44,215850.0,51.5,49.19,49.12
1998-01-23,49.25,171600.0,49.5,48.81,48.75
1998-01-26,49.06,106175.0,49.62,48.94,48.88
1998-01-27,48.94,182375.0,50.19,49.75,48.94
1998-01-28,49.81,164300.0,49.88,49.81,49.31
1998-01-29,49.88,158875.0,50.94,50.06,49.88
1998-01-30,50.19,119725.0,50.25,49.94,49.94
1998-02-02,50.0,92400.0,50.31,49.81,49.75
1998-02-03,49.94,68900.0,50.13,49.5,49.37
1998-02-04,49.62,177050.0,50.44,49.94,49.56
1998-02-05,50.0,285775.0,50.19,50.0,49.75
1998-02-06,50.06,198825.0,50.75,50.56,49.94
1998-02-09,50.81,148800.0,50.81,49.88,49.75
1998-02-10,49.62,238200.0,49.94,49.81,49.56
1998-02-11,49.31,245375.0,49.81,49.25,49.25
1998-02-12,49.25,164300.0,49.25,49.0,48.19
1998-02-13,49.0,91925.0,49.25,49.25,48.88
1998-02-17,49.5,70850.0,49.62,48.75,48.75
1998-02-18,48.63,92975.0,49.62,49.62,48.63
1998-02-19,49.62,276750.0,49.75,48.75,48.69
1998-02-20,48.88,107100.0,48.88,48.81,48.19
1998-02-23,48.25,205775.0,48.25,47.75,47.44
1998-02-24,48.0,138475.0,48.63,48.5,48.0
1998-02-25,48.44,233450.0,48.81,47.94,47.81
1998-02-26,48.0,118100.0,49.94,49.37,48.0
1998-02-27,49.25,128400.0,49.94,49.94,49.0
1998-03-02,50.0,94825.0,50.31,50.13,49.88
1998-03-03,50.06,109525.0,50.69,50.5,50.06
1998-03-04,50.56,318550.0,50.88,50.13,50.0
1998-03-05,49.94,95525.0,50.0,49.56,49.19
1998-03-06,49.56,89625.0,49.69,48.44,48.44
1998-03-09,48.56,393825.0,48.56,48.0,47.81
1998-03-10,48.25,113825.0,48.44,48.12,48.06
1998-03-11,48.0,617425.0,49.5,49.12,48.0
1998-03-12,49.37,222900.0,49.5,49.12,48.56
1998-03-13,49.0,142525.0,49.25,49.19,48.94
1998-03-16,49.31,102000.0,49.88,49.19,49.19
1998-03-17,49.25,268750.0,49.25,48.19,48.12
1998-03-18,48.19,40625.0,49.62,49.62,48.12
1998-03-19,49.56,95975.0,50.0,50.0,49.56
1998-03-20,50.25,300025.0,51.13,50.94,50.25
1998-03-23,52.13,211900.0,53.25,52.69,52.13
1998-03-24,52.44,121925.0,52.44,51.06,51.0
1998-03-25,51.13,136050.0,52.13,50.56,50.44
1998-03-26,50.44,117175.0,51.13,50.88,50.37
1998-03-27,51.13,113475.0,51.5,50.62,50.44
1998-03-30,50.56,86950.0,50.62,50.5,50.44
1998-03-31,50.5,126200.0,50.88,50.13,50.0
1998-04-01,50.19,184925.0,51.62,50.56,50.06
1998-04-02,50.56,197075.0,50.56,50.25,50.06
1998-04-03,50.06,178775.0,50.88,50.44,50.06
1998-04-06,50.44,136050.0,50.62,50.0,49.94
1998-04-07,50.0,249875.0,50.13,50.13,49.81
1998-04-08,50.0,311500.0,50.25,48.44,48.37
1998-04-09,48.56,91000.0,49.37,48.81,48.31
1998-04-13,49.06,77350.0,49.06,48.31,48.12
1998-04-14,48.37,158400.0,49.19,48.75,48.25
1998-04-15,49.0,247225.0,50.75,50.25,48.88
1998-04-16,50.19,117400.0,50.37,49.88,49.44
1998-04-17,50.13,77450.0,51.88,50.56,50.06
1998-04-20,50.56,72475.0,50.88,49.69,49.62
1998-04-21,51.5,165575.0,51.5,50.88,50.75
1998-04-22,50.75,130600.0,51.0,50.13,50.06
1998-04-23,51.25,643025.0,52.5,51.81,50.69
1998-04-24,51.94,209825.0,52.06,51.56,51.56
1998-04-27,51.31,107675.0,51.31,51.0,50.5
1998-04-28,51.25,100975.0,51.75,50.88,50.75
1998-04-29,50.94,93325.0,51.75,51.44,50.94
1998-04-30,51.69,76300.0,52.44,51.44,51.44
1998-05-01,51.56,185025.0,53.13,53.0,50.88
