date,1. open,5. volume,2. high,4. close,3. low
2002-07-01,15.0,1300.0,15.0,15.0,15.0
2002-07-02,15.5,7000.0,16.5,15.13,15.0
2002-07-03,14.0,10200.0,16.0,15.0,14.0
2002-07-05,15.0,500.0,15.0,15.0,15.0
2002-07-08,14.0,300.0,14.0,14.0,14.0
2002-07-09,14.0,2300.0,15.5,15.5,14.0
2002-07-10,13.75,500.0,15.5,15.5,13.75
2002-07-11,15.5,0.0,15.5,15.5,15.5
2002-07-12,15.0,100.0,15.0,15.0,15.0
2002-07-15,14.75,42700.0,14.75,12.75,12.5
2002-07-16,12.75,5900.0,12.75,12.5,12.5
2002-07-17,12.5,2400.0,12.5,12.5,12.25
2002-07-18,12.3,1400.0,12.3,11.75,11.75
2002-07-19,11.6,10700.0,11.6,10.5,10.05
2002-07-22,10.5,4600.0,10.5,10.2,10.0
2002-07-23,10.2,100.0,10.2,10.2,10.2
2002-07-24,10.2,2200.0,10.5,10.5,10.2
2002-07-25,10.15,1300.0,10.5,10.15,10.15
2002-07-26,10.15,0.0,10.15,10.15,10.15
2002-07-29,10.5,4100.0,11.1,11.1,10.45
2002-07-30,11.25,8900.0,11.85,11.5,11.25
2002-07-31,11.9,5000.0,12.0,12.0,11.75
2002-08-01,11.8,4300.0,11.9,11.8,11.8
2002-08-02,11.8,0.0,11.8,11.8,11.8
2002-08-05,11.9,28600.0,12.0,11.85,11.85
2002-08-06,12.0,10000.0,12.0,12.0,12.0
2002-08-07,11.98,4400.0,12.05,12.05,11.95
2002-08-08,12.1,12300.0,12.1,12.1,12.05
2002-08-09,12.15,3400.0,12.15,12.15,12.15
2002-08-12,12.15,24400.0,12.15,12.15,12.1
2002-08-13,12.2,3900.0,12.2,12.2,12.1
2002-08-14,12.15,3700.0,12.2,12.2,12.15
2002-08-15,12.15,700.0,12.15,12.1,12.1
2002-08-16,12.0,8600.0,12.15,12.15,12.0
2002-08-19,12.15,8700.0,12.15,11.65,11.65
2002-08-20,11.6,100.0,11.6,11.6,11.6
2002-08-21,11.9,16400.0,12.0,11.75,11.75
2002-08-22,11.75,35500.0,11.75,11.0,11.0
2002-08-23,11.0,3700.0,11.1,11.1,11.0
2002-08-26,11.0,11900.0,11.0,10.87,10.85
2002-08-27,10.85,23900.0,11.0,10.51,10.51
2002-08-28,10.5,24700.0,10.5,10.1,10.0
2002-08-29,10.2,8500.0,10.2,10.2,10.1
2002-08-30,10.3,4200.0,10.3,10.0,10.0
2002-09-03,9.95,8000.0,10.0,9.9,9.3
2002-09-04,9.35,89100.0,9.5,9.3,8.9
2002-09-05,9.3,3100.0,9.3,9.3,9.3
2002-09-06,9.3,30400.0,9.7,9.7,9.3
2002-09-09,9.75,26000.0,9.9,9.8,9.7
2002-09-10,9.9,36200.0,9.95,9.9,9.82
2002-09-11,10.0,2400.0,10.05,10.05,9.9
2002-09-12,10.1,4000.0,10.1,9.9,9.9
2002-09-13,9.9,2800.0,9.94,9.94,9.9
2002-09-16,9.94,10300.0,10.0,10.0,9.85
2002-09-17,9.75,4800.0,9.9,9.9,9.75
2002-09-18,9.87,1500.0,9.87,9.87,9.87
2002-09-19,9.8,6200.0,9.8,9.8,9.8
2002-09-20,9.65,2700.0,9.65,9.4,9.4
2002-09-23,9.75,1200.0,9.75,9.7,9.7
2002-09-24,9.4,2000.0,9.4,9.4,9.4
2002-09-25,9.6,7000.0,9.7,9.6,9.5
2002-09-26,9.7,1000.0,9.7,9.7,9.7
2002-09-27,9.6,6200.0,9.6,9.49,9.3
2002-09-30,9.3,3100.0,9.35,9.35,9.3
2002-10-01,9.5,2000.0,9.5,9.5,9.5
2002-10-02,9.5,8700.0,9.5,9.47,9.3
2002-10-03,9.55,100.0,9.55,9.55,9.55
2002-10-04,9.55,500.0,9.55,9.55,9.55
2002-10-07,9.4,1000.0,9.5,9.5,9.4
2002-10-08,9.3,3200.0,9.3,9.25,9.25
2002-10-09,9.25,19100.0,9.3,9.0,9.0
2002-10-10,9.0,3000.0,9.0,9.0,9.0
2002-10-11,9.1,19900.0,9.1,9.0,8.95
2002-10-14,8.95,13500.0,9.0,8.99,8.9
2002-10-15,8.8,23600.0,8.8,8.65,8.45
2002-10-16,8.45,14700.0,8.5,8.35,8.25
2002-10-17,8.21,9900.0,8.3,8.25,8.0
2002-10-18,8.25,12400.0,8.25,8.25,8.25
2002-10-21,8.25,4200.0,8.25,8.05,7.9
2002-10-22,8.0,10900.0,8.1,8.0,8.0
2002-10-23,7.8,2100.0,7.8,7.8,7.7
2002-10-24,7.7,7500.0,7.7,7.25,7.2
2002-10-25,7.0,43700.0,7.2,7.2,6.35
2002-10-28,7.5,3200.0,7.5,7.0,7.0
2002-10-29,7.5,7700.0,7.75,7.75,7.3
2002-10-30,7.3,11400.0,7.65,7.55,7.25
2002-10-31,7.55,9000.0,7.55,7.5,7.45
2002-11-01,7.35,9200.0,7.5,7.5,7.35
2002-11-04,7.7,4400.0,7.7,7.5,7.5
2002-11-05,7.5,500.0,7.5,7.5,7.5
2002-11-06,7.6,300.0,7.6,7.6,7.6
2002-11-07,7.7,2700.0,7.7,7.5,7.5
2002-11-08,7.5,0.0,7.5,7.5,7.5
2002-11-11,7.7,11200.0,7.9,7.9,7.67
2002-11-12,7.9,5300.0,7.9,7.9,7.9
2002-11-13,7.9,38300.0,8.38,8.38,7.9
2002-11-14,8.38,5400.0,8.45,8.45,8.38
2002-11-15,8.5,3400.0,8.5,8.4,8.4
2002-11-18,8.45,12400.0,8.5,8.5,8.42
2002-11-19,8.4,4200.0,8.4,8.27,8.25
2002-11-20,8.4,500.0,8.4,8.4,8.4
2002-11-21,8.4,16600.0,8.4,8.4,8.21
2002-11-22,8.24,1200.0,8.4,8.4,8.24
2002-11-25,8.4,12800.0,8.4,8.4,8.4
2002-11-26,8.4,274000.0,9.35,9.3,8.4
2002-11-27,9.301,124800.0,10.0,10.0,9.301
2002-11-29,10.0,11700.0,11.0,10.0,10.0
2002-12-02,10.0,16700.0,10.2,10.15,10.0
2002-12-03,10.15,0.0,10.15,10.15,10.15
2002-12-04,10.05,2400.0,10.25,10.05,10.05
2002-12-05,10.05,3500.0,10.5,10.5,10.05
2002-12-06,10.4,126900.0,10.75,10.7,10.4
2002-12-09,10.5,25500.0,10.75,10.45,10.45
2002-12-10,10.65,2000.0,10.75,10.6,10.51
2002-12-11,10.51,4100.0,10.65,10.6,10.51
2002-12-12,10.65,7800.0,11.2,11.1,10.65
2002-12-13,10.95,5200.0,11.05,11.0,10.8
2002-12-16,11.2,8300.0,11.2,11.05,11.05
2002-12-17,11.05,4500.0,11.2,11.01,11.01
2002-12-18,11.01,6200.0,11.2,11.05,11.0
2002-12-19,11.05,28700.0,11.05,11.05,10.5
2002-12-20,10.5,1500.0,10.5,10.5,10.5
