date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,59.25,242700.0,59.5,59.19,59.0
1998-01-05,59.31,351000.0,59.31,58.25,57.88
1998-01-06,57.75,367400.0,57.94,57.69,57.13
1998-01-07,57.44,1273200.0,57.44,56.63,56.38
1998-01-08,56.44,692800.0,57.25,57.06,56.38
1998-01-09,57.13,751600.0,57.75,57.0,56.75
1998-01-12,56.25,481600.0,57.44,57.44,56.06
1998-01-13,57.19,289200.0,57.44,57.06,56.75
1998-01-14,57.31,448200.0,57.63,57.38,56.69
1998-01-15,57.44,713800.0,57.44,56.75,56.5
1998-01-16,57.13,1358400.0,57.25,56.5,56.5
1998-01-20,56.5,606900.0,56.63,56.44,56.25
1998-01-21,56.63,744400.0,56.75,56.5,56.13
1998-01-22,56.88,1128900.0,57.63,57.5,56.56
1998-01-23,57.63,306600.0,57.69,57.19,56.88
1998-01-26,57.19,488900.0,58.0,57.69,57.06
1998-01-27,57.94,633600.0,58.75,58.38,57.81
1998-01-28,58.5,901600.0,58.75,58.63,58.38
1998-01-29,58.63,357300.0,58.81,58.06,58.0
1998-01-30,57.75,288900.0,57.81,57.38,57.25
1998-02-02,56.88,592400.0,57.81,57.63,56.88
1998-02-03,57.56,586300.0,58.06,58.06,57.5
1998-02-04,57.94,448900.0,58.25,58.0,57.69
1998-02-05,58.5,825100.0,58.75,57.88,57.88
1998-02-06,58.0,274100.0,58.81,58.5,58.0
1998-02-09,58.75,406300.0,58.81,58.5,58.31
1998-02-10,58.5,509300.0,59.19,58.94,58.44
1998-02-11,59.06,363300.0,59.06,59.0,58.72
1998-02-12,59.0,617000.0,59.5,59.31,58.63
1998-02-13,59.31,283000.0,59.44,59.0,58.88
1998-02-17,59.31,315300.0,59.5,59.5,59.25
1998-02-18,59.25,194200.0,59.75,59.62,59.19
1998-02-19,59.25,199300.0,59.5,58.94,58.75
1998-02-20,59.06,334500.0,59.25,59.06,58.63
1998-02-23,59.25,289200.0,59.25,59.0,58.75
1998-02-24,58.63,752700.0,58.88,58.69,58.25
1998-02-25,58.44,754200.0,58.94,58.56,58.25
1998-02-26,58.69,397200.0,58.69,58.25,58.13
1998-02-27,58.25,642400.0,58.25,58.06,57.81
1998-03-02,57.88,218900.0,58.19,57.94,57.75
1998-03-03,57.69,270900.0,58.75,58.5,57.63
1998-03-04,58.5,672300.0,59.38,59.13,58.38
1998-03-05,59.0,387700.0,59.13,58.81,58.81
1998-03-06,59.25,341200.0,59.75,59.19,59.0
1998-03-09,59.13,373400.0,59.69,59.63,59.0
1998-03-10,59.75,332600.0,60.44,60.31,59.5
1998-03-11,60.06,356100.0,60.5,60.5,60.0
1998-03-12,60.5,215600.0,60.69,60.44,60.13
1998-03-13,60.5,237300.0,61.0,60.88,60.25
1998-03-16,60.75,148800.0,61.75,61.63,60.75
1998-03-17,62.0,429600.0,62.25,62.25,61.44
1998-03-18,62.25,306200.0,63.25,63.25,62.25
1998-03-19,63.19,401000.0,64.13,63.94,63.19
1998-03-20,64.19,813500.0,65.19,64.81,63.94
1998-03-23,64.81,409700.0,64.88,64.5,64.38
1998-03-24,64.5,595800.0,64.63,64.38,64.25
1998-03-25,64.75,333200.0,64.75,64.5,64.06
1998-03-26,64.5,330900.0,64.5,63.5,63.25
1998-03-27,63.56,227100.0,63.56,63.13,62.75
1998-03-30,63.06,599600.0,63.13,63.06,62.63
1998-03-31,63.06,745500.0,64.5,64.25,63.06
1998-04-01,64.19,484500.0,64.25,63.5,63.0
1998-04-02,63.13,302100.0,64.0,64.0,63.0
1998-04-03,64.0,505700.0,64.06,63.75,63.5
1998-04-06,63.81,317600.0,64.06,63.38,63.25
1998-04-07,63.38,277300.0,63.75,63.13,62.81
1998-04-08,62.94,183400.0,63.0,62.44,62.38
1998-04-09,62.5,199200.0,62.94,62.75,62.19
1998-04-13,62.75,765800.0,62.75,62.44,62.31
1998-04-14,62.69,253300.0,63.38,63.31,62.5
1998-04-15,63.25,137000.0,63.25,63.06,63.0
1998-04-16,63.13,617000.0,63.25,62.25,61.94
1998-04-17,62.5,709300.0,62.5,62.13,62.0
1998-04-20,62.13,213400.0,62.13,61.13,60.94
1998-04-21,61.25,222100.0,61.56,61.38,61.25
1998-04-22,61.38,324500.0,61.5,60.56,60.5
1998-04-23,60.44,774700.0,60.5,59.81,59.63
1998-04-24,59.81,321700.0,60.44,60.31,59.69
1998-04-27,60.25,600700.0,60.81,60.56,60.19
1998-04-28,60.63,375100.0,61.06,60.94,60.5
1998-04-29,61.25,288400.0,61.38,61.31,60.31
1998-04-30,61.75,453300.0,62.5,62.06,61.75
1998-05-01,62.44,318900.0,62.44,61.13,61.13
1998-05-04,61.38,265300.0,61.88,61.19,61.0
1998-05-05,61.5,202700.0,61.5,61.13,61.0
1998-05-06,61.0,129800.0,61.06,60.25,60.25
1998-05-07,60.06,187400.0,60.19,60.06,59.63
1998-05-08,60.19,235100.0,60.69,60.56,60.13
1998-05-11,60.5,247900.0,60.75,60.5,60.31
1998-05-12,60.38,314400.0,60.75,60.75,60.0
1998-05-13,60.63,275600.0,61.63,60.44,60.44
1998-05-14,60.5,211800.0,60.5,60.31,60.06
1998-05-15,60.25,254000.0,60.63,60.63,60.13
1998-05-18,60.63,253900.0,60.88,60.5,60.19
1998-05-19,60.56,169700.0,60.56,60.06,59.94
1998-05-20,60.31,230900.0,60.38,60.38,59.94
1998-05-21,60.25,155100.0,60.63,60.19,60.13
1998-05-22,60.13,139500.0,60.13,59.63,59.5
1998-05-26,59.88,332700.0,59.88,59.5,59.13
1998-05-27,58.69,1021800.0,59.5,59.25,58.69
