date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,29.19,462500.0,30.19,30.0,29.19
1998-01-05,29.88,1043300.0,29.94,28.56,28.19
1998-01-06,28.75,907300.0,29.19,28.81,28.44
1998-01-07,28.63,1639300.0,28.63,28.38,27.69
1998-01-08,28.0,1273300.0,28.06,26.69,26.44
1998-01-09,26.44,1736400.0,26.44,25.31,24.81
1998-01-12,24.5,1058400.0,25.0,23.88,23.75
1998-01-13,24.19,2531500.0,25.38,25.25,24.19
1998-01-14,26.5,1446300.0,26.5,24.94,24.69
1998-01-15,25.0,1283200.0,26.13,26.0,24.75
1998-01-16,26.94,1669400.0,27.5,27.06,26.5
1998-01-20,26.0,1175700.0,26.69,26.5,25.81
1998-01-21,26.63,635400.0,27.44,27.19,26.56
1998-01-22,27.31,868100.0,27.94,26.69,26.5
1998-01-23,26.94,2639800.0,30.31,30.06,26.75
1998-01-26,30.25,2529400.0,30.31,28.56,28.06
1998-01-27,28.94,1394900.0,29.06,29.06,28.63
1998-01-28,28.5,1178300.0,29.5,29.38,28.5
1998-01-29,29.19,1056700.0,29.19,28.06,27.94
1998-01-30,28.31,820000.0,28.63,28.5,28.13
1998-02-02,28.5,1007400.0,28.56,28.0,27.13
1998-02-03,27.63,1065000.0,27.63,26.38,26.31
1998-02-04,27.13,1645100.0,28.19,27.75,27.06
1998-02-05,28.63,1397700.0,28.69,27.75,27.5
1998-02-06,28.0,909800.0,28.56,28.25,27.94
1998-02-09,28.94,1509900.0,29.19,28.94,28.69
1998-02-10,29.0,696800.0,29.06,28.19,28.13
1998-02-11,28.06,624700.0,28.06,27.75,27.63
1998-02-12,28.0,747700.0,28.5,28.5,27.75
1998-02-13,28.44,717200.0,29.06,28.88,28.25
1998-02-17,29.06,650600.0,29.06,27.56,27.56
1998-02-18,27.69,514900.0,27.94,27.5,27.19
1998-02-19,27.44,708600.0,27.63,27.25,27.06
1998-02-20,27.0,923200.0,27.13,26.94,26.75
1998-02-23,26.5,913100.0,27.13,27.0,26.44
1998-02-24,26.75,755700.0,26.94,26.63,26.44
1998-02-25,26.88,393100.0,27.19,27.06,26.75
1998-02-26,27.0,1049900.0,28.75,28.69,27.0
1998-02-27,28.94,1210200.0,29.25,29.0,28.75
1998-03-02,29.13,563300.0,29.13,28.75,28.63
1998-03-03,28.31,608200.0,28.56,28.19,27.75
1998-03-04,28.19,508900.0,28.81,27.94,27.88
1998-03-05,27.81,741500.0,27.88,27.13,27.0
1998-03-06,27.38,850500.0,27.75,27.75,27.31
1998-03-09,27.75,642400.0,28.75,28.69,27.56
1998-03-10,28.69,599600.0,29.0,28.81,28.44
1998-03-11,28.31,479400.0,28.44,27.88,27.88
1998-03-12,27.63,520800.0,28.19,27.94,27.5
1998-03-13,27.94,556800.0,28.56,27.94,27.88
1998-03-16,28.06,329600.0,28.19,27.81,27.56
1998-03-17,27.56,584300.0,27.75,27.0,27.0
1998-03-18,26.69,876800.0,27.0,27.0,26.56
1998-03-19,27.0,737700.0,27.56,27.19,26.88
1998-03-20,27.25,938900.0,27.31,26.5,26.5
1998-03-23,27.13,1569300.0,28.94,28.88,27.0
1998-03-24,29.0,1354700.0,29.19,28.56,28.25
1998-03-25,28.88,1506700.0,29.25,28.63,28.63
1998-03-26,28.94,4409400.0,30.94,30.88,28.81
1998-03-27,30.56,4219200.0,31.63,31.13,30.13
1998-03-30,31.38,1360200.0,31.63,30.63,30.5
1998-03-31,30.0,1265100.0,30.75,30.56,29.94
1998-04-01,30.63,769200.0,30.63,30.0,30.0
1998-04-02,30.44,1141100.0,31.19,30.38,30.38
1998-04-03,31.0,2457400.0,32.88,32.88,31.0
1998-04-06,34.0,3139000.0,34.0,33.06,32.88
1998-04-07,33.19,1712400.0,33.25,31.94,31.88
1998-04-08,31.94,1703200.0,33.44,33.13,31.69
1998-04-09,32.81,986900.0,32.94,32.5,32.25
1998-04-13,32.94,952500.0,33.0,32.31,32.0
1998-04-14,32.13,956700.0,32.75,31.94,31.94
1998-04-15,32.0,693000.0,32.44,32.13,31.75
1998-04-16,31.94,931800.0,33.06,32.44,31.81
1998-04-17,32.56,693200.0,32.63,31.75,31.63
1998-04-20,31.75,1298100.0,32.25,31.38,31.06
1998-04-21,31.31,1627400.0,33.56,33.38,31.19
1998-04-22,33.81,2080800.0,34.88,34.63,33.19
1998-04-23,34.75,1026500.0,34.88,34.25,33.75
1998-04-24,34.0,504500.0,34.13,33.31,33.13
1998-04-27,32.13,895600.0,32.94,31.69,31.25
1998-04-28,31.63,1141300.0,32.0,32.0,31.31
1998-04-29,32.19,1073500.0,33.25,32.88,31.88
1998-04-30,33.5,1216100.0,33.5,32.19,31.38
1998-05-01,32.0,1187900.0,32.06,31.0,30.44
1998-05-04,31.38,1163700.0,31.44,31.13,30.5
1998-05-05,31.19,1147700.0,31.75,31.31,30.63
1998-05-06,30.88,933900.0,31.31,31.0,30.25
1998-05-07,30.5,1144900.0,30.63,30.0,29.75
1998-05-08,30.13,813200.0,30.94,30.31,30.0
1998-05-11,30.13,851800.0,31.13,30.5,30.06
1998-05-12,30.38,1315700.0,30.44,29.44,29.25
1998-05-13,29.0,1261000.0,29.81,29.31,29.0
1998-05-14,29.13,1008900.0,29.88,29.81,28.75
1998-05-15,30.5,964900.0,30.63,29.94,29.94
1998-05-18,29.69,662200.0,29.81,28.63,28.56
1998-05-19,28.69,880200.0,28.81,28.06,27.81
1998-05-20,28.75,920000.0,28.81,27.81,27.75
1998-05-21,28.0,790700.0,28.31,27.75,27.31
1998-05-22,27.75,683500.0,27.81,27.44,27.06
1998-05-26,27.38,998300.0,27.38,26.38,26.19
1998-05-27,25.75,2064300.0,25.75,25.31,25.0
1998-05-28,25.38,1931100.0,26.25,25.56,25.25
1998-05-29,25.81,1090700.0,25.81,24.94,24.94
1998-06-01,24.75,962500.0,24.75,23.88,23.63
1998-06-02,24.0,1164100.0,24.88,24.56,24.0
1998-06-03,25.0,966200.0,25.06,24.63,24.44
1998-06-04,24.5,681900.0,24.94,24.38,24.25
1998-06-05,24.5,686000.0,24.81,24.81,23.94
1998-06-08,25.13,1448000.0,26.13,26.13,25.13
1998-06-09,26.06,1666600.0,26.56,25.19,25.06
1998-06-10,25.25,514900.0,25.38,24.81,24.81
1998-06-11,24.56,2391700.0,24.56,22.88,22.56
1998-06-12,23.13,1729700.0,23.31,22.69,21.88
1998-06-15,22.19,1106300.0,22.5,21.88,21.75
1998-06-16,22.13,1494300.0,23.06,23.0,22.13
1998-06-17,23.88,1527700.0,23.88,23.13,22.94
1998-06-18,22.81,701100.0,22.94,22.94,22.25
