date,1. open,5. volume,2. high,4. close,3. low
2002-05-23,16.19,7485000.0,17.4,16.75,16.04
2002-05-24,17.0,793200.0,17.15,16.94,16.76
2002-05-28,16.99,472100.0,17.25,16.2,16.2
2002-05-29,16.3,482700.0,16.3,15.45,15.2
2002-05-30,15.51,725300.0,15.51,15.0,15.0
2002-05-31,15.1,604600.0,15.1,15.07,15.0
2002-06-03,15.12,225100.0,16.09,15.8,15.07
2002-06-04,15.9,221800.0,15.96,15.65,15.55
2002-06-05,15.55,109400.0,16.23,16.06,15.5
2002-06-06,16.1,164700.0,17.25,16.55,16.08
2002-06-07,16.49,97800.0,16.49,15.66,15.45
2002-06-10,15.89,34600.0,16.45,16.19,15.89
2002-06-11,16.19,71700.0,16.64,16.15,15.8
2002-06-12,16.15,128500.0,16.55,15.3,15.25
2002-06-13,15.46,183400.0,15.71,15.16,15.12
2002-06-14,15.15,341700.0,15.2,13.81,13.72
2002-06-17,14.19,346800.0,14.83,12.91,12.85
2002-06-18,13.14,772000.0,13.15,12.75,11.79
2002-06-19,12.76,391600.0,13.95,13.32,12.5
2002-06-20,13.6,436500.0,14.56,13.4,13.3
2002-06-21,13.75,167600.0,13.85,13.71,13.27
2002-06-24,13.71,183400.0,14.2,13.7,13.4
2002-06-25,13.84,281500.0,14.1,13.5,13.26
2002-06-26,13.49,208900.0,13.95,13.84,12.9
2002-06-27,14.13,272700.0,14.26,13.21,13.21
2002-06-28,13.45,659600.0,14.19,13.99,13.45
2002-07-01,14.0,327500.0,14.65,14.39,13.9
2002-07-02,14.75,644300.0,16.74,16.42,14.55
2002-07-03,16.5,354100.0,17.0,17.0,15.65
2002-07-05,17.0,143100.0,18.19,17.87,16.99
2002-07-08,17.53,139500.0,17.53,16.46,16.35
2002-07-09,16.45,209700.0,16.75,16.25,15.6
2002-07-10,16.26,111000.0,16.5,16.29,15.85
2002-07-11,16.16,180700.0,17.9,17.77,15.86
2002-07-12,17.9,202700.0,17.92,16.91,16.9
2002-07-15,17.4,302800.0,17.48,16.0,15.07
2002-07-16,16.14,138700.0,16.2,15.77,15.46
2002-07-17,16.03,90100.0,16.29,15.25,15.06
2002-07-18,15.64,207100.0,16.33,16.09,15.55
2002-07-19,16.14,128000.0,16.25,16.24,15.71
2002-07-22,15.9,142400.0,16.51,16.39,15.62
2002-07-23,16.47,112700.0,16.99,16.05,15.83
2002-07-24,16.05,239700.0,16.23,15.6,15.04
2002-07-25,15.75,339700.0,15.79,14.51,14.49
2002-07-26,14.7,503300.0,14.82,12.2,11.9
2002-07-29,12.55,232900.0,12.94,12.27,11.9
2002-07-30,12.51,269800.0,13.2,12.8,12.51
2002-07-31,13.0,238100.0,13.44,13.35,12.68
2002-08-01,13.3,323500.0,13.44,12.48,12.29
2002-08-02,12.41,475400.0,12.43,10.89,9.89
2002-08-05,10.9,272000.0,11.38,10.85,10.65
2002-08-06,11.14,229800.0,11.25,10.65,10.4
2002-08-07,10.65,197000.0,11.11,11.11,10.4
2002-08-08,11.15,163100.0,11.25,11.15,10.51
2002-08-09,11.18,107200.0,11.5,11.02,10.9
2002-08-12,11.24,152200.0,11.3,10.6,10.55
2002-08-13,10.75,119800.0,11.27,10.82,10.56
2002-08-14,10.86,289100.0,11.67,11.67,10.8
2002-08-15,11.72,233100.0,12.75,12.36,11.66
2002-08-16,12.5,130600.0,12.94,12.78,12.0
2002-08-19,12.95,148200.0,13.78,13.75,12.85
2002-08-20,13.79,181400.0,13.91,13.25,12.9
2002-08-21,13.35,198500.0,13.6,13.56,12.86
2002-08-22,13.63,211700.0,13.99,13.77,13.01
2002-08-23,13.92,171900.0,13.95,13.91,13.55
2002-08-26,13.95,188900.0,13.95,13.55,13.13
2002-08-27,13.55,356000.0,13.55,12.23,12.01
2002-08-28,12.06,162500.0,12.46,12.1,11.55
2002-08-29,11.66,171100.0,12.91,12.65,11.54
2002-08-30,12.8,151500.0,13.48,13.11,12.52
2002-09-03,13.11,113800.0,13.49,12.96,12.79
2002-09-04,12.96,26700.0,13.25,13.0,12.71
2002-09-05,12.85,20400.0,13.1,12.85,12.75
2002-09-06,12.99,54500.0,13.1,12.8,12.75
2002-09-09,12.87,101400.0,12.95,12.62,12.5
2002-09-10,12.61,339000.0,13.3,13.23,12.45
2002-09-11,13.14,116400.0,13.67,13.46,13.14
2002-09-12,13.48,138800.0,13.54,12.95,12.8
2002-09-13,12.9,177500.0,12.98,12.3,12.1
2002-09-16,12.49,250900.0,12.49,12.0,11.94
2002-09-17,12.1,204500.0,12.1,11.98,11.55
2002-09-18,11.71,108700.0,11.78,11.03,10.99
2002-09-19,10.99,355600.0,11.0,10.14,10.05
2002-09-20,10.55,248900.0,10.75,9.919,9.8
2002-09-23,10.0,345700.0,10.25,9.961,9.881
2002-09-24,9.96,267700.0,10.15,10.05,9.65
2002-09-25,10.15,104100.0,10.5,10.25,9.91
2002-09-26,10.48,297300.0,10.97,10.97,10.2
2002-09-27,10.87,364700.0,10.98,10.08,9.972
2002-09-30,9.9,345500.0,10.1,9.7,9.65
2002-10-01,9.93,275000.0,9.94,9.5,9.25
2002-10-02,9.64,665300.0,9.64,8.1,7.85
2002-10-03,7.97,697500.0,7.98,7.251,6.85
2002-10-04,7.25,602400.0,7.44,6.563,6.26
2002-10-07,6.3,1123200.0,6.42,5.77,5.35
2002-10-08,5.75,323700.0,5.99,5.67,5.47
2002-10-09,5.74,427300.0,5.75,5.22,4.86
2002-10-10,5.29,969800.0,7.35,7.09,4.85
2002-10-11,7.12,948700.0,7.4,6.59,6.25
2002-10-14,6.5,376600.0,7.49,7.48,6.49
2002-10-15,7.6,294700.0,8.2,7.7,7.59
2002-10-16,7.41,414300.0,7.46,6.43,6.2
2002-10-17,6.61,534400.0,8.2,7.7,6.6
2002-10-18,8.2,1778900.0,10.3,9.56,8.2
2002-10-21,8.94,691900.0,9.3,8.91,8.52
2002-10-22,8.9,304500.0,9.01,8.759,8.65
2002-10-23,8.75,252800.0,8.75,8.25,8.2
2002-10-24,8.49,173700.0,8.49,8.11,7.75
2002-10-25,8.12,460500.0,9.59,9.0,7.95
2002-10-28,9.3,403400.0,9.9,9.6,9.1
2002-10-29,9.45,143200.0,9.5,9.2,8.86
2002-10-30,9.29,101700.0,9.32,8.98,8.9
2002-10-31,8.91,118500.0,9.0,8.971,8.73
2002-11-01,8.8,151900.0,9.0,8.94,8.5
2002-11-04,9.0,256400.0,9.84,9.4,8.95
2002-11-05,9.41,74700.0,9.47,9.12,9.11
2002-11-06,9.3,502300.0,9.3,8.81,8.58
2002-11-07,8.85,184700.0,8.93,8.3,8.3
2002-11-08,8.47,351600.0,8.58,8.55,7.75
2002-11-11,8.5,26500.0,8.5,8.41,8.2
2002-11-12,8.4,156500.0,8.6,8.09,8.01
2002-11-13,8.11,230800.0,9.0,8.98,7.78
2002-11-14,9.0,66500.0,9.03,8.66,8.66
2002-11-15,8.99,146100.0,9.15,9.1,8.25
2002-11-18,9.08,718700.0,10.93,10.9,8.75
2002-11-19,10.08,2013900.0,10.09,9.3,8.73
2002-11-20,9.44,720400.0,10.19,10.04,9.25
2002-11-21,10.2,751200.0,11.0,11.0,10.05
2002-11-22,10.6,320900.0,11.2,11.01,10.53
2002-11-25,11.1,340800.0,11.15,11.1,10.55
2002-11-26,10.8,126500.0,11.0,10.49,10.48
2002-11-27,10.66,76400.0,10.72,10.52,10.41
2002-11-29,10.5,66600.0,11.13,10.85,10.4
2002-12-02,10.4,143500.0,11.15,10.66,10.14
2002-12-03,10.5,83200.0,11.05,10.79,10.35
2002-12-04,10.4,176300.0,10.5,9.949,9.75
2002-12-05,12.02,902300.0,12.1,11.0,10.78
2002-12-06,10.99,277400.0,11.17,10.95,10.33
2002-12-09,11.14,290600.0,11.2,11.19,10.69
2002-12-10,11.2,231200.0,12.22,12.2,11.19
2002-12-11,11.96,349700.0,13.0,12.56,11.77
2002-12-12,12.68,181000.0,12.8,12.61,12.4
2002-12-13,12.6,99700.0,12.8,12.5,12.05
2002-12-16,12.58,149900.0,12.99,12.79,12.15
2002-12-17,12.8,120000.0,12.98,12.69,12.5
2002-12-18,12.55,955600.0,12.58,11.0,10.69
2002-12-19,10.79,270100.0,11.19,10.8,10.62
2002-12-20,10.7,313200.0,10.79,10.7,10.2
2002-12-23,10.35,236500.0,10.65,10.25,10.19
2002-12-24,10.2,349700.0,10.25,9.9,9.79
2002-12-26,9.83,151600.0,10.0,9.75,9.58
2002-12-27,9.7,328000.0,9.92,9.67,9.6
2002-12-30,9.85,371300.0,10.0,9.99,9.6
2002-12-31,9.98,812100.0,11.2,11.01,9.7
2003-01-02,11.85,599800.0,12.6,11.45,11.35
2003-01-03,11.9,232000.0,11.9,10.82,10.8
2003-01-06,11.0,214500.0,11.2,11.1,10.67
2003-01-07,10.8,138400.0,11.14,10.97,10.8
2003-01-08,10.8,382600.0,12.0,11.41,10.67
2003-01-09,11.55,380200.0,11.84,11.74,11.33
2003-01-10,11.69,388200.0,12.7,12.42,11.6
2003-01-13,12.01,314900.0,12.37,12.14,11.97
2003-01-14,12.2,182100.0,12.35,12.04,11.71
2003-01-15,11.89,673600.0,12.35,12.2,11.87
2003-01-16,12.7,1332400.0,13.39,12.0,12.0
2003-01-17,11.8,383200.0,11.9,11.44,11.05
2003-01-21,11.57,434400.0,11.9,11.4,11.1
2003-01-22,11.38,298100.0,11.95,11.6,11.28
2003-01-23,11.91,515700.0,12.68,12.19,11.7
2003-01-24,12.25,453800.0,12.38,12.33,11.85
2003-01-27,12.1,245700.0,12.28,12.28,11.72
2003-01-28,12.03,353300.0,12.85,12.55,11.91
2003-01-29,12.03,211200.0,12.85,12.55,11.91
2003-01-30,12.5,264300.0,12.76,12.63,12.35
2003-01-31,12.68,287100.0,13.25,13.2,12.46
2003-02-03,13.14,202600.0,13.18,12.8,12.5
2003-02-04,12.6,145700.0,12.75,12.3,12.05
2003-02-05,12.26,248900.0,12.4,11.94,11.82
2003-02-06,11.96,266800.0,12.0,11.65,11.54
2003-02-07,11.8,358300.0,12.25,12.18,11.69
2003-02-10,12.23,521800.0,12.77,12.47,12.15
2003-02-11,12.9,342200.0,13.1,12.98,12.61
2003-02-12,13.37,401100.0,13.4,13.28,13.0
2003-02-13,13.31,435200.0,25.05,13.22,13.22
2003-02-14,13.33,602500.0,14.28,14.24,13.26
2003-02-18,14.31,447700.0,14.79,14.66,14.04
2003-02-19,14.82,365600.0,15.25,15.14,14.68
2003-02-20,15.49,452800.0,15.75,15.38,15.04
2003-02-21,15.4,446800.0,15.4,14.9,14.46
2003-02-24,14.34,881400.0,14.59,14.04,14.01
2003-02-25,13.81,330700.0,14.85,14.65,13.51
2003-02-26,14.76,277000.0,14.84,14.55,14.09
2003-02-27,14.82,1651400.0,16.5,16.5,14.77
2003-02-28,16.63,848500.0,17.2,17.11,16.3
2003-03-03,16.91,1128400.0,17.08,15.96,15.75
2003-03-04,15.99,397500.0,16.41,16.35,15.54
2003-03-05,16.36,249900.0,16.36,16.15,15.76
2003-03-06,16.31,246800.0,16.49,16.3,16.0
2003-03-07,15.98,346700.0,16.6,16.09,15.75
2003-03-10,15.98,244600.0,16.3,15.73,15.71
2003-03-11,15.73,395100.0,15.75,15.5,15.0
2003-03-12,15.45,410800.0,15.51,15.06,14.9
2003-03-13,15.36,540000.0,16.57,16.25,15.25
2003-03-14,16.6,437800.0,16.95,16.55,16.39
2003-03-17,16.58,1186900.0,18.09,18.0,15.66
2003-03-18,18.5,1506500.0,19.18,18.75,18.07
2003-03-19,19.09,1147300.0,19.58,19.24,18.7
2003-03-20,19.45,1043100.0,19.69,18.83,18.61
2003-03-21,19.11,582200.0,19.61,18.55,18.31
2003-03-24,18.27,642600.0,18.6,18.0,17.75
2003-03-25,18.0,900200.0,19.49,19.25,17.95
2003-03-26,19.4,1327200.0,20.74,20.6,19.25
2003-03-27,20.5,2188000.0,21.91,21.73,20.2
2003-03-28,21.75,1867400.0,22.33,21.06,20.71
2003-03-31,20.19,591700.0,21.1,20.35,20.11
2003-04-01,20.5,1215700.0,20.58,18.96,18.56
2003-04-02,20.0,1625800.0,20.61,19.84,19.56
2003-04-03,20.2,573800.0,20.25,20.0,19.56
2003-04-04,20.16,420300.0,20.43,19.55,19.44
2003-04-07,20.6,736800.0,21.25,19.95,19.76
2003-04-08,19.89,447500.0,20.6,20.18,19.1
2003-04-09,20.75,418900.0,20.8,20.4,20.0
2003-04-10,20.49,387100.0,21.16,21.02,20.11
2003-04-11,21.24,342200.0,21.7,20.77,20.65
2003-04-14,20.31,382500.0,20.7,20.2,20.1
2003-04-15,20.1,450800.0,20.3,20.15,19.72
2003-04-16,20.28,323800.0,20.62,20.571,20.1
2003-04-17,20.65,961600.0,22.0,21.96,20.57
2003-04-21,23.7,3469500.0,24.69,24.63,22.6
2003-04-22,24.489,2183600.0,24.489,22.97,22.44
2003-04-23,23.06,2627700.0,23.09,20.72,20.05
2003-04-24,20.54,2554700.0,22.79,22.02,20.3
2003-04-25,21.99,1065900.0,22.2,21.15,20.898
2003-04-28,21.0,1623400.0,22.25,22.16,21.0
