date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,23.44,76800.0,23.75,23.75,23.13
1998-01-05,23.75,40600.0,23.75,22.63,22.63
1998-01-06,22.38,165300.0,22.44,20.88,20.13
1998-01-07,21.5,326400.0,22.25,21.69,21.06
1998-01-08,21.5,25700.0,21.94,21.06,21.0
1998-01-09,21.31,52100.0,21.31,20.81,20.81
1998-01-12,20.0,106700.0,20.0,19.63,19.56
1998-01-13,19.69,152600.0,20.25,19.69,19.56
1998-01-14,19.88,82300.0,20.5,20.38,19.88
1998-01-15,20.38,65400.0,21.25,20.94,20.38
1998-01-16,21.19,25900.0,22.25,22.25,21.06
1998-01-20,22.13,66600.0,23.5,23.19,22.13
1998-01-21,23.06,177200.0,23.13,23.06,23.0
1998-01-22,22.63,261900.0,22.63,21.44,21.0
1998-01-23,21.44,100600.0,21.5,20.88,20.81
1998-01-26,21.13,64600.0,21.25,20.94,20.75
1998-01-27,21.06,61200.0,21.06,20.31,20.0
1998-01-28,20.31,103600.0,21.44,21.44,20.31
1998-01-29,21.56,97400.0,22.63,22.5,21.56
1998-01-30,22.5,35000.0,22.69,22.5,22.44
1998-02-02,22.5,51300.0,22.5,22.38,21.56
1998-02-03,22.13,4300.0,22.13,21.94,21.88
1998-02-04,22.0,82300.0,22.25,21.81,21.5
1998-02-05,21.94,110600.0,22.25,21.19,20.38
1998-02-06,21.44,568800.0,22.63,22.63,21.31
1998-02-09,22.88,210700.0,24.69,24.56,22.69
1998-02-10,24.44,28300.0,24.44,23.69,23.63
1998-02-11,23.81,40000.0,24.06,23.63,23.56
1998-02-12,23.5,31300.0,23.88,23.88,23.5
1998-02-13,23.63,36000.0,23.94,23.94,23.44
1998-02-17,24.06,55500.0,24.06,23.25,22.75
1998-02-18,23.13,28700.0,23.31,23.25,23.0
1998-02-19,23.0,40400.0,23.38,23.38,22.88
1998-02-20,23.13,26600.0,23.25,23.13,23.0
1998-02-23,23.25,45300.0,23.63,23.19,23.13
1998-02-24,23.13,47100.0,23.25,23.25,22.88
1998-02-25,23.0,70100.0,23.13,23.13,22.69
1998-02-26,23.06,37000.0,23.94,23.94,23.06
1998-02-27,24.0,43300.0,24.19,24.0,23.81
1998-03-02,24.06,25800.0,24.5,24.44,24.06
1998-03-03,24.44,275800.0,24.75,24.5,24.0
1998-03-04,24.5,28000.0,24.5,24.06,24.06
1998-03-05,24.0,128900.0,24.0,23.06,22.38
1998-03-06,23.19,270700.0,23.44,23.19,22.94
1998-03-09,23.31,84700.0,23.5,23.44,23.25
1998-03-10,23.44,53500.0,23.63,23.63,23.44
1998-03-11,23.5,86900.0,23.5,22.63,22.63
1998-03-12,22.38,77700.0,22.63,22.56,22.13
1998-03-13,22.5,19800.0,22.56,22.44,22.25
1998-03-16,22.31,39300.0,23.06,23.06,22.31
1998-03-17,23.0,53000.0,23.06,22.63,22.44
1998-03-18,22.5,56700.0,23.25,23.0,22.5
1998-03-19,23.44,66700.0,24.63,24.13,23.31
1998-03-20,24.0,50200.0,24.94,24.94,24.0
1998-03-23,25.06,190900.0,27.69,26.5,25.06
1998-03-24,26.25,57700.0,26.31,25.56,25.56
1998-03-25,25.56,16600.0,25.63,25.31,25.25
1998-03-26,25.38,63400.0,25.69,25.69,24.81
1998-03-27,25.94,184200.0,25.94,25.25,25.0
1998-03-30,25.38,49200.0,25.38,25.06,25.0
1998-03-31,25.19,247400.0,26.06,26.06,25.13
1998-04-01,26.19,72700.0,26.19,26.0,25.94
1998-04-02,25.81,40400.0,26.25,25.94,25.75
1998-04-03,26.06,175100.0,26.38,25.88,25.63
1998-04-06,25.88,23700.0,25.94,25.81,25.63
1998-04-07,26.0,68700.0,26.0,25.56,25.38
1998-04-08,25.56,358200.0,25.94,25.69,25.56
1998-04-09,25.63,95900.0,25.94,25.94,25.63
1998-04-13,25.88,38300.0,25.88,25.38,25.13
1998-04-14,25.44,19200.0,25.69,25.69,25.44
1998-04-15,25.5,157500.0,25.5,25.25,25.25
1998-04-16,25.13,87100.0,25.25,25.0,24.94
1998-04-17,25.0,20800.0,25.31,25.19,25.0
1998-04-20,25.31,143700.0,25.5,24.88,24.69
1998-04-21,24.88,123800.0,25.19,24.94,24.75
1998-04-22,24.94,98800.0,24.94,24.63,24.5
1998-04-23,24.5,347600.0,24.5,24.13,23.81
1998-04-24,24.0,59500.0,24.38,24.13,24.0
1998-04-27,23.5,58800.0,23.63,23.13,23.0
1998-04-28,23.38,57300.0,23.63,23.31,23.31
1998-04-29,23.44,76100.0,24.13,24.13,23.44
1998-04-30,24.25,148700.0,24.81,24.25,24.13
1998-05-01,24.25,92500.0,24.56,24.31,24.19
1998-05-04,24.44,144300.0,24.75,24.56,24.31
1998-05-05,24.44,80800.0,24.75,24.56,24.44
1998-05-06,24.69,57200.0,24.69,24.56,24.5
1998-05-07,24.44,152600.0,24.63,24.5,24.0
1998-05-08,24.38,48100.0,24.81,24.56,24.31
1998-05-11,24.75,78000.0,25.06,25.0,24.75
1998-05-12,24.88,106700.0,24.88,24.25,24.19
1998-05-13,24.25,14200.0,24.31,23.94,23.88
1998-05-14,23.88,69600.0,23.88,23.5,23.38
1998-05-15,23.69,42300.0,23.69,22.94,22.88
1998-05-18,22.69,29400.0,22.75,22.44,22.19
1998-05-19,22.44,96300.0,22.81,22.63,22.44
1998-05-20,22.69,92100.0,22.69,22.19,22.0
1998-05-21,22.0,62600.0,22.13,21.94,21.88
1998-05-22,22.0,66200.0,22.25,21.44,21.19
1998-05-26,21.13,256800.0,21.81,21.56,21.13
1998-05-27,21.75,263400.0,21.81,21.75,21.25
1998-05-28,21.88,41800.0,22.38,22.38,21.63
1998-05-29,22.63,130900.0,22.75,22.38,22.38
1998-06-01,22.25,30800.0,22.56,21.63,21.5
1998-06-02,21.63,138100.0,21.63,20.88,20.75
1998-06-03,20.94,1242200.0,20.94,19.94,19.25
1998-06-04,20.06,217400.0,20.13,20.06,19.63
1998-06-05,20.19,101100.0,21.06,20.88,20.13
