date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,34.44,105000.0,34.44,33.75,33.31
1998-01-05,33.94,142300.0,33.94,33.0,32.69
1998-01-06,31.13,329350.0,31.19,30.25,28.5
1998-01-07,30.5,301650.0,32.94,32.94,29.56
1998-01-08,31.38,219450.0,31.5,31.0,30.94
1998-01-09,30.0,386150.0,30.0,29.88,28.0
1998-01-12,28.5,278600.0,29.75,27.38,27.06
1998-01-13,27.63,399350.0,28.38,27.0,26.75
1998-01-14,27.06,395150.0,27.75,27.0,26.13
1998-01-15,26.5,246950.0,27.69,26.69,26.5
1998-01-16,27.5,309850.0,28.13,28.0,27.0
1998-01-20,28.5,342350.0,29.44,29.44,28.13
1998-01-21,28.5,243300.0,29.06,29.0,28.06
1998-01-22,27.5,377150.0,27.5,24.81,24.5
1998-01-23,25.0,403700.0,25.5,23.88,23.25
1998-01-26,24.13,462900.0,25.0,25.0,22.75
1998-01-27,25.0,435150.0,26.0,25.75,24.88
1998-01-28,25.88,295550.0,26.0,25.94,25.13
1998-01-29,26.25,540300.0,28.19,27.81,26.25
1998-01-30,27.31,110450.0,27.44,26.5,26.13
1998-02-02,28.0,426850.0,28.06,27.19,26.88
1998-02-03,27.19,365650.0,28.19,28.19,27.19
1998-02-04,28.25,383700.0,29.75,29.69,28.25
1998-02-05,30.0,495500.0,32.0,31.38,30.0
1998-02-06,31.44,304400.0,32.25,32.0,31.44
1998-02-09,32.0,186550.0,32.06,31.38,30.75
1998-02-10,31.25,151600.0,31.44,30.25,30.0
1998-02-11,30.44,104150.0,30.44,29.5,29.5
1998-02-12,29.56,393350.0,29.75,28.38,28.31
1998-02-13,28.38,299650.0,29.44,29.44,28.25
1998-02-17,29.69,370500.0,29.69,27.75,27.5
1998-02-18,27.88,477100.0,28.25,28.25,27.69
1998-02-19,28.44,202150.0,29.19,28.81,27.69
1998-02-20,28.69,217600.0,29.0,28.38,28.25
1998-02-23,27.88,182200.0,27.88,26.19,25.94
1998-02-24,26.0,213350.0,27.0,26.31,26.0
1998-02-25,26.5,272150.0,27.13,26.25,26.0
1998-02-26,26.5,578000.0,27.69,27.0,26.5
1998-02-27,27.19,337450.0,28.0,28.0,27.06
1998-03-02,27.75,255600.0,28.88,28.63,27.63
1998-03-03,28.63,753100.0,32.0,31.06,28.63
1998-03-04,31.0,771400.0,32.63,31.44,30.0
1998-03-05,31.19,124100.0,32.25,31.31,30.69
1998-03-06,31.5,200950.0,32.31,30.44,30.0
1998-03-09,30.0,209950.0,30.0,28.81,28.63
1998-03-10,28.63,143150.0,29.63,29.38,28.56
1998-03-11,29.44,224800.0,30.81,30.38,29.44
1998-03-12,30.13,237100.0,30.44,30.25,29.75
1998-03-13,30.0,55100.0,30.25,29.31,29.25
1998-03-16,29.44,64000.0,29.56,28.88,28.25
1998-03-17,28.63,338800.0,28.75,27.0,25.88
1998-03-18,27.0,901050.0,27.63,27.44,26.25
1998-03-19,28.0,535300.0,28.13,27.44,26.75
1998-03-20,27.94,321400.0,29.13,29.06,27.63
1998-03-23,32.0,463250.0,32.0,31.63,30.75
1998-03-24,31.5,152950.0,31.56,31.38,31.0
1998-03-25,31.63,212700.0,31.94,31.5,30.94
1998-03-26,31.75,257050.0,34.25,34.0,31.31
1998-03-27,34.25,324250.0,34.25,33.56,32.38
1998-03-30,32.0,146400.0,33.19,32.81,32.0
1998-03-31,32.5,256300.0,32.94,32.94,31.81
1998-04-01,33.0,216700.0,34.94,34.38,33.0
1998-04-02,34.31,113450.0,34.75,34.31,34.31
1998-04-03,34.5,57800.0,34.56,33.94,33.69
1998-04-06,33.75,119100.0,34.0,33.56,33.31
1998-04-07,33.31,357000.0,33.75,33.56,33.19
1998-04-08,33.5,86950.0,34.0,34.0,33.5
1998-04-09,34.19,130950.0,35.0,35.0,34.19
1998-04-13,35.0,213800.0,35.69,35.44,34.88
1998-04-14,35.5,184450.0,37.0,36.94,35.19
1998-04-15,36.94,303200.0,38.94,38.94,36.94
1998-04-16,38.19,284700.0,38.5,37.88,37.88
1998-04-17,37.88,416450.0,39.25,39.25,36.38
1998-04-20,39.0,161600.0,39.63,39.19,38.75
1998-04-21,39.38,233200.0,40.44,39.63,39.13
1998-04-22,39.63,209250.0,40.13,39.19,39.13
1998-04-23,39.19,138500.0,39.56,38.56,38.31
1998-04-24,38.44,109700.0,38.63,37.31,37.0
1998-04-27,36.5,104600.0,36.69,36.0,35.5
1998-04-28,36.88,130100.0,37.31,37.25,36.69
1998-04-29,37.06,157700.0,38.13,38.13,37.0
1998-04-30,39.13,148600.0,39.13,37.94,37.56
1998-05-01,37.94,222000.0,39.25,39.13,37.56
1998-05-04,39.38,121550.0,39.5,37.69,37.69
1998-05-05,37.69,124650.0,39.44,39.0,37.69
1998-05-06,40.19,268250.0,40.19,38.63,38.63
1998-05-07,38.69,37800.0,38.69,37.56,37.56
1998-05-08,37.63,93050.0,39.25,39.25,37.56
1998-05-11,39.88,131400.0,39.88,38.5,38.31
1998-05-12,39.5,196750.0,39.63,39.31,38.88
1998-05-13,39.19,131300.0,40.0,39.44,38.94
1998-05-14,38.88,153600.0,39.75,39.06,38.75
1998-05-15,39.06,282700.0,39.88,39.75,39.0
1998-05-18,39.94,526800.0,40.38,37.25,36.63
1998-05-19,37.25,408650.0,38.0,35.56,35.5
1998-05-20,35.63,185300.0,35.75,33.75,33.5
1998-05-21,33.94,171550.0,34.13,33.88,33.56
1998-05-22,34.0,85500.0,34.5,34.5,33.5
1998-05-26,34.38,121450.0,34.5,33.75,33.56
1998-05-27,33.5,182850.0,33.75,33.63,33.0
1998-05-28,33.63,113000.0,35.31,35.13,33.44
1998-05-29,35.13,85150.0,35.25,34.94,34.56
1998-06-01,34.88,200300.0,35.06,34.75,34.5
1998-06-02,34.63,209800.0,34.94,34.94,34.63
1998-06-03,34.88,99150.0,35.0,34.75,34.56
1998-06-04,34.75,164800.0,35.94,35.94,34.75
1998-06-05,36.06,71300.0,36.69,36.56,36.06
1998-06-08,36.63,131200.0,36.63,34.88,34.81
1998-06-09,34.88,158350.0,35.38,34.69,34.63
1998-06-10,34.56,193950.0,34.62,32.75,32.37
1998-06-11,32.75,310400.0,33.0,30.0,28.88
1998-06-12,29.88,233450.0,31.44,31.19,29.0
1998-06-15,30.94,99600.0,30.94,28.75,28.5
1998-06-16,29.0,455700.0,29.19,27.31,26.75
1998-06-17,27.81,152700.0,28.63,27.88,27.75
1998-06-18,28.06,276600.0,28.13,26.44,26.38
1998-06-19,26.19,139850.0,26.94,25.94,25.94
1998-06-22,26.06,216500.0,27.69,27.5,26.06
1998-06-23,27.75,349800.0,29.38,29.06,27.75
1998-06-24,30.06,184450.0,30.63,28.25,27.94
1998-06-25,28.38,178000.0,28.88,27.0,26.5
1998-06-26,26.88,78650.0,27.31,26.0,25.88
