date,1. open,5. volume,2. high,4. close,3. low
2003-12-02,19.0,80000.0,19.25,19.25,19.0
2003-12-03,19.5,150000.0,19.5,19.5,19.5
2003-12-04,20.25,25000.0,20.25,20.25,20.25
2003-12-05,20.25,0.0,20.25,20.25,20.25
2003-12-08,21.0,477000.0,21.8,21.8,21.0
2003-12-09,21.8,1507100.0,22.75,22.125,21.8
2003-12-10,22.25,1497300.0,23.0,22.5,22.25
2003-12-11,22.75,1101600.0,23.0,22.9,22.625
2003-12-12,23.0,354500.0,23.05,22.95,22.92
2003-12-15,22.9,643500.0,22.9,22.4,22.4
2003-12-16,22.35,442800.0,22.35,21.95,21.8
2003-12-17,21.9,575400.0,21.9,21.45,21.4
2003-12-18,21.45,1212600.0,21.55,21.55,21.45
2003-12-19,21.55,710900.0,21.8,21.8,21.55
2003-12-22,21.65,2600.0,21.8,21.65,21.65
2003-12-23,21.7,66900.0,21.85,21.8,21.7
2003-12-24,21.8,10100.0,21.85,21.85,21.8
2003-12-26,21.85,500.0,21.85,21.85,21.85
2003-12-29,21.8,600.0,21.8,21.8,21.8
2003-12-30,21.85,15800.0,21.9,21.9,21.85
2003-12-31,21.9,7100.0,22.0,21.9,21.9
2004-01-02,22.0,278800.0,22.45,22.45,21.95
2004-01-05,22.45,68000.0,22.5,22.4,22.3
2004-01-06,22.4,80300.0,22.5,22.45,22.39
2004-01-07,22.4,141700.0,22.4,22.25,22.0
2004-01-08,22.35,192600.0,22.35,22.26,22.2
2004-01-09,22.3,1728100.0,22.3,21.15,21.15
2004-01-12,21.25,8900.0,21.25,21.2,21.2
2004-01-13,21.25,534800.0,21.35,21.0,20.96
2004-01-14,21.05,104300.0,21.1,21.0,21.0
2004-01-15,21.0,27100.0,21.0,20.85,20.75
2004-01-16,20.75,246900.0,20.9,20.8,20.75
2004-01-20,21.0,428300.0,21.05,21.0,20.97
2004-01-21,21.05,484800.0,21.15,21.0,21.0
2004-01-22,21.1,431800.0,21.6,21.5,21.1
2004-01-23,21.5,374200.0,21.5,21.2,21.1
2004-01-26,21.2,145800.0,21.2,20.85,20.85
2004-01-27,20.85,497300.0,20.85,20.73,20.7
2004-01-28,20.75,50000.0,20.75,20.5,20.45
2004-01-29,20.5,584500.0,20.5,20.0,19.75
2004-01-30,20.0,170600.0,20.25,20.0,20.0
2004-02-02,20.0,40400.0,20.35,20.15,20.0
2004-02-03,20.0,689600.0,20.31,20.3,20.0
