date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,30.81,585200.0,30.94,30.25,30.03
1998-01-05,30.75,656800.0,31.0,31.0,30.63
1998-01-06,31.0,539900.0,31.38,31.0,30.75
1998-01-07,31.0,1005500.0,31.5,31.5,30.75
1998-01-08,31.06,754700.0,31.13,30.75,30.31
1998-01-09,30.63,630200.0,30.63,30.0,29.88
1998-01-12,29.5,1347500.0,30.5,30.5,29.5
1998-01-13,30.88,862100.0,30.88,30.75,30.5
1998-01-14,30.94,883700.0,30.94,30.44,30.25
1998-01-15,30.31,491100.0,30.44,30.19,30.0
1998-01-16,30.44,660800.0,30.5,30.13,30.06
1998-01-20,30.13,615300.0,31.5,31.5,30.13
1998-01-21,31.5,983900.0,31.56,31.38,30.69
1998-01-22,31.38,628500.0,31.38,31.31,30.38
1998-01-23,31.56,673200.0,32.0,30.94,30.63
1998-01-26,30.94,581600.0,30.94,30.31,30.0
1998-01-27,30.19,521800.0,30.69,30.5,30.19
1998-01-28,30.31,828400.0,32.31,31.69,30.31
1998-01-29,31.63,812800.0,32.5,32.0,31.44
1998-01-30,31.75,631400.0,32.31,31.56,31.44
1998-02-02,32.0,493600.0,32.5,32.38,31.81
1998-02-03,31.94,551700.0,33.13,33.06,31.94
1998-02-04,31.94,559800.0,33.44,33.19,31.94
1998-02-05,33.38,377200.0,33.5,33.0,32.56
1998-02-06,33.19,495000.0,33.81,33.56,33.0
1998-02-09,33.5,546300.0,33.94,33.94,33.0
1998-02-10,33.69,550600.0,33.94,33.69,33.44
1998-02-11,33.69,805900.0,34.38,34.38,33.56
1998-02-12,34.38,530800.0,35.13,35.0,33.94
1998-02-13,34.5,379400.0,35.0,34.75,34.31
1998-02-17,34.75,538000.0,35.31,35.31,34.44
1998-02-18,35.69,701300.0,35.75,35.63,35.31
1998-02-19,35.5,634700.0,35.5,35.38,35.13
1998-02-20,35.56,462600.0,36.19,36.13,35.31
1998-02-23,36.38,422300.0,36.5,35.94,35.25
1998-02-24,35.56,433300.0,35.56,35.31,34.69
1998-02-25,35.56,296200.0,35.56,35.31,35.0
1998-02-26,35.06,1360400.0,35.38,34.81,34.38
1998-02-27,34.75,327200.0,34.94,34.44,34.13
1998-03-02,34.5,782900.0,34.5,34.38,34.13
1998-03-03,34.38,797400.0,34.44,34.31,34.19
1998-03-04,34.13,1034700.0,34.38,34.25,34.0
1998-03-05,34.06,454900.0,34.25,33.94,33.94
1998-03-06,33.88,1153700.0,35.44,35.44,33.88
1998-03-09,35.19,456800.0,36.06,35.94,34.88
1998-03-10,35.75,658500.0,36.81,36.69,35.56
1998-03-11,36.44,438000.0,36.75,36.38,35.94
1998-03-12,36.38,465300.0,36.75,36.56,35.75
1998-03-13,36.56,368000.0,36.75,36.38,36.19
1998-03-16,36.75,319000.0,37.0,37.0,36.44
1998-03-17,37.0,831100.0,38.44,38.25,37.0
1998-03-18,38.19,647700.0,39.31,38.94,38.06
1998-03-19,38.94,763600.0,40.06,40.0,38.94
1998-03-20,41.75,1433200.0,41.75,40.38,40.06
1998-03-23,39.38,611100.0,40.0,39.0,38.63
1998-03-24,38.75,338900.0,39.31,39.19,38.56
1998-03-25,39.06,1159500.0,39.19,38.75,38.5
1998-03-26,38.25,1073300.0,38.44,37.63,37.5
1998-03-27,37.63,698100.0,38.25,37.94,37.63
1998-03-30,37.63,499000.0,37.88,37.63,37.25
1998-03-31,37.38,1124500.0,38.0,37.38,37.25
1998-04-01,37.44,605800.0,37.94,37.75,37.0
1998-04-02,37.5,782000.0,38.38,37.75,37.25
1998-04-03,38.0,923800.0,38.88,38.5,37.88
1998-04-06,38.75,1134100.0,39.06,38.0,38.0
1998-04-07,38.0,567000.0,38.06,37.25,37.06
1998-04-08,37.25,1140700.0,37.25,36.06,35.75
1998-04-09,36.25,815000.0,36.38,35.63,35.25
1998-04-13,35.38,898100.0,35.44,35.13,34.69
1998-04-14,35.13,704900.0,35.5,35.0,34.63
1998-04-15,35.25,652500.0,35.5,35.31,34.63
1998-04-16,35.31,328000.0,35.44,35.44,34.88
1998-04-17,35.5,639700.0,36.19,36.19,35.19
1998-04-20,35.94,503200.0,35.94,35.94,35.06
1998-04-21,35.25,440300.0,35.69,35.19,35.06
1998-04-22,35.19,709000.0,36.31,36.06,35.13
1998-04-23,35.81,390800.0,35.81,35.0,34.81
1998-04-24,34.75,530200.0,35.0,33.63,33.63
1998-04-27,33.38,753900.0,33.69,33.19,33.0
1998-04-28,33.44,658300.0,33.56,32.75,32.5
1998-04-29,32.88,485500.0,33.06,32.94,32.75
1998-04-30,33.0,633800.0,33.88,33.44,33.0
1998-05-01,33.88,317000.0,34.0,33.94,33.09
1998-05-04,34.5,509500.0,35.13,34.81,34.19
1998-05-05,34.56,333500.0,34.63,34.5,34.13
1998-05-06,35.0,427200.0,35.0,33.44,33.38
1998-05-07,33.31,575700.0,33.31,32.94,32.69
1998-05-08,32.94,348800.0,33.88,33.44,32.94
1998-05-11,33.44,324600.0,33.88,33.25,33.06
1998-05-12,33.25,336800.0,33.63,33.38,33.0
1998-05-13,33.0,470100.0,33.63,33.63,33.0
1998-05-14,33.56,497200.0,34.75,33.88,33.19
1998-05-15,34.25,592500.0,34.38,33.44,33.31
1998-05-18,33.25,500700.0,33.63,33.31,32.75
1998-05-19,33.19,580200.0,33.63,33.44,33.0
1998-05-20,33.44,425100.0,33.81,33.75,33.19
1998-05-21,33.56,1194500.0,33.88,33.5,33.31
1998-05-22,33.69,557400.0,33.75,32.75,32.69
1998-05-26,33.0,674800.0,33.0,32.44,32.25
1998-05-27,32.44,986300.0,32.44,31.81,31.5
1998-05-28,31.94,2476100.0,32.0,31.75,31.5
1998-05-29,31.63,763600.0,31.69,31.44,31.06
1998-06-01,31.31,762800.0,31.44,31.31,31.13
1998-06-02,31.75,1409600.0,31.75,31.0,30.69
1998-06-03,31.0,531400.0,31.25,30.94,30.75
1998-06-04,31.0,652900.0,31.75,31.5,30.88
1998-06-05,31.75,973500.0,31.75,31.5,31.25
1998-06-08,31.69,612900.0,31.75,31.38,31.25
1998-06-09,31.69,1708800.0,32.25,32.25,31.63
1998-06-10,31.88,1100900.0,32.0,31.31,31.31
1998-06-11,31.19,607200.0,31.44,30.69,30.63
1998-06-12,30.75,765700.0,31.0,30.38,30.13
1998-06-15,30.0,699300.0,30.44,30.19,30.0
1998-06-16,30.0,852100.0,30.13,30.0,29.19
1998-06-17,30.0,688400.0,30.19,29.88,29.75
1998-06-18,29.88,1208100.0,29.94,29.5,29.13
1998-06-19,29.5,987200.0,29.94,29.81,29.5
1998-06-22,29.81,1083300.0,29.81,29.0,28.63
1998-06-23,29.19,1195900.0,29.38,29.19,28.94
1998-06-24,29.19,635700.0,29.31,29.31,29.06
1998-06-25,29.5,637100.0,29.63,29.19,29.19
1998-06-26,29.44,786600.0,29.94,29.5,29.25
1998-06-29,29.88,684300.0,30.13,29.81,29.38
1998-06-30,29.75,444800.0,30.0,29.81,29.69
1998-07-01,29.94,654400.0,29.94,29.94,29.19
1998-07-02,29.94,476900.0,30.19,30.0,29.5
1998-07-06,30.13,394900.0,30.19,30.13,29.75
1998-07-07,30.25,1570200.0,30.31,29.81,29.69
1998-07-08,29.75,1055200.0,29.94,29.81,29.56
1998-07-09,29.81,524900.0,30.0,29.63,29.38
1998-07-10,29.63,468200.0,30.06,29.94,29.63
1998-07-13,30.0,512800.0,30.0,29.5,29.44
1998-07-14,29.5,512000.0,29.81,29.63,29.5
1998-07-15,29.63,361200.0,29.81,29.56,29.5
1998-07-16,29.38,507200.0,30.0,29.88,29.31
1998-07-17,30.25,930100.0,31.06,31.0,30.0
1998-07-20,31.06,1624200.0,31.25,31.06,30.69
1998-07-21,31.06,408400.0,31.13,30.75,30.19
1998-07-22,30.5,818700.0,30.81,30.44,30.31
1998-07-23,30.38,714900.0,30.44,29.63,29.63
1998-07-24,29.63,509500.0,30.0,29.5,29.38
1998-07-27,29.25,628500.0,29.75,29.31,29.06
1998-07-28,29.25,726800.0,29.5,28.81,28.81
1998-07-29,29.0,752000.0,29.69,29.13,29.0
1998-07-30,29.25,908000.0,30.31,30.13,29.19
1998-07-31,30.0,682200.0,30.06,29.88,29.56
1998-08-03,29.63,405100.0,30.0,29.69,29.31
1998-08-04,29.94,577300.0,30.0,28.13,28.0
1998-08-05,28.0,877200.0,28.69,28.19,27.5
1998-08-06,28.19,573700.0,28.44,28.0,27.75
1998-08-07,28.06,494600.0,28.75,28.5,27.75
1998-08-10,28.0,501600.0,28.19,27.63,27.56
1998-08-11,27.56,701400.0,27.94,27.94,27.44
1998-08-12,27.56,508700.0,28.88,28.88,27.44
1998-08-13,28.75,437800.0,29.0,28.56,28.5
1998-08-14,28.5,850200.0,29.31,28.31,28.13
1998-08-17,28.25,477400.0,28.94,28.81,28.19
1998-08-18,28.56,426700.0,29.38,29.38,28.5
1998-08-19,29.19,326200.0,29.56,29.19,28.94
1998-08-20,29.0,426800.0,29.44,29.38,29.0
1998-08-21,29.13,603200.0,29.44,29.25,28.69
1998-08-24,29.5,423900.0,30.5,30.0,29.38
1998-08-25,30.25,744200.0,31.44,30.88,30.25
1998-08-26,30.38,1159000.0,30.81,29.69,29.19
1998-08-27,29.19,509300.0,29.63,28.81,28.5
1998-08-28,28.94,482100.0,29.31,28.81,28.81
1998-08-31,28.88,610800.0,29.25,28.19,27.63
1998-09-01,27.94,780900.0,29.88,29.63,27.75
1998-09-02,29.63,568100.0,29.88,28.94,28.88
1998-09-03,28.69,590200.0,28.75,28.0,27.75
1998-09-04,28.25,484600.0,29.44,29.44,28.0
1998-09-08,29.94,576800.0,30.38,30.31,29.25
1998-09-09,30.25,363100.0,30.31,29.13,28.88
1998-09-10,28.88,576300.0,29.69,29.69,28.56
1998-09-11,29.19,367800.0,29.63,29.31,28.81
1998-09-14,29.56,571700.0,30.81,30.44,29.56
1998-09-15,30.13,290400.0,31.38,31.19,30.13
1998-09-16,30.94,388700.0,31.0,31.0,30.38
1998-09-17,30.19,268500.0,30.88,30.44,30.13
1998-09-18,30.44,649900.0,30.81,30.13,29.63
1998-09-21,29.5,559600.0,31.5,30.63,29.13
1998-09-22,31.13,517100.0,31.13,30.63,29.88
1998-09-23,30.56,671900.0,31.5,30.69,30.38
1998-09-24,30.44,742100.0,30.5,29.63,29.56
1998-09-25,29.63,892600.0,30.0,29.44,29.31
1998-09-28,29.44,737100.0,30.38,29.69,29.38
1998-09-29,29.88,503800.0,29.94,29.38,29.31
1998-09-30,29.44,515000.0,29.69,29.06,28.88
1998-10-01,29.06,683900.0,29.06,28.5,28.13
1998-10-02,28.56,560600.0,29.75,29.19,28.56
1998-10-05,29.0,825900.0,29.13,28.63,27.75
1998-10-06,28.63,677300.0,29.06,28.5,28.31
1998-10-07,29.0,628700.0,29.44,28.69,28.19
1998-10-08,28.5,527000.0,28.81,28.06,27.44
1998-10-09,29.0,664500.0,29.25,28.5,28.44
1998-10-12,29.0,238500.0,29.38,28.88,28.56
1998-10-13,29.38,461100.0,30.0,29.19,28.75
1998-10-14,29.31,540500.0,30.25,29.69,29.06
1998-10-15,29.44,621800.0,31.63,31.38,29.19
1998-10-16,32.0,933200.0,32.88,32.75,31.63
1998-10-19,32.88,719100.0,33.75,33.56,32.88
1998-10-20,33.44,1290600.0,34.94,34.5,33.44
1998-10-21,33.75,633800.0,34.25,33.5,33.0
1998-10-22,33.5,647400.0,33.56,33.06,32.69
1998-10-23,32.81,638700.0,32.94,32.0,32.0
1998-10-26,32.31,485900.0,32.31,32.0,31.81
1998-10-27,32.0,620000.0,32.19,31.44,31.06
1998-10-28,31.0,978200.0,31.25,30.56,30.56
1998-10-29,30.31,968500.0,30.38,30.25,29.5
1998-10-30,30.25,729400.0,32.94,32.94,30.13
1998-11-02,32.94,669900.0,33.06,33.0,31.94
1998-11-03,32.75,542300.0,32.81,32.38,31.94
1998-11-04,32.13,801000.0,32.94,32.19,32.06
1998-11-05,32.19,456300.0,33.44,33.38,32.0
1998-11-06,33.13,515300.0,33.81,33.81,33.0
1998-11-09,33.94,592200.0,33.94,33.44,33.25
1998-11-10,33.19,602700.0,34.0,34.0,33.13
1998-11-11,34.0,507200.0,34.0,33.63,33.25
1998-11-12,33.0,576300.0,33.13,32.75,32.44
1998-11-13,32.94,385000.0,33.0,32.75,32.38
1998-11-16,33.0,470400.0,34.06,34.06,32.88
1998-11-17,33.69,551100.0,33.81,32.44,32.38
1998-11-18,32.0,642800.0,32.44,32.0,31.75
1998-11-19,32.0,361500.0,32.13,31.94,31.75
1998-11-20,32.5,525400.0,33.25,32.94,32.06
