date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,35.0,219500.0,35.0,32.0,30.88
1998-01-05,31.88,179400.0,34.0,33.75,31.81
1998-01-06,33.38,84800.0,34.5,33.63,32.38
1998-01-07,32.25,163100.0,32.38,30.5,29.63
1998-01-08,31.5,109600.0,31.5,30.75,29.38
1998-01-09,30.0,327300.0,30.5,28.0,28.0
1998-01-12,26.0,235200.0,28.13,27.75,26.0
1998-01-13,28.25,285400.0,29.75,29.13,28.0
1998-01-14,29.75,143700.0,29.75,28.13,27.69
1998-01-15,28.88,165700.0,29.0,27.63,27.0
1998-01-16,28.13,247500.0,28.5,28.0,27.06
1998-01-20,27.63,407200.0,29.0,28.88,27.63
1998-01-21,28.0,452200.0,29.44,29.38,28.0
1998-01-22,29.38,115600.0,29.63,29.25,28.38
1998-01-23,28.75,151700.0,29.5,29.13,28.5
1998-01-26,29.5,164700.0,29.88,28.88,28.88
1998-01-27,28.88,53600.0,28.94,28.69,27.88
1998-01-28,29.13,65500.0,29.63,29.03,28.0
1998-01-29,29.0,498500.0,31.88,30.88,29.0
1998-01-30,30.88,89100.0,30.88,30.13,29.38
1998-02-02,31.25,188800.0,32.0,31.63,30.5
1998-02-03,30.75,119300.0,32.25,32.0,30.5
1998-02-04,31.0,262800.0,33.63,32.75,31.0
1998-02-05,33.5,283800.0,34.0,32.25,32.0
1998-02-06,32.75,114100.0,33.75,33.13,31.75
1998-02-09,34.25,124400.0,34.25,33.13,31.63
1998-02-10,32.0,243900.0,35.0,34.25,32.0
1998-02-11,33.88,1600100.0,33.88,30.75,28.5
1998-02-12,31.0,427400.0,31.0,29.5,29.0
1998-02-13,30.13,168700.0,30.25,29.63,29.44
1998-02-17,30.0,121100.0,30.0,28.56,28.5
1998-02-18,29.5,175300.0,29.5,29.19,28.38
1998-02-19,29.0,116000.0,29.5,27.75,27.75
1998-02-20,27.88,110300.0,28.63,27.88,27.75
1998-02-23,28.63,208400.0,28.63,28.16,27.63
1998-02-24,28.25,172200.0,28.25,27.38,27.25
1998-02-25,27.38,260200.0,28.0,27.31,27.0
1998-02-26,27.38,400900.0,27.5,27.38,26.69
1998-02-27,27.5,497500.0,29.88,29.5,27.38
1998-03-02,30.0,671600.0,32.5,31.81,30.0
1998-03-03,31.38,903600.0,32.25,31.13,30.75
1998-03-04,30.75,117800.0,32.0,31.81,30.75
1998-03-05,30.0,287200.0,32.0,28.63,28.5
1998-03-06,29.5,135600.0,31.0,29.75,28.0
1998-03-09,29.75,73000.0,30.28,28.13,28.0
1998-03-10,29.0,58700.0,30.0,29.94,28.5
1998-03-11,29.5,148100.0,31.0,30.44,29.5
1998-03-12,30.88,146800.0,30.88,30.88,29.81
1998-03-13,31.0,346400.0,32.25,32.13,31.0
1998-03-16,32.25,224200.0,33.5,32.75,31.75
1998-03-17,33.38,352500.0,33.38,32.25,31.88
1998-03-18,32.13,85700.0,32.75,31.78,30.38
1998-03-19,31.0,53500.0,31.63,31.63,31.0
1998-03-20,31.06,166200.0,31.63,30.81,30.0
1998-03-23,30.06,140500.0,33.0,32.72,30.06
1998-03-24,32.81,178300.0,34.25,34.13,32.81
1998-03-25,34.25,104100.0,34.5,34.0,33.25
1998-03-26,33.0,48500.0,34.13,34.0,32.5
1998-03-27,34.25,380000.0,35.38,35.25,33.25
1998-03-30,34.75,356800.0,36.63,36.25,34.75
1998-03-31,35.75,979800.0,36.25,35.5,34.25
1998-04-01,36.38,246400.0,36.38,35.38,35.38
1998-04-02,35.38,111100.0,35.88,35.13,34.0
1998-04-03,35.63,42100.0,35.63,34.38,34.38
1998-04-06,35.25,144500.0,35.25,33.03,33.0
1998-04-07,33.0,275700.0,33.19,31.5,31.0
1998-04-08,32.0,109400.0,34.75,33.13,32.0
1998-04-09,32.88,57100.0,33.75,32.75,31.5
1998-04-13,33.5,104300.0,34.0,33.5,32.0
1998-04-14,33.0,37400.0,34.5,34.31,33.0
1998-04-15,34.5,63700.0,34.88,34.5,34.0
1998-04-16,33.13,16300.0,34.5,34.06,33.13
1998-04-17,33.06,60600.0,34.5,34.5,32.63
1998-04-20,34.5,128700.0,34.88,34.38,33.5
1998-04-21,35.75,124200.0,36.0,35.75,34.38
1998-04-22,35.38,102200.0,36.0,35.38,34.81
1998-04-23,35.0,100300.0,35.88,35.38,34.88
1998-04-24,35.5,93200.0,36.5,35.25,34.5
1998-04-27,35.25,79500.0,35.25,33.13,33.0
1998-04-28,34.0,69700.0,35.44,35.22,34.0
1998-04-29,35.38,114100.0,37.0,36.5,35.25
1998-04-30,35.63,171100.0,37.38,36.06,35.5
1998-05-01,36.5,147100.0,37.0,36.88,36.0
1998-05-04,37.0,150900.0,40.0,38.38,37.0
1998-05-05,39.0,133100.0,39.0,37.63,37.5
1998-05-06,38.25,154400.0,38.38,37.25,37.25
1998-05-07,37.75,67200.0,38.0,37.13,37.0
1998-05-08,37.0,100100.0,38.38,37.88,37.0
1998-05-11,38.25,76100.0,38.25,36.56,36.5
1998-05-12,37.25,88500.0,37.25,36.31,36.0
1998-05-13,37.5,591900.0,37.75,36.13,33.75
1998-05-14,36.25,205700.0,37.0,35.63,35.38
1998-05-15,35.63,208800.0,36.13,35.75,35.5
1998-05-18,35.25,188300.0,37.25,37.25,35.0
1998-05-19,36.75,423500.0,39.13,38.13,36.63
1998-05-20,38.0,55400.0,38.25,37.34,36.88
1998-05-21,36.75,98300.0,37.63,37.63,36.63
1998-05-22,37.63,87900.0,37.63,37.0,36.56
1998-05-26,36.5,214100.0,37.63,36.0,35.63
1998-05-27,34.75,359800.0,35.5,33.97,33.13
1998-05-28,34.0,94300.0,36.25,34.5,34.0
1998-05-29,35.25,335200.0,35.25,34.78,33.75
1998-06-01,33.75,51200.0,35.0,34.25,33.75
1998-06-02,35.13,77900.0,35.88,35.81,33.75
1998-06-03,36.0,197900.0,36.0,35.0,34.75
1998-06-04,35.0,102700.0,35.25,34.25,34.0
1998-06-05,34.25,359600.0,34.88,34.5,33.5
1998-06-08,34.38,448400.0,37.25,36.5,34.25
1998-06-09,36.13,113200.0,37.31,37.0,36.13
1998-06-10,36.5,603000.0,38.5,37.12,36.5
1998-06-11,37.25,240300.0,37.75,35.25,35.13
1998-06-12,36.25,302800.0,36.25,34.5,34.38
1998-06-15,33.88,137200.0,34.25,33.5,33.25
1998-06-16,34.88,75800.0,34.88,34.88,34.06
1998-06-17,34.0,156200.0,35.13,34.75,34.0
1998-06-18,34.75,88200.0,35.0,33.38,33.0
1998-06-19,33.0,378500.0,35.25,34.75,33.0
1998-06-22,34.5,134500.0,36.5,35.75,34.5
1998-06-23,36.5,54600.0,36.69,36.69,35.0
1998-06-24,37.0,333800.0,37.5,37.34,36.5
1998-06-25,36.88,230700.0,37.5,36.25,36.13
1998-06-26,36.38,35000.0,37.44,36.75,36.25
1998-06-29,37.63,395000.0,38.5,38.0,36.5
1998-06-30,38.13,351100.0,39.0,38.94,37.75
1998-07-01,38.0,79100.0,39.0,38.38,38.0
1998-07-02,39.0,112400.0,39.0,38.5,38.0
1998-07-06,38.13,401200.0,42.38,42.38,38.13
1998-07-07,42.38,688600.0,45.63,44.75,42.38
1998-07-08,44.75,376500.0,45.5,45.38,44.25
1998-07-09,45.5,314400.0,47.0,47.0,45.13
1998-07-10,47.0,232400.0,47.0,46.63,45.25
1998-07-13,47.25,189700.0,47.25,46.25,46.13
1998-07-14,46.38,215500.0,46.63,45.88,45.38
1998-07-15,45.38,151000.0,48.88,48.5,45.38
1998-07-16,48.5,183300.0,49.75,49.5,46.75
1998-07-17,49.88,434500.0,51.63,50.25,47.13
1998-07-20,49.75,249800.0,50.13,49.0,48.13
1998-07-21,49.5,249700.0,49.5,46.63,46.38
1998-07-22,47.13,231700.0,47.13,46.0,45.63
1998-07-23,46.0,115600.0,46.5,44.63,44.5
1998-07-24,45.5,146800.0,45.5,43.13,42.5
1998-07-27,42.0,292200.0,44.0,43.0,42.0
1998-07-28,42.5,195500.0,45.0,43.69,42.5
1998-07-29,42.75,115900.0,44.0,42.88,42.75
1998-07-30,42.88,74200.0,44.38,43.63,42.88
1998-07-31,44.38,242600.0,44.38,41.75,41.5
1998-08-03,41.38,164200.0,42.38,40.88,40.75
1998-08-04,40.75,110900.0,41.75,39.38,39.25
1998-08-05,39.75,143700.0,42.13,42.03,39.25
1998-08-06,42.25,143400.0,45.0,44.88,41.13
1998-08-07,45.0,298600.0,46.25,46.13,44.5
1998-08-10,45.25,155500.0,45.75,45.25,45.25
1998-08-11,43.75,274600.0,45.0,43.75,42.5
1998-08-12,43.75,59700.0,45.0,44.88,42.5
1998-08-13,44.25,117400.0,46.5,46.5,44.0
1998-08-14,45.25,162800.0,46.0,45.25,45.0
1998-08-17,44.0,143100.0,46.56,46.56,44.0
1998-08-18,47.13,161800.0,48.63,48.38,47.13
1998-08-19,49.38,367800.0,50.5,47.88,47.88
1998-08-20,49.0,50600.0,49.0,47.75,47.5
1998-08-21,48.5,314200.0,48.5,46.13,44.5
1998-08-24,47.0,142900.0,48.75,48.75,46.5
1998-08-25,48.75,185100.0,50.13,47.25,46.88
1998-08-26,46.88,270800.0,47.38,47.38,46.0
1998-08-27,47.38,111100.0,47.38,46.28,45.75
1998-08-28,46.88,154300.0,46.88,46.0,43.38
1998-08-31,46.0,358500.0,47.5,41.69,41.0
1998-09-01,41.75,595700.0,45.63,45.25,41.69
1998-09-02,46.0,419200.0,47.5,46.63,45.0
1998-09-03,47.0,275800.0,47.44,46.75,45.63
1998-09-04,47.38,180600.0,48.0,47.75,46.63
1998-09-08,50.25,352200.0,51.5,49.31,49.0
1998-09-09,49.13,154100.0,50.5,49.75,49.13
1998-09-10,49.44,295700.0,50.56,48.81,48.5
1998-09-11,50.25,545900.0,51.13,51.0,49.38
1998-09-14,52.75,433000.0,55.25,54.0,52.0
