date,1. open,5. volume,2. high,4. close,3. low
2016-09-30,26.5,30011468.0,39.4,37.0,26.1
2016-10-03,38.85,28809904.0,46.78,44.46,37.5
2016-10-04,43.1,9879395.0,43.4,38.09,38.0
2016-10-05,40.1,8423496.0,40.86,36.18,36.1
2016-10-06,35.77,5266600.0,37.7,36.7,35.18
2016-10-07,37.44,5268772.0,39.16,38.15,36.21
2016-10-10,39.61,3719429.0,39.9,34.81,33.66
2016-10-11,34.7,4014177.0,35.43,32.01,31.25
2016-10-12,32.28,2269524.0,33.7865,32.5,32.08
2016-10-13,32.47,3785126.0,35.9,34.7,31.3
2016-10-14,34.0,2540943.0,34.8,33.15,33.0
2016-10-17,32.0,2614613.0,33.1305,30.65,30.3
2016-10-18,31.84,3657811.0,31.84,30.74,29.6
2016-10-19,30.77,1389573.0,31.2,29.99,29.85
2016-10-20,29.7,1772865.0,30.7277,28.5,28.39
2016-10-21,28.25,2735231.0,30.68,29.21,28.18
2016-10-24,30.25,2575058.0,31.46,29.77,29.43
2016-10-25,30.3,2473011.0,30.88,29.15,28.57
2016-10-26,29.4,1261776.0,29.5,28.76,28.4101
2016-10-27,29.12,2680971.0,29.4,27.43,26.44
2016-10-28,27.41,2358071.0,27.78,24.84,24.5
2016-10-31,25.46,2095336.0,25.9,24.5,24.5
2016-11-01,24.87,1324386.0,25.165,24.16,23.538
2016-11-02,24.1,1491222.0,24.75,24.55,23.819
2016-11-03,24.58,1208075.0,24.6,23.9,23.27
2016-11-04,23.93,1512963.0,25.09,24.13,23.85
2016-11-07,24.88,1440461.0,25.05,23.37,23.24
2016-11-08,23.19,2291708.0,27.4308,26.89,23.11
2016-11-09,26.01,2812191.0,30.54,28.92,25.75
2016-11-10,30.2,1697907.0,30.5,27.25,26.9
2016-11-11,27.22,977459.0,29.19,28.27,27.087
2016-11-14,28.9,1084712.0,29.19,28.2,27.97
2016-11-15,28.22,2857065.0,32.45,32.45,28.22
2016-11-16,32.5,2074185.0,34.0,32.78,30.99
2016-11-17,32.6,1193948.0,33.18,31.2,31.01
2016-11-18,31.2,1845338.0,34.89,34.69,31.2
2016-11-21,34.94,1298911.0,34.96,33.66,33.11
2016-11-22,33.82,1059321.0,33.9,33.11,32.1109
2016-11-23,32.78,1206967.0,34.65,34.13,32.6
2016-11-25,34.25,530758.0,34.73,34.0,33.61
2016-11-28,34.49,1319611.0,34.51,33.34,33.0
2016-11-29,33.88,2766925.0,34.75,34.09,31.6
2016-11-30,34.44,3465166.0,34.6,32.0,31.6
2016-12-01,31.75,2816932.0,32.0,27.6,27.4701
2016-12-02,28.41,1766301.0,28.6,27.77,27.06
2016-12-05,28.0,1467087.0,29.35,27.98,27.5
2016-12-06,27.98,1063984.0,28.4507,27.5,27.1
2016-12-07,27.4,1810576.0,28.25,27.1,27.0
2016-12-08,27.09,842100.0,27.7,27.55,27.0
2016-12-09,27.38,718732.0,27.95,27.42,27.2
2016-12-12,27.33,758686.0,27.8,26.12,25.95
2016-12-13,26.07,1260789.0,26.6199,25.0,24.8
2016-12-14,25.1,755219.0,25.72,25.28,24.8
2016-12-15,25.1,1827853.0,28.75,28.64,25.0842
2016-12-16,28.74,2973097.0,30.2,28.74,28.41
2016-12-19,28.68,583680.0,29.1,28.63,28.1
2016-12-20,28.5,772009.0,30.17,29.41,28.5
2016-12-21,29.5,607628.0,29.71,28.54,28.2
2016-12-22,28.33,2192185.0,30.99,28.95,28.33
2016-12-23,28.9,650626.0,29.64,28.47,28.19
2016-12-27,28.15,274249.0,29.02,28.6,28.07
2016-12-28,28.51,595676.0,28.65,27.21,27.01
2016-12-29,27.2,633102.0,27.6,26.18,25.95
2016-12-30,26.0,472447.0,26.98,26.56,25.83
2017-01-03,26.95,1044672.0,27.3925,26.31,25.75
2017-01-04,26.14,890505.0,28.3864,28.12,25.88
2017-01-05,27.99,1204804.0,28.35,26.74,26.4
2017-01-06,27.33,890470.0,28.48,27.71,26.62
2017-01-09,27.93,1181187.0,29.6,29.35,27.8
2017-01-10,29.35,742357.0,30.25,29.18,28.75
2017-01-11,28.7,923472.0,30.5,29.96,28.6
2017-01-12,29.95,618202.0,30.899,30.17,29.25
2017-01-13,30.5,514510.0,30.6999,30.46,29.6118
2017-01-17,30.01,748848.0,31.5,30.05,29.82
2017-01-18,29.17,1514283.0,29.46,28.17,28.01
2017-01-19,28.66,490705.0,28.9888,28.28,28.22
2017-01-20,28.27,488927.0,29.0,28.35,28.05
2017-01-23,28.17,782504.0,30.293,30.05,28.055
2017-01-24,29.96,764667.0,30.3,30.18,29.22
2017-01-25,30.44,1349385.0,32.645,31.66,30.4
2017-01-26,32.0,1008558.0,32.89,30.26,29.95
