date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,5.06,15900.0,5.06,5.06,5.0
1998-01-05,5.0,21600.0,5.12,5.0,5.0
1998-01-06,5.12,60300.0,5.75,5.56,5.0
1998-01-07,5.69,11400.0,5.69,5.56,5.5
1998-01-08,5.56,12900.0,5.56,5.5,5.38
1998-01-09,5.38,7100.0,5.38,5.38,5.25
1998-01-12,5.12,16000.0,5.25,5.25,5.0
1998-01-13,5.12,6700.0,5.38,5.19,5.12
1998-01-14,5.12,23400.0,5.12,5.06,4.88
1998-01-15,5.0,13400.0,5.38,5.38,5.0
1998-01-16,5.38,60800.0,5.75,5.62,5.38
1998-01-20,5.62,39900.0,6.0,5.75,5.62
1998-01-21,5.62,21900.0,5.81,5.75,5.62
1998-01-22,5.81,115700.0,6.12,5.81,5.81
1998-01-23,5.88,36300.0,5.94,5.75,5.75
1998-01-26,5.75,11100.0,5.75,5.69,5.62
1998-01-27,5.69,8200.0,5.69,5.62,5.62
1998-01-28,5.62,13200.0,5.62,5.38,5.38
1998-01-29,5.38,15600.0,5.5,5.44,5.31
1998-01-30,5.38,16600.0,5.44,5.38,5.25
1998-02-02,5.38,112100.0,5.44,5.06,4.81
1998-02-03,5.06,24000.0,5.06,4.94,4.88
1998-02-04,4.75,34700.0,4.81,4.81,4.75
1998-02-05,4.94,21100.0,5.06,5.0,4.88
1998-02-06,5.0,19500.0,5.0,4.88,4.62
1998-02-09,4.88,36600.0,4.88,4.75,4.62
1998-02-10,4.62,8800.0,4.75,4.75,4.56
1998-02-11,4.62,50500.0,5.25,5.0,4.62
1998-02-12,5.12,24400.0,5.19,5.12,5.0
1998-02-13,5.06,7300.0,5.12,5.0,5.0
1998-02-17,5.0,4600.0,5.0,5.0,4.88
1998-02-18,5.0,12600.0,5.0,4.75,4.62
1998-02-19,4.81,13200.0,4.94,4.81,4.75
1998-02-20,4.75,9000.0,4.81,4.81,4.75
1998-02-23,4.81,10200.0,4.81,4.69,4.69
1998-02-24,4.69,17800.0,4.69,4.62,4.56
1998-02-25,4.62,28800.0,4.75,4.5,4.25
1998-02-26,4.5,19100.0,4.5,4.5,4.25
1998-02-27,4.44,7700.0,4.62,4.44,4.44
1998-03-02,4.38,14900.0,4.5,4.38,4.25
1998-03-03,4.38,9300.0,4.5,4.44,4.38
1998-03-04,4.5,11600.0,4.62,4.5,4.5
1998-03-05,4.5,6000.0,4.5,4.38,4.38
1998-03-06,4.38,23000.0,4.38,4.31,4.0
1998-03-09,4.31,22800.0,4.31,4.12,4.12
1998-03-10,4.06,13100.0,4.44,4.38,4.06
1998-03-11,4.31,23100.0,4.44,4.44,4.31
1998-03-12,4.44,16900.0,4.5,4.44,4.31
