date,1. open,5. volume,2. high,4. close,3. low
2010-06-17,14.85,16024400.0,15.0,14.88,14.45
2010-06-18,14.92,3485800.0,15.98,15.96,14.76
2010-06-21,17.03,2130900.0,17.03,15.73,15.25
2010-06-22,15.75,1416900.0,15.98,15.56,15.46
2010-06-23,15.55,826700.0,15.62,15.17,15.01
2010-06-24,15.16,930100.0,15.16,14.7,14.5
2010-06-25,14.78,140600.0,15.17,14.75,14.6
2010-06-28,14.92,97800.0,15.49,15.05,14.77
2010-06-29,14.8,790600.0,14.86,14.6,14.5
2010-06-30,14.67,177400.0,14.75,14.5,14.26
2010-07-01,14.5,1433700.0,14.6399,14.42,13.88
2010-07-02,14.42,283300.0,15.0,14.35,14.06
2010-07-06,14.75,517600.0,14.8,14.36,14.15
2010-07-07,14.4,362100.0,14.91,14.78,14.4
2010-07-08,14.83,395100.0,15.4,15.19,14.8
2010-07-09,15.31,252900.0,15.79,15.75,14.91
2010-07-12,15.85,603800.0,15.85,15.61,15.44
2010-07-13,15.65,587100.0,16.192,16.01,15.63
2010-07-14,16.0,121400.0,16.75,16.39,15.9601
2010-07-15,16.4,257400.0,16.45,16.17,16.06
2010-07-16,16.08,920100.0,16.33,16.3,15.41
2010-07-19,16.2,298600.0,16.4,16.28,15.89
2010-07-20,16.06,547400.0,17.11,17.0,16.01
2010-07-21,17.0,172000.0,17.0,16.52,16.5
2010-07-22,16.61,949400.0,17.53,17.04,16.61
2010-07-23,17.12,705000.0,17.18,16.73,16.44
2010-07-26,16.67,737400.0,16.93,16.68,16.21
2010-07-27,16.84,886100.0,17.3,16.31,16.2
2010-07-28,16.57,831000.0,17.44,17.19,16.5
2010-07-29,17.17,690000.0,17.6599,17.38,17.11
2010-07-30,17.25,620800.0,17.55,17.2,17.0
2010-08-02,17.3,369900.0,17.85,17.75,17.3
2010-08-03,17.65,242600.0,18.289,17.98,17.65
2010-08-04,18.23,768500.0,18.74,18.46,18.15
2010-08-05,18.74,744600.0,18.74,18.13,18.01
2010-08-06,18.22,436600.0,18.3,18.11,17.34
2010-08-09,18.2,201200.0,18.28,17.85,17.6
2010-08-10,17.59,478300.0,17.85,17.68,17.25
2010-08-11,17.5,374300.0,17.5,16.98,16.9
2010-08-12,16.9,521500.0,17.52,17.41,16.84
2010-08-13,17.44,311500.0,18.09,17.74,17.44
2010-08-16,17.74,204900.0,17.74,17.37,17.2
2010-08-17,17.45,285800.0,17.75,17.5,17.36
2010-08-18,17.34,287600.0,17.39,17.14,17.06
2010-08-19,17.06,247800.0,17.17,17.02,16.95
2010-08-20,16.95,284100.0,17.19,17.0,16.9
2010-08-23,16.96,176800.0,17.37,17.3,16.96
2010-08-24,17.01,275600.0,17.33,17.25,16.987
2010-08-25,17.12,631800.0,17.15,16.77,16.05
2010-08-26,16.77,281300.0,17.0,16.44,16.2
2010-08-27,16.61,227400.0,16.61,16.5,16.116
2010-08-30,16.39,156900.0,16.82,16.56,16.39
2010-08-31,16.65,324200.0,16.65,16.47,16.41
2010-09-01,16.58,436400.0,17.95,17.47,16.51
2010-09-02,17.43,264100.0,18.17,17.87,17.2701
2010-09-03,18.0,243300.0,18.15,17.99,17.87
2010-09-07,17.9,157000.0,17.99,17.7,17.522
2010-09-08,17.72,193200.0,17.96,17.81,17.72
2010-09-09,17.98,651600.0,18.25,18.05,17.88
2010-09-10,18.22,220900.0,18.22,17.71,17.68
2010-09-13,17.73,246600.0,17.9,17.48,17.33
2010-09-14,17.4,335100.0,17.64,17.54,17.1
2010-09-15,17.4,456400.0,17.84,17.75,17.3
2010-09-16,17.65,730600.0,18.23,18.1,17.56
2010-09-17,18.13,594800.0,18.23,18.23,17.66
2010-09-20,18.3,241300.0,18.45,18.11,18.04
2010-09-21,18.1,406000.0,18.4,18.09,18.07
2010-09-22,18.14,379300.0,18.3,17.48,17.46
2010-09-23,17.49,536700.0,17.67,16.9,16.74
2010-09-24,17.06,510600.0,17.97,17.72,17.0001
2010-09-27,17.7,476500.0,18.38,17.94,17.6
2010-09-28,18.04,403600.0,18.13,17.93,17.32
2010-09-29,17.85,578700.0,19.09,18.86,17.85
2010-09-30,19.16,6329900.0,19.55,19.37,18.34
2010-10-01,19.46,705800.0,20.06,19.98,18.99
2010-10-04,19.86,519200.0,20.0437,19.58,19.22
2010-10-05,19.84,1105400.0,20.925,20.82,19.84
2010-10-06,20.86,671100.0,21.1,21.05,20.34
2010-10-07,21.25,1170300.0,21.73,21.73,20.97
2010-10-08,21.78,1032800.0,22.77,22.61,21.78
2010-10-11,22.53,548300.0,22.91,22.65,22.08
2010-10-12,22.6,699500.0,22.85,22.01,21.94
2010-10-13,22.13,299900.0,22.55,22.42,22.1
2010-10-14,22.4,379400.0,22.49,22.06,21.98
2010-10-15,22.18,488800.0,22.35,21.64,21.5
2010-10-18,21.39,757000.0,21.77,21.66,20.61
2010-10-19,20.46,886600.0,20.82,20.26,20.01
2010-10-20,20.27,331300.0,20.6,20.29,20.24
2010-10-21,20.52,389000.0,20.86,20.59,20.32
2010-10-22,20.67,859900.0,21.785,21.18,20.51
2010-10-25,21.39,506900.0,21.53,21.18,20.8
2010-10-26,21.14,129700.0,21.489,21.37,20.9
2010-10-27,21.15,250100.0,21.15,20.93,20.67
2010-10-28,21.17,242800.0,21.19,20.88,20.74
2010-10-29,20.72,373400.0,21.35,21.27,20.51
2010-11-01,21.36,597000.0,21.9,21.23,20.66
2010-11-02,21.41,453700.0,22.1,22.07,20.75
2010-11-03,21.74,311000.0,22.21,22.13,21.42
2010-11-04,22.47,697600.0,23.48,23.44,22.35
2010-11-05,23.44,430400.0,23.58,23.52,22.65
2010-11-08,23.37,248100.0,23.55,23.0,22.85
2010-11-09,23.28,667900.0,24.37,23.44,23.22
2010-11-10,23.37,591000.0,23.89,23.84,22.23
2010-11-11,23.54,849000.0,25.31,25.04,23.47
2010-11-12,24.8,492300.0,25.08,23.66,23.59
2010-11-15,24.01,613500.0,24.87,23.68,23.66
2010-11-16,23.49,549500.0,23.49,23.15,22.25
2010-11-17,23.14,416800.0,23.49,22.44,22.43
2010-11-18,22.94,599800.0,23.63,23.24,22.87
2010-11-19,23.1,537300.0,23.86,23.67,22.95
2010-11-22,23.57,323400.0,24.67,24.57,23.21
2010-11-23,24.21,600600.0,25.09,24.68,24.03
2010-11-24,24.95,376100.0,25.18,24.97,24.52
2010-11-26,24.75,172000.0,25.09,24.6,24.24
2010-11-29,24.55,331100.0,25.05,24.92,24.25
2010-11-30,24.79,2479500.0,25.7,25.38,24.69
2010-12-01,25.82,1440400.0,28.24,26.86,25.72
2010-12-02,26.95,469200.0,27.0,26.68,26.46
2010-12-03,26.66,600300.0,28.09,27.6,26.61
2010-12-06,27.8,776400.0,27.8,27.11,26.6905
2010-12-07,27.44,617200.0,27.95,27.08,26.9505
2010-12-08,27.09,382000.0,27.45,26.5,26.39
2010-12-09,26.69,333200.0,26.88,26.51,25.75
2010-12-10,26.68,457500.0,28.13,27.29,26.32
2010-12-13,27.51,710100.0,27.69,26.55,26.37
2010-12-14,26.51,792800.0,26.7272,25.89,25.86
2010-12-15,25.92,552100.0,26.055,25.9,25.508
