date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,42.13,435000.0,42.19,41.75,41.44
1998-01-05,41.63,716300.0,41.63,41.13,41.0
1998-01-06,40.88,344300.0,40.94,40.38,40.06
1998-01-07,40.5,665100.0,40.63,40.31,40.25
1998-01-08,40.25,463100.0,40.75,40.44,40.0
1998-01-09,40.31,1136800.0,40.38,38.19,37.88
1998-01-12,37.56,1137400.0,38.69,37.88,37.13
1998-01-13,38.94,706800.0,39.38,38.94,37.88
1998-01-14,38.75,462900.0,38.94,38.31,38.0
1998-01-15,38.5,426500.0,38.94,38.38,38.0
1998-01-16,38.63,643600.0,39.63,39.38,38.63
1998-01-20,39.63,611700.0,41.44,40.81,39.63
1998-01-21,40.38,280100.0,40.63,39.94,39.25
1998-01-22,39.75,286700.0,40.19,39.19,38.88
1998-01-23,39.19,356400.0,39.19,38.56,38.38
1998-01-26,39.0,194300.0,39.19,38.38,38.25
1998-01-27,38.5,378800.0,39.13,38.75,38.31
1998-01-28,38.81,758300.0,39.88,39.63,38.75
1998-01-29,40.13,571600.0,40.19,40.06,39.81
1998-01-30,40.25,320500.0,40.88,40.56,39.94
1998-02-02,40.88,556700.0,41.5,41.19,40.81
1998-02-03,41.44,357800.0,42.13,42.06,41.19
1998-02-04,42.06,391600.0,43.25,43.25,41.56
1998-02-05,43.19,338200.0,43.5,43.31,42.81
1998-02-06,43.44,375400.0,44.0,43.19,43.13
1998-02-09,43.19,201000.0,43.19,42.75,42.5
1998-02-10,42.75,327300.0,43.13,43.06,42.63
1998-02-11,43.31,269100.0,43.44,43.06,42.75
1998-02-12,43.06,348100.0,43.25,43.25,42.06
1998-02-13,43.25,196200.0,43.5,43.38,43.13
1998-02-17,44.0,333500.0,44.44,43.94,43.25
1998-02-18,43.69,626400.0,44.94,44.5,43.63
1998-02-19,44.88,192900.0,44.88,43.94,43.75
1998-02-20,43.94,859600.0,43.94,43.63,41.88
1998-02-23,43.88,241400.0,45.31,45.19,43.81
1998-02-24,45.38,322300.0,45.5,44.38,44.13
1998-02-25,44.63,200200.0,45.06,44.88,44.5
1998-02-26,45.0,172200.0,46.0,45.94,44.88
1998-02-27,45.75,360600.0,45.94,45.75,45.0
1998-03-02,45.88,607100.0,46.75,45.88,45.5
1998-03-03,45.88,662300.0,45.88,44.94,44.25
1998-03-04,43.5,1757400.0,43.75,43.5,43.38
1998-03-05,43.0,611300.0,43.38,42.56,42.0
1998-03-06,42.75,654100.0,43.88,43.31,41.75
1998-03-09,43.13,830400.0,44.13,44.0,42.88
1998-03-10,44.38,1109000.0,45.13,44.88,44.19
1998-03-11,44.69,340400.0,45.25,44.81,44.63
1998-03-12,44.88,217900.0,45.5,45.44,44.69
1998-03-13,45.5,252700.0,45.88,45.13,44.88
1998-03-16,45.38,604000.0,45.75,45.19,45.0
1998-03-17,45.5,383800.0,45.75,44.38,43.88
1998-03-18,44.13,440100.0,44.13,43.5,42.75
