date,1. open,5. volume,2. high,4. close,3. low
2000-05-02,24.88,2051300.0,25.06,24.0,22.38
2000-05-03,23.69,1734900.0,23.75,22.5,21.31
2000-05-04,23.56,1235300.0,23.63,21.13,20.5
2000-05-05,20.75,1164400.0,22.0,20.88,20.5
2000-05-08,20.44,750000.0,21.06,20.25,20.06
2000-05-09,20.63,1221300.0,21.13,20.19,19.75
2000-05-10,20.38,1240300.0,20.44,19.38,17.81
2000-05-11,19.88,1602200.0,20.25,20.0,19.5
2000-05-12,20.63,1807800.0,23.0,21.38,20.13
2000-05-15,21.69,800900.0,22.25,21.69,20.19
2000-05-16,21.81,646100.0,22.56,22.25,21.38
2000-05-17,21.63,861300.0,22.75,21.88,21.38
2000-05-18,21.88,1856900.0,24.31,24.0,21.81
2000-05-19,23.25,1248800.0,24.5,22.75,21.5
2000-05-22,23.13,1056700.0,23.13,20.0,19.75
2000-05-23,20.88,1311500.0,21.25,19.88,19.63
2000-05-24,19.94,845700.0,20.25,19.5,19.13
2000-05-25,19.75,1078300.0,20.31,18.19,18.0
2000-05-26,18.19,367000.0,18.75,18.0,17.88
2000-05-30,18.0,446000.0,20.63,20.0,18.0
2000-05-31,20.69,852200.0,20.88,20.0,20.0
2000-06-01,19.59,1126000.0,20.75,20.13,19.56
2000-06-02,20.69,1646900.0,23.25,23.0,20.31
2000-06-05,22.75,615800.0,23.0,22.88,21.06
2000-06-06,22.75,735300.0,24.63,23.13,22.13
2000-06-07,23.19,299900.0,23.5,22.25,21.88
2000-06-08,22.25,476800.0,23.75,22.63,22.0
2000-06-09,22.81,428200.0,23.88,23.25,22.63
2000-06-12,23.75,665000.0,24.25,24.06,23.63
2000-06-13,23.56,300500.0,24.0,23.44,21.88
2000-06-14,23.16,172600.0,23.31,22.94,22.88
2000-06-15,22.63,323500.0,23.25,23.0,21.75
2000-06-16,22.97,1229000.0,23.0,21.06,20.81
2000-06-19,21.56,358700.0,22.13,21.25,20.5
2000-06-20,21.38,714400.0,22.5,21.88,21.31
2000-06-21,21.88,488400.0,23.38,22.69,21.75
2000-06-22,24.63,1281100.0,24.75,22.5,22.25
2000-06-23,22.81,737900.0,26.5,23.63,21.0
2000-06-26,23.88,473000.0,26.81,23.63,23.0
2000-06-27,23.63,432100.0,23.75,22.94,22.38
2000-06-28,23.0,322500.0,24.0,23.44,22.5
2000-06-29,23.13,308700.0,23.94,23.06,22.5
2000-06-30,22.38,851400.0,24.38,21.88,21.75
2000-07-03,22.88,156400.0,23.13,22.75,22.0
2000-07-05,22.44,644700.0,22.5,21.56,20.75
2000-07-06,21.56,382000.0,22.0,21.81,20.0
2000-07-07,21.88,1265000.0,22.75,21.81,21.38
