date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,22.38,4861467.0,23.44,23.0,22.13
1998-01-05,23.13,11017800.0,23.5,23.38,22.88
1998-01-06,23.31,6935000.0,23.38,22.69,22.44
1998-01-07,22.5,16460400.0,22.5,21.13,21.0
1998-01-08,21.31,16279800.0,21.5,20.31,20.13
1998-01-09,20.25,24983267.0,20.25,18.75,18.63
1998-01-12,18.38,25138400.0,18.75,18.06,17.75
1998-01-13,18.88,21575467.0,19.25,19.06,18.38
1998-01-14,19.38,16657067.0,19.88,19.56,19.13
1998-01-15,19.69,9910600.0,19.75,19.25,18.88
1998-01-16,19.5,11918267.0,19.81,19.44,19.31
1998-01-20,20.13,10109067.0,20.25,20.25,19.75
1998-01-21,20.38,7629800.0,20.5,20.13,20.0
1998-01-22,20.13,6782667.0,20.19,19.94,19.75
1998-01-23,20.25,9055000.0,20.25,19.44,19.19
1998-01-26,19.5,7550200.0,19.5,18.94,18.88
1998-01-27,18.88,8890000.0,19.19,19.0,18.75
1998-01-28,20.56,25633667.0,21.5,21.19,20.5
1998-01-29,21.56,20901200.0,22.88,22.34,21.56
1998-01-30,22.88,21407267.0,23.88,23.25,22.75
1998-02-02,24.75,16764600.0,24.88,24.63,24.44
1998-02-03,24.81,11205200.0,24.88,24.69,24.13
1998-02-04,24.38,8475267.0,24.75,24.44,24.19
1998-02-05,24.69,11722000.0,25.25,23.88,23.63
1998-02-06,23.88,22286867.0,27.0,27.0,23.75
1998-02-09,28.38,26854800.0,28.73,27.69,27.0
1998-02-10,27.94,16584467.0,27.94,27.25,26.81
1998-02-11,26.94,9817400.0,27.38,26.94,26.56
1998-02-12,26.38,10957800.0,27.0,26.88,25.81
1998-02-13,26.44,5985067.0,26.75,26.5,26.13
1998-02-17,26.88,7266200.0,27.0,25.63,25.44
1998-02-18,25.5,6262400.0,26.19,25.94,25.13
1998-02-19,26.06,9033067.0,26.13,25.31,25.13
1998-02-20,25.63,9848467.0,25.63,25.13,24.31
1998-02-23,25.63,11319000.0,26.44,26.38,25.5
1998-02-24,26.75,8484200.0,26.81,26.19,25.75
1998-02-25,26.19,9290000.0,26.31,26.06,25.31
1998-02-26,25.75,8854067.0,25.88,25.56,25.13
1998-02-27,25.38,13186667.0,25.44,24.63,24.38
1998-03-02,24.56,6835800.0,24.69,24.13,24.13
1998-03-03,24.69,17620267.0,26.19,26.06,24.13
1998-03-04,26.0,9588867.0,26.75,26.06,25.69
1998-03-05,25.13,8334267.0,25.94,25.31,24.97
1998-03-06,25.56,12264600.0,27.0,26.88,25.13
1998-03-09,26.81,13201467.0,27.08,25.56,25.38
1998-03-10,26.75,13845867.0,27.13,27.0,26.08
1998-03-11,27.19,18494067.0,28.06,27.94,27.13
1998-03-12,27.75,15729200.0,28.25,27.69,26.75
1998-03-13,30.63,44116600.0,31.0,29.19,29.0
1998-03-16,29.38,10727800.0,29.94,29.63,29.38
1998-03-17,29.63,9607200.0,29.69,28.75,28.5
1998-03-18,28.38,10264000.0,29.56,29.38,28.25
1998-03-19,29.38,6470600.0,29.44,29.25,28.88
1998-03-20,29.25,9358867.0,29.25,28.94,28.44
1998-03-23,28.75,13940400.0,30.13,30.06,28.5
1998-03-24,29.94,14378867.0,30.63,30.31,29.88
1998-03-25,30.88,13887067.0,31.0,30.69,30.38
1998-03-26,30.38,10932267.0,31.52,31.5,30.38
1998-03-27,31.56,7622667.0,31.75,31.06,30.5
1998-03-30,30.75,7088000.0,31.38,31.31,30.63
1998-03-31,31.31,7101400.0,31.69,31.56,31.25
1998-04-01,31.75,8539800.0,31.88,31.38,30.63
1998-04-02,31.06,7089067.0,31.19,30.13,29.88
1998-04-03,29.13,22535067.0,29.31,28.13,27.75
1998-04-06,27.75,12508467.0,27.94,27.13,26.63
1998-04-07,26.69,10052867.0,27.19,27.13,26.25
1998-04-08,27.0,5952000.0,27.5,27.06,26.63
1998-04-09,27.19,4577867.0,27.25,26.94,26.63
1998-04-13,26.88,8297400.0,28.63,28.44,26.56
1998-04-14,28.25,5412267.0,28.88,28.5,28.0
1998-04-15,28.63,4414667.0,28.69,28.25,27.94
1998-04-16,28.0,4193067.0,28.13,27.5,27.38
1998-04-17,27.25,5331467.0,27.63,27.25,27.0
1998-04-20,27.06,6085400.0,27.81,27.5,27.06
1998-04-21,27.56,4019200.0,27.56,27.56,27.13
1998-04-22,27.5,5106467.0,27.69,27.5,27.31
1998-04-23,27.31,9141467.0,27.38,26.06,26.06
1998-04-24,26.19,4881400.0,27.0,26.69,26.13
1998-04-27,26.06,6254467.0,26.44,26.31,25.81
1998-04-28,26.63,6845067.0,27.0,26.25,26.13
1998-04-29,26.38,6755867.0,26.5,26.38,25.81
1998-04-30,26.81,7786667.0,26.88,25.88,25.88
1998-05-01,26.13,8699400.0,26.19,25.56,25.31
1998-05-04,25.81,6706867.0,26.63,26.31,25.63
1998-05-05,25.88,10964400.0,26.13,25.81,25.28
1998-05-06,26.19,7167000.0,26.48,26.31,25.81
1998-05-07,26.25,5679200.0,26.44,26.06,25.94
1998-05-08,26.0,4815667.0,26.88,26.88,26.0
1998-05-11,26.94,4567200.0,27.0,26.0,26.0
1998-05-12,26.06,5759000.0,26.19,26.06,25.5
1998-05-13,26.0,4345667.0,26.25,26.0,25.81
1998-05-14,25.75,5308200.0,26.56,26.25,25.75
1998-05-15,25.94,5509267.0,26.13,25.88,25.63
1998-05-18,25.63,5464267.0,26.0,25.69,25.5
1998-05-19,25.94,4580467.0,26.13,26.06,25.69
1998-05-20,26.19,6073200.0,26.25,25.13,25.0
1998-05-21,25.31,5664267.0,25.5,24.63,24.25
1998-05-22,24.56,5184667.0,24.63,24.38,23.81
1998-05-26,24.56,4513400.0,24.63,24.0,23.88
1998-05-27,23.5,5198000.0,24.19,23.88,23.44
1998-05-28,23.81,4680200.0,24.63,24.63,23.69
1998-05-29,24.75,10149867.0,24.94,23.63,23.56
1998-06-01,23.56,6633200.0,24.06,22.81,22.5
1998-06-02,22.94,13914200.0,24.56,24.38,22.06
1998-06-03,24.5,8160667.0,24.63,23.56,23.5
1998-06-04,23.88,7723067.0,24.94,24.81,23.63
1998-06-05,24.94,10253067.0,26.5,25.94,24.94
1998-06-08,25.69,5663600.0,26.19,25.88,25.63
1998-06-09,25.88,4331000.0,26.38,26.06,25.81
1998-06-10,25.75,5898200.0,26.06,24.87,24.75
1998-06-11,25.06,6499067.0,25.06,24.38,24.06
1998-06-12,24.25,8791000.0,25.31,25.06,24.19
1998-06-15,24.75,4931067.0,25.5,24.56,24.44
1998-06-16,24.75,6495267.0,24.88,24.25,23.88
1998-06-17,24.63,10994667.0,25.59,24.31,24.13
1998-06-18,25.13,18818467.0,25.44,24.63,24.38
1998-06-19,24.63,7304467.0,24.63,24.25,23.94
1998-06-22,24.13,6616400.0,24.56,24.19,23.75
1998-06-23,24.31,5530600.0,25.0,24.44,24.31
1998-06-24,24.63,7377067.0,25.25,25.0,24.19
1998-06-25,25.19,5376200.0,25.38,24.69,24.5
1998-06-26,24.75,2620267.0,24.81,24.63,24.31
1998-06-29,24.75,3769667.0,24.88,24.5,24.19
1998-06-30,24.25,5063800.0,24.81,24.56,23.94
1998-07-01,24.56,6260200.0,24.56,24.06,24.0
1998-07-02,23.88,10167600.0,24.0,22.88,22.75
1998-07-06,23.13,5059800.0,23.19,23.06,22.88
1998-07-07,23.0,4169000.0,23.06,22.88,22.63
1998-07-08,23.19,8038800.0,23.63,23.56,22.81
1998-07-09,23.75,10262467.0,24.81,24.44,23.69
1998-07-10,24.44,6859067.0,25.13,25.06,23.88
1998-07-13,25.06,6907467.0,25.75,25.63,25.06
1998-07-14,25.63,9480867.0,26.06,26.0,25.63
1998-07-15,26.0,12454200.0,27.38,27.06,26.0
1998-07-16,27.25,8136067.0,27.88,27.69,27.06
1998-07-17,27.75,6537267.0,27.75,27.08,26.81
1998-07-20,27.0,8483867.0,28.13,27.56,26.81
1998-07-21,27.63,8533200.0,28.5,27.75,27.5
1998-07-22,27.0,8883067.0,27.06,25.94,25.63
1998-07-23,25.63,5310667.0,25.69,25.13,25.0
1998-07-24,25.31,6456800.0,25.44,24.63,24.0
1998-07-27,24.31,7583267.0,26.69,26.69,24.25
1998-07-28,26.56,7528200.0,27.06,26.94,26.19
1998-07-29,26.94,6902467.0,27.0,26.63,26.38
1998-07-30,26.88,7183667.0,26.94,26.69,26.56
1998-07-31,26.56,6216600.0,27.25,26.5,26.5
1998-08-03,26.44,5775600.0,26.94,26.63,26.06
1998-08-04,27.19,8924467.0,27.25,25.5,25.25
1998-08-05,25.38,6072400.0,25.63,25.19,24.44
1998-08-06,24.69,4612067.0,25.69,25.63,24.56
1998-08-07,25.69,4303200.0,25.69,25.13,25.06
1998-08-10,25.0,3296067.0,25.31,24.63,24.63
1998-08-11,24.25,5190267.0,24.63,24.5,23.81
1998-08-12,24.25,5417267.0,25.31,25.25,23.81
1998-08-13,25.0,4301400.0,25.44,24.5,24.5
1998-08-14,24.94,7250867.0,25.0,23.81,23.31
1998-08-17,23.81,5755067.0,24.06,23.81,23.38
1998-08-18,23.94,8351467.0,24.19,23.31,23.06
1998-08-19,23.38,11748467.0,24.63,24.44,23.38
1998-08-20,24.25,5744067.0,24.75,24.56,23.75
1998-08-21,24.13,7847800.0,25.06,24.94,23.75
1998-08-24,25.0,3785800.0,25.19,24.25,24.06
1998-08-25,24.63,4230800.0,24.63,24.13,23.69
1998-08-26,23.56,3242800.0,24.38,23.81,23.5
1998-08-27,23.31,6060267.0,23.31,22.63,22.5
1998-08-28,22.69,7072800.0,22.81,21.31,21.0
1998-08-31,21.69,10270267.0,22.0,19.94,19.81
1998-09-01,20.0,12732867.0,20.75,20.56,18.5
1998-09-02,20.81,12722067.0,21.0,20.31,20.06
1998-09-03,20.0,9637667.0,20.69,19.06,18.94
1998-09-04,19.69,8513000.0,20.81,20.69,19.5
1998-09-08,21.88,7346600.0,21.94,21.63,20.88
1998-09-09,21.5,5980867.0,22.63,21.81,21.5
1998-09-10,21.63,7914467.0,22.19,22.13,20.88
1998-09-11,24.63,24351400.0,25.63,25.5,24.5
1998-09-14,25.75,10130867.0,26.56,26.56,25.75
1998-09-15,26.13,10805067.0,27.13,27.0,25.69
1998-09-16,26.94,9466800.0,27.56,27.25,26.88
1998-09-17,26.25,8942267.0,27.06,26.81,26.13
1998-09-18,26.88,7873067.0,27.31,27.19,26.63
1998-09-21,26.5,9107400.0,28.13,27.81,26.44
1998-09-22,27.94,8735200.0,28.81,28.63,27.94
1998-09-23,28.81,12615667.0,28.94,28.63,27.88
1998-09-24,28.13,8149200.0,28.81,28.31,28.0
1998-09-25,27.81,7737467.0,29.0,28.94,27.81
1998-09-28,28.94,7463200.0,29.38,28.13,28.13
1998-09-29,28.13,12035000.0,29.5,29.06,28.13
1998-09-30,28.5,9814667.0,29.5,29.13,28.38
1998-10-01,28.44,11102800.0,28.88,27.0,26.88
1998-10-02,26.19,14670067.0,26.5,26.0,25.13
1998-10-05,24.75,17488000.0,25.0,23.75,22.44
1998-10-06,24.5,8184667.0,24.5,23.19,23.06
1998-10-07,23.06,8240600.0,24.63,24.38,23.0
1998-10-08,23.38,10542800.0,24.25,23.88,22.31
1998-10-09,24.31,10249400.0,25.63,25.5,23.31
1998-10-12,25.69,5104867.0,25.94,24.81,24.75
1998-10-13,24.5,4436400.0,25.63,24.75,24.25
1998-10-14,24.5,8226800.0,26.31,25.69,24.5
1998-10-15,25.5,4983267.0,27.0,26.75,25.38
1998-10-16,27.13,6733267.0,27.44,26.5,26.0
1998-10-19,26.25,7547067.0,27.97,27.88,26.13
1998-10-20,28.0,8506600.0,28.19,26.19,25.94
1998-10-21,26.25,6648267.0,27.38,27.13,25.38
1998-10-22,26.63,4729867.0,27.94,27.19,26.38
1998-10-23,27.0,5266200.0,27.69,27.09,26.25
1998-10-26,27.13,7469800.0,28.0,27.63,27.06
1998-10-27,27.88,5459867.0,28.0,27.06,27.06
1998-10-28,27.0,6387800.0,28.25,28.16,27.0
1998-10-29,28.0,6516267.0,28.88,28.69,28.0
1998-10-30,28.75,10353267.0,29.75,29.56,28.75
1998-11-02,29.56,8325667.0,30.0,29.94,29.56
1998-11-03,29.88,7455400.0,30.0,29.81,29.63
1998-11-04,30.0,13212467.0,30.75,30.63,29.75
1998-11-05,30.0,11634267.0,31.94,31.81,30.0
1998-11-06,31.44,8826000.0,32.0,31.44,31.13
1998-11-09,31.0,9899400.0,31.81,31.81,30.25
1998-11-10,31.5,5217867.0,31.75,31.5,30.75
1998-11-11,32.75,18885667.0,34.0,33.5,32.69
1998-11-12,33.0,7235067.0,33.25,32.94,32.88
1998-11-13,32.94,4680600.0,33.31,33.19,32.75
1998-11-16,33.19,7041600.0,33.38,32.44,31.81
