date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,29.44,342400.0,29.44,29.13,29.0
1998-01-05,29.0,1449000.0,29.13,28.81,28.5
1998-01-06,28.0,2971800.0,28.25,27.75,27.44
1998-01-07,27.63,1545500.0,27.75,27.63,27.25
1998-01-08,27.5,1455000.0,27.56,26.94,26.88
1998-01-09,26.75,2837800.0,26.75,26.0,25.88
1998-01-12,24.88,2168100.0,26.0,25.81,24.88
1998-01-13,25.88,1781800.0,26.69,26.56,25.81
1998-01-14,26.63,613800.0,26.88,26.81,26.56
1998-01-15,26.88,754000.0,27.13,27.0,26.75
1998-01-16,27.44,985700.0,27.44,27.31,27.19
1998-01-20,27.31,731600.0,27.44,27.13,27.13
1998-01-21,26.88,910300.0,27.25,27.06,26.88
1998-01-22,27.0,1663800.0,27.13,26.31,26.19
1998-01-23,26.25,2833600.0,26.44,25.5,25.25
1998-01-26,25.5,916700.0,25.88,25.56,25.31
1998-01-27,25.63,1121100.0,26.0,25.69,25.63
1998-01-28,25.75,1162200.0,25.75,25.38,25.38
1998-01-29,25.38,2679800.0,26.06,25.56,25.38
1998-01-30,25.75,950900.0,25.81,25.5,25.5
1998-02-02,25.63,960500.0,25.81,25.56,25.5
1998-02-03,25.5,814400.0,25.94,25.81,25.5
1998-02-04,25.69,1754500.0,26.13,25.88,25.56
1998-02-05,25.88,1252600.0,26.13,25.88,25.81
1998-02-06,25.94,1182800.0,26.19,26.13,25.94
1998-02-09,26.19,964300.0,26.19,25.81,25.81
1998-02-10,25.88,604300.0,26.13,25.94,25.81
1998-02-11,25.75,2639800.0,25.94,25.81,25.63
1998-02-12,25.88,704600.0,25.88,25.75,25.69
1998-02-13,25.81,1360500.0,25.94,25.81,25.75
1998-02-17,26.06,1170000.0,26.13,26.0,25.94
1998-02-18,25.94,1132800.0,26.13,26.13,25.88
1998-02-19,26.13,3567100.0,26.13,25.13,25.13
1998-02-20,25.5,1380000.0,25.5,25.31,25.31
1998-02-23,25.25,984200.0,25.25,25.06,25.0
1998-02-24,25.06,1119100.0,25.38,25.13,25.06
1998-02-25,25.19,2175100.0,25.19,24.88,24.63
