date,1. open,5. volume,2. high,4. close,3. low
2013-10-22,12.0,300000.0,12.0,12.0,12.0
2013-10-23,12.0,0.0,12.0,12.0,12.0
2013-10-24,12.0,0.0,12.0,12.0,12.0
2013-10-25,11.75,514200.0,11.75,11.75,11.75
2013-10-28,11.75,0.0,11.75,11.75,11.75
2013-10-29,11.85,300000.0,11.85,11.85,11.85
2013-10-30,11.85,0.0,11.85,11.85,11.85
2013-10-31,11.85,0.0,11.85,11.85,11.85
2013-11-01,11.85,0.0,11.85,11.85,11.85
2013-11-04,11.85,0.0,11.85,11.85,11.85
2013-11-05,11.85,0.0,11.85,11.85,11.85
2013-11-06,11.85,0.0,11.85,11.85,11.85
2013-11-07,11.85,150000.0,11.85,11.85,11.85
2013-11-08,12.0,100000.0,12.0,12.0,12.0
2013-11-11,12.0,100000.0,12.0,12.0,12.0
2013-11-12,12.0,100000.0,12.0,12.0,12.0
2013-11-13,12.0,0.0,12.0,12.0,12.0
2013-11-14,12.0,0.0,12.0,12.0,12.0
2013-11-15,12.0,0.0,12.0,12.0,12.0
2013-11-18,12.0,0.0,12.0,12.0,12.0
2013-11-19,12.0,0.0,12.0,12.0,12.0
2013-11-20,12.0,0.0,12.0,12.0,12.0
2013-11-21,12.0,0.0,12.0,12.0,12.0
2013-11-22,12.0,0.0,12.0,12.0,12.0
2013-11-25,12.0,0.0,12.0,12.0,12.0
2013-11-26,12.0,0.0,12.0,12.0,12.0
2013-11-27,12.0,0.0,12.0,12.0,12.0
2013-11-29,12.0,14000.0,12.0,12.0,12.0
2013-12-02,12.0,0.0,12.0,12.0,12.0
2013-12-03,12.0,0.0,12.0,12.0,12.0
2013-12-04,12.0,0.0,12.0,12.0,12.0
2013-12-05,12.0,200000.0,12.0,12.0,12.0
2013-12-06,12.0,0.0,12.0,12.0,12.0
2013-12-09,12.0,0.0,12.0,12.0,12.0
2013-12-10,12.0,0.0,12.0,12.0,12.0
2013-12-11,12.1,175000.0,12.1,12.1,12.1
2013-12-12,12.1,0.0,12.1,12.1,12.1
2013-12-13,12.1,0.0,12.1,12.1,12.1
2013-12-16,12.5,190000.0,12.5,12.5,12.5
2013-12-17,14.0,1090000.0,14.0,14.0,14.0
2013-12-18,14.05,93500.0,14.05,14.0,14.0
2013-12-19,14.0,0.0,14.0,14.0,14.0
2013-12-20,14.0,0.0,14.0,14.0,14.0
2013-12-23,14.0,0.0,14.0,14.0,14.0
2013-12-24,14.0,0.0,14.0,14.0,14.0
2013-12-26,14.0,0.0,14.0,14.0,14.0
2013-12-27,14.0,0.0,14.0,14.0,14.0
2013-12-30,14.0,0.0,14.0,14.0,14.0
2013-12-31,14.0,13600.0,14.0,14.0,14.0
2014-01-02,14.0,0.0,14.0,14.0,14.0
2014-01-03,14.0,0.0,14.0,14.0,14.0
2014-01-06,14.0,0.0,14.0,14.0,14.0
2014-01-07,13.5,1175000.0,13.5,13.5,13.5
2014-01-08,13.5,627000.0,13.55,13.53,13.5
2014-01-09,13.5,25000.0,13.5,13.5,13.5
2014-01-10,13.5,39500.0,13.5,13.5,13.5
2014-01-13,13.5,0.0,13.5,13.5,13.5
2014-01-14,13.5,0.0,13.5,13.5,13.5
2014-01-15,14.0,2100000.0,14.0,14.0,14.0
2014-01-16,14.0,0.0,14.0,14.0,14.0
2014-01-17,14.0,0.0,14.0,14.0,14.0
2014-01-21,14.0,0.0,14.0,14.0,14.0
2014-01-22,14.0,0.0,14.0,14.0,14.0
2014-01-23,15.0,4263400.0,15.5,14.9,14.25
2014-01-24,14.9,1266900.0,14.9,14.4,14.01
2014-01-27,14.75,783500.0,14.8,14.27,13.75
2014-01-28,14.3,1249500.0,14.525,14.15,14.0
2014-01-29,14.2,2111700.0,14.25,14.0,13.92
2014-01-30,14.05,1453500.0,14.22,14.0,13.99
2014-01-31,14.04,268300.0,14.085,13.94,13.91
2014-02-03,14.0,580300.0,14.1,13.83,13.83
2014-02-04,14.07,318400.0,14.21,14.0,13.92
2014-02-05,14.0,859100.0,14.52,14.43,13.99
2014-02-06,14.5,1717700.0,15.785,15.33,14.489
2014-02-07,15.4,1290500.0,16.4,16.24,15.02
2014-02-10,16.44,344800.0,16.74,16.39,16.23
2014-02-11,16.4,468300.0,16.67,16.42,16.2
2014-02-12,16.4,1482600.0,16.45,16.35,16.26
2014-02-13,16.38,269600.0,16.68,16.07,15.54
2014-02-14,16.35,714900.0,17.24,16.9,16.0
2014-02-18,17.0,1237500.0,17.99,17.48,17.0
2014-02-19,17.65,1641800.0,18.39,18.1,17.5
2014-02-20,18.15,2040100.0,18.41,18.19,18.06
2014-02-21,18.41,1487800.0,18.41,18.28,18.18
2014-02-24,18.45,853000.0,18.535,18.37,18.15
2014-02-25,18.4,1239700.0,19.34,19.2,18.35
2014-02-26,20.0,858200.0,20.176,19.5,19.01
2014-02-27,19.5,730700.0,19.99,19.7,19.5
2014-02-28,19.77,364600.0,21.68,20.48,19.76
2014-03-03,20.55,686300.0,21.7,21.11,20.55
2014-03-04,21.37,557700.0,22.25,21.82,21.172
2014-03-05,21.92,824500.0,22.0,21.49,21.48
2014-03-06,21.61,647400.0,22.32,21.64,21.28
2014-03-07,21.28,462800.0,22.09,21.69,19.75
2014-03-10,21.75,1037800.0,22.3465,21.45,21.44
2014-03-11,21.66,920800.0,21.88,20.9,20.6225
2014-03-12,20.72,885300.0,20.83,20.65,20.39
2014-03-13,20.8,1002200.0,21.0,20.77,20.35
2014-03-14,20.75,1002000.0,20.93,20.55,20.46
2014-03-17,20.52,594100.0,20.86,20.55,20.36
2014-03-18,20.58,656200.0,20.99,20.7,20.5
2014-03-19,20.69,519800.0,20.9,20.55,20.35
2014-03-20,20.54,760300.0,20.54,20.15,19.69
2014-03-21,20.05,2929000.0,20.05,18.52,18.51
2014-03-24,18.28,568900.0,19.34,19.04,18.06
2014-03-25,19.09,368600.0,19.4775,19.01,18.96
2014-03-26,18.94,401000.0,19.195,18.95,18.76
2014-03-27,18.82,1236700.0,19.65,19.39,18.53
2014-03-28,19.3,796300.0,19.385,19.11,18.92
2014-03-31,19.0,462400.0,19.24,19.05,18.79
2014-04-01,19.08,526600.0,20.29,20.0,18.96
2014-04-02,20.13,708100.0,21.13,20.9,20.045
2014-04-03,20.97,395400.0,21.28,20.93,20.63
2014-04-04,21.18,1102200.0,21.95,21.3,20.98
