date,1. open,5. volume,2. high,4. close,3. low
2000-08-10,25.25,35982300.0,28.63,28.63,24.5
2000-08-11,27.38,6284800.0,29.13,28.56,27.0
2000-08-14,28.13,1733800.0,28.88,28.44,28.0
2000-08-15,28.44,2269700.0,29.44,28.56,28.06
2000-08-16,28.81,2932000.0,30.0,30.0,28.5
2000-08-17,29.56,1787000.0,31.13,30.75,29.44
2000-08-18,31.0,2206200.0,31.0,29.0,28.0
2000-08-21,29.0,1518800.0,29.25,29.13,28.38
2000-08-22,29.25,1351900.0,29.44,29.44,28.88
2000-08-23,29.38,1817100.0,30.13,30.13,29.13
2000-08-24,29.69,1306100.0,29.88,29.5,29.44
2000-08-25,29.81,546700.0,30.25,30.25,29.5
2000-08-28,30.38,667700.0,30.38,30.13,29.81
2000-08-29,29.94,1541600.0,31.13,31.13,29.88
2000-08-30,31.0,2152800.0,33.0,32.25,31.0
2000-08-31,32.31,1121100.0,32.31,31.81,31.5
2000-09-01,31.69,1351400.0,31.69,31.19,31.13
2000-09-05,31.06,765600.0,31.44,31.38,30.81
2000-09-06,31.63,1694000.0,33.5,33.0,31.63
2000-09-07,33.5,1301700.0,34.06,33.38,32.75
2000-09-08,33.38,1340700.0,33.38,32.75,32.31
2000-09-11,32.38,1598600.0,33.75,33.31,32.06
2000-09-12,32.75,1797300.0,33.13,32.19,32.19
2000-09-13,32.13,1423100.0,32.19,30.88,30.81
2000-09-14,31.5,1609000.0,31.63,30.38,30.19
2000-09-15,30.06,1109100.0,31.31,30.25,29.81
2000-09-18,29.81,954800.0,30.63,29.38,29.06
2000-09-19,29.38,768100.0,29.81,29.56,29.13
2000-09-20,29.94,1581300.0,30.63,30.13,29.88
2000-09-21,30.19,813900.0,30.19,29.31,29.13
2000-09-22,29.0,1001800.0,29.25,29.0,28.0
2000-09-25,28.94,787900.0,29.75,29.44,28.75
2000-09-26,29.38,383400.0,30.5,30.31,29.25
2000-09-27,30.75,1062200.0,30.88,30.19,30.06
2000-09-28,30.31,1096200.0,30.38,30.0,29.75
2000-09-29,30.0,601900.0,30.06,30.06,29.88
2000-10-02,30.06,845600.0,30.38,30.13,29.94
2000-10-03,30.38,673400.0,30.44,30.31,30.0
2000-10-04,30.19,263500.0,30.44,30.31,29.94
2000-10-05,30.31,1121000.0,30.44,30.44,30.0
2000-10-06,30.44,645900.0,30.44,29.75,29.38
2000-10-09,29.69,402700.0,30.0,30.0,29.25
2000-10-10,29.88,1110500.0,30.88,30.5,29.81
2000-10-11,30.63,1103800.0,31.13,30.5,30.31
2000-10-12,30.75,1426800.0,32.81,31.81,30.63
2000-10-13,31.0,692500.0,31.56,30.94,30.63
2000-10-16,30.69,589500.0,30.69,30.0,29.81
2000-10-17,30.0,717000.0,30.0,29.06,28.88
2000-10-18,28.38,2333900.0,29.38,29.38,28.0
2000-10-19,29.44,1034000.0,29.94,29.75,29.25
2000-10-20,29.56,797500.0,29.63,29.13,28.88
2000-10-23,28.69,738300.0,28.88,28.0,27.94
2000-10-24,27.75,1717800.0,27.94,27.0,26.56
2000-10-25,26.19,1071000.0,26.88,26.31,26.0
2000-10-26,26.06,1241600.0,28.13,28.0,26.06
2000-10-27,28.06,1262600.0,28.63,28.38,27.88
2000-10-30,27.88,536200.0,29.31,28.75,27.81
2000-10-31,29.44,518100.0,29.5,29.06,28.88
2000-11-01,28.75,549100.0,29.63,29.38,28.75
2000-11-02,29.38,153300.0,29.88,29.06,29.06
2000-11-03,28.63,558600.0,29.0,28.25,28.13
2000-11-06,28.25,224700.0,28.94,28.56,28.19
