date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,45.88,99467.0,46.0,46.0,44.56
1998-01-05,46.0,117667.0,47.25,47.25,45.25
1998-01-06,47.25,98867.0,47.25,46.5,46.0
1998-01-07,46.25,71267.0,46.25,46.25,45.5
1998-01-08,46.25,41467.0,47.0,47.0,45.5
1998-01-09,47.0,48467.0,47.0,45.13,44.94
1998-01-12,44.88,55400.0,46.0,45.25,44.88
1998-01-13,46.25,120200.0,47.75,47.13,46.0
1998-01-14,47.5,96200.0,47.75,45.5,45.5
1998-01-15,46.25,85600.0,46.25,44.88,44.25
1998-01-16,45.0,123200.0,45.25,44.81,44.38
1998-01-20,45.25,61000.0,45.25,45.0,44.13
1998-01-21,45.25,123467.0,45.25,44.5,44.0
1998-01-22,44.5,135600.0,44.5,43.5,43.25
1998-01-23,44.25,65667.0,44.5,43.88,43.75
1998-01-26,44.5,85067.0,44.5,43.13,43.0
1998-01-27,43.5,132600.0,44.25,44.0,43.5
1998-01-28,44.5,107800.0,46.0,45.84,43.88
1998-01-29,45.75,74467.0,46.75,46.75,45.5
1998-01-30,46.75,177400.0,47.63,46.94,46.5
1998-02-02,47.25,117667.0,49.0,48.75,46.88
1998-02-03,48.75,89200.0,48.75,48.31,48.0
1998-02-04,48.25,75867.0,48.25,47.69,47.25
1998-02-05,47.75,81067.0,48.25,48.0,47.38
1998-02-06,48.25,111800.0,48.25,48.22,47.75
1998-02-09,48.25,54667.0,48.25,48.25,47.88
1998-02-10,48.5,67867.0,48.5,48.5,48.13
1998-02-11,48.5,23667.0,48.5,47.75,47.5
1998-02-12,47.75,94000.0,48.0,48.0,47.5
1998-02-13,48.0,29267.0,48.0,47.88,47.75
1998-02-17,48.0,22800.0,48.0,47.75,47.38
1998-02-18,31.5,159600.0,32.25,31.56,31.5
1998-02-19,31.81,162900.0,31.88,31.56,31.56
1998-02-20,31.5,104500.0,32.0,31.25,31.0
1998-02-23,31.38,64800.0,31.75,31.13,31.0
1998-02-24,31.5,80400.0,31.5,31.0,30.75
1998-02-25,31.13,106200.0,31.25,31.0,30.5
1998-02-26,30.5,81200.0,31.25,30.56,30.44
1998-02-27,30.75,155700.0,30.75,30.25,30.25
1998-03-02,30.25,101300.0,30.5,30.25,30.25
1998-03-03,30.25,65700.0,30.5,30.0,29.25
