date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,31.81,505000.0,31.94,31.81,31.69
1998-01-05,32.0,660700.0,32.0,31.31,30.75
1998-01-06,30.94,368300.0,31.19,30.88,30.75
1998-01-07,30.63,383400.0,30.75,30.75,30.38
1998-01-08,30.69,360700.0,31.19,31.19,30.31
1998-01-09,31.25,353400.0,31.31,31.0,30.88
1998-01-12,30.5,430600.0,31.38,31.38,30.5
1998-01-13,31.38,332300.0,31.38,31.19,30.56
1998-01-14,31.25,282400.0,31.25,31.19,30.88
1998-01-15,31.19,569200.0,31.19,31.06,30.69
1998-01-16,31.38,592900.0,31.5,31.25,31.13
1998-01-20,31.31,365900.0,31.56,31.56,31.25
1998-01-21,31.44,1544000.0,32.31,32.25,31.44
1998-01-22,32.25,372000.0,32.38,32.25,32.13
1998-01-23,32.25,286600.0,32.31,31.81,31.63
1998-01-26,31.81,318700.0,32.13,31.94,31.75
1998-01-27,31.69,451500.0,32.06,31.38,31.38
1998-01-28,31.0,808400.0,31.25,30.94,30.69
1998-01-29,31.0,666200.0,31.63,31.06,30.75
1998-01-30,31.13,488000.0,31.13,31.0,30.75
1998-02-02,31.38,382600.0,31.5,31.31,30.94
1998-02-03,31.38,260100.0,31.5,31.25,31.13
1998-02-04,30.88,261100.0,31.19,31.0,30.81
1998-02-05,31.0,296600.0,31.31,31.31,30.69
1998-02-06,31.25,348200.0,31.88,31.75,31.19
1998-02-09,31.81,360100.0,31.88,31.63,31.13
1998-02-10,31.63,358700.0,31.94,31.88,31.44
1998-02-11,31.81,267000.0,31.94,31.75,31.63
1998-02-12,31.56,350900.0,31.88,31.75,31.25
1998-02-13,31.5,214000.0,31.88,31.75,31.31
1998-02-17,31.94,468900.0,32.06,32.0,31.56
1998-02-18,31.88,299700.0,32.06,31.88,31.75
1998-02-19,31.88,453600.0,31.88,31.5,31.25
1998-02-20,31.38,483100.0,31.75,31.69,31.13
1998-02-23,31.75,387700.0,32.25,32.25,31.56
1998-02-24,32.0,234100.0,32.06,32.0,31.63
1998-02-25,32.13,403200.0,32.31,32.19,31.75
1998-02-26,32.25,554500.0,32.44,32.06,31.94
1998-02-27,31.88,222400.0,32.25,32.25,31.69
1998-03-02,32.06,183100.0,32.31,32.13,32.06
1998-03-03,32.19,408600.0,32.5,32.38,32.19
1998-03-04,32.25,218300.0,32.44,32.31,32.19
1998-03-05,32.19,372400.0,32.56,32.44,32.19
1998-03-06,31.75,8594000.0,32.5,32.5,31.75
1998-03-09,32.25,598100.0,32.5,32.5,32.13
1998-03-10,32.5,1224400.0,32.81,32.63,32.44
1998-03-11,32.38,375900.0,32.63,32.63,32.13
1998-03-12,32.38,248900.0,32.75,32.75,32.19
1998-03-13,32.63,210800.0,32.63,32.44,32.25
1998-03-16,32.63,204200.0,32.75,32.75,32.5
1998-03-17,32.75,851200.0,34.0,33.94,32.75
1998-03-18,34.13,459100.0,34.25,34.25,33.75
1998-03-19,34.25,1102000.0,34.88,34.88,33.94
1998-03-20,34.88,1484400.0,36.38,36.25,34.81
1998-03-23,35.75,1339900.0,37.0,36.88,35.63
1998-03-24,36.94,1384400.0,37.25,37.06,36.88
1998-03-25,37.06,783200.0,37.25,37.19,36.88
1998-03-26,37.25,1093200.0,37.88,37.69,37.25
1998-03-27,37.5,681200.0,37.81,37.31,37.13
1998-03-30,37.25,587000.0,37.56,37.25,37.13
1998-03-31,37.25,865700.0,37.94,37.75,37.25
1998-04-01,37.75,915500.0,37.88,37.25,37.06
1998-04-02,37.19,339600.0,37.69,37.69,37.13
1998-04-03,37.69,339000.0,37.75,37.44,37.25
1998-04-06,37.5,1401100.0,37.5,37.25,36.88
1998-04-07,37.25,986800.0,37.34,36.88,36.88
1998-04-08,36.88,592600.0,36.88,36.5,36.25
1998-04-09,36.5,933400.0,36.81,36.81,36.19
1998-04-13,36.5,1128200.0,36.63,36.06,35.81
1998-04-14,36.0,885900.0,36.25,36.19,35.75
1998-04-15,36.13,291600.0,36.13,35.94,35.75
1998-04-16,35.69,655900.0,35.94,35.5,35.44
1998-04-17,35.5,470800.0,35.56,35.56,35.19
1998-04-20,35.19,471700.0,35.31,35.19,34.88
1998-04-21,35.0,1427700.0,35.25,34.88,34.5
1998-04-22,34.75,310300.0,34.75,34.19,34.13
1998-04-23,34.0,748600.0,34.13,33.63,33.38
1998-04-24,33.5,437200.0,34.19,34.06,33.44
1998-04-27,33.75,947800.0,33.81,33.19,32.69
1998-04-28,33.06,890300.0,33.75,33.44,32.75
1998-04-29,33.5,662100.0,33.5,33.44,33.0
1998-04-30,33.63,879800.0,34.25,33.56,33.5
1998-05-01,33.63,1044100.0,33.94,33.44,33.38
1998-05-04,33.5,323300.0,34.0,33.81,33.5
1998-05-05,33.56,353300.0,33.63,33.19,32.75
1998-05-06,33.44,316000.0,33.5,33.44,33.06
1998-05-07,33.44,232000.0,33.5,33.31,33.25
1998-05-08,33.5,197100.0,33.81,33.56,33.44
1998-05-11,33.56,217200.0,33.69,33.44,33.31
1998-05-12,33.38,415900.0,33.56,33.56,33.31
1998-05-13,33.56,387500.0,33.94,33.19,33.0
1998-05-14,33.06,278500.0,33.38,33.19,33.06
