date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,79.31,1544200.0,80.94,80.94,78.88
1998-01-05,81.19,2498200.0,82.81,82.56,80.44
1998-01-06,81.5,1922700.0,82.75,82.31,81.44
1998-01-07,81.63,2142300.0,81.75,81.44,80.56
1998-01-08,81.0,1454600.0,81.44,80.5,80.5
1998-01-09,79.88,2285900.0,80.44,78.88,78.0
1998-01-12,77.63,2482800.0,82.38,82.31,77.56
1998-01-13,81.56,2167800.0,82.63,81.13,80.56
1998-01-14,81.19,1968100.0,81.38,80.56,79.19
1998-01-15,80.31,1255500.0,80.56,79.94,79.69
1998-01-16,80.44,2591300.0,80.44,79.31,78.94
1998-01-20,80.31,1706400.0,80.94,80.75,79.88
1998-01-21,81.25,1794400.0,81.81,81.0,79.88
1998-01-22,81.19,1693900.0,81.25,79.88,79.13
1998-01-23,80.5,1969100.0,80.5,78.38,78.25
1998-01-26,78.5,1776300.0,79.0,78.5,78.19
1998-01-27,78.06,3756200.0,81.31,80.88,78.06
1998-01-28,81.0,1951500.0,81.0,79.25,78.5
1998-01-29,79.25,2709300.0,80.19,78.0,77.31
1998-01-30,77.88,2080700.0,79.0,78.38,77.5
1998-02-02,79.19,1731500.0,79.81,79.5,78.69
1998-02-03,79.5,2536200.0,81.81,81.31,78.69
1998-02-04,80.0,1546600.0,81.06,80.38,80.0
1998-02-05,80.88,1609900.0,80.88,79.63,79.5
1998-02-06,80.25,2065800.0,82.44,82.0,80.19
1998-02-09,81.94,1416200.0,82.38,81.5,81.06
1998-02-10,82.0,2477600.0,83.63,82.81,81.69
1998-02-11,83.31,1868500.0,84.0,83.75,83.0
1998-02-12,83.75,1683800.0,84.38,83.94,82.38
1998-02-13,83.06,1816900.0,84.75,84.69,83.06
1998-02-17,84.75,1697200.0,84.75,83.25,82.69
1998-02-18,83.94,1712000.0,84.63,84.38,83.38
1998-02-19,83.56,1617000.0,83.94,82.5,82.25
1998-02-20,83.19,1673300.0,83.44,83.38,82.25
1998-02-23,83.94,1640700.0,84.19,83.69,82.94
1998-02-24,83.38,1484800.0,84.19,82.94,82.5
1998-02-25,83.5,1265800.0,83.81,83.44,83.0
1998-02-26,83.0,1075600.0,83.63,83.5,82.56
1998-02-27,84.0,2343600.0,85.25,84.88,83.13
1998-03-02,84.0,1820000.0,84.5,82.5,82.5
1998-03-03,82.13,2067500.0,82.75,82.25,81.63
1998-03-04,82.19,1300700.0,82.25,82.13,81.5
1998-03-05,81.31,1540300.0,81.69,80.69,79.88
1998-03-06,81.13,1728800.0,84.0,83.63,81.13
1998-03-09,83.63,2325700.0,85.25,85.25,83.5
1998-03-10,85.13,2037400.0,86.75,86.06,85.13
1998-03-11,86.0,1536100.0,86.94,86.56,85.88
1998-03-12,85.06,1656600.0,85.63,84.19,84.06
1998-03-13,83.5,2144300.0,83.56,82.44,82.19
1998-03-16,82.06,1959500.0,83.13,82.19,82.0
1998-03-17,82.5,1759400.0,84.31,83.5,82.13
1998-03-18,83.13,1613000.0,84.81,84.69,82.94
1998-03-19,84.88,1329300.0,85.44,85.25,84.44
1998-03-20,85.44,2425300.0,85.94,85.31,84.88
1998-03-23,85.5,2055800.0,86.44,86.31,85.13
1998-03-24,86.0,1778200.0,87.56,86.38,85.56
1998-03-25,86.5,1920900.0,86.69,85.31,85.06
1998-03-26,85.5,2113400.0,87.88,86.0,85.25
1998-03-27,86.5,1839200.0,86.56,84.13,83.56
1998-03-30,83.88,1267300.0,85.38,85.38,83.88
1998-03-31,85.38,1936700.0,86.0,84.38,83.69
1998-04-01,83.06,3223400.0,87.81,87.56,83.06
1998-04-02,87.63,2288000.0,89.69,89.56,87.19
1998-04-03,89.56,2184600.0,89.56,88.13,87.56
1998-04-06,88.0,1649200.0,88.25,86.94,86.81
1998-04-07,87.38,1643100.0,87.38,87.0,85.81
1998-04-08,87.06,1851000.0,87.81,86.31,86.13
1998-04-09,86.63,1002600.0,87.81,86.25,85.81
1998-04-13,86.25,1620000.0,86.25,85.0,84.56
1998-04-14,85.5,1779600.0,85.5,83.94,83.69
1998-04-15,84.06,2677200.0,84.25,83.0,82.19
1998-04-16,83.19,2292700.0,83.88,82.88,82.38
1998-04-17,83.06,2111800.0,85.44,85.13,83.06
1998-04-20,85.56,1942800.0,85.56,84.0,83.81
1998-04-21,83.5,3215100.0,84.0,83.38,83.06
1998-04-22,83.06,2425400.0,84.69,84.0,83.0
1998-04-23,84.0,4846700.0,88.5,86.0,84.0
1998-04-24,85.63,2665600.0,87.13,85.5,85.5
1998-04-27,83.44,3091600.0,84.94,83.44,82.19
1998-04-28,83.63,3163000.0,84.0,80.75,80.19
1998-04-29,81.0,2118800.0,81.94,81.5,80.88
1998-04-30,82.0,2737000.0,83.19,82.19,81.81
1998-05-01,83.0,1312600.0,83.44,83.44,82.13
1998-05-04,83.94,2196100.0,85.75,84.19,83.69
1998-05-05,83.63,1707300.0,83.81,83.69,82.25
1998-05-06,82.5,1863700.0,83.19,82.25,81.31
1998-05-07,82.06,1801600.0,82.13,80.81,80.25
1998-05-08,80.88,1602000.0,82.56,81.0,80.81
1998-05-11,81.25,1521500.0,82.25,80.94,80.25
1998-05-12,81.38,2302500.0,82.38,81.31,80.69
1998-05-13,81.44,1674400.0,83.06,82.88,81.44
1998-05-14,81.5,1581100.0,83.44,83.13,81.5
1998-05-15,83.13,1809300.0,83.38,81.94,81.94
1998-05-18,82.69,1759900.0,84.81,84.5,82.31
1998-05-19,83.38,1267600.0,84.38,83.63,83.13
1998-05-20,84.56,2096300.0,84.56,84.56,84.56
1998-05-21,85.0,1406600.0,85.0,83.88,83.56
1998-05-22,83.63,1101600.0,84.25,83.88,82.69
1998-05-26,83.88,1375700.0,84.31,82.13,82.13
1998-05-27,82.13,1924700.0,83.94,82.81,81.5
1998-05-28,83.81,1535800.0,84.25,84.06,82.81
1998-05-29,84.31,1342300.0,84.69,83.88,83.25
1998-06-01,83.94,2179100.0,85.63,85.5,83.56
1998-06-02,85.5,2213700.0,86.56,85.69,85.19
1998-06-03,85.44,1782900.0,86.81,85.81,85.25
1998-06-04,84.56,1536000.0,86.44,86.44,84.38
1998-06-05,86.25,2016900.0,88.0,86.19,85.81
1998-06-08,87.88,1342900.0,88.38,87.88,87.56
1998-06-09,89.0,1856400.0,89.0,88.25,87.69
1998-06-10,87.94,1403300.0,88.69,86.81,86.75
1998-06-11,86.63,2028700.0,87.0,84.56,84.44
1998-06-12,84.5,2547600.0,85.88,85.25,83.81
1998-06-15,83.69,1492500.0,86.38,84.81,83.69
1998-06-16,85.56,2912000.0,87.69,87.38,84.75
1998-06-17,87.94,3386600.0,90.0,89.19,87.44
1998-06-18,89.06,2161700.0,90.19,89.88,89.06
1998-06-19,90.06,3037300.0,90.06,88.38,87.31
1998-06-22,88.19,1349500.0,89.0,86.69,86.69
1998-06-23,87.94,1613500.0,89.13,88.25,87.44
1998-06-24,88.94,2028100.0,91.0,90.88,88.44
1998-06-25,90.63,2092300.0,91.63,90.31,89.75
1998-06-26,90.06,1143300.0,91.25,90.38,90.0
1998-06-29,91.19,1754900.0,92.5,92.19,91.06
1998-06-30,92.25,1640000.0,92.25,91.06,90.31
1998-07-01,91.81,1948500.0,92.5,92.31,90.25
1998-07-02,92.0,1098900.0,92.75,92.56,91.88
1998-07-06,92.94,1491900.0,94.0,94.0,92.25
1998-07-07,93.38,1972400.0,93.38,92.25,91.56
1998-07-08,91.81,1354900.0,92.19,91.94,91.0
1998-07-09,91.88,1252700.0,92.06,90.38,90.19
1998-07-10,90.13,1935200.0,93.19,92.44,90.0
1998-07-13,92.44,1182100.0,92.56,91.19,90.75
1998-07-14,90.94,1598600.0,93.75,93.38,90.94
1998-07-15,92.75,1479900.0,92.75,91.31,91.25
1998-07-16,91.25,1593800.0,92.81,92.38,91.0
1998-07-17,91.0,2995100.0,91.88,90.5,90.25
1998-07-20,90.63,1595700.0,91.13,90.0,89.63
1998-07-21,90.0,1755000.0,90.25,88.25,87.5
1998-07-22,88.0,2236500.0,88.13,87.13,86.94
1998-07-23,87.0,1854400.0,87.69,86.31,86.25
1998-07-24,87.13,2398800.0,89.13,87.75,86.56
1998-07-27,87.0,1678500.0,90.13,89.44,86.63
1998-07-28,88.31,1899100.0,89.38,89.0,86.5
1998-07-29,88.5,1617300.0,89.56,88.13,86.69
1998-07-30,88.13,10229500.0,89.88,83.63,82.44
1998-07-31,83.63,7855800.0,83.63,79.38,79.06
1998-08-03,79.06,6503200.0,79.25,76.25,75.63
1998-08-04,76.81,7880500.0,79.31,77.75,76.75
1998-08-05,79.0,4701000.0,81.63,81.56,77.75
1998-08-06,80.0,5194600.0,81.63,78.94,78.06
1998-08-07,80.13,2838900.0,80.38,78.81,78.56
1998-08-10,78.75,2219500.0,80.5,79.81,78.56
1998-08-11,78.13,3104300.0,79.31,79.13,77.0
1998-08-12,79.38,1841400.0,80.44,79.94,79.0
1998-08-13,79.31,1968800.0,80.25,78.44,78.19
1998-08-14,78.38,2160100.0,79.5,78.5,77.75
1998-08-17,78.56,2276200.0,80.44,80.31,78.44
1998-08-18,80.5,1867500.0,81.31,81.0,80.0
1998-08-19,80.81,1670600.0,81.19,80.25,79.75
1998-08-20,80.19,2233300.0,80.38,78.44,78.25
1998-08-21,77.56,2838400.0,79.25,79.0,77.06
1998-08-24,79.0,1851800.0,80.94,80.81,78.94
1998-08-25,82.0,2403500.0,83.13,82.81,81.56
1998-08-26,81.56,2000900.0,83.38,82.88,81.0
1998-08-27,82.0,3801400.0,82.0,80.56,79.19
1998-08-28,81.0,3198600.0,82.69,81.81,79.5
1998-08-31,80.31,3600900.0,81.13,76.5,76.5
1998-09-01,77.38,3907000.0,80.63,80.0,75.31
1998-09-02,79.75,3137400.0,80.44,78.81,78.13
1998-09-03,78.25,3069300.0,78.44,76.81,75.75
1998-09-04,77.5,2658800.0,78.0,75.63,73.06
1998-09-08,79.63,2962400.0,79.75,79.63,75.75
1998-09-09,78.31,6359300.0,78.31,71.88,71.88
1998-09-10,69.25,7121200.0,69.88,69.0,65.13
1998-09-11,69.19,4004100.0,71.13,67.38,66.88
1998-09-14,69.06,3631800.0,69.5,69.13,67.25
1998-09-15,69.13,2131500.0,69.88,69.69,68.69
1998-09-16,69.94,2888500.0,70.31,70.0,68.25
1998-09-17,65.25,3964400.0,67.56,66.81,65.25
1998-09-18,67.25,4239500.0,69.69,68.94,66.19
1998-09-21,67.0,2716600.0,71.13,70.0,66.69
1998-09-22,71.0,2664500.0,72.38,71.44,70.69
1998-09-23,73.75,2606600.0,74.94,74.94,71.88
1998-09-24,74.19,2094500.0,75.0,72.5,70.63
1998-09-25,71.38,1935400.0,71.88,70.5,70.44
1998-09-28,72.06,2196200.0,74.44,73.63,71.75
1998-09-29,73.5,3046400.0,74.5,72.44,71.31
1998-09-30,72.0,2218600.0,72.69,71.13,70.0
1998-10-01,70.0,2508200.0,71.44,71.13,69.63
1998-10-02,70.88,3404600.0,75.25,74.94,70.81
1998-10-05,74.5,2771700.0,75.13,74.19,72.81
1998-10-06,74.88,2357300.0,76.06,74.25,73.81
1998-10-07,74.44,3981000.0,77.75,77.38,73.38
1998-10-08,77.38,5378600.0,79.56,78.63,76.0
1998-10-09,79.19,3477200.0,79.25,77.38,75.81
1998-10-12,78.0,1733100.0,79.31,77.38,76.81
1998-10-13,77.63,1826300.0,79.0,78.81,77.0
1998-10-14,78.63,2430300.0,80.13,80.0,77.63
1998-10-15,78.69,3239100.0,83.69,82.94,78.56
1998-10-16,82.94,3533800.0,84.75,83.75,82.63
1998-10-19,83.38,1935300.0,83.38,82.06,82.0
1998-10-20,82.0,2790300.0,83.75,82.19,81.44
1998-10-21,81.75,2024800.0,83.88,83.81,80.94
1998-10-22,83.81,4300900.0,87.0,86.88,83.0
1998-10-23,87.0,3723300.0,88.0,87.44,86.44
1998-10-26,87.0,2565200.0,87.81,87.63,86.19
1998-10-27,88.25,2301600.0,88.31,85.63,85.63
1998-10-28,85.19,2065600.0,85.5,84.38,83.81
1998-10-29,84.5,1952600.0,87.13,87.0,84.13
1998-10-30,88.69,2271500.0,89.0,88.69,87.25
1998-11-02,88.88,2111900.0,90.0,89.81,88.63
1998-11-03,88.94,1786700.0,90.0,89.63,88.69
1998-11-04,89.0,2560500.0,89.75,87.13,87.13
1998-11-05,87.38,1837100.0,89.75,89.31,87.03
1998-11-06,89.0,1940300.0,90.0,90.0,88.69
1998-11-09,89.75,1736200.0,89.75,88.56,87.94
1998-11-10,87.25,3195300.0,91.31,91.0,87.25
1998-11-11,91.0,2277900.0,91.44,90.31,89.56
1998-11-12,89.69,1530700.0,91.25,90.5,89.69
1998-11-13,90.31,1619100.0,90.69,89.56,89.0
1998-11-16,89.94,1892600.0,91.5,91.5,89.81
1998-11-17,90.75,2036100.0,91.38,89.44,89.19
1998-11-18,89.56,1924500.0,89.88,89.0,88.13
1998-11-19,89.5,1648000.0,90.31,90.0,88.63
1998-11-20,90.81,2235100.0,91.44,91.44,90.38
1998-11-23,91.63,2313700.0,93.56,93.56,91.06
1998-11-24,92.25,2304200.0,93.0,91.94,91.75
1998-11-25,90.94,1612300.0,91.5,90.44,89.75
1998-11-27,90.19,444300.0,90.44,89.31,89.31
1998-11-30,89.19,1930900.0,89.44,87.63,87.19
