date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,46.13,190400.0,46.81,45.69,45.56
1998-01-05,45.94,341867.0,45.94,45.38,44.94
1998-01-06,45.56,222400.0,45.88,45.56,45.06
1998-01-07,45.69,358067.0,46.75,46.31,45.56
1998-01-08,46.88,456667.0,48.0,47.63,46.69
1998-01-09,47.38,610800.0,47.44,44.38,44.25
1998-01-12,43.5,266067.0,46.25,45.94,43.5
1998-01-13,46.5,381067.0,47.19,47.06,46.06
1998-01-14,47.31,228200.0,47.31,47.0,46.75
1998-01-15,47.0,209667.0,48.94,48.44,46.5
1998-01-16,49.13,219000.0,49.19,47.88,47.69
1998-01-20,43.0,2117267.0,43.25,42.19,41.5
1998-01-21,42.5,1314600.0,44.0,43.75,41.75
1998-01-22,43.94,585400.0,44.25,43.38,43.19
1998-01-23,43.31,423267.0,44.06,44.06,43.06
1998-01-26,44.0,386400.0,44.19,43.5,43.38
1998-01-27,43.75,519467.0,44.13,43.63,43.06
1998-01-28,43.63,493800.0,44.0,43.5,43.5
1998-01-29,43.25,310400.0,44.06,43.44,43.06
1998-01-30,43.44,328600.0,44.38,43.69,43.31
1998-02-02,43.94,375400.0,44.88,44.44,43.94
1998-02-03,43.38,407600.0,44.44,43.5,43.25
1998-02-04,43.5,385467.0,44.69,44.06,43.13
1998-02-05,44.5,348667.0,45.5,44.81,44.5
1998-02-06,45.0,439867.0,45.38,45.38,44.81
1998-02-09,45.13,187800.0,45.81,45.69,45.06
1998-02-10,45.69,245667.0,46.44,45.19,45.0
1998-02-11,45.06,136267.0,45.75,45.13,44.81
1998-02-12,44.88,169867.0,45.88,45.5,44.19
1998-02-13,45.25,264000.0,45.31,44.81,44.75
1998-02-17,44.38,331067.0,45.25,45.13,44.38
1998-02-18,45.0,404400.0,45.44,45.31,44.88
1998-02-19,45.06,400467.0,45.31,45.06,44.75
1998-02-20,45.25,483000.0,45.5,45.38,44.88
1998-02-23,45.31,212867.0,45.75,45.69,44.81
1998-02-24,45.63,339067.0,45.75,44.69,44.5
1998-02-25,44.94,190267.0,46.5,46.38,44.69
1998-02-26,46.5,106067.0,46.75,46.44,46.06
1998-02-27,46.69,242000.0,46.69,46.63,45.94
1998-03-02,46.94,384000.0,47.06,46.81,46.63
1998-03-03,46.5,186800.0,46.75,46.25,45.88
1998-03-04,46.13,314000.0,47.44,47.19,45.88
1998-03-05,47.0,271400.0,47.13,46.69,46.19
1998-03-06,46.88,310200.0,47.38,47.0,46.69
1998-03-09,46.75,280067.0,46.75,45.75,45.38
1998-03-10,46.0,525867.0,47.25,47.0,45.75
1998-03-11,46.88,268600.0,48.38,48.13,46.69
1998-03-12,48.13,361400.0,49.5,49.0,48.06
1998-03-13,49.0,503667.0,51.0,49.44,48.88
1998-03-16,49.19,296667.0,50.5,49.81,48.56
1998-03-17,49.63,225467.0,50.06,49.06,49.06
1998-03-18,49.13,177867.0,49.13,48.31,47.75
1998-03-19,48.19,214067.0,49.88,49.75,48.19
1998-03-20,50.25,370067.0,50.88,50.19,49.94
1998-03-23,50.06,348000.0,50.75,50.75,49.88
1998-03-24,51.0,323400.0,52.0,51.81,50.75
1998-03-25,52.0,314467.0,52.56,51.56,51.31
1998-03-26,51.44,295000.0,52.31,51.38,51.25
1998-03-27,51.44,194867.0,52.31,51.31,50.75
1998-03-30,51.06,61400.0,52.0,51.56,51.0
1998-03-31,51.81,281800.0,52.63,51.38,51.13
1998-04-01,50.75,209067.0,50.75,50.5,49.63
1998-04-02,50.5,259200.0,52.38,52.0,50.06
1998-04-03,51.75,130467.0,51.88,51.44,51.44
1998-04-06,51.75,305800.0,52.0,50.5,50.31
1998-04-07,50.25,164067.0,50.25,49.94,49.13
1998-04-08,49.69,215467.0,50.0,49.69,49.0
1998-04-09,49.94,147400.0,50.19,49.81,49.69
1998-04-13,49.94,220200.0,51.13,50.44,49.5
1998-04-14,50.88,187600.0,51.13,50.38,49.69
1998-04-15,50.5,157600.0,51.19,50.88,50.38
1998-04-16,50.63,1020600.0,50.63,47.81,46.81
1998-04-17,48.06,460600.0,48.31,48.0,47.81
1998-04-20,48.25,266200.0,48.25,47.06,46.75
1998-04-21,47.0,573200.0,47.25,46.88,46.5
1998-04-22,47.0,378067.0,47.25,46.13,45.63
1998-04-23,45.94,575800.0,46.0,44.88,44.31
1998-04-24,44.94,478600.0,45.0,43.94,43.25
1998-04-27,43.25,471800.0,43.63,43.5,42.88
1998-04-28,43.44,522667.0,43.5,42.88,42.5
1998-04-29,43.0,586867.0,43.31,42.94,42.0
1998-04-30,43.25,323400.0,45.0,44.5,43.13
1998-05-01,44.56,468267.0,45.13,43.63,43.38
1998-05-04,43.81,471200.0,44.25,43.63,43.38
1998-05-05,43.88,366067.0,44.44,44.13,43.56
1998-05-06,44.75,599667.0,45.38,43.25,43.25
1998-05-07,44.0,426200.0,44.5,44.0,43.81
1998-05-08,44.0,209200.0,44.44,43.88,43.81
1998-05-11,43.63,284467.0,43.94,43.5,43.38
1998-05-12,43.63,318000.0,44.13,44.06,43.63
1998-05-13,43.94,305067.0,44.25,44.0,43.75
1998-05-14,44.0,174000.0,44.81,44.63,43.75
1998-05-15,45.0,237000.0,45.5,44.44,44.0
1998-05-18,44.44,155200.0,44.44,44.0,43.88
1998-05-19,43.88,189667.0,44.5,43.94,43.75
1998-05-20,43.94,134267.0,43.94,43.94,43.94
1998-05-21,43.88,109667.0,44.44,43.75,43.5
1998-05-22,44.0,231067.0,44.13,43.5,42.81
1998-05-26,43.5,235600.0,43.5,42.19,42.13
1998-05-27,41.44,427800.0,41.88,41.44,41.0
1998-05-28,41.63,139867.0,42.0,41.56,41.19
1998-05-29,41.88,323467.0,42.0,41.06,41.0
1998-06-01,41.13,355067.0,41.5,41.06,41.0
1998-06-02,41.31,254000.0,41.5,40.94,40.81
1998-06-03,40.88,269667.0,41.31,41.25,40.88
1998-06-04,41.06,478400.0,41.56,41.06,41.0
1998-06-05,41.38,141467.0,41.94,41.94,41.31
1998-06-08,42.19,137067.0,42.75,42.25,42.19
1998-06-09,42.5,179467.0,42.88,42.81,42.13
1998-06-10,42.87,304467.0,42.87,41.88,41.75
1998-06-11,42.13,194467.0,42.38,40.06,39.94
1998-06-12,40.31,408600.0,40.75,39.0,38.69
1998-06-15,38.75,740667.0,38.75,37.63,37.19
1998-06-16,37.88,535667.0,38.0,37.56,37.31
1998-06-17,38.13,276600.0,39.88,39.38,38.06
1998-06-18,39.63,934600.0,39.81,38.5,38.5
1998-06-19,38.94,355800.0,38.94,38.38,38.06
1998-06-22,38.25,141800.0,38.88,38.06,38.0
1998-06-23,38.44,471800.0,38.94,38.88,38.25
1998-06-24,38.88,351000.0,39.0,37.94,37.81
1998-06-25,37.75,191267.0,38.0,37.56,36.94
1998-06-26,37.81,380667.0,38.13,37.88,37.81
1998-06-29,37.81,150200.0,38.19,37.75,37.75
1998-06-30,37.75,282867.0,38.31,38.13,37.75
1998-07-01,38.25,169800.0,38.75,38.5,37.81
1998-07-02,38.06,259667.0,38.31,38.06,37.81
1998-07-06,37.88,193667.0,38.19,37.88,37.5
1998-07-07,37.88,514067.0,37.88,35.88,35.5
1998-07-08,33.63,1687000.0,36.31,36.0,33.63
1998-07-09,36.0,745600.0,36.13,34.75,34.75
1998-07-10,35.0,518600.0,35.13,35.0,34.69
1998-07-13,35.25,442467.0,35.25,34.88,34.56
1998-07-14,35.88,547267.0,35.94,34.56,34.5
1998-07-15,34.81,599800.0,35.0,33.75,33.31
1998-07-16,33.88,812267.0,33.94,33.44,32.5
1998-07-17,33.5,356467.0,34.19,33.81,33.13
1998-07-20,33.94,322600.0,34.88,33.81,33.56
1998-07-21,33.38,1085067.0,33.56,33.0,32.69
1998-07-22,32.75,2169667.0,33.0,32.06,31.38
1998-07-23,31.94,1003000.0,32.75,32.56,31.94
1998-07-24,32.69,552667.0,33.5,33.13,32.69
1998-07-27,32.88,389800.0,33.0,32.94,32.5
1998-07-28,32.06,622867.0,33.75,33.56,32.06
1998-07-29,33.38,339867.0,34.0,33.25,32.88
1998-07-30,33.0,447400.0,34.88,34.88,33.0
1998-07-31,34.63,297667.0,34.75,34.31,34.0
1998-08-03,34.13,699267.0,34.88,34.5,34.13
1998-08-04,34.56,497067.0,34.88,33.5,33.5
1998-08-05,33.75,643400.0,34.94,33.5,32.88
1998-08-06,33.5,350000.0,34.31,33.94,33.25
1998-08-07,34.0,571067.0,34.44,33.31,33.0
