date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,41.81,98800.0,42.5,42.5,41.81
1998-01-05,42.31,87900.0,44.13,43.75,42.13
1998-01-06,43.75,114300.0,43.75,43.44,43.13
1998-01-07,43.44,60500.0,43.44,42.88,42.69
1998-01-08,42.88,35400.0,43.06,42.81,42.81
1998-01-09,42.75,80700.0,42.75,41.0,41.0
1998-01-12,40.88,70000.0,41.88,41.88,40.56
1998-01-13,41.88,32500.0,42.88,42.81,41.56
1998-01-14,42.94,28100.0,43.5,43.5,42.63
1998-01-15,43.5,31700.0,43.63,42.69,42.5
1998-01-16,42.94,71300.0,43.94,43.81,42.81
1998-01-20,43.81,86000.0,43.81,43.5,43.38
1998-01-21,43.25,79800.0,43.56,43.25,43.19
1998-01-22,43.25,63200.0,43.44,43.38,43.13
1998-01-23,43.5,33700.0,43.5,42.56,42.5
1998-01-26,42.81,47600.0,42.81,41.88,41.75
1998-01-27,41.94,116200.0,42.06,41.69,41.5
1998-01-28,41.75,69100.0,41.94,41.81,41.75
1998-01-29,41.94,102700.0,42.63,42.19,41.88
1998-01-30,42.13,67000.0,43.0,42.69,41.94
1998-02-02,42.75,96300.0,43.94,42.75,42.63
1998-02-03,42.5,105300.0,43.38,43.13,42.44
1998-02-04,43.0,65600.0,44.0,43.88,43.0
1998-02-05,44.13,76100.0,45.0,44.44,44.13
1998-02-06,44.63,54200.0,45.38,44.94,44.63
1998-02-09,45.13,75100.0,45.25,45.19,44.19
1998-02-10,45.25,41700.0,45.94,45.69,45.25
1998-02-11,45.69,37600.0,45.69,45.44,45.19
1998-02-12,45.25,40400.0,45.38,45.25,44.88
1998-02-13,45.0,24400.0,45.38,44.5,44.38
1998-02-17,44.75,31500.0,44.94,44.44,44.13
1998-02-18,44.38,42400.0,44.81,44.69,44.31
1998-02-19,44.63,38000.0,44.81,44.75,44.25
1998-02-20,45.0,63700.0,45.19,45.0,44.69
1998-02-23,44.81,54900.0,44.94,44.69,44.69
1998-02-24,44.5,49200.0,45.13,44.94,44.0
1998-02-25,45.0,37500.0,45.5,45.25,45.0
1998-02-26,45.25,25400.0,45.88,45.88,45.19
1998-02-27,46.06,47100.0,46.06,45.5,45.19
1998-03-02,45.25,26000.0,45.44,45.0,44.13
1998-03-03,44.94,47500.0,45.0,44.69,44.38
1998-03-04,44.69,26300.0,44.69,44.0,43.94
1998-03-05,43.75,73100.0,43.81,42.75,42.38
