date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,25.0,52000.0,25.0,24.88,24.63
1998-01-05,24.75,42300.0,24.94,24.63,24.63
1998-01-06,24.75,26900.0,24.75,24.69,24.63
1998-01-07,24.69,49500.0,24.75,24.63,24.44
1998-01-08,24.5,95700.0,24.75,24.56,24.38
1998-01-09,24.5,37800.0,24.5,24.38,24.13
1998-01-12,24.13,24500.0,24.44,24.44,23.75
1998-01-13,24.5,190300.0,24.63,24.56,24.44
1998-01-14,24.5,201800.0,24.75,24.75,24.25
1998-01-15,24.75,39200.0,24.75,24.5,24.5
1998-01-16,24.56,13600.0,24.56,24.5,24.38
1998-01-20,24.63,63200.0,24.75,24.63,24.56
1998-01-21,24.69,90400.0,24.88,24.75,24.56
1998-01-22,24.88,99600.0,24.88,24.69,24.63
1998-01-23,24.75,11200.0,24.75,24.44,24.44
1998-01-26,24.31,50500.0,24.38,24.13,24.13
1998-01-27,24.25,17300.0,24.5,24.25,24.0
1998-01-28,24.13,68700.0,24.13,24.0,23.88
1998-01-29,23.75,67700.0,24.13,24.0,23.75
1998-01-30,24.0,33000.0,24.5,24.5,24.0
1998-02-02,24.5,31000.0,24.75,24.75,24.44
1998-02-03,24.63,18300.0,24.75,24.5,24.5
1998-02-04,24.56,29200.0,24.56,24.38,24.38
1998-02-05,24.38,10900.0,24.63,24.5,24.38
1998-02-06,24.5,129200.0,24.5,24.25,24.13
1998-02-09,24.19,101100.0,24.31,24.31,23.94
1998-02-10,24.38,35000.0,24.63,24.63,24.31
1998-02-11,24.63,40400.0,24.63,24.63,24.44
1998-02-12,24.5,34500.0,24.63,24.5,24.31
1998-02-13,24.56,73100.0,24.63,24.5,24.38
1998-02-17,24.63,110500.0,24.81,24.81,24.5
1998-02-18,24.69,85500.0,24.69,24.13,23.88
1998-02-19,24.25,7900.0,24.25,24.0,24.0
1998-02-20,24.0,82700.0,24.38,24.19,24.0
1998-02-23,24.13,26300.0,24.25,24.06,24.0
1998-02-24,24.06,8700.0,24.19,23.88,23.88
1998-02-25,23.88,45600.0,23.94,23.75,23.75
1998-02-26,23.75,21300.0,23.88,23.63,23.63
1998-02-27,23.63,42700.0,23.81,23.5,23.5
1998-03-02,23.75,102800.0,23.75,23.44,23.44
1998-03-03,23.44,24500.0,23.69,23.56,23.44
1998-03-04,23.63,108100.0,23.63,23.38,23.38
1998-03-05,23.38,43100.0,23.5,23.44,23.38
